Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
22.10.2011;00:00;3.69;8.71;3.35;3.77;6.03;13526740;0
25.10.2011;00:00;4.15;4.57;4.15;4.57;4.36;72535;0
26.10.2011;00:00;5.04;5.56;5.04;5.56;5.30;257121;0
27.10.2011;00:00;6.13;6.68;5.65;6.68;6.16;1796479;0
28.10.2011;00:00;7.04;7.81;6.16;7.37;6.98;4982390;0
29.10.2011;00:00;7.40;8.54;7.24;8.38;7.89;8475014;0
01.11.2011;00:00;8.58;9.51;8.34;9.51;8.93;7360293;0
02.11.2011;00:00;9.78;10.05;8.41;8.68;9.23;2613774;0
03.11.2011;00:00;7.81;8.64;7.14;7.14;7.89;7193811;0
04.11.2011;00:00;6.63;6.95;5.85;6.42;6.40;14318670;0
05.11.2011;00:00;6.43;6.87;5.66;5.68;6.26;13885840;0
08.11.2011;00:00;5.73;6.72;5.70;6.72;6.21;8267704;0
09.11.2011;00:00;6.95;7.27;6.37;6.57;6.82;19180370;0
10.11.2011;00:00;6.43;6.80;6.03;6.53;6.42;9247904;0
11.11.2011;00:00;6.60;6.63;6.30;6.33;6.47;2874660;0
12.11.2011;00:00;6.43;6.62;6.25;6.32;6.43;5808180;0
15.11.2011;00:00;6.30;7.15;6.23;6.99;6.69;15346460;0
16.11.2011;00:00;7.04;7.07;6.48;6.53;6.78;4500597;0
18.11.2011;00:00;6.58;6.82;6.37;6.38;6.60;3210017;0
19.11.2011;00:00;6.42;6.50;6.25;6.27;6.38;1786173;0
20.11.2011;00:00;6.28;6.33;6.16;6.16;6.24;1369443;0
23.11.2011;00:00;6.21;6.33;6.13;6.15;6.23;1441368;0
24.11.2011;00:00;6.20;6.21;6.10;6.15;6.15;953958;0
25.11.2011;00:00;6.15;6.70;6.00;6.58;6.35;5956278;0
26.11.2011;00:00;6.63;6.63;6.30;6.37;6.47;2438408;0
27.11.2011;00:00;6.37;6.95;6.25;6.85;6.60;7719841;0
30.11.2011;00:00;6.87;7.17;6.67;7.17;6.92;2803500;0
01.12.2011;00:00;7.27;8.07;7.07;7.97;7.57;12063220;0
02.12.2011;00:00;8.04;8.17;7.17;7.24;7.67;4716893;0
03.12.2011;00:00;7.30;7.67;7.24;7.47;7.45;2689903;0
04.12.2011;00:00;7.50;8.64;7.44;8.44;8.04;9446290;0
09.12.2011;00:00;8.41;9.62;8.38;9.45;9.00;8771921;0
10.12.2011;00:00;9.55;9.72;8.54;9.15;9.13;8924970;0
11.12.2011;00:00;9.11;9.38;9.05;9.21;9.22;2393754;0
14.12.2011;00:00;9.55;9.92;7.91;8.88;8.91;9099325;0
15.12.2011;00:00;8.91;9.48;8.81;9.18;9.14;5507258;0
16.12.2011;00:00;9.25;9.31;8.68;8.84;9.00;2315050;0
18.12.2011;00:00;8.91;9.92;8.88;9.75;9.40;8092335;0
22.12.2011;00:00;9.78;9.85;9.35;9.51;9.60;2348092;0
23.12.2011;00:00;9.38;10.39;9.38;10.22;9.89;5357858;0
24.12.2011;00:00;10.32;11.42;10.29;11.32;10.86;8326675;0
25.12.2011;00:00;11.46;11.59;10.79;11.52;11.19;6718294;0
26.12.2011;00:00;11.56;12.20;11.46;11.49;11.83;5010908;0
29.12.2011;00:00;11.42;11.93;11.42;11.73;11.68;4355236;0
30.12.2011;00:00;11.83;12.16;11.76;11.89;11.96;3547200;0
31.12.2011;00:00;11.96;12.40;11.89;12.23;12.14;2719410;0
01.01.2012;00:00;12.26;12.36;12.09;12.23;12.22;1338411;0
02.01.2012;00:00;12.26;12.26;11.29;11.79;11.78;3012307;0
05.01.2012;00:00;11.79;12.73;11.73;12.06;12.23;5473948;0
06.01.2012;00:00;12.13;12.56;11.56;11.73;12.06;3202950;0
07.01.2012;00:00;11.86;13.10;11.39;11.96;12.25;11909130;0
08.01.2012;00:00;11.93;12.23;10.55;10.82;11.39;8380663;0
09.01.2012;00:00;10.75;11.19;10.59;10.96;10.89;3720764;0
12.01.2012;00:00;10.96;11.26;9.31;9.45;10.29;7339726;0
13.01.2012;00:00;9.51;9.78;8.04;8.21;8.91;11092750;0
14.01.2012;00:00;8.31;8.64;7.14;7.14;7.89;17887440;0
15.01.2012;00:00;6.70;7.00;6.05;6.23;6.53;15956590;0
16.01.2012;00:00;6.30;6.50;6.11;6.32;6.31;11748450;0
21.01.2012;00:00;6.37;6.80;5.51;5.51;6.16;6240646;0
22.01.2012;00:00;4.99;5.36;4.49;4.49;4.92;14951480;0
23.01.2012;00:00;4.49;4.62;3.94;4.02;4.28;16196960;0
24.01.2012;00:00;4.05;4.29;3.72;4.05;4.00;15686760;0
25.01.2012;00:00;4.14;4.20;4.02;4.10;4.11;6571163;0
28.01.2012;00:00;4.10;4.14;3.82;3.87;3.98;4715909;0
29.01.2012;00:00;3.87;4.07;3.32;3.32;3.70;12007760;0
30.01.2012;00:00;3.24;3.65;2.96;2.96;3.31;15620830;0
31.01.2012;00:00;2.78;3.00;2.66;2.99;2.83;13278720;0
01.02.2012;00:00;3.02;3.12;2.89;3.06;3.00;9433858;0
04.02.2012;00:00;3.08;3.24;3.05;3.05;3.14;11193950;0
05.02.2012;00:00;3.06;3.08;2.61;2.61;2.84;6782933;0
06.02.2012;00:00;2.49;2.69;2.43;2.68;2.56;10143800;0
07.02.2012;00:00;2.75;2.75;2.58;2.64;2.66;6186941;0
08.02.2012;00:00;2.63;2.71;2.61;2.63;2.66;3704825;0
11.02.2012;00:00;2.63;2.67;2.59;2.63;2.63;2277340;0
12.02.2012;00:00;2.65;2.65;2.55;2.58;2.60;1800498;0
13.02.2012;00:00;2.55;2.59;2.55;2.57;2.57;443932;0
19.02.2012;00:00;2.55;2.63;2.55;2.61;2.59;1503100;0
20.02.2012;00:00;2.62;2.74;2.56;2.56;2.65;7818051;0
22.02.2012;00:00;2.58;2.58;2.51;2.51;2.54;1950636;0
23.02.2012;00:00;2.51;2.54;2.42;2.43;2.48;1857134;0
26.02.2012;00:00;2.45;2.45;2.38;2.38;2.42;1664511;0
27.02.2012;00:00;2.36;2.41;2.22;2.25;2.32;2570083;0
28.02.2012;00:00;2.24;2.42;2.24;2.28;2.33;3867020;0
29.02.2012;00:00;2.28;2.41;2.24;2.29;2.33;2691549;0
01.03.2012;00:00;2.30;2.35;2.27;2.29;2.31;1544689;0
04.03.2012;00:00;2.32;2.37;2.29;2.33;2.33;2543130;0
05.03.2012;00:00;2.35;2.39;2.30;2.30;2.35;1644392;0
06.03.2012;00:00;2.31;2.33;2.25;2.25;2.29;1086710;0
07.03.2012;00:00;2.26;2.30;2.16;2.24;2.23;1425789;0
08.03.2012;00:00;2.24;2.26;2.19;2.21;2.23;1072511;0
11.03.2012;00:00;2.23;2.27;2.20;2.24;2.24;1411832;0
12.03.2012;00:00;2.26;2.26;2.20;2.21;2.23;806487;0
13.03.2012;00:00;2.22;2.23;2.18;2.21;2.21;3219226;0
14.03.2012;00:00;2.21;2.41;2.21;2.28;2.31;5647592;0
15.03.2012;00:00;2.28;2.33;2.25;2.26;2.29;2101984;0
18.03.2012;00:00;2.28;2.29;2.23;2.23;2.26;1282583;0
19.03.2012;00:00;2.23;2.26;2.21;2.22;2.24;1251001;0
20.03.2012;00:00;2.23;2.24;2.21;2.22;2.23;1018507;0
