Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
05.02.2011;00:00;0.22;0.23;0.22;0.23;0.23;9178822;0
06.02.2011;00:00;0.23;0.23;0.22;0.23;0.23;2532621;0
12.02.2011;00:00;0.23;0.23;0.22;0.23;0.23;1001463;0
13.02.2011;00:00;0.23;0.23;0.23;0.23;0.23;702028;0
16.02.2011;00:00;0.23;0.23;0.22;0.23;0.23;1045913;0
17.02.2011;00:00;0.22;0.23;0.22;0.23;0.23;548029;0
18.02.2011;00:00;0.22;0.23;0.22;0.23;0.23;459613;0
19.02.2011;00:00;0.23;0.23;0.22;0.22;0.22;609970;0
20.02.2011;00:00;0.22;0.22;0.22;0.22;0.22;651413;0
23.02.2011;00:00;0.22;0.22;0.20;0.21;0.21;1149049;0
24.02.2011;00:00;0.20;0.21;0.20;0.21;0.21;654431;0
25.02.2011;00:00;0.21;0.21;0.20;0.21;0.20;525771;0
26.02.2011;00:00;0.20;0.20;0.19;0.20;0.20;333684;0
27.02.2011;00:00;0.19;0.20;0.18;0.20;0.19;1187869;0
02.03.2011;00:00;0.20;0.20;0.19;0.20;0.20;227621;0
03.03.2011;00:00;0.20;0.20;0.19;0.20;0.19;142034;0
04.03.2011;00:00;0.19;0.20;0.19;0.19;0.19;1071413;0
07.03.2011;00:00;0.20;0.20;0.19;0.19;0.19;1450236;0
08.03.2011;00:00;0.19;0.19;0.19;0.19;0.19;416363;0
11.03.2011;00:00;0.19;0.19;0.19;0.19;0.19;206666;0
12.03.2011;00:00;0.19;0.19;0.18;0.18;0.18;404691;0
13.03.2011;00:00;0.18;0.18;0.18;0.18;0.18;459131;0
14.03.2011;00:00;0.18;0.18;0.17;0.17;0.18;608347;0
15.03.2011;00:00;0.17;0.17;0.17;0.17;0.17;304252;0
18.03.2011;00:00;0.17;0.17;0.16;0.17;0.17;639939;0
19.03.2011;00:00;0.17;0.17;0.16;0.16;0.16;195741;0
20.03.2011;00:00;0.16;0.16;0.15;0.15;0.16;326818;0
21.03.2011;00:00;0.15;0.16;0.15;0.15;0.16;604207;0
22.03.2011;00:00;0.15;0.16;0.15;0.15;0.16;549396;0
25.03.2011;00:00;0.15;0.15;0.15;0.15;0.15;417863;0
26.03.2011;00:00;0.15;0.15;0.15;0.15;0.15;995450;0
27.03.2011;00:00;0.15;0.18;0.15;0.17;0.16;3835497;0
28.03.2011;00:00;0.17;0.18;0.16;0.16;0.17;1186099;0
29.03.2011;00:00;0.16;0.17;0.16;0.16;0.16;743750;0
01.04.2011;00:00;0.16;0.17;0.16;0.16;0.16;1612587;0
02.04.2011;00:00;0.16;0.16;0.16;0.16;0.16;304147;0
03.04.2011;00:00;0.16;0.16;0.16;0.16;0.16;136378;0
04.04.2011;00:00;0.15;0.16;0.15;0.16;0.16;213573;0
