Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;12.45;12.46;12.41;12.43;12.44;1065796;0
24.08.2025;11:30;12.43;12.45;12.42;12.42;12.44;1673071;0
24.08.2025;11:45;12.43;12.46;12.40;12.41;12.43;1695345;0
24.08.2025;12:00;12.41;12.44;12.39;12.42;12.41;1294594;0
24.08.2025;12:15;12.42;12.43;12.40;12.40;12.41;301931;0
24.08.2025;12:30;12.41;12.41;12.39;12.41;12.40;942185;0
24.08.2025;12:45;12.40;12.40;12.34;12.35;12.37;2135882;0
24.08.2025;13:00;12.35;12.37;12.34;12.37;12.36;617654;0
24.08.2025;13:15;12.38;12.39;12.35;12.37;12.37;628644;0
24.08.2025;13:30;12.37;12.38;12.36;12.37;12.37;391326;0
24.08.2025;13:45;12.37;12.39;12.34;12.39;12.37;669830;0
24.08.2025;14:00;12.39;12.39;12.33;12.34;12.36;863481;0
24.08.2025;14:15;12.34;12.36;12.34;12.36;12.35;282479;0
24.08.2025;14:30;12.36;12.39;12.35;12.38;12.37;404078;0
24.08.2025;14:45;12.38;12.39;12.34;12.36;12.37;565069;0
24.08.2025;15:00;12.36;12.37;12.34;12.35;12.35;296701;0
24.08.2025;15:15;12.35;12.36;12.33;12.35;12.34;456635;0
24.08.2025;15:30;12.34;12.35;12.32;12.34;12.34;790837;0
24.08.2025;15:45;12.34;12.35;12.32;12.34;12.34;577479;0
24.08.2025;16:00;12.34;12.36;12.32;12.35;12.34;678697;0
24.08.2025;16:15;12.34;12.35;12.31;12.33;12.33;616563;0
24.08.2025;16:30;12.34;12.34;12.32;12.33;12.33;233108;0
24.08.2025;16:45;12.33;12.44;12.30;12.42;12.37;2424589;0
24.08.2025;17:00;12.43;12.46;12.37;12.39;12.42;983661;0
24.08.2025;17:15;12.40;12.42;12.35;12.38;12.39;807947;0
24.08.2025;17:30;12.36;12.38;12.29;12.34;12.34;1734114;0
24.08.2025;17:45;12.32;12.35;12.28;12.31;12.32;1066804;0
24.08.2025;18:00;12.31;12.34;12.31;12.32;12.33;718943;0
27.08.2025;10:00;12.25;12.25;11.79;12.14;12.02;5169218;0
27.08.2025;10:15;12.14;12.21;12.14;12.14;12.17;2803062;0
27.08.2025;10:30;12.14;12.16;12.09;12.14;12.13;2570835;0
27.08.2025;10:45;12.14;12.20;12.14;12.14;12.17;1659773;0
27.08.2025;11:00;12.14;12.15;12.08;12.13;12.12;1355756;0
27.08.2025;11:15;12.14;12.16;12.13;12.14;12.14;356771;0
27.08.2025;11:30;12.15;12.17;12.13;12.17;12.15;609790;0
27.08.2025;11:45;12.15;12.17;12.14;12.14;12.16;570160;0
27.08.2025;12:00;12.14;12.15;12.14;12.14;12.15;618303;0
27.08.2025;12:15;12.15;12.15;12.12;12.14;12.14;859524;0
27.08.2025;12:30;12.14;12.16;12.09;12.16;12.13;940014;0
27.08.2025;12:45;12.14;12.18;12.14;12.18;12.16;534949;0
27.08.2025;13:00;12.18;12.18;12.13;12.16;12.15;519315;0
27.08.2025;13:15;12.16;12.16;12.14;12.14;12.15;513439;0
27.08.2025;13:30;12.14;12.17;12.13;12.16;12.15;1587687;0
27.08.2025;13:45;12.14;12.16;12.12;12.15;12.14;501592;0
27.08.2025;14:00;12.15;12.18;12.13;12.16;12.15;1087107;0
27.08.2025;14:15;12.16;12.17;12.11;12.13;12.14;758604;0
27.08.2025;14:30;12.12;12.14;12.10;12.11;12.12;633715;0
27.08.2025;14:45;12.12;12.13;12.07;12.08;12.10;2180306;0
27.08.2025;15:00;12.08;12.12;12.08;12.11;12.10;1020928;0
27.08.2025;15:15;12.10;12.14;12.07;12.11;12.10;678042;0
27.08.2025;15:30;12.11;12.11;12.07;12.08;12.09;669001;0
27.08.2025;15:45;12.08;12.08;11.98;12.04;12.03;896629;0
27.08.2025;16:00;12.04;12.06;12.00;12.04;12.03;724944;0
27.08.2025;16:15;12.05;12.08;12.04;12.07;12.06;453247;0
27.08.2025;16:30;12.07;12.08;12.05;12.07;12.07;147046;0
27.08.2025;16:45;12.06;12.10;12.05;12.08;12.08;244746;0
27.08.2025;17:00;12.08;12.10;12.06;12.09;12.08;323941;0
27.08.2025;17:15;12.09;12.14;12.07;12.12;12.10;625865;0
27.08.2025;17:30;12.12;12.12;12.05;12.09;12.09;541693;0
27.08.2025;17:45;12.09;12.11;12.04;12.04;12.07;685020;0
27.08.2025;18:00;12.04;12.05;12.01;12.01;12.03;802273;0
28.08.2025;10:00;12.03;12.17;12.03;12.13;12.10;1262950;0
28.08.2025;10:15;12.14;12.14;12.08;12.13;12.11;1063721;0
28.08.2025;10:30;12.13;12.14;12.09;12.14;12.11;505147;0
28.08.2025;10:45;12.13;12.14;12.09;12.13;12.11;514560;0
28.08.2025;11:00;12.12;12.27;12.11;12.14;12.19;3417670;0
28.08.2025;11:15;12.14;12.14;12.11;12.13;12.13;481801;0
28.08.2025;11:30;12.13;12.14;12.09;12.12;12.11;566144;0
28.08.2025;11:45;12.12;12.13;12.10;12.12;12.11;82131;0
28.08.2025;12:00;12.12;12.13;12.11;12.12;12.12;165801;0
28.08.2025;12:15;12.11;12.12;12.08;12.10;12.10;487049;0
28.08.2025;12:30;12.10;12.14;12.09;12.12;12.11;402370;0
28.08.2025;12:45;12.13;12.13;12.09;12.10;12.11;458869;0
28.08.2025;13:00;12.12;12.13;12.10;12.13;12.11;359050;0
28.08.2025;13:15;12.13;12.14;12.11;12.14;12.13;841502;0
28.08.2025;13:30;12.14;12.15;12.13;12.13;12.14;962892;0
28.08.2025;13:45;12.14;12.14;12.11;12.11;12.13;778931;0
28.08.2025;14:00;12.11;12.14;12.11;12.14;12.13;1247403;0
28.08.2025;14:15;12.14;12.19;12.13;12.15;12.16;3446371;0
28.08.2025;14:30;12.15;12.23;12.15;12.23;12.19;2117345;0
28.08.2025;14:45;12.23;12.24;12.23;12.23;12.24;372477;0
28.08.2025;15:00;12.23;12.24;12.19;12.19;12.22;1282169;0
28.08.2025;15:15;12.20;12.21;12.16;12.17;12.19;480889;0
28.08.2025;15:30;12.16;12.20;12.16;12.17;12.18;525285;0
28.08.2025;15:45;12.17;12.18;12.14;12.16;12.16;431206;0
28.08.2025;16:00;12.16;12.17;12.12;12.13;12.14;1123817;0
28.08.2025;16:15;12.14;12.14;12.09;12.12;12.11;889002;0
28.08.2025;16:30;12.13;12.14;12.11;12.11;12.12;161688;0
28.08.2025;16:45;12.11;12.13;12.03;12.09;12.08;1275926;0
28.08.2025;17:00;12.08;12.11;12.07;12.10;12.09;576330;0
28.08.2025;17:15;12.10;12.12;12.08;12.08;12.10;539294;0
28.08.2025;17:30;12.09;12.10;12.07;12.08;12.09;261372;0
28.08.2025;17:45;12.07;12.09;12.04;12.09;12.06;1733305;0
28.08.2025;18:00;12.09;12.10;12.04;12.04;12.07;863129;0
29.08.2025;10:00;12.08;12.20;12.08;12.12;12.14;1597762;0
29.08.2025;10:15;12.12;12.16;12.10;12.14;12.13;1150312;0
29.08.2025;10:30;12.14;12.15;12.11;12.12;12.13;455633;0
29.08.2025;10:45;12.11;12.13;12.10;12.11;12.11;287750;0
29.08.2025;11:00;12.11;12.12;12.06;12.09;12.09;1481475;0
29.08.2025;11:15;12.07;12.09;12.06;12.09;12.08;428373;0
29.08.2025;11:30;12.09;12.09;12.04;12.06;12.07;461729;0
29.08.2025;11:45;12.07;12.07;12.06;12.07;12.07;92312;0
29.08.2025;12:00;12.07;12.07;12.04;12.05;12.06;611928;0
