Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;138.00;138.20;137.60;137.70;137.90;2216678;0
24.08.2025;11:30;137.80;138.00;137.30;137.30;137.65;2807496;0
24.08.2025;11:45;137.20;137.80;137.20;137.30;137.50;3823133;0
24.08.2025;12:00;137.40;138.80;137.30;137.60;138.05;6173797;0
24.08.2025;12:15;137.60;137.80;137.30;137.40;137.55;1125188;0
24.08.2025;12:30;137.40;137.40;137.10;137.10;137.25;639107;0
24.08.2025;12:45;137.30;137.30;136.70;137.00;137.00;1671003;0
24.08.2025;13:00;137.00;137.20;136.70;136.90;136.95;637885;0
24.08.2025;13:15;136.90;136.90;136.50;136.60;136.70;2654872;0
24.08.2025;13:30;136.70;136.70;136.50;136.50;136.60;914620;0
24.08.2025;13:45;136.60;136.70;136.30;136.60;136.50;1028374;0
24.08.2025;14:00;136.60;136.60;135.70;136.10;136.15;2123488;0
24.08.2025;14:15;136.00;136.10;135.50;135.90;135.80;2895905;0
24.08.2025;14:30;135.90;137.20;135.90;136.70;136.55;6691366;0
24.08.2025;14:45;136.80;136.80;136.00;136.20;136.40;496059;0
24.08.2025;15:00;136.20;136.50;135.90;136.40;136.20;2175742;0
24.08.2025;15:15;136.40;136.70;136.20;136.30;136.45;737384;0
24.08.2025;15:30;136.30;136.50;135.20;136.30;135.85;4098429;0
24.08.2025;15:45;136.20;136.40;135.90;136.20;136.15;1723950;0
24.08.2025;16:00;136.30;136.70;136.20;136.50;136.45;2277609;0
24.08.2025;16:15;136.50;136.50;136.00;136.20;136.25;477666;0
24.08.2025;16:30;136.20;136.40;135.90;136.20;136.15;1503597;0
24.08.2025;16:45;136.20;137.70;135.80;137.00;136.75;9616918;0
24.08.2025;17:00;136.90;137.70;136.90;137.20;137.30;5389969;0
24.08.2025;17:15;137.30;137.80;136.90;137.50;137.35;6716450;0
24.08.2025;17:30;137.50;137.80;137.20;137.40;137.50;7661452;0
24.08.2025;17:45;137.30;137.70;136.40;136.70;137.05;9819501;0
24.08.2025;18:00;136.70;137.70;136.60;137.60;137.15;6097222;0
27.08.2025;10:00;136.80;136.80;132.70;133.90;134.75;11560923;0
27.08.2025;10:15;133.90;133.90;133.20;133.50;133.55;3728376;0
27.08.2025;10:30;133.70;133.70;133.10;133.30;133.40;4054437;0
27.08.2025;10:45;133.20;135.00;132.90;133.80;133.95;6025167;0
27.08.2025;11:00;133.90;134.00;132.80;133.60;133.40;2767509;0
27.08.2025;11:15;133.60;133.90;133.40;133.50;133.65;783090;0
27.08.2025;11:30;133.60;133.80;133.40;133.50;133.60;1284367;0
27.08.2025;11:45;133.50;133.50;133.10;133.10;133.30;1068471;0
27.08.2025;12:00;133.30;133.70;133.10;133.30;133.40;1656694;0
27.08.2025;12:15;133.10;134.10;132.80;134.00;133.45;5759320;0
27.08.2025;12:30;134.10;134.50;133.60;134.50;134.05;1850217;0
27.08.2025;12:45;134.40;135.30;134.30;135.30;134.80;4448043;0
27.08.2025;13:00;135.20;135.50;135.10;135.10;135.30;979047;0
27.08.2025;13:15;135.10;135.30;134.80;134.80;135.05;2058255;0
27.08.2025;13:30;134.70;135.50;134.30;135.20;134.90;3757806;0
27.08.2025;13:45;135.10;135.50;134.80;135.20;135.15;1957690;0
27.08.2025;14:00;135.40;136.00;135.40;135.90;135.70;1169800;0
27.08.2025;14:15;135.80;135.90;135.00;135.20;135.45;417925;0
27.08.2025;14:30;135.20;135.60;134.80;135.00;135.20;1233916;0
27.08.2025;14:45;135.00;135.10;134.70;134.70;134.90;1238642;0
27.08.2025;15:00;135.00;135.20;134.70;135.00;134.95;1956540;0
27.08.2025;15:15;135.00;135.70;135.00;135.30;135.35;1524223;0
27.08.2025;15:30;135.20;135.40;135.00;135.10;135.20;1103251;0
27.08.2025;15:45;135.10;135.10;134.10;134.40;134.60;1526206;0
27.08.2025;16:00;134.40;134.90;134.00;134.30;134.45;2028257;0
27.08.2025;16:15;134.30;134.50;134.00;134.30;134.25;1325917;0
27.08.2025;16:30;134.10;134.20;133.90;133.90;134.05;785528;0
27.08.2025;16:45;134.00;134.70;133.90;134.30;134.30;3696897;0
27.08.2025;17:00;134.30;134.50;134.00;134.10;134.25;1058538;0
27.08.2025;17:15;134.20;134.80;134.00;134.20;134.40;7438787;0
27.08.2025;17:30;134.20;134.40;133.60;133.80;134.00;1728835;0
27.08.2025;17:45;133.80;134.00;133.30;133.80;133.65;4766591;0
27.08.2025;18:00;133.90;134.40;133.40;134.10;133.90;6164163;0
28.08.2025;10:00;134.10;135.20;134.10;134.80;134.65;4028673;0
28.08.2025;10:15;134.90;135.20;134.50;135.10;134.85;3102433;0
28.08.2025;10:30;135.10;135.30;134.70;134.80;135.00;3588029;0
28.08.2025;10:45;134.70;134.90;134.10;134.30;134.50;1526123;0
28.08.2025;11:00;134.30;134.50;134.20;134.40;134.35;1219237;0
28.08.2025;11:15;134.40;134.90;133.90;133.90;134.40;4529959;0
28.08.2025;11:30;134.00;134.00;133.70;133.90;133.85;1522584;0
28.08.2025;11:45;133.90;134.00;133.70;133.80;133.85;1824731;0
28.08.2025;12:00;133.90;134.10;133.90;134.00;134.00;540593;0
28.08.2025;12:15;134.00;134.10;133.90;134.10;134.00;545948;0
28.08.2025;12:30;134.00;134.30;133.80;134.30;134.05;1041390;0
28.08.2025;12:45;134.30;135.30;134.20;135.00;134.75;6937898;0
28.08.2025;13:00;135.00;136.10;135.00;135.80;135.55;4209211;0
28.08.2025;13:15;136.00;136.60;135.80;136.60;136.20;3350529;0
28.08.2025;13:30;136.60;137.00;136.00;136.00;136.50;3917081;0
28.08.2025;13:45;136.10;136.80;135.70;135.70;136.25;4429260;0
28.08.2025;14:00;135.60;136.20;135.50;135.90;135.85;1648441;0
28.08.2025;14:15;136.00;136.70;135.80;136.30;136.25;4486709;0
28.08.2025;14:30;136.30;136.50;136.00;136.10;136.25;2712991;0
28.08.2025;14:45;136.10;137.30;136.10;137.00;136.70;3578713;0
28.08.2025;15:00;137.00;137.50;136.50;137.00;137.00;6649002;0
28.08.2025;15:15;137.10;137.40;137.00;137.10;137.20;3786906;0
28.08.2025;15:30;137.10;137.70;137.10;137.10;137.40;5483278;0
28.08.2025;15:45;137.10;137.10;136.40;136.70;136.75;880169;0
28.08.2025;16:00;136.50;136.70;136.00;136.10;136.35;973756;0
28.08.2025;16:15;136.00;136.80;135.50;136.80;136.15;8699172;0
28.08.2025;16:30;136.60;137.20;136.30;136.60;136.75;5933388;0
28.08.2025;16:45;136.50;136.80;135.30;136.50;136.05;13645749;0
28.08.2025;17:00;136.40;136.50;136.00;136.00;136.25;8323727;0
28.08.2025;17:15;136.00;136.30;135.60;135.80;135.95;1429905;0
28.08.2025;17:30;135.60;136.80;135.20;136.30;136.00;7322587;0
28.08.2025;17:45;136.30;136.40;135.80;136.20;136.10;4257519;0
28.08.2025;18:00;136.10;136.80;135.70;136.80;136.25;1270005;0
29.08.2025;10:00;136.90;137.20;136.00;136.20;136.60;2333423;0
29.08.2025;10:15;136.30;136.60;136.10;136.20;136.35;798638;0
29.08.2025;10:30;136.30;136.50;135.60;136.20;136.05;1447422;0
29.08.2025;10:45;136.10;137.00;135.80;135.90;136.40;2158853;0
29.08.2025;11:00;136.00;136.30;135.90;136.00;136.10;716756;0
29.08.2025;11:15;136.00;136.90;135.30;135.40;136.10;2897811;0
29.08.2025;11:30;135.60;135.60;134.90;135.20;135.25;1499444;0
29.08.2025;11:45;135.10;135.40;134.60;134.60;135.00;1715638;0
29.08.2025;12:00;134.60;135.80;134.30;134.50;135.05;2886286;0
29.08.2025;12:15;134.40;134.50;134.00;134.30;134.25;1646150;0
29.08.2025;12:30;134.30;135.10;134.10;135.00;134.60;2288365;0
29.08.2025;12:45;135.00;135.70;134.70;134.70;135.20;1153164;0
29.08.2025;13:00;134.70;134.70;134.10;134.40;134.40;2159917;0
29.08.2025;13:15;134.40;134.40;133.20;133.60;133.80;3521516;0
29.08.2025;13:30;133.60;133.60;132.00;132.90;132.80;8555191;0
29.08.2025;13:45;132.90;132.90;132.20;132.60;132.55;5036557;0
29.08.2025;14:00;132.60;132.90;132.30;132.50;132.60;3224553;0
29.08.2025;14:15;132.50;132.90;132.20;132.50;132.55;4934743;0
29.08.2025;14:30;132.50;132.80;132.50;132.70;132.65;2003147;0
29.08.2025;14:45;132.70;132.80;132.40;132.40;132.60;1645885;0
29.08.2025;15:00;132.40;132.70;132.40;132.50;132.55;1883966;0
29.08.2025;15:15;132.50;132.50;132.20;132.50;132.35;1510660;0
29.08.2025;15:30;132.50;133.00;132.40;132.70;132.70;2011264;0
29.08.2025;15:45;132.60;132.70;132.40;132.50;132.55;1786553;0
29.08.2025;16:00;132.50;132.80;132.40;132.70;132.60;587544;0
29.08.2025;16:15;132.70;133.00;132.50;132.70;132.75;1941694;0
29.08.2025;16:30;132.70;133.10;132.70;133.00;132.90;2611375;0
29.08.2025;16:45;133.00;133.30;132.90;133.10;133.10;1865031;0
29.08.2025;17:00;133.10;133.50;132.90;133.20;133.20;3068073;0
29.08.2025;17:15;133.20;133.60;132.90;133.30;133.25;5089709;0
29.08.2025;17:30;133.30;133.30;132.80;132.90;133.05;4604474;0
29.08.2025;17:45;133.00;133.00;132.70;132.80;132.85;5260082;0
29.08.2025;18:00;132.90;132.90;132.60;132.60;132.75;3414870;0
30.08.2025;10:00;133.30;133.40;132.90;133.30;133.15;3290069;0
30.08.2025;10:15;133.20;133.30;132.80;133.00;133.05;3391988;0
30.08.2025;10:30;133.00;133.20;132.90;133.10;133.05;1442817;0
30.08.2025;10:45;133.10;133.20;132.90;133.10;133.05;2240333;0
30.08.2025;11:00;133.10;133.40;133.10;133.20;133.25;1076186;0
30.08.2025;11:15;133.20;133.30;133.10;133.10;133.20;2197322;0
30.08.2025;11:30;133.10;133.20;133.00;133.10;133.10;1635359;0
30.08.2025;11:45;133.10;133.20;133.00;133.00;133.10;1436873;0
30.08.2025;12:00;133.00;134.40;132.90;134.20;133.65;8358364;0
30.08.2025;12:15;134.20;134.40;134.00;134.10;134.20;4374350;0
30.08.2025;12:30;134.10;134.20;133.90;134.10;134.05;1108502;0
30.08.2025;12:45;134.20;134.30;134.10;134.20;134.20;836347;0
30.08.2025;13:00;134.20;135.10;133.90;135.10;134.50;4276742;0
30.08.2025;13:15;135.10;135.50;134.50;134.70;135.00;11526210;0
30.08.2025;13:30;134.60;134.60;134.30;134.30;134.45;626832;0
30.08.2025;13:45;134.30;134.60;134.30;134.60;134.45;970064;0
30.08.2025;14:00;134.50;134.80;134.10;134.30;134.45;4036508;0
30.08.2025;14:15;134.30;134.80;134.30;134.50;134.55;2105574;0
30.08.2025;14:30;134.50;134.70;133.80;134.00;134.25;3062872;0
30.08.2025;14:45;134.00;134.10;133.70;134.10;133.90;2234237;0
30.08.2025;15:00;134.00;134.20;133.80;134.00;134.00;434201;0
30.08.2025;15:15;134.00;134.00;133.70;133.80;133.85;1327563;0
30.08.2025;15:30;133.80;134.10;133.50;134.00;133.80;2140889;0
30.08.2025;15:45;134.00;134.10;133.90;133.90;134.00;917848;0
30.08.2025;16:00;133.90;134.20;133.90;134.00;134.05;1130580;0
30.08.2025;16:15;133.90;134.30;133.80;134.10;134.05;2851933;0
30.08.2025;16:30;134.10;134.20;133.50;133.60;133.85;3385047;0
30.08.2025;16:45;133.60;133.70;133.30;133.50;133.50;939920;0
30.08.2025;17:00;133.40;133.60;133.30;133.50;133.45;1399585;0
30.08.2025;17:15;133.40;133.40;132.20;132.20;132.80;11955493;0
30.08.2025;17:30;132.30;132.40;131.40;131.60;131.90;5583646;0
30.08.2025;17:45;131.70;131.90;131.30;131.70;131.60;2542245;0
30.08.2025;18:00;131.70;131.80;131.20;131.80;131.50;2296645;0
31.08.2025;10:00;131.80;131.90;130.80;131.00;131.35;3747038;0
31.08.2025;10:15;130.90;131.10;130.00;130.60;130.55;2909400;0
31.08.2025;10:30;130.60;131.00;130.50;130.60;130.75;1346652;0
31.08.2025;10:45;130.50;130.80;130.40;130.80;130.60;1004312;0
31.08.2025;11:00;130.80;130.90;130.60;130.70;130.75;883392;0
31.08.2025;11:15;130.70;130.70;130.30;130.50;130.50;799883;0
31.08.2025;11:30;130.40;130.50;130.30;130.40;130.40;247610;0
31.08.2025;11:45;130.40;130.40;129.90;130.30;130.15;2290741;0
31.08.2025;12:00;130.20;130.30;129.60;130.10;129.95;1346418;0
31.08.2025;12:15;129.90;130.10;129.80;130.00;129.95;684486;0
31.08.2025;12:30;130.10;130.20;129.70;129.70;129.95;1383542;0
31.08.2025;12:45;129.80;129.80;129.50;129.60;129.65;715606;0
31.08.2025;13:00;129.60;130.80;129.60;129.90;130.20;2917771;0
31.08.2025;13:15;130.00;130.20;129.90;130.00;130.05;366683;0
31.08.2025;13:30;130.10;130.30;130.10;130.30;130.20;253084;0
