Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;6.41;6.41;6.38;6.39;6.39;4667902;0
24.08.2025;11:30;6.40;6.41;6.40;6.40;6.40;395719;0
24.08.2025;11:45;6.40;6.42;6.40;6.41;6.41;1492476;0
24.08.2025;12:00;6.41;6.42;6.40;6.42;6.41;556872;0
24.08.2025;12:15;6.42;6.42;6.40;6.41;6.41;344670;0
24.08.2025;12:30;6.41;6.41;6.39;6.39;6.40;336460;0
24.08.2025;12:45;6.39;6.40;6.39;6.39;6.39;249013;0
24.08.2025;13:00;6.39;6.41;6.39;6.41;6.40;105666;0
24.08.2025;13:15;6.40;6.41;6.39;6.40;6.40;310218;0
24.08.2025;13:30;6.41;6.41;6.39;6.39;6.40;809047;0
24.08.2025;13:45;6.39;6.40;6.39;6.40;6.39;359322;0
24.08.2025;14:00;6.40;6.40;6.37;6.39;6.38;1484126;0
24.08.2025;14:15;6.38;6.39;6.37;6.37;6.38;113470;0
24.08.2025;14:30;6.38;6.39;6.37;6.38;6.38;371376;0
24.08.2025;14:45;6.38;6.39;6.36;6.37;6.38;425243;0
24.08.2025;15:00;6.37;6.37;6.36;6.37;6.37;745064;0
24.08.2025;15:15;6.38;6.38;6.36;6.38;6.37;259331;0
24.08.2025;15:30;6.38;6.41;6.37;6.39;6.39;819491;0
24.08.2025;15:45;6.39;6.40;6.38;6.39;6.39;304536;0
24.08.2025;16:00;6.39;6.40;6.38;6.39;6.39;452918;0
24.08.2025;16:15;6.38;6.39;6.38;6.39;6.38;285962;0
24.08.2025;16:30;6.39;6.39;6.38;6.39;6.38;365066;0
24.08.2025;16:45;6.39;6.43;6.37;6.42;6.40;7786222;0
24.08.2025;17:00;6.42;6.43;6.40;6.41;6.41;2745579;0
24.08.2025;17:15;6.41;6.42;6.38;6.39;6.40;1571361;0
24.08.2025;17:30;6.39;6.39;6.36;6.37;6.38;834648;0
24.08.2025;17:45;6.38;6.38;6.35;6.36;6.37;1186053;0
24.08.2025;18:00;6.37;6.37;6.34;6.34;6.36;1360181;0
27.08.2025;10:00;6.28;6.29;6.22;6.28;6.25;2088094;0
27.08.2025;10:15;6.29;6.29;6.26;6.28;6.28;1311517;0
27.08.2025;10:30;6.28;6.28;6.26;6.27;6.27;1354513;0
27.08.2025;10:45;6.27;6.27;6.25;6.26;6.26;1799919;0
27.08.2025;11:00;6.26;6.28;6.25;6.27;6.27;1942508;0
27.08.2025;11:15;6.28;6.28;6.26;6.27;6.27;266305;0
27.08.2025;11:30;6.27;6.27;6.25;6.26;6.26;409817;0
27.08.2025;11:45;6.27;6.27;6.24;6.25;6.25;604149;0
27.08.2025;12:00;6.24;6.25;6.23;6.25;6.24;560272;0
27.08.2025;12:15;6.24;6.26;6.24;6.25;6.25;263733;0
