Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;36.84;36.86;36.62;36.64;36.74;12894493;0
24.08.2025;11:30;36.64;36.72;36.60;36.68;36.66;7200273;0
24.08.2025;11:45;36.68;36.84;36.50;36.68;36.67;16891872;0
24.08.2025;12:00;36.68;36.68;36.42;36.62;36.55;10969287;0
24.08.2025;12:15;36.62;36.62;36.46;36.58;36.54;4061637;0
24.08.2025;12:30;36.58;36.62;36.52;36.52;36.57;1535026;0
24.08.2025;12:45;36.52;36.56;36.50;36.56;36.53;1093045;0
24.08.2025;13:00;36.52;36.56;36.44;36.50;36.50;6466883;0
24.08.2025;13:15;36.50;36.64;36.50;36.58;36.57;5582638;0
24.08.2025;13:30;36.58;36.64;36.58;36.58;36.61;1664898;0
24.08.2025;13:45;36.60;36.64;36.54;36.60;36.59;3302191;0
24.08.2025;14:00;36.58;36.58;36.02;36.20;36.30;44262439;0
24.08.2025;14:15;36.20;36.28;36.18;36.22;36.23;3279988;0
24.08.2025;14:30;36.22;36.40;36.22;36.32;36.31;2076434;0
24.08.2025;14:45;36.32;36.36;36.28;36.30;36.32;2344099;0
24.08.2025;15:00;36.30;36.54;36.28;36.48;36.41;8438701;0
24.08.2025;15:15;36.50;36.58;36.36;36.44;36.47;2834034;0
24.08.2025;15:30;36.44;36.58;36.44;36.50;36.51;7216816;0
24.08.2025;15:45;36.48;36.56;36.44;36.54;36.50;3062650;0
24.08.2025;16:00;36.54;36.60;36.48;36.50;36.54;2350276;0
24.08.2025;16:15;36.50;36.56;36.46;36.54;36.51;1766750;0
24.08.2025;16:30;36.52;36.56;36.48;36.50;36.52;1966640;0
24.08.2025;16:45;36.54;37.00;36.42;36.78;36.71;15661405;0
24.08.2025;17:00;36.78;36.90;36.66;36.72;36.78;8924065;0
24.08.2025;17:15;36.70;36.80;36.60;36.68;36.70;4454201;0
24.08.2025;17:30;36.64;36.72;36.46;36.56;36.59;5759945;0
24.08.2025;17:45;36.52;36.60;36.40;36.46;36.50;7568494;0
24.08.2025;18:00;36.44;36.48;36.36;36.36;36.42;7544072;0
27.08.2025;10:00;35.90;35.90;35.36;35.84;35.63;14107680;0
27.08.2025;10:15;35.84;36.00;35.70;35.78;35.85;9583770;0
27.08.2025;10:30;35.76;35.86;35.62;35.70;35.74;5007597;0
27.08.2025;10:45;35.70;35.74;35.54;35.62;35.64;3030969;0
27.08.2025;11:00;35.62;35.76;35.50;35.74;35.63;5197304;0
27.08.2025;11:15;35.74;35.86;35.70;35.86;35.78;3532749;0
27.08.2025;11:30;35.84;35.94;35.80;35.82;35.87;2522670;0
27.08.2025;11:45;35.82;35.84;35.74;35.78;35.79;1013609;0
27.08.2025;12:00;35.76;35.82;35.74;35.74;35.78;635105;0
27.08.2025;12:15;35.78;35.88;35.74;35.88;35.81;868613;0
27.08.2025;12:30;35.86;35.90;35.78;35.88;35.84;588267;0
27.08.2025;12:45;35.86;36.08;35.82;36.04;35.95;3793286;0
27.08.2025;13:00;36.04;36.26;35.94;36.06;36.10;3983325;0
27.08.2025;13:15;36.06;36.10;35.96;35.98;36.03;2301239;0
27.08.2025;13:30;35.96;36.08;35.94;36.04;36.01;1225296;0
27.08.2025;13:45;36.00;36.12;35.88;36.00;36.00;2992187;0
27.08.2025;14:00;36.00;36.10;35.96;36.10;36.03;2126816;0
27.08.2025;14:15;36.10;36.12;35.92;35.96;36.02;1618038;0
27.08.2025;14:30;35.96;36.06;35.86;35.92;35.96;3265417;0
27.08.2025;14:45;35.90;35.94;35.82;35.90;35.88;1895724;0
27.08.2025;15:00;35.90;36.00;35.88;35.96;35.94;1283212;0
27.08.2025;15:15;35.96;36.12;35.92;36.04;36.02;2921088;0
27.08.2025;15:30;36.04;36.06;35.98;35.98;36.02;1392971;0
27.08.2025;15:45;36.00;36.00;35.74;35.84;35.87;5842522;0
27.08.2025;16:00;35.80;35.94;35.78;35.88;35.86;2344649;0
27.08.2025;16:15;35.88;36.02;35.86;36.00;35.94;1860310;0
27.08.2025;16:30;36.02;36.02;35.90;35.90;35.96;881696;0
27.08.2025;16:45;35.92;36.00;35.86;35.96;35.93;1635584;0
27.08.2025;17:00;35.96;36.00;35.84;35.84;35.92;1812205;0
27.08.2025;17:15;35.92;36.10;35.88;36.00;35.99;6014027;0
27.08.2025;17:30;36.00;36.00;35.80;35.86;35.90;3861868;0
27.08.2025;17:45;35.84;35.86;35.64;35.70;35.75;5716627;0
27.08.2025;18:00;35.70;35.72;35.66;35.66;35.69;3347625;0
28.08.2025;10:00;35.70;36.10;35.70;36.02;35.90;6601455;0
28.08.2025;10:15;36.02;36.50;35.88;36.24;36.19;11718244;0
28.08.2025;10:30;36.26;36.26;36.08;36.22;36.17;3519907;0
28.08.2025;10:45;36.22;36.24;36.02;36.04;36.13;4591506;0
