Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;18:05;17.61;17.61;17.61;17.61;17.61;267672;0
27.02.2024;09:05;17.63;17.63;17.63;17.63;17.63;7528;0
27.02.2024;10:05;17.81;18.50;17.64;18.05;18.07;3600268;0
27.02.2024;11:05;18.04;18.05;17.87;18.00;17.96;1023370;0
27.02.2024;12:05;18.00;18.16;17.96;18.00;18.06;605693;0
27.02.2024;13:05;18.00;18.16;17.76;17.92;17.96;1246022;0
27.02.2024;14:05;17.92;18.03;17.88;17.95;17.95;251553;0
27.02.2024;15:05;18.03;18.10;17.95;18.02;18.03;358036;0
27.02.2024;16:05;18.02;18.08;17.96;18.04;18.02;464030;0
27.02.2024;17:05;18.03;18.41;18.03;18.25;18.22;3650068;0
27.02.2024;18:05;18.25;18.25;18.25;18.25;18.25;296252;0
01.03.2024;09:05;18.26;18.26;18.26;18.26;18.26;75523;0
01.03.2024;10:05;18.39;19.28;18.22;19.25;18.75;5457441;0
01.03.2024;11:05;19.25;20.00;19.25;19.96;19.62;9969801;0
01.03.2024;12:05;19.90;20.06;19.80;20.00;19.93;10653630;0
01.03.2024;13:05;20.00;20.06;19.85;20.06;19.95;5498209;0
01.03.2024;14:05;20.06;20.06;20.00;20.06;20.03;1901333;0
01.03.2024;15:05;20.06;20.06;20.06;20.06;20.06;510005;0
01.03.2024;16:05;20.06;20.06;20.06;20.06;20.06;264872;0
01.03.2024;17:05;20.06;20.06;20.06;20.06;20.06;128143;0
01.03.2024;18:05;20.06;20.06;20.06;20.06;20.06;421;0
02.03.2024;09:05;20.30;20.30;20.30;20.30;20.30;330484;0
02.03.2024;10:05;20.30;22.00;20.06;21.54;21.03;21365250;0
02.03.2024;11:05;21.56;21.86;21.28;21.66;21.57;9319461;0
02.03.2024;12:05;21.66;21.82;21.54;21.56;21.68;3209080;0
08.03.2024;09:05;21.54;21.54;21.54;21.54;21.54;1220090;0
08.03.2024;10:05;21.52;22.18;20.70;21.14;21.44;19145760;0
08.03.2024;11:05;21.14;21.30;20.90;20.90;21.10;4760031;0
08.03.2024;12:05;20.92;21.00;20.70;20.78;20.85;3055314;0
08.03.2024;13:05;20.80;21.32;20.70;20.94;21.01;7158092;0
08.03.2024;14:05;20.94;21.28;20.86;21.06;21.07;1139948;0
08.03.2024;15:05;21.06;21.06;20.86;20.98;20.96;940766;0
08.03.2024;16:05;20.98;21.06;20.88;21.00;20.97;1096337;0
08.03.2024;17:05;21.00;21.84;20.66;21.46;21.25;7763494;0
08.03.2024;18:05;21.50;21.50;21.50;21.50;21.50;162454;0
09.03.2024;09:05;21.30;21.30;21.30;21.30;21.30;75700;0
09.03.2024;10:05;21.28;21.44;20.74;20.98;21.09;5183039;0
09.03.2024;11:05;20.90;21.04;20.86;21.00;20.95;1075130;0
09.03.2024;12:05;21.04;21.04;20.78;21.02;20.91;3590461;0
09.03.2024;13:05;21.02;21.02;20.80;20.90;20.91;884083;0
09.03.2024;14:05;20.88;21.14;20.84;21.12;20.99;1430043;0
09.03.2024;15:05;21.10;21.10;20.76;20.82;20.93;1769761;0
09.03.2024;16:05;20.82;20.84;20.60;20.78;20.72;2259738;0
09.03.2024;17:05;20.80;21.00;20.24;20.24;20.62;4149531;0
09.03.2024;18:05;20.16;20.16;20.16;20.16;20.16;113400;0
10.03.2024;09:05;20.16;20.16;20.16;20.16;20.16;81204;0
10.03.2024;10:05;20.16;20.66;20.16;20.40;20.41;4011040;0
10.03.2024;11:05;20.38;20.50;20.26;20.38;20.38;1232867;0
10.03.2024;12:05;20.36;20.60;20.30;20.48;20.45;1734425;0
10.03.2024;13:05;20.52;20.70;20.50;20.52;20.60;1216402;0
10.03.2024;14:05;20.50;20.90;20.46;20.68;20.68;2438239;0
10.03.2024;15:05;20.68;21.24;20.56;21.20;20.90;4839808;0
10.03.2024;16:05;21.14;21.78;21.06;21.70;21.42;7279862;0
10.03.2024;17:05;21.70;22.16;21.56;22.16;21.86;29081770;0
10.03.2024;18:05;22.16;22.16;22.16;22.16;22.16;370737;0
11.03.2024;09:05;22.16;22.16;22.16;22.16;22.16;1271076;0
11.03.2024;10:05;22.16;22.16;21.06;21.06;21.61;17937250;0
11.03.2024;11:05;21.00;21.22;20.66;21.04;20.94;10419840;0
11.03.2024;12:05;21.04;21.30;20.96;21.02;21.13;3445026;0
11.03.2024;13:05;21.08;21.24;21.04;21.08;21.14;1901572;0
11.03.2024;14:05;21.08;21.20;20.94;21.00;21.07;4390229;0
11.03.2024;15:05;21.00;21.00;20.74;20.80;20.87;3169300;0
11.03.2024;16:05;20.80;20.90;20.62;20.70;20.76;3136153;0
11.03.2024;17:05;20.70;20.88;20.56;20.72;20.72;4851630;0
11.03.2024;18:05;20.62;20.62;20.62;20.62;20.62;463187;0
12.03.2024;09:05;20.58;20.58;20.58;20.58;20.58;257929;0
12.03.2024;10:05;20.56;21.50;20.40;21.00;20.95;10743050;0
12.03.2024;11:05;20.98;21.10;20.84;21.04;20.97;2417639;0
12.03.2024;12:05;21.04;21.26;20.96;21.00;21.11;2838724;0
12.03.2024;13:05;21.00;21.08;20.78;20.78;20.93;1693611;0
12.03.2024;14:05;20.74;20.88;20.48;20.58;20.68;3980150;0
12.03.2024;15:05;20.58;20.70;20.50;20.52;20.60;1737784;0
12.03.2024;16:05;20.52;20.86;20.40;20.74;20.63;3779273;0
12.03.2024;17:05;20.74;20.92;20.62;20.74;20.77;2983819;0
12.03.2024;18:05;20.72;20.72;20.72;20.72;20.72;40321;0
15.03.2024;09:05;20.86;20.86;20.86;20.86;20.86;87320;0
15.03.2024;10:05;20.86;21.36;20.40;20.50;20.88;7981960;0
15.03.2024;11:05;20.50;20.80;20.44;20.64;20.62;3661845;0
15.03.2024;12:05;20.62;20.74;20.58;20.74;20.66;1441101;0
15.03.2024;13:05;20.74;20.76;20.58;20.60;20.67;839717;0
15.03.2024;14:05;20.60;20.68;20.56;20.60;20.62;1391015;0
15.03.2024;15:05;20.66;20.74;20.50;20.62;20.62;1918155;0
15.03.2024;16:05;20.62;20.66;20.54;20.64;20.60;995171;0
15.03.2024;17:05;20.64;20.64;20.36;20.58;20.50;3837629;0
15.03.2024;18:05;20.50;20.50;20.50;20.50;20.50;249895;0
17.03.2024;09:05;20.50;20.50;20.50;20.50;20.50;196616;0
