Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;76.94;77.08;76.80;76.85;76.94;1049725;0
24.08.2025;11:30;76.94;77.08;76.43;76.94;76.75;2984353;0
24.08.2025;11:45;76.94;77.13;76.61;76.61;76.87;2440825;0
24.08.2025;12:00;76.66;76.89;76.43;76.66;76.66;2338848;0
24.08.2025;12:15;76.66;76.80;76.52;76.75;76.66;584089;0
24.08.2025;12:30;76.80;76.80;76.57;76.61;76.68;994751;0
24.08.2025;12:45;76.61;76.71;76.57;76.71;76.64;958918;0
24.08.2025;13:00;76.71;76.80;76.61;76.75;76.71;435209;0
24.08.2025;13:15;76.75;76.80;76.52;76.52;76.66;388027;0
24.08.2025;13:30;76.52;76.71;76.47;76.52;76.59;1100006;0
24.08.2025;13:45;76.52;76.57;76.43;76.57;76.50;730744;0
24.08.2025;14:00;76.52;76.52;76.10;76.33;76.31;2087600;0
24.08.2025;14:15;76.33;76.61;76.24;76.57;76.43;1785586;0
24.08.2025;14:30;76.57;76.66;76.47;76.52;76.57;873418;0
24.08.2025;14:45;76.57;76.61;76.38;76.52;76.50;453642;0
24.08.2025;15:00;76.52;76.61;76.38;76.57;76.50;615783;0
24.08.2025;15:15;76.52;76.57;76.38;76.43;76.47;782866;0
24.08.2025;15:30;76.52;76.61;76.38;76.52;76.50;681874;0
24.08.2025;15:45;76.52;76.52;76.38;76.52;76.45;217652;0
24.08.2025;16:00;76.52;76.80;76.43;76.61;76.61;935459;0
24.08.2025;16:15;76.61;76.61;76.43;76.52;76.52;304885;0
24.08.2025;16:30;76.52;76.61;76.43;76.47;76.52;517497;0
24.08.2025;16:45;76.57;77.41;76.38;77.27;76.89;3399005;0
24.08.2025;17:00;77.36;77.50;76.99;77.17;77.24;4704556;0
24.08.2025;17:15;77.22;77.31;76.57;76.75;76.94;1844772;0
24.08.2025;17:30;76.66;76.80;76.33;76.47;76.57;1849124;0
24.08.2025;17:45;76.38;76.57;75.96;76.01;76.26;2165464;0
24.08.2025;18:00;76.05;76.10;75.26;75.26;75.68;2242972;0
27.08.2025;10:00;74.33;75.12;73.95;74.98;74.54;4526387;0
27.08.2025;10:15;74.98;75.03;74.56;74.79;74.79;3050614;0
27.08.2025;10:30;74.75;75.03;74.56;74.75;74.79;1998905;0
27.08.2025;10:45;74.75;74.89;74.56;74.70;74.72;1284460;0
27.08.2025;11:00;74.70;74.89;74.47;74.89;74.68;1049217;0
27.08.2025;11:15;74.89;74.98;74.75;74.79;74.86;1139214;0
27.08.2025;11:30;74.79;74.84;74.65;74.70;74.75;1500105;0
27.08.2025;11:45;74.70;74.89;74.51;74.89;74.70;1539514;0
27.08.2025;12:00;74.89;74.89;74.56;74.65;74.72;1347964;0
27.08.2025;12:15;74.65;74.84;74.61;74.84;74.72;434461;0
27.08.2025;12:30;74.75;74.84;74.65;74.79;74.75;253221;0
27.08.2025;12:45;74.84;75.45;74.84;75.31;75.14;2772802;0
27.08.2025;13:00;75.35;75.35;74.79;74.89;75.07;770534;0
27.08.2025;13:15;74.89;74.89;74.65;74.65;74.77;642763;0
27.08.2025;13:30;74.75;75.03;74.61;74.98;74.82;2456317;0
27.08.2025;13:45;74.98;74.98;74.70;74.84;74.84;472091;0
27.08.2025;14:00;74.93;75.12;74.89;75.07;75.00;353560;0
27.08.2025;14:15;75.07;75.17;74.70;74.75;74.93;249927;0
27.08.2025;14:30;74.75;74.84;73.95;74.00;74.40;4618111;0
27.08.2025;14:45;74.00;74.19;73.72;73.86;73.95;3131141;0
27.08.2025;15:00;73.86;74.33;73.81;74.33;74.07;1702541;0
27.08.2025;15:15;74.23;74.33;74.09;74.09;74.21;1014085;0
27.08.2025;15:30;74.19;74.28;73.91;73.91;74.09;712880;0
27.08.2025;15:45;73.91;74.28;73.86;74.14;74.07;3463684;0
27.08.2025;16:00;74.19;74.37;74.14;74.28;74.26;620018;0
27.08.2025;16:15;74.28;74.33;74.14;74.33;74.23;481465;0
27.08.2025;16:30;74.28;74.33;74.09;74.28;74.21;582536;0
27.08.2025;16:45;74.28;74.51;74.14;74.42;74.33;1240885;0
27.08.2025;17:00;74.42;74.56;74.28;74.47;74.42;668327;0
27.08.2025;17:15;74.42;74.75;74.33;74.61;74.54;2177703;0
27.08.2025;17:30;74.61;74.70;74.42;74.56;74.56;2026315;0
27.08.2025;17:45;74.51;74.70;74.47;74.56;74.58;1151036;0
