Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;178.87;179.17;178.57;178.57;178.87;108415101;0
24.08.2025;11:30;178.67;179.47;178.67;178.97;179.07;139376853;0
24.08.2025;11:45;178.87;178.97;178.47;178.67;178.72;111827263;0
24.08.2025;12:00;178.57;178.67;177.37;177.67;178.02;165136161;0
24.08.2025;12:15;177.67;177.77;177.27;177.47;177.52;106525129;0
24.08.2025;12:30;177.57;177.67;177.27;177.27;177.47;77686159;0
24.08.2025;12:45;177.37;177.77;177.27;177.47;177.52;32933421;0
24.08.2025;13:00;177.47;177.47;177.08;177.47;177.27;78607127;0
24.08.2025;13:15;177.57;177.57;177.37;177.47;177.47;22716543;0
24.08.2025;13:30;177.47;177.47;177.27;177.37;177.37;14653609;0
24.08.2025;13:45;177.37;177.47;177.17;177.27;177.32;25371178;0
24.08.2025;14:00;177.27;177.27;176.68;176.68;176.98;84837308;0
24.08.2025;14:15;176.78;176.88;176.08;176.38;176.48;90277286;0
24.08.2025;14:30;176.38;176.78;176.18;176.68;176.48;91632117;0
24.08.2025;14:45;176.68;176.88;175.98;176.18;176.43;99209930;0
24.08.2025;15:00;176.18;176.18;175.68;175.98;175.93;79231068;0
24.08.2025;15:15;175.88;176.78;175.78;176.78;176.28;109069220;0
24.08.2025;15:30;176.78;176.88;176.38;176.78;176.63;60530560;0
24.08.2025;15:45;176.78;176.78;176.18;176.68;176.48;48526094;0
24.08.2025;16:00;176.68;176.88;176.28;176.58;176.58;63630475;0
24.08.2025;16:15;176.58;177.08;176.38;177.08;176.73;85813331;0
24.08.2025;16:30;177.08;177.17;176.58;176.58;176.88;50421427;0
24.08.2025;16:45;176.68;179.17;176.28;178.77;177.72;416635372;0
24.08.2025;17:00;178.77;179.07;177.67;177.87;178.37;225823062;0
24.08.2025;17:15;177.97;178.07;176.38;176.58;177.22;105979371;0
24.08.2025;17:30;176.58;176.58;175.78;176.38;176.18;214216294;0
24.08.2025;17:45;176.28;176.68;174.78;175.38;175.73;316577825;0
24.08.2025;18:00;175.38;175.88;174.78;174.78;175.33;240226285;0
27.08.2025;10:00;173.58;175.38;171.78;175.28;173.58;372970090;0
27.08.2025;10:15;175.28;175.28;173.88;173.98;174.58;207241140;0
27.08.2025;10:30;173.88;174.58;173.58;174.28;174.08;130677458;0
27.08.2025;10:45;174.18;174.48;173.78;173.88;174.13;47312154;0
27.08.2025;11:00;173.88;174.18;173.58;173.98;173.88;59953348;0
27.08.2025;11:15;173.98;175.18;173.68;174.38;174.43;158422635;0
27.08.2025;11:30;174.38;174.48;173.88;174.08;174.18;41502869;0
27.08.2025;11:45;174.18;174.18;173.68;173.78;173.93;38934234;0
27.08.2025;12:00;173.68;173.78;172.98;173.18;173.38;69769316;0
