Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;133.20;133.40;132.00;132.30;132.70;9334182;0
24.08.2025;11:30;132.50;132.90;132.30;132.90;132.60;3253491;0
24.08.2025;11:45;132.90;133.90;132.50;132.50;133.20;4272607;0
24.08.2025;12:00;132.50;132.90;132.00;132.40;132.45;2378704;0
24.08.2025;12:15;132.30;132.60;132.10;132.20;132.35;712269;0
24.08.2025;12:30;132.20;132.50;131.80;132.10;132.15;2443072;0
24.08.2025;12:45;132.00;132.00;131.30;131.70;131.65;5572205;0
24.08.2025;13:00;131.80;132.00;131.50;131.80;131.75;3126789;0
24.08.2025;13:15;131.90;132.20;131.40;131.40;131.80;2463037;0
24.08.2025;13:30;131.50;132.00;131.20;131.70;131.60;2218414;0
24.08.2025;13:45;131.80;131.90;131.30;131.60;131.60;1532754;0
24.08.2025;14:00;131.60;131.60;130.70;130.90;131.15;3854958;0
24.08.2025;14:15;130.90;131.30;130.70;131.20;131.00;2498881;0
24.08.2025;14:30;131.10;131.30;131.00;131.00;131.15;1028091;0
24.08.2025;14:45;131.10;131.20;130.10;130.10;130.65;4493781;0
24.08.2025;15:00;130.20;130.70;129.80;130.40;130.25;3419407;0
24.08.2025;15:15;130.40;130.40;129.90;130.20;130.15;2800752;0
24.08.2025;15:30;130.00;130.60;129.90;130.20;130.25;2942159;0
24.08.2025;15:45;130.40;130.40;129.50;129.80;129.95;3960119;0
24.08.2025;16:00;129.80;131.00;129.70;130.40;130.35;4765788;0
24.08.2025;16:15;130.50;130.50;129.80;130.30;130.15;3171744;0
24.08.2025;16:30;130.30;130.60;130.00;130.20;130.30;4166316;0
24.08.2025;16:45;130.20;132.20;129.70;131.50;130.95;9866624;0
24.08.2025;17:00;131.50;132.10;131.20;131.40;131.65;10131461;0
24.08.2025;17:15;131.60;131.80;130.80;131.20;131.30;4967541;0
24.08.2025;17:30;131.20;131.40;129.80;130.20;130.60;8716112;0
24.08.2025;17:45;130.10;130.30;128.90;129.50;129.60;10302638;0
24.08.2025;18:00;129.50;129.60;128.20;128.20;128.90;7713749;0
27.08.2025;10:00;125.00;126.60;124.00;126.30;125.30;20050237;0
27.08.2025;10:15;126.40;129.00;125.60;128.70;127.30;14150444;0
27.08.2025;10:30;128.70;128.90;127.10;127.60;128.00;5122000;0
27.08.2025;10:45;127.50;128.70;127.40;128.30;128.05;3800662;0
27.08.2025;11:00;128.30;129.20;127.00;128.60;128.10;5026535;0
27.08.2025;11:15;128.50;130.00;127.90;128.20;128.95;3791659;0
27.08.2025;11:30;128.40;129.10;128.20;128.70;128.65;2515253;0
27.08.2025;11:45;128.70;128.80;128.10;128.30;128.45;2101376;0
27.08.2025;12:00;128.30;129.00;128.10;128.80;128.55;1793295;0
27.08.2025;12:15;128.80;132.00;128.40;130.10;130.20;8301289;0
27.08.2025;12:30;130.10;130.10;128.70;129.00;129.40;3076756;0
27.08.2025;12:45;129.20;129.70;128.90;129.20;129.30;2131952;0
27.08.2025;13:00;129.40;130.10;128.90;129.00;129.50;2591421;0
27.08.2025;13:15;129.20;129.20;128.40;128.90;128.80;1781047;0
27.08.2025;13:30;128.80;129.70;128.70;129.10;129.20;1760326;0
27.08.2025;13:45;129.10;130.00;129.00;129.70;129.50;3140379;0
27.08.2025;14:00;129.80;131.40;129.70;130.30;130.55;3794820;0
27.08.2025;14:15;130.30;130.60;129.60;129.90;130.10;2734147;0
27.08.2025;14:30;129.90;130.50;129.20;129.20;129.85;2196427;0
27.08.2025;14:45;129.20;129.50;128.60;128.70;129.05;3323250;0
27.08.2025;15:00;128.70;129.50;128.70;129.00;129.10;3833751;0
27.08.2025;15:15;129.00;129.90;128.20;129.00;129.05;4763729;0
27.08.2025;15:30;129.00;129.40;128.40;128.80;128.90;1710977;0
27.08.2025;15:45;128.70;128.90;127.60;128.80;128.25;2572949;0
27.08.2025;16:00;128.70;129.50;128.60;129.50;129.05;1586114;0
27.08.2025;16:15;129.40;129.70;128.60;129.50;129.15;3436617;0
27.08.2025;16:30;129.50;129.60;129.00;129.20;129.30;986958;0
27.08.2025;16:45;129.20;129.70;129.00;129.40;129.35;1927008;0
