Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
01.08.2023;13:05;89.10;91.00;89.10;90.30;90.05;984401;0
01.08.2023;14:05;89.90;91.30;89.65;90.50;90.48;896288;0
01.08.2023;15:05;90.75;90.75;89.55;89.65;90.15;164143;0
01.08.2023;16:05;89.65;90.90;89.65;90.90;90.28;443671;0
01.08.2023;17:05;91.00;92.40;90.50;91.55;91.45;922032;0
01.08.2023;18:05;90.30;90.30;90.30;90.30;90.30;40454;0
02.08.2023;09:05;90.10;90.10;90.10;90.10;90.10;28742;0
02.08.2023;10:05;90.00;93.30;89.70;92.75;91.50;1423800;0
02.08.2023;11:05;92.75;93.75;92.20;93.05;92.97;867845;0
02.08.2023;12:05;93.20;99.30;93.20;95.35;96.25;13135710;0
02.08.2023;13:05;95.35;95.45;93.30;94.00;94.38;2856331;0
02.08.2023;14:05;94.00;95.05;93.00;93.75;94.03;2593482;0
02.08.2023;15:05;93.55;94.25;92.50;92.65;93.38;1545190;0
02.08.2023;16:05;93.15;94.40;92.85;93.20;93.62;3378354;0
02.08.2023;17:05;92.75;93.50;90.25;93.35;91.88;3213949;0
02.08.2023;18:05;93.75;93.75;93.75;93.75;93.75;15375;0
03.08.2023;09:05;90.00;90.00;90.00;90.00;90.00;90900;0
03.08.2023;10:05;89.80;94.70;89.40;93.85;92.05;1857488;0
03.08.2023;11:05;93.85;93.85;93.40;93.60;93.62;565531;0
03.08.2023;12:05;93.50;93.60;91.45;91.90;92.52;543230;0
03.08.2023;13:05;91.90;92.45;90.00;92.05;91.22;1171884;0
03.08.2023;14:05;92.15;96.80;92.00;95.00;94.40;1808072;0
03.08.2023;15:05;95.00;95.80;94.30;95.70;95.05;690525;0
03.08.2023;16:05;95.90;95.95;94.05;95.30;95.00;1482905;0
03.08.2023;17:05;95.30;97.05;95.20;96.10;96.12;1397756;0
03.08.2023;18:05;96.25;96.25;96.25;96.25;96.25;96250;0
04.08.2023;09:05;97.05;97.05;97.05;97.05;97.05;3785;0
04.08.2023;10:05;97.00;97.00;93.50;95.25;95.25;1113855;0
04.08.2023;11:05;95.25;96.40;94.95;95.80;95.67;1510593;0
04.08.2023;12:05;95.80;96.40;95.30;95.95;95.85;919115;0
04.08.2023;13:05;95.80;96.00;94.90;95.25;95.45;618972;0
04.08.2023;14:05;95.05;95.25;94.50;95.00;94.88;873553;0
04.08.2023;15:05;94.85;95.65;93.00;94.90;94.33;1209016;0
04.08.2023;16:05;94.90;95.95;94.50;95.05;95.22;775689;0
04.08.2023;17:05;94.70;97.00;93.00;95.20;95.00;3337819;0
04.08.2023;18:05;95.00;95.00;95.00;95.00;95.00;76475;0
07.08.2023;09:05;95.10;95.10;95.10;95.10;95.10;28815;0
07.08.2023;10:05;95.10;96.25;90.70;94.75;93.47;2675157;0
07.08.2023;11:05;94.65;97.50;94.15;96.50;95.83;1922785;0
07.08.2023;12:05;96.30;99.00;95.35;98.35;97.17;2688017;0
07.08.2023;13:05;98.25;98.90;97.05;97.60;97.98;1526697;0
07.08.2023;14:05;97.70;98.45;97.10;97.90;97.77;1046051;0
07.08.2023;15:05;97.90;97.95;96.60;96.95;97.27;624795;0
07.08.2023;16:05;96.95;98.05;96.65;97.35;97.35;681167;0
07.08.2023;17:05;97.35;97.50;96.60;97.00;97.05;1036978;0
07.08.2023;18:05;97.00;97.00;97.00;97.00;97.00;68773;0
08.08.2023;09:05;97.00;97.00;97.00;97.00;97.00;97582;0
08.08.2023;10:05;97.00;98.15;95.10;96.20;96.62;2053941;0
08.08.2023;11:05;96.20;97.00;96.00;97.00;96.50;481621;0
08.08.2023;12:05;96.60;97.00;95.25;95.70;96.12;1230102;0
08.08.2023;13:05;96.25;96.70;95.70;96.20;96.20;787930;0
08.08.2023;14:05;96.20;96.40;94.60;95.65;95.50;1173751;0
08.08.2023;15:05;95.65;96.35;95.50;96.25;95.92;1424533;0
