Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;4.35;4.36;4.34;4.35;4.35;460055;0
24.08.2025;11:30;4.35;4.37;4.35;4.35;4.36;308192;0
24.08.2025;11:45;4.35;4.37;4.35;4.35;4.36;298377;0
24.08.2025;12:00;4.35;4.36;4.34;4.35;4.35;577629;0
24.08.2025;12:15;4.35;4.35;4.34;4.35;4.34;165115;0
24.08.2025;12:30;4.35;4.35;4.34;4.34;4.34;382238;0
24.08.2025;12:45;4.34;4.34;4.33;4.33;4.34;162998;0
24.08.2025;13:00;4.33;4.34;4.33;4.34;4.34;335285;0
24.08.2025;13:15;4.34;4.34;4.33;4.33;4.34;160659;0
24.08.2025;13:30;4.33;4.34;4.32;4.33;4.33;424363;0
24.08.2025;13:45;4.33;4.33;4.32;4.32;4.33;258534;0
24.08.2025;14:00;4.33;4.33;4.30;4.30;4.31;938018;0
24.08.2025;14:15;4.31;4.32;4.30;4.32;4.31;519867;0
24.08.2025;14:30;4.32;4.33;4.31;4.31;4.32;249790;0
24.08.2025;14:45;4.32;4.32;4.31;4.31;4.31;148924;0
24.08.2025;15:00;4.31;4.31;4.30;4.31;4.31;546860;0
24.08.2025;15:15;4.31;4.31;4.30;4.31;4.30;694992;0
24.08.2025;15:30;4.31;4.32;4.30;4.32;4.31;456018;0
24.08.2025;15:45;4.32;4.32;4.30;4.32;4.31;618680;0
24.08.2025;16:00;4.32;4.32;4.31;4.32;4.32;424789;0
24.08.2025;16:15;4.32;4.33;4.32;4.32;4.32;776772;0
24.08.2025;16:30;4.32;4.32;4.31;4.31;4.32;465042;0
24.08.2025;16:45;4.31;4.35;4.30;4.34;4.33;1878259;0
24.08.2025;17:00;4.34;4.37;4.34;4.36;4.36;4097619;0
24.08.2025;17:15;4.36;4.37;4.34;4.36;4.36;605606;0
24.08.2025;17:30;4.36;4.36;4.33;4.34;4.34;745279;0
24.08.2025;17:45;4.34;4.34;4.30;4.30;4.32;1001169;0
24.08.2025;18:00;4.30;4.31;4.29;4.29;4.30;1020761;0
27.08.2025;10:00;4.15;4.24;4.13;4.22;4.19;2468566;0
27.08.2025;10:15;4.23;4.23;4.20;4.22;4.21;1652180;0
27.08.2025;10:30;4.21;4.23;4.21;4.21;4.22;1206296;0
27.08.2025;10:45;4.22;4.24;4.21;4.23;4.22;1375566;0
27.08.2025;11:00;4.23;4.25;4.22;4.24;4.23;494335;0
27.08.2025;11:15;4.24;4.33;4.24;4.29;4.29;2941588;0
27.08.2025;11:30;4.29;4.31;4.28;4.29;4.30;2365715;0
27.08.2025;11:45;4.29;4.31;4.27;4.27;4.29;809890;0
27.08.2025;12:00;4.27;4.27;4.24;4.25;4.26;372921;0
27.08.2025;12:15;4.25;4.25;4.24;4.24;4.25;329285;0
27.08.2025;12:30;4.25;4.25;4.24;4.25;4.24;386285;0
27.08.2025;12:45;4.25;4.27;4.25;4.27;4.26;284973;0
27.08.2025;13:00;4.27;4.27;4.26;4.26;4.27;207397;0
27.08.2025;13:15;4.26;4.27;4.24;4.24;4.26;231488;0
27.08.2025;13:30;4.24;4.26;4.24;4.25;4.25;217327;0
27.08.2025;13:45;4.25;4.27;4.24;4.26;4.25;766335;0
27.08.2025;14:00;4.27;4.28;4.25;4.28;4.27;458672;0
27.08.2025;14:15;4.27;4.29;4.25;4.25;4.27;944013;0
27.08.2025;14:30;4.25;4.27;4.23;4.23;4.25;669512;0
27.08.2025;14:45;4.23;4.23;4.21;4.22;4.22;646875;0
27.08.2025;15:00;4.22;4.24;4.21;4.24;4.22;313176;0
27.08.2025;15:15;4.23;4.26;4.23;4.24;4.24;698837;0
27.08.2025;15:30;4.24;4.25;4.22;4.22;4.23;261241;0
27.08.2025;15:45;4.22;4.23;4.20;4.23;4.22;744337;0
27.08.2025;16:00;4.23;4.25;4.23;4.25;4.24;588101;0
27.08.2025;16:15;4.24;4.26;4.24;4.26;4.25;395622;0
27.08.2025;16:30;4.25;4.25;4.23;4.24;4.24;614749;0
27.08.2025;16:45;4.23;4.26;4.23;4.25;4.25;599004;0
27.08.2025;17:00;4.25;4.26;4.24;4.25;4.25;75723;0
27.08.2025;17:15;4.25;4.27;4.25;4.25;4.26;658585;0
27.08.2025;17:30;4.25;4.25;4.24;4.24;4.24;980125;0
27.08.2025;17:45;4.23;4.25;4.21;4.21;4.23;1090643;0
27.08.2025;18:00;4.21;4.22;4.20;4.20;4.21;1159512;0
28.08.2025;10:00;4.21;4.33;4.21;4.27;4.27;2137247;0
28.08.2025;10:15;4.27;4.27;4.23;4.26;4.25;1294544;0
28.08.2025;10:30;4.25;4.26;4.20;4.24;4.23;1931766;0
28.08.2025;10:45;4.24;4.24;4.22;4.22;4.23;618276;0
28.08.2025;11:00;4.22;4.23;4.22;4.22;4.23;878099;0
28.08.2025;11:15;4.23;4.23;4.21;4.22;4.22;614017;0
28.08.2025;11:30;4.21;4.23;4.21;4.22;4.22;176220;0
28.08.2025;11:45;4.22;4.22;4.21;4.21;4.22;309264;0
28.08.2025;12:00;4.22;4.22;4.21;4.22;4.22;341151;0
28.08.2025;12:15;4.22;4.23;4.22;4.22;4.22;82238;0
28.08.2025;12:30;4.22;4.22;4.21;4.22;4.22;711969;0
28.08.2025;12:45;4.21;4.22;4.20;4.21;4.21;842908;0
28.08.2025;13:00;4.21;4.21;4.20;4.20;4.21;216180;0
28.08.2025;13:15;4.21;4.21;4.21;4.21;4.21;292040;0
28.08.2025;13:30;4.21;4.21;4.21;4.21;4.21;404070;0
28.08.2025;13:45;4.21;4.21;4.20;4.20;4.20;1224721;0
28.08.2025;14:00;4.20;4.22;4.20;4.22;4.21;1012744;0
28.08.2025;14:15;4.22;4.22;4.21;4.21;4.21;707468;0
28.08.2025;14:30;4.21;4.22;4.21;4.21;4.21;671642;0
28.08.2025;14:45;4.21;4.22;4.21;4.21;4.22;1006597;0
28.08.2025;15:00;4.22;4.22;4.21;4.22;4.22;625747;0
28.08.2025;15:15;4.22;4.23;4.22;4.23;4.22;885322;0
28.08.2025;15:30;4.23;4.24;4.22;4.22;4.23;955672;0
28.08.2025;15:45;4.22;4.22;4.20;4.21;4.21;1444088;0
28.08.2025;16:00;4.21;4.21;4.20;4.21;4.21;383260;0
28.08.2025;16:15;4.21;4.22;4.19;4.20;4.21;2188303;0
28.08.2025;16:30;4.20;4.21;4.19;4.20;4.20;556167;0
28.08.2025;16:45;4.19;4.21;4.17;4.20;4.19;2984612;0
28.08.2025;17:00;4.20;4.20;4.18;4.20;4.19;1022622;0
28.08.2025;17:15;4.20;4.21;4.20;4.20;4.20;477583;0
28.08.2025;17:30;4.19;4.21;4.19;4.19;4.20;866862;0
28.08.2025;17:45;4.19;4.19;4.18;4.19;4.19;858060;0
28.08.2025;18:00;4.19;4.19;4.17;4.17;4.18;845719;0
29.08.2025;10:00;4.17;4.22;4.17;4.20;4.20;2404052;0
29.08.2025;10:15;4.20;4.20;4.19;4.19;4.20;1188247;0
29.08.2025;10:30;4.19;4.20;4.18;4.19;4.19;296897;0
29.08.2025;10:45;4.19;4.19;4.17;4.17;4.18;1180444;0
29.08.2025;11:00;4.18;4.19;4.18;4.18;4.18;786444;0
29.08.2025;11:15;4.18;4.20;4.18;4.19;4.19;834354;0
29.08.2025;11:30;4.20;4.21;4.19;4.19;4.20;655142;0
29.08.2025;11:45;4.19;4.19;4.18;4.18;4.19;498818;0
29.08.2025;12:00;4.18;4.19;4.17;4.18;4.18;328859;0
29.08.2025;12:15;4.18;4.18;4.17;4.18;4.17;831170;0
29.08.2025;12:30;4.18;4.19;4.17;4.18;4.18;258410;0
29.08.2025;12:45;4.18;4.18;4.16;4.17;4.17;1068720;0
29.08.2025;13:00;4.17;4.18;4.16;4.17;4.17;218991;0
29.08.2025;13:15;4.18;4.18;4.17;4.17;4.18;585770;0
29.08.2025;13:30;4.17;4.18;4.17;4.17;4.17;298055;0
29.08.2025;13:45;4.17;4.18;4.17;4.17;4.17;82332;0
29.08.2025;14:00;4.17;4.17;4.16;4.16;4.17;544454;0
29.08.2025;14:15;4.16;4.17;4.14;4.16;4.16;926883;0
29.08.2025;14:30;4.16;4.17;4.16;4.16;4.16;135932;0
29.08.2025;14:45;4.16;4.16;4.15;4.15;4.15;598156;0
29.08.2025;15:00;4.15;4.16;4.14;4.15;4.15;291272;0
29.08.2025;15:15;4.15;4.15;4.15;4.15;4.15;172619;0
29.08.2025;15:30;4.16;4.16;4.15;4.16;4.16;205331;0
29.08.2025;15:45;4.15;4.16;4.15;4.16;4.15;900523;0
29.08.2025;16:00;4.16;4.16;4.15;4.16;4.15;418611;0
29.08.2025;16:15;4.16;4.16;4.15;4.16;4.16;712011;0
29.08.2025;16:30;4.16;4.18;4.16;4.18;4.17;515654;0
29.08.2025;16:45;4.18;4.18;4.17;4.18;4.18;618564;0
29.08.2025;17:00;4.18;4.18;4.17;4.17;4.17;823526;0
29.08.2025;17:15;4.17;4.17;4.16;4.17;4.17;523394;0
29.08.2025;17:30;4.17;4.17;4.15;4.15;4.16;904059;0
29.08.2025;17:45;4.15;4.16;4.14;4.15;4.15;703760;0
29.08.2025;18:00;4.15;4.16;4.14;4.16;4.15;424361;0
30.08.2025;10:00;4.50;4.57;4.42;4.57;4.50;19914563;0
30.08.2025;10:15;4.57;4.57;4.57;4.57;4.57;3833256;0
30.08.2025;10:30;4.57;4.57;4.57;4.57;4.57;2900111;0
30.08.2025;10:45;4.57;4.57;4.57;4.57;4.57;906261;0
30.08.2025;11:00;4.57;4.57;4.57;4.57;4.57;266090;0
30.08.2025;11:15;4.57;4.57;4.57;4.57;4.57;2112949;0
30.08.2025;11:30;4.57;4.57;4.57;4.57;4.57;355427;0
30.08.2025;11:45;4.57;4.57;4.57;4.57;4.57;357667;0
30.08.2025;12:00;4.57;4.57;4.57;4.57;4.57;340248;0
30.08.2025;12:15;4.57;4.57;4.57;4.57;4.57;568025;0
30.08.2025;12:30;4.57;4.57;4.57;4.57;4.57;140177;0
30.08.2025;12:45;4.57;4.57;4.57;4.57;4.57;118780;0
30.08.2025;13:00;4.57;4.57;4.57;4.57;4.57;17236;0
30.08.2025;13:15;4.57;4.57;4.57;4.57;4.57;191292;0
30.08.2025;13:30;4.57;4.57;4.57;4.57;4.57;216804;0
30.08.2025;13:45;4.57;4.57;4.57;4.57;4.57;45399;0
30.08.2025;14:00;4.57;4.57;4.57;4.57;4.57;175473;0
30.08.2025;14:15;4.57;4.57;4.57;4.57;4.57;215204;0
30.08.2025;14:30;4.57;4.57;4.57;4.57;4.57;589879;0
30.08.2025;14:45;4.57;4.57;4.57;4.57;4.57;790270;0
30.08.2025;15:00;4.57;4.57;4.57;4.57;4.57;203728;0
30.08.2025;15:15;4.57;4.57;4.57;4.57;4.57;5152872;0
30.08.2025;15:30;4.57;4.57;4.57;4.57;4.57;89291;0
30.08.2025;15:45;4.57;4.57;4.57;4.57;4.57;134279;0
30.08.2025;16:00;4.57;4.57;4.57;4.57;4.57;141411;0
30.08.2025;16:15;4.57;4.57;4.57;4.57;4.57;163357;0
30.08.2025;16:30;4.57;4.57;4.57;4.57;4.57;62544;0
30.08.2025;16:45;4.57;4.57;4.57;4.57;4.57;60030;0
30.08.2025;17:00;4.57;4.57;4.57;4.57;4.57;105750;0
30.08.2025;17:15;4.57;4.57;4.57;4.57;4.57;346969;0
30.08.2025;17:30;4.57;4.57;4.57;4.57;4.57;1896877;0
30.08.2025;17:45;4.57;4.57;4.57;4.57;4.57;707837;0
30.08.2025;18:00;4.57;4.57;4.57;4.57;4.57;672861;0
31.08.2025;10:00;4.76;4.93;4.59;4.92;4.76;129656023;0
31.08.2025;10:15;4.91;5.00;4.78;4.87;4.89;69369333;0
31.08.2025;10:30;4.87;4.88;4.72;4.85;4.80;32257528;0
31.08.2025;10:45;4.85;4.89;4.81;4.85;4.85;24863258;0
31.08.2025;11:00;4.85;4.87;4.77;4.80;4.82;15907437;0
31.08.2025;11:15;4.79;4.98;4.79;4.89;4.89;35896781;0
31.08.2025;11:30;4.88;4.94;4.86;4.94;4.90;19198465;0
31.08.2025;11:45;4.94;4.94;4.89;4.90;4.92;12178091;0
31.08.2025;12:00;4.89;4.91;4.89;4.91;4.90;5393651;0
31.08.2025;12:15;4.91;4.91;4.85;4.85;4.88;7494795;0
31.08.2025;12:30;4.85;4.88;4.80;4.83;4.84;15475280;0
31.08.2025;12:45;4.83;4.85;4.81;4.83;4.83;10186659;0
31.08.2025;13:00;4.83;4.86;4.83;4.84;4.84;3831306;0
31.08.2025;13:15;4.85;4.86;4.84;4.85;4.85;3136514;0
31.08.2025;13:30;4.85;4.85;4.81;4.81;4.83;3763544;0
31.08.2025;13:45;4.81;4.83;4.80;4.82;4.82;4873322;0
31.08.2025;14:00;4.82;4.84;4.81;4.83;4.83;3739113;0
31.08.2025;14:15;4.82;4.83;4.80;4.82;4.82;4246233;0
31.08.2025;14:30;4.81;4.82;4.76;4.77;4.79;9919361;0
31.08.2025;14:45;4.77;4.77;4.62;4.68;4.69;26424274;0
31.08.2025;15:00;4.68;4.80;4.62;4.78;4.71;25792756;0
31.08.2025;15:15;4.79;4.81;4.72;4.78;4.76;12801883;0
31.08.2025;15:30;4.77;4.79;4.67;4.72;4.73;11212381;0
31.08.2025;15:45;4.72;4.79;4.68;4.70;4.74;10181610;0
31.08.2025;16:00;4.71;4.76;4.71;4.75;4.74;4057978;0
31.08.2025;16:15;4.75;4.77;4.74;4.76;4.76;4070756;0
31.08.2025;16:30;4.76;4.78;4.75;4.76;4.76;4523399;0
31.08.2025;16:45;4.76;4.77;4.70;4.72;4.73;5727419;0
31.08.2025;17:00;4.73;4.73;4.68;4.69;4.70;5783580;0
31.08.2025;17:15;4.69;4.70;4.60;4.70;4.65;13975519;0
31.08.2025;17:30;4.70;4.74;4.67;4.68;4.70;8230574;0
31.08.2025;17:45;4.68;4.68;4.53;4.53;4.60;16921727;0
31.08.2025;18:00;4.54;4.55;4.50;4.50;4.53;4676950;0
03.09.2025;10:00;4.50;4.53;4.28;4.40;4.40;20774372;0
03.09.2025;10:15;4.40;4.45;4.39;4.41;4.42;8301220;0
03.09.2025;10:30;4.41;4.42;4.32;4.33;4.37;10314383;0
03.09.2025;10:45;4.33;4.36;4.30;4.31;4.33;8431558;0
03.09.2025;11:00;4.32;4.33;4.29;4.33;4.31;8149135;0
03.09.2025;11:15;4.33;4.54;4.32;4.53;4.43;21704242;0
03.09.2025;11:30;4.52;4.61;4.51;4.59;4.56;19075044;0
03.09.2025;11:45;4.59;4.60;4.56;4.58;4.58;10705363;0
03.09.2025;12:00;4.58;4.60;4.58;4.59;4.59;5607996;0
03.09.2025;12:15;4.59;4.60;4.56;4.60;4.58;6774965;0
03.09.2025;12:30;4.60;4.66;4.59;4.62;4.62;6550056;0
03.09.2025;12:45;4.62;4.65;4.61;4.62;4.63;4521353;0
03.09.2025;13:00;4.61;4.62;4.58;4.60;4.60;2571782;0
03.09.2025;13:15;4.60;4.61;4.58;4.61;4.60;2027116;0
03.09.2025;13:30;4.61;4.65;4.60;4.62;4.62;3889755;0
03.09.2025;13:45;4.61;4.61;4.60;4.61;4.61;2198581;0
03.09.2025;14:00;4.61;4.62;4.60;4.61;4.61;1478745;0
03.09.2025;14:15;4.61;4.64;4.61;4.62;4.62;2224068;0
03.09.2025;14:30;4.62;4.62;4.59;4.60;4.61;3366111;0
03.09.2025;14:45;4.60;4.65;4.60;4.63;4.62;4603735;0
03.09.2025;15:00;4.63;4.65;4.61;4.65;4.63;2156202;0
