Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;10:30;28.16;28.32;28.10;28.16;28.21;584377;0
24.08.2025;10:45;28.16;28.20;28.00;28.04;28.10;287836;0
24.08.2025;11:00;28.06;28.08;27.94;27.96;28.01;283079;0
24.08.2025;11:15;27.96;27.96;27.82;27.84;27.89;412388;0
24.08.2025;11:30;27.84;27.92;27.84;27.86;27.88;457861;0
24.08.2025;11:45;27.86;27.90;27.80;27.88;27.85;802462;0
24.08.2025;12:00;27.88;27.88;27.74;27.74;27.81;287358;0
24.08.2025;12:15;27.74;27.76;27.68;27.74;27.72;304459;0
24.08.2025;12:30;27.74;27.74;27.68;27.70;27.71;171279;0
24.08.2025;12:45;27.70;27.74;27.68;27.74;27.71;144593;0
24.08.2025;13:00;27.74;27.74;27.68;27.74;27.71;641774;0
24.08.2025;13:15;27.74;27.76;27.62;27.62;27.69;369546;0
24.08.2025;13:30;27.64;27.66;27.62;27.64;27.64;177872;0
24.08.2025;13:45;27.64;27.70;27.62;27.62;27.66;476166;0
24.08.2025;14:00;27.62;27.64;27.50;27.54;27.57;377085;0
24.08.2025;14:15;27.54;27.56;27.50;27.52;27.53;507093;0
24.08.2025;14:30;27.56;27.56;27.50;27.56;27.53;138684;0
24.08.2025;14:45;27.56;27.58;27.54;27.54;27.56;79751;0
24.08.2025;15:00;27.54;27.54;27.50;27.54;27.52;78804;0
24.08.2025;15:15;27.56;27.62;27.54;27.54;27.58;288496;0
24.08.2025;15:30;27.60;27.60;27.50;27.58;27.55;404318;0
24.08.2025;15:45;27.54;27.56;27.48;27.56;27.52;407306;0
24.08.2025;16:00;27.56;27.60;27.52;27.60;27.56;87174;0
24.08.2025;16:15;27.56;27.58;27.44;27.48;27.51;323136;0
24.08.2025;16:30;27.50;27.52;27.46;27.48;27.49;222668;0
24.08.2025;16:45;27.48;27.70;27.40;27.64;27.55;1072275;0
24.08.2025;17:00;27.68;27.72;27.64;27.64;27.68;519631;0
24.08.2025;17:15;27.62;27.70;27.40;27.54;27.55;988573;0
24.08.2025;17:30;27.52;27.64;27.46;27.52;27.55;236028;0
24.08.2025;17:45;27.48;27.50;27.34;27.38;27.42;827406;0
24.08.2025;18:00;27.38;27.40;27.32;27.32;27.36;719622;0
27.08.2025;10:00;26.64;26.84;26.50;26.64;26.67;1614399;0
27.08.2025;10:15;26.62;26.68;26.60;26.68;26.64;356924;0
27.08.2025;10:30;26.66;26.74;26.64;26.68;26.69;340952;0
27.08.2025;10:45;26.70;26.72;26.62;26.62;26.67;292566;0
27.08.2025;11:00;26.66;26.66;26.50;26.64;26.58;611572;0
27.08.2025;11:15;26.64;26.68;26.62;26.64;26.65;156211;0
27.08.2025;11:30;26.64;26.78;26.64;26.76;26.71;1166678;0
27.08.2025;11:45;26.72;26.78;26.70;26.72;26.74;325735;0
27.08.2025;12:00;26.72;26.74;26.68;26.72;26.71;219646;0
27.08.2025;12:15;26.70;26.80;26.70;26.78;26.75;326262;0
27.08.2025;12:30;26.78;26.78;26.68;26.68;26.73;130912;0
27.08.2025;12:45;26.76;26.82;26.74;26.82;26.78;121230;0
27.08.2025;13:00;26.82;26.82;26.74;26.74;26.78;76672;0
27.08.2025;13:15;26.74;26.80;26.66;26.66;26.73;133023;0
27.08.2025;13:30;26.64;26.70;26.60;26.68;26.65;182870;0
27.08.2025;13:45;26.62;26.66;26.54;26.64;26.60;274462;0
27.08.2025;14:00;26.60;26.68;26.60;26.64;26.64;110784;0
27.08.2025;14:15;26.62;26.72;26.58;26.60;26.65;110583;0
27.08.2025;14:30;26.58;26.70;26.58;26.62;26.64;152361;0
27.08.2025;14:45;26.62;26.68;26.58;26.68;26.63;72492;0
27.08.2025;15:00;26.58;26.68;26.54;26.56;26.61;112531;0
27.08.2025;15:15;26.62;26.68;26.62;26.64;26.65;114689;0
27.08.2025;15:30;26.62;26.66;26.58;26.62;26.62;107004;0
27.08.2025;15:45;26.58;26.60;26.48;26.56;26.54;329214;0
27.08.2025;16:00;26.56;26.64;26.54;26.56;26.59;108747;0
27.08.2025;16:15;26.54;26.70;26.54;26.62;26.62;740087;0
27.08.2025;16:30;26.60;26.64;26.54;26.56;26.59;219977;0
27.08.2025;16:45;26.62;26.68;26.54;26.68;26.61;95575;0
27.08.2025;17:00;26.68;26.74;26.68;26.74;26.71;240743;0
27.08.2025;17:15;26.74;26.78;26.68;26.78;26.73;101271;0
27.08.2025;17:30;26.76;26.76;26.66;26.70;26.71;214908;0
27.08.2025;17:45;26.70;26.70;26.60;26.60;26.65;153372;0
27.08.2025;18:00;26.62;26.66;26.56;26.66;26.61;157883;0
28.08.2025;10:00;26.74;26.92;26.72;26.82;26.82;348379;0
28.08.2025;10:15;26.80;26.96;26.70;26.92;26.83;493525;0
28.08.2025;10:30;26.96;27.02;26.90;26.98;26.96;177344;0
28.08.2025;10:45;26.98;27.00;26.88;26.88;26.94;107766;0
28.08.2025;11:00;26.94;26.94;26.88;26.94;26.91;30025;0
28.08.2025;11:15;26.94;26.94;26.88;26.88;26.91;47225;0
28.08.2025;11:30;26.88;26.94;26.88;26.90;26.91;24022;0
28.08.2025;11:45;26.90;26.96;26.90;26.90;26.93;117561;0
28.08.2025;12:00;26.94;26.98;26.92;26.92;26.95;51391;0
28.08.2025;12:15;26.92;26.94;26.92;26.92;26.93;49130;0
28.08.2025;12:30;26.96;27.00;26.86;26.86;26.93;297426;0
28.08.2025;12:45;26.88;26.98;26.86;26.98;26.92;112488;0
28.08.2025;13:00;26.92;26.92;26.88;26.88;26.90;35605;0
28.08.2025;13:15;26.88;26.96;26.88;26.92;26.92;114987;0
28.08.2025;13:30;26.94;26.96;26.94;26.96;26.95;8086;0
28.08.2025;13:45;26.92;26.92;26.88;26.88;26.90;22987;0
28.08.2025;14:00;26.90;26.92;26.86;26.92;26.89;559296;0
28.08.2025;14:15;26.86;26.88;26.86;26.88;26.87;6768;0
28.08.2025;14:30;26.88;26.90;26.84;26.84;26.87;282271;0
28.08.2025;14:45;26.86;26.90;26.84;26.90;26.87;131475;0
28.08.2025;15:00;26.88;26.90;26.82;26.90;26.86;114261;0
28.08.2025;15:15;26.90;26.94;26.86;26.90;26.90;239163;0
28.08.2025;15:30;26.92;26.94;26.92;26.92;26.93;50078;0
28.08.2025;15:45;26.92;26.92;26.80;26.80;26.86;168115;0
28.08.2025;16:00;26.80;26.90;26.74;26.76;26.82;152583;0
28.08.2025;16:15;26.76;26.78;26.60;26.60;26.69;285842;0
28.08.2025;16:30;26.62;26.68;26.62;26.62;26.65;61052;0
28.08.2025;16:45;26.66;26.66;26.38;26.64;26.52;874330;0
28.08.2025;17:00;26.60;26.80;26.56;26.72;26.68;323274;0
28.08.2025;17:15;26.72;26.80;26.72;26.72;26.76;139273;0
28.08.2025;17:30;26.72;26.74;26.66;26.66;26.70;182511;0
28.08.2025;17:45;26.64;26.68;26.48;26.54;26.58;1027003;0
28.08.2025;18:00;26.58;26.60;26.48;26.48;26.54;156648;0
29.08.2025;10:00;26.74;26.76;26.68;26.72;26.72;137516;0
29.08.2025;10:15;26.70;26.70;26.60;26.60;26.65;188787;0
29.08.2025;10:30;26.58;26.64;26.58;26.64;26.61;39856;0
29.08.2025;10:45;26.64;26.64;26.56;26.56;26.60;708353;0
29.08.2025;11:00;26.56;26.58;26.50;26.50;26.54;524906;0
29.08.2025;11:15;26.50;26.52;26.44;26.46;26.48;213126;0
29.08.2025;11:30;26.46;26.48;26.40;26.44;26.44;55496;0
29.08.2025;11:45;26.42;26.42;26.32;26.32;26.37;114037;0
29.08.2025;12:00;26.34;26.40;26.28;26.30;26.34;499843;0
29.08.2025;12:15;26.32;26.32;26.26;26.32;26.29;21391;0
29.08.2025;12:30;26.32;26.32;26.20;26.20;26.26;237278;0
29.08.2025;12:45;26.26;26.30;26.26;26.30;26.28;34002;0
29.08.2025;13:00;26.26;26.32;26.26;26.32;26.29;151183;0
29.08.2025;13:15;26.30;26.30;26.30;26.30;26.30;33190;0
29.08.2025;13:30;26.30;26.36;26.26;26.36;26.31;380966;0
29.08.2025;13:45;26.34;26.40;26.32;26.32;26.36;155537;0
29.08.2025;14:00;26.42;26.50;26.42;26.50;26.46;185329;0
29.08.2025;14:15;26.50;26.50;26.36;26.36;26.43;207135;0
29.08.2025;14:30;26.36;26.38;26.28;26.28;26.33;283819;0
29.08.2025;14:45;26.28;26.36;26.24;26.24;26.30;979431;0
29.08.2025;15:00;26.28;26.30;26.28;26.30;26.29;12379;0
29.08.2025;15:15;26.26;26.32;26.26;26.28;26.29;15820;0
29.08.2025;15:30;26.26;26.34;26.24;26.24;26.29;67536;0
29.08.2025;15:45;26.32;26.34;26.26;26.26;26.30;98745;0
29.08.2025;16:00;26.32;26.32;26.26;26.32;26.29;4130;0
29.08.2025;16:15;26.32;26.36;26.28;26.36;26.32;227102;0
29.08.2025;16:30;26.36;26.48;26.36;26.44;26.42;120283;0
29.08.2025;16:45;26.44;26.48;26.42;26.46;26.45;165562;0
29.08.2025;17:00;26.42;26.44;26.42;26.42;26.43;18028;0
29.08.2025;17:15;26.42;26.48;26.40;26.40;26.44;56369;0
29.08.2025;17:30;26.40;26.46;26.40;26.40;26.43;57674;0
29.08.2025;17:45;26.40;26.40;26.22;26.28;26.31;901042;0
29.08.2025;18:00;26.28;26.36;26.24;26.26;26.30;345453;0
30.08.2025;10:00;26.82;26.88;26.34;26.58;26.61;442467;0
30.08.2025;10:15;26.58;26.62;26.54;26.60;26.58;163543;0
30.08.2025;10:30;26.56;26.68;26.56;26.68;26.62;187622;0
30.08.2025;10:45;26.64;26.76;26.64;26.76;26.70;346066;0
30.08.2025;11:00;26.76;26.76;26.70;26.70;26.73;122483;0
30.08.2025;11:15;26.70;26.72;26.68;26.72;26.70;10466;0
30.08.2025;11:30;26.70;26.70;26.64;26.64;26.67;73719;0
30.08.2025;11:45;26.64;26.66;26.62;26.64;26.64;122748;0
30.08.2025;12:00;26.66;26.66;26.64;26.64;26.65;164155;0
30.08.2025;12:15;26.64;26.64;26.58;26.58;26.61;109222;0
30.08.2025;12:30;26.58;26.60;26.52;26.58;26.56;58588;0
30.08.2025;12:45;26.56;26.56;26.52;26.56;26.54;65464;0
30.08.2025;13:00;26.56;26.72;26.56;26.72;26.64;93818;0
30.08.2025;13:15;26.72;26.78;26.70;26.74;26.74;358441;0
30.08.2025;13:30;26.74;26.78;26.70;26.70;26.74;291078;0
30.08.2025;13:45;26.70;26.72;26.70;26.72;26.71;121028;0
30.08.2025;14:00;26.76;26.88;26.74;26.76;26.81;436542;0
30.08.2025;14:15;26.82;26.90;26.80;26.82;26.85;603500;0
30.08.2025;14:30;26.80;26.80;26.66;26.66;26.73;353163;0
30.08.2025;14:45;26.64;26.66;26.64;26.64;26.65;62853;0
30.08.2025;15:00;26.64;26.64;26.60;26.64;26.62;209885;0
30.08.2025;15:15;26.62;26.82;26.62;26.66;26.72;337494;0
30.08.2025;15:30;26.62;26.88;26.50;26.76;26.69;761676;0
30.08.2025;15:45;26.84;27.16;26.84;27.00;27.00;4455528;0
30.08.2025;16:00;27.02;27.04;26.84;26.84;26.94;1722226;0
30.08.2025;16:15;26.92;26.94;26.84;26.90;26.89;297245;0
30.08.2025;16:30;26.90;26.92;26.88;26.90;26.90;94959;0
30.08.2025;16:45;26.90;26.92;26.84;26.84;26.88;158176;0
30.08.2025;17:00;26.82;26.90;26.82;26.84;26.86;121776;0
30.08.2025;17:15;26.84;26.84;26.32;26.34;26.58;689414;0
30.08.2025;17:30;26.50;26.52;26.36;26.40;26.44;408871;0
30.08.2025;17:45;26.42;26.48;26.26;26.38;26.37;931479;0
30.08.2025;18:00;26.32;26.42;26.32;26.42;26.37;185336;0
31.08.2025;10:00;26.40;26.40;26.24;26.34;26.32;82783;0
31.08.2025;10:15;26.32;26.36;25.62;25.86;25.99;739366;0
31.08.2025;10:30;25.90;26.50;25.88;25.96;26.19;787509;0
31.08.2025;10:45;25.94;26.10;25.94;26.08;26.02;469155;0
31.08.2025;11:00;26.10;26.18;26.04;26.04;26.11;328553;0
31.08.2025;11:15;26.08;26.08;25.98;25.98;26.03;79108;0
31.08.2025;11:30;26.04;26.04;26.04;26.04;26.04;26;0
31.08.2025;11:45;26.00;26.08;26.00;26.06;26.04;36678;0
31.08.2025;12:00;26.06;26.06;25.90;25.92;25.98;57226;0
31.08.2025;12:15;25.92;26.02;25.92;25.94;25.97;113412;0
31.08.2025;12:30;25.96;25.96;25.96;25.96;25.96;91638;0
31.08.2025;12:45;25.96;26.00;25.96;25.98;25.98;93593;0
31.08.2025;13:00;26.00;26.02;25.92;26.00;25.97;105511;0
31.08.2025;13:15;26.00;26.00;26.00;26.00;26.00;17238;0
31.08.2025;13:30;25.96;26.00;25.96;25.96;25.98;18573;0
31.08.2025;13:45;25.94;26.00;25.90;25.98;25.95;318903;0
31.08.2025;14:00;25.96;26.00;25.92;25.98;25.96;135563;0
31.08.2025;14:15;25.96;25.98;25.92;25.96;25.95;23352;0
31.08.2025;14:30;25.96;26.02;25.92;25.96;25.97;75441;0
31.08.2025;14:45;25.92;26.02;25.92;25.98;25.97;24399;0
31.08.2025;15:00;25.96;25.96;25.70;25.78;25.83;610457;0
31.08.2025;15:15;25.80;25.88;25.78;25.88;25.83;133468;0
31.08.2025;15:30;25.84;25.88;25.70;25.88;25.79;1048325;0
31.08.2025;15:45;25.86;25.98;25.82;25.98;25.90;67981;0
31.08.2025;16:00;25.98;25.98;25.86;25.92;25.92;85623;0
31.08.2025;16:15;25.96;25.96;25.88;25.94;25.92;17322;0
31.08.2025;16:30;25.94;26.00;25.92;25.98;25.96;149826;0
31.08.2025;16:45;26.00;26.02;25.96;26.00;25.99;4312;0
31.08.2025;17:00;26.00;26.00;25.92;26.00;25.96;52019;0
31.08.2025;17:15;25.98;26.06;25.98;26.06;26.02;113196;0
31.08.2025;17:30;26.06;26.14;26.06;26.10;26.10;39975;0
31.08.2025;17:45;26.12;26.16;25.94;25.94;26.05;295832;0
31.08.2025;18:00;25.96;26.12;25.84;25.84;25.98;749626;0
03.09.2025;10:00;25.74;25.98;25.74;25.98;25.86;235267;0
03.09.2025;10:15;25.90;26.10;25.78;26.08;25.94;344667;0
03.09.2025;10:30;26.10;26.14;26.04;26.04;26.09;108722;0
03.09.2025;10:45;26.04;26.06;26.02;26.02;26.04;83800;0
03.09.2025;11:00;26.06;26.06;25.92;25.92;25.99;217721;0
03.09.2025;11:15;25.92;26.46;25.92;26.38;26.19;611094;0
03.09.2025;11:30;26.46;26.70;26.40;26.64;26.55;308467;0
03.09.2025;11:45;26.58;26.62;26.46;26.56;26.54;333772;0
03.09.2025;12:00;26.54;26.66;26.52;26.66;26.59;266028;0
03.09.2025;12:15;26.66;26.74;26.64;26.66;26.69;117488;0
03.09.2025;12:30;26.66;26.70;26.62;26.70;26.66;413612;0
03.09.2025;12:45;26.70;26.74;26.66;26.66;26.70;434923;0
03.09.2025;13:00;26.70;26.76;26.64;26.76;26.70;155032;0
03.09.2025;13:15;26.74;26.84;26.68;26.82;26.76;885432;0
03.09.2025;13:30;26.80;26.86;26.80;26.82;26.83;405662;0
03.09.2025;13:45;26.82;26.86;26.82;26.82;26.84;231178;0
03.09.2025;14:00;26.84;26.90;26.84;26.90;26.87;97632;0
03.09.2025;14:15;26.88;26.94;26.86;26.94;26.90;494191;0
03.09.2025;14:30;26.92;27.00;26.92;27.00;26.96;369330;0
03.09.2025;14:45;27.00;27.00;26.94;26.98;26.97;117055;0
03.09.2025;15:00;27.00;27.02;26.98;27.00;27.00;152489;0
03.09.2025;15:15;27.02;27.02;26.96;26.96;26.99;63099;0
03.09.2025;15:30;26.96;27.16;26.96;27.02;27.06;794892;0
03.09.2025;15:45;27.04;27.16;27.04;27.08;27.10;367145;0
03.09.2025;16:00;27.08;27.10;27.04;27.08;27.07;128267;0
03.09.2025;16:15;27.08;27.10;27.06;27.10;27.08;43581;0
03.09.2025;16:30;27.08;27.10;27.06;27.06;27.08;20900;0
03.09.2025;16:45;27.06;27.12;27.04;27.04;27.08;188281;0
03.09.2025;17:00;27.08;27.16;27.08;27.16;27.12;44069;0
03.09.2025;17:15;27.16;27.22;27.12;27.22;27.17;131639;0
03.09.2025;17:30;27.20;27.70;27.12;27.46;27.41;5234132;0
03.09.2025;17:45;27.46;27.54;27.40;27.52;27.47;890041;0
03.09.2025;18:00;27.50;27.54;27.36;27.36;27.45;181713;0
04.09.2025;10:00;27.30;27.78;27.30;27.70;27.54;1339120;0
04.09.2025;10:15;27.72;27.90;27.72;27.82;27.81;1146931;0
