Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;18:05;16.50;16.50;16.50;16.50;16.50;249959;0
27.02.2024;09:05;16.51;16.51;16.51;16.51;16.51;66634;0
27.02.2024;10:05;16.53;17.07;16.53;16.95;16.80;4649120;0
27.02.2024;11:05;16.95;17.42;16.95;17.29;17.19;6495966;0
27.02.2024;12:05;17.29;17.30;17.10;17.19;17.20;2357087;0
27.02.2024;13:05;17.17;17.25;17.14;17.23;17.19;577858;0
27.02.2024;14:05;17.17;17.45;17.08;17.32;17.27;4184347;0
27.02.2024;15:05;17.41;17.45;17.30;17.38;17.38;2401843;0
27.02.2024;16:05;17.38;17.57;17.23;17.54;17.40;3107370;0
27.02.2024;17:05;17.50;17.68;17.33;17.57;17.51;8256345;0
27.02.2024;18:05;17.73;17.73;17.73;17.73;17.73;459899;0
01.03.2024;09:05;17.81;17.81;17.81;17.81;17.81;360563;0
01.03.2024;10:05;17.81;18.05;17.15;17.98;17.60;8963426;0
01.03.2024;11:05;17.99;18.09;17.80;17.90;17.94;4720337;0
01.03.2024;12:05;17.90;18.20;17.88;18.17;18.04;5137736;0
01.03.2024;13:05;18.18;18.30;18.07;18.18;18.18;4767153;0
01.03.2024;14:05;18.19;18.40;18.13;18.17;18.26;6597623;0
01.03.2024;15:05;18.17;18.28;18.02;18.13;18.15;2518745;0
01.03.2024;16:05;18.14;18.40;18.14;18.30;18.27;2811181;0
01.03.2024;17:05;18.28;18.46;18.22;18.32;18.34;3804421;0
01.03.2024;18:05;18.50;18.50;18.50;18.50;18.50;618548;0
02.03.2024;09:05;18.50;18.50;18.50;18.50;18.50;212750;0
02.03.2024;10:05;18.56;18.75;18.13;18.38;18.44;2685044;0
02.03.2024;11:05;18.40;18.54;18.24;18.40;18.39;6027824;0
02.03.2024;12:05;18.35;18.46;18.30;18.31;18.38;2819464;0
08.03.2024;09:05;18.28;18.28;18.28;18.28;18.28;171540;0
08.03.2024;10:05;18.20;18.45;17.85;18.36;18.15;11057580;0
08.03.2024;11:05;18.40;18.51;18.29;18.32;18.40;4145435;0
08.03.2024;12:05;18.30;18.32;18.18;18.25;18.25;2698781;0
08.03.2024;13:05;18.21;18.42;18.20;18.33;18.31;5775818;0
08.03.2024;14:05;18.30;18.39;18.24;18.32;18.31;5013296;0
08.03.2024;15:05;18.30;18.33;18.26;18.28;18.30;1157792;0
08.03.2024;16:05;18.28;18.48;18.28;18.48;18.38;2531226;0
08.03.2024;17:05;18.48;18.48;18.31;18.37;18.39;2417981;0
08.03.2024;18:05;18.31;18.31;18.31;18.31;18.31;440502;0
09.03.2024;09:05;18.30;18.30;18.30;18.30;18.30;84217;0
09.03.2024;10:05;18.28;18.40;18.01;18.11;18.20;3444225;0
09.03.2024;11:05;18.04;18.37;18.04;18.17;18.21;3992661;0
09.03.2024;12:05;18.16;18.22;18.06;18.12;18.14;1508869;0
09.03.2024;13:05;18.12;18.13;17.97;18.10;18.05;942531;0
09.03.2024;14:05;18.09;18.15;17.96;18.15;18.05;1248194;0
09.03.2024;15:05;18.13;18.15;18.02;18.02;18.09;785276;0
09.03.2024;16:05;18.12;18.13;17.91;17.96;18.02;804977;0
09.03.2024;17:05;17.96;18.07;17.88;18.07;17.97;2637411;0
09.03.2024;18:05;18.10;18.10;18.10;18.10;18.10;123044;0
10.03.2024;09:05;18.10;18.10;18.10;18.10;18.10;44960;0
10.03.2024;10:05;18.10;18.31;18.09;18.19;18.20;3375777;0
10.03.2024;11:05;18.18;18.25;18.03;18.09;18.14;1707698;0
10.03.2024;12:05;18.09;18.15;18.01;18.01;18.08;2466285;0
10.03.2024;13:05;18.01;18.08;17.97;18.03;18.02;2275955;0
10.03.2024;14:05;18.02;18.06;17.92;18.06;17.99;2889744;0
10.03.2024;15:05;18.00;18.01;17.86;17.86;17.94;1486694;0
10.03.2024;16:05;17.85;17.94;17.84;17.84;17.89;1060740;0
10.03.2024;17:05;17.83;17.92;17.73;17.87;17.82;2103126;0
10.03.2024;18:05;17.86;17.86;17.86;17.86;17.86;23022;0
11.03.2024;09:05;17.88;17.88;17.88;17.88;17.88;64529;0
11.03.2024;10:05;17.90;18.05;17.82;17.89;17.93;3179558;0
11.03.2024;11:05;17.89;18.14;17.85;18.09;17.99;2770951;0
11.03.2024;12:05;18.04;18.36;18.02;18.34;18.19;3945979;0
11.03.2024;13:05;18.32;18.46;18.23;18.46;18.34;2961897;0
11.03.2024;14:05;18.47;18.60;18.37;18.57;18.49;5366568;0
11.03.2024;15:05;18.57;19.10;18.54;19.10;18.82;11742270;0
11.03.2024;16:05;19.10;19.19;18.60;18.69;18.90;9025054;0
11.03.2024;17:05;18.75;18.84;18.61;18.80;18.73;4882863;0
11.03.2024;18:05;18.80;18.80;18.80;18.80;18.80;173787;0
12.03.2024;09:05;18.80;18.80;18.80;18.80;18.80;79562;0
12.03.2024;10:05;18.80;18.94;18.43;18.85;18.69;7539977;0
12.03.2024;11:05;18.83;18.88;18.60;18.80;18.74;2531782;0
12.03.2024;12:05;18.84;19.11;18.77;18.85;18.94;4906142;0
12.03.2024;13:05;18.85;18.85;18.70;18.72;18.78;2359183;0
12.03.2024;14:05;18.77;18.91;18.73;18.88;18.82;1546040;0
12.03.2024;15:05;18.86;18.91;18.83;18.83;18.87;2305544;0
12.03.2024;16:05;18.83;18.92;18.80;18.88;18.86;2591795;0
12.03.2024;17:05;18.88;19.10;18.85;18.93;18.98;4980812;0
12.03.2024;18:05;19.06;19.06;19.06;19.06;19.06;810984;0
15.03.2024;09:05;19.40;19.40;19.40;19.40;19.40;138788;0
15.03.2024;10:05;19.36;19.60;19.22;19.29;19.41;7603084;0
15.03.2024;11:05;19.31;19.40;19.23;19.27;19.31;2260076;0
15.03.2024;12:05;19.24;19.30;19.09;19.20;19.19;3475290;0
15.03.2024;13:05;19.16;19.16;18.96;19.05;19.06;2970943;0
15.03.2024;14:05;19.04;19.09;18.93;18.98;19.01;2031636;0
15.03.2024;15:05;19.01;19.06;18.95;18.95;19.01;1444352;0
15.03.2024;16:05;18.95;19.00;18.81;18.82;18.90;1636791;0
15.03.2024;17:05;18.82;19.03;18.79;19.00;18.91;2245886;0
15.03.2024;18:05;19.00;19.00;19.00;19.00;19.00;30058;0
17.03.2024;09:05;19.03;19.03;19.03;19.03;19.03;265069;0
17.03.2024;10:05;19.03;19.40;19.02;19.25;19.21;8126133;0
17.03.2024;11:05;19.25;19.31;19.19;19.27;19.25;1786016;0
17.03.2024;12:05;19.27;19.27;19.03;19.04;19.15;2623811;0
17.03.2024;13:05;19.03;19.04;18.74;18.80;18.89;2336702;0
17.03.2024;14:05;18.80;18.80;18.57;18.62;18.68;2134297;0
17.03.2024;15:05;18.62;18.67;18.56;18.60;18.61;925146;0
17.03.2024;16:05;18.61;18.69;18.58;18.65;18.64;1086754;0
17.03.2024;17:05;18.65;18.74;18.61;18.64;18.68;1293001;0
17.03.2024;18:05;18.74;18.74;18.74;18.74;18.74;136465;0
18.03.2024;09:05;18.75;18.75;18.75;18.75;18.75;27656;0
18.03.2024;10:05;18.74;18.85;18.36;18.70;18.61;3884651;0
18.03.2024;11:05;18.72;18.84;18.61;18.77;18.73;2978701;0
18.03.2024;12:05;18.77;18.90;18.71;18.86;18.80;2339080;0
18.03.2024;13:05;18.83;19.61;18.83;19.33;19.22;9539784;0
18.03.2024;14:05;19.34;20.18;19.34;19.89;19.76;24991460;0
18.03.2024;15:05;19.86;20.60;19.73;20.22;20.16;35802520;0
18.03.2024;16:05;20.20;20.48;20.10;20.24;20.29;11917590;0
18.03.2024;17:05;20.26;20.60;20.24;20.24;20.42;30044940;0
18.03.2024;18:05;20.20;20.20;20.20;20.20;20.20;1387417;0
19.03.2024;09:05;20.32;20.32;20.32;20.32;20.32;619211;0
19.03.2024;10:05;20.30;21.34;19.64;20.68;20.49;36636560;0
19.03.2024;11:05;20.68;20.76;20.36;20.70;20.56;9334427;0
19.03.2024;12:05;20.74;21.04;20.52;20.78;20.78;11686930;0
19.03.2024;13:05;20.74;20.80;20.20;20.48;20.50;4824121;0
19.03.2024;14:05;20.40;20.82;20.30;20.78;20.56;7666375;0
19.03.2024;15:05;20.76;21.10;20.58;20.58;20.84;11038740;0
19.03.2024;16:05;20.62;20.72;20.48;20.48;20.60;3282339;0
19.03.2024;17:05;20.50;20.72;20.44;20.62;20.58;5107530;0
19.03.2024;18:05;20.58;20.58;20.58;20.58;20.58;226524;0
22.03.2024;09:05;20.54;20.54;20.54;20.54;20.54;413142;0
22.03.2024;10:05;20.54;20.54;19.80;20.14;20.17;15120670;0
22.03.2024;11:05;20.14;20.14;19.85;19.89;19.99;4987553;0
22.03.2024;12:05;19.89;19.96;19.86;19.87;19.91;2725853;0
22.03.2024;13:05;19.87;19.88;19.55;19.57;19.71;7506723;0
22.03.2024;14:05;19.60;19.65;19.40;19.50;19.52;6836498;0
22.03.2024;15:05;19.50;19.74;19.38;19.65;19.56;4164050;0
22.03.2024;16:05;19.63;19.68;19.56;19.67;19.62;1580065;0
22.03.2024;17:05;19.66;19.67;19.38;19.50;19.52;5598572;0
22.03.2024;18:05;19.47;19.47;19.47;19.47;19.47;656606;0
