Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;20.28;20.30;20.24;20.26;20.27;1095225;0
24.08.2025;11:30;20.28;20.34;20.28;20.32;20.31;1613333;0
24.08.2025;11:45;20.32;20.38;20.32;20.34;20.35;1939542;0
24.08.2025;12:00;20.34;20.36;20.30;20.32;20.33;1696081;0
24.08.2025;12:15;20.34;20.34;20.32;20.34;20.33;165509;0
24.08.2025;12:30;20.34;20.34;20.30;20.32;20.32;1268539;0
24.08.2025;12:45;20.30;20.32;20.26;20.30;20.29;1909023;0
24.08.2025;13:00;20.28;20.34;20.28;20.32;20.31;476934;0
24.08.2025;13:15;20.34;20.36;20.28;20.30;20.32;621423;0
24.08.2025;13:30;20.32;20.34;20.28;20.30;20.31;547605;0
24.08.2025;13:45;20.28;20.32;20.26;20.32;20.29;1131071;0
24.08.2025;14:00;20.32;20.32;20.22;20.24;20.27;2970837;0
24.08.2025;14:15;20.26;20.28;20.24;20.26;20.26;1774728;0
24.08.2025;14:30;20.24;20.38;20.24;20.34;20.31;2316838;0
24.08.2025;14:45;20.34;20.36;20.28;20.28;20.32;958867;0
24.08.2025;15:00;20.28;20.30;20.24;20.28;20.27;2151827;0
24.08.2025;15:15;20.28;20.28;20.22;20.24;20.25;1984393;0
24.08.2025;15:30;20.26;20.30;20.22;20.30;20.26;941658;0
24.08.2025;15:45;20.28;20.30;20.22;20.24;20.26;1355874;0
24.08.2025;16:00;20.26;20.30;20.22;20.30;20.26;853895;0
24.08.2025;16:15;20.28;20.30;20.24;20.26;20.27;1097549;0
24.08.2025;16:30;20.26;20.30;20.20;20.26;20.25;2998257;0
24.08.2025;16:45;20.26;20.54;20.24;20.46;20.39;9623262;0
24.08.2025;17:00;20.46;20.52;20.20;20.38;20.36;9239273;0
24.08.2025;17:15;20.40;20.46;20.32;20.38;20.39;4106736;0
24.08.2025;17:30;20.38;20.40;20.26;20.30;20.33;4766124;0
24.08.2025;17:45;20.30;20.34;20.26;20.32;20.30;4056909;0
24.08.2025;18:00;20.30;20.40;20.30;20.30;20.35;3121325;0
27.08.2025;10:00;20.16;20.16;19.91;20.06;20.03;6446748;0
27.08.2025;10:15;20.04;20.06;19.95;20.02;20.01;4286477;0
