Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
08.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;354340;0
09.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;2418554;0
10.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;330993;0
14.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;475632;0
15.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;443739;0
16.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;204716;0
17.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;341748;0
18.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;291696;0
21.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;332779;0
22.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;469721;0
23.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;261585;0
25.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;230974;0
26.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;714215;0
29.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;748522;0
30.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;1179608;0
31.05.2005;00:00;0.01;0.01;0.01;0.01;0.01;1354741;0
01.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;412842;0
02.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;270889;0
05.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;419531;0
06.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;376872;0
07.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;472603;0
08.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;865981;0
09.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;513851;0
12.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;82060;0
13.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;78147;0
14.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;407499;0
15.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;216988;0
16.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;246131;0
19.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;118266;0
20.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;146936;0
21.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;86732;0
22.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;300687;0
23.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;316576;0
28.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;273018;0
29.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;255213;0
30.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;158414;0
01.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;278394;0
02.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;312866;0
05.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;204939;0
06.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;89930;0
07.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;133995;0
08.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;147082;0
09.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;72490;0
12.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;115734;0
13.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;91414;0
14.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;572400;0
15.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;60197;0
16.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;158576;0
19.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;187725;0
20.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;151826;0
21.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;192819;0
22.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;530091;0
23.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;307241;0
26.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;59161;0
28.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;57999;0
29.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;123166;0
30.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;138203;0
31.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;164882;0
03.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;612973;0
04.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;393651;0
05.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;426169;0
06.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;372370;0
07.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;2848365;0
10.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;1460968;0
11.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;1014572;0
12.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;452120;0
13.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;520597;0
14.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;192829;0
17.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;194300;0
18.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;788412;0
19.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;277636;0
20.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;181964;0
21.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;318434;0
24.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;120682;0
25.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;2871458;0
27.08.2005;00:00;0.01;0.02;0.01;0.01;0.02;2090561;0
29.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;698133;0
01.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;816790;0
02.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;261633;0
03.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;512917;0
04.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;486114;0
05.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;258627;0
08.09.2005;00:00;0.01;0.02;0.01;0.01;0.02;2224122;0
09.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;944313;0
10.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;799227;0
11.09.2005;00:00;0.02;0.02;0.01;0.01;0.02;419089;0
12.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;1592420;0
15.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;337471;0
16.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;218081;0
17.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;356356;0
18.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;381890;0
19.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;497481;0
22.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;421499;0
23.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;924284;0
24.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;298081;0
25.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;244968;0
26.09.2005;00:00;0.01;0.01;0.01;0.01;0.01;1271319;0
01.10.2005;00:00;0.01;0.01;0.01;0.01;0.01;766480;0
02.10.2005;00:00;0.01;0.01;0.01;0.01;0.01;622819;0
03.10.2005;00:00;0.01;0.01;0.01;0.01;0.01;437278;0
