Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;15.97;16.00;15.92;15.95;15.96;2507248;0
24.08.2025;11:30;15.94;16.00;15.88;15.92;15.94;4035538;0
24.08.2025;11:45;15.92;15.99;15.85;15.98;15.92;4669683;0
24.08.2025;12:00;15.97;15.97;15.86;15.86;15.91;11116113;0
24.08.2025;12:15;15.88;15.91;15.80;15.86;15.86;5545551;0
24.08.2025;12:30;15.86;15.89;15.84;15.86;15.87;13007866;0
24.08.2025;12:45;15.87;15.89;15.82;15.83;15.86;5176097;0
24.08.2025;13:00;15.83;15.86;15.81;15.84;15.84;1432925;0
24.08.2025;13:15;15.83;15.85;15.74;15.75;15.80;7020859;0
24.08.2025;13:30;15.75;15.78;15.69;15.71;15.73;2358599;0
24.08.2025;13:45;15.71;15.74;15.67;15.68;15.70;5200083;0
24.08.2025;14:00;15.68;15.69;15.65;15.66;15.67;2655070;0
24.08.2025;14:15;15.66;15.75;15.66;15.67;15.70;4859725;0
24.08.2025;14:30;15.69;15.72;15.67;15.69;15.70;5343736;0
24.08.2025;14:45;15.69;15.72;15.66;15.68;15.69;1992846;0
24.08.2025;15:00;15.67;15.69;15.66;15.67;15.67;871947;0
24.08.2025;15:15;15.68;15.68;15.62;15.63;15.65;1881820;0
24.08.2025;15:30;15.64;15.69;15.62;15.69;15.65;1717143;0
24.08.2025;15:45;15.69;15.69;15.58;15.60;15.63;2689079;0
24.08.2025;16:00;15.60;15.72;15.60;15.71;15.66;3393480;0
24.08.2025;16:15;15.71;15.72;15.69;15.70;15.70;982214;0
24.08.2025;16:30;15.71;15.72;15.68;15.70;15.70;1751303;0
24.08.2025;16:45;15.70;15.90;15.69;15.83;15.79;3970936;0
24.08.2025;17:00;15.83;16.00;15.80;15.89;15.90;4715053;0
24.08.2025;17:15;15.89;15.93;15.81;15.86;15.87;2355051;0
24.08.2025;17:30;15.85;15.89;15.77;15.83;15.83;1653903;0
24.08.2025;17:45;15.81;15.83;15.75;15.80;15.79;2211295;0
24.08.2025;18:00;15.78;15.88;15.78;15.86;15.83;4320900;0
27.08.2025;10:00;15.82;15.82;15.41;15.60;15.61;4995224;0
27.08.2025;10:15;15.59;15.60;15.47;15.52;15.54;3843234;0
