Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;2772.49;2772.49;2772.49;2772.49;2772.49;382775;0
27.02.2024;10:05;2774.70;2858.65;2774.70;2799.00;2816.68;73685616;0
27.02.2024;11:05;2801.21;2836.56;2796.79;2812.26;2816.68;18816090;0
27.02.2024;12:05;2812.26;2838.77;2810.04;2825.52;2824.41;15660870;0
27.02.2024;13:05;2825.52;2836.56;2812.26;2823.30;2824.41;14307970;0
27.02.2024;14:05;2823.30;2867.49;2823.30;2858.65;2845.40;35824440;0
27.02.2024;15:05;2865.27;2867.49;2829.93;2849.81;2848.71;19360370;0
27.02.2024;16:05;2849.81;2902.83;2845.40;2885.16;2874.11;31246120;0
27.02.2024;17:05;2887.37;2916.09;2880.74;2896.21;2898.41;34472020;0
27.02.2024;18:05;2918.30;2918.30;2918.30;2918.30;2918.30;5799190;0
01.03.2024;09:05;2918.30;2918.30;2918.30;2918.30;2918.30;2073970;0
01.03.2024;10:05;2920.50;2986.78;2871.90;2975.73;2929.34;66126512;0
01.03.2024;11:05;2973.53;3008.87;2947.01;2951.44;2977.94;31798070;0
01.03.2024;12:05;2951.44;2984.58;2944.81;2973.53;2964.69;16530880;0
01.03.2024;13:05;2977.95;2988.99;2969.10;2977.95;2979.05;10265680;0
01.03.2024;14:05;2980.15;2993.41;2964.69;2980.15;2979.05;15648290;0
01.03.2024;15:05;2980.15;2986.78;2966.90;2980.15;2976.84;8665062;0
01.03.2024;16:05;2982.36;3039.80;2982.36;3013.29;3011.08;33654400;0
01.03.2024;17:05;3013.29;3030.96;3004.45;3017.70;3017.71;25337490;0
01.03.2024;18:05;3017.70;3017.70;3017.70;3017.70;3017.70;4733190;0
02.03.2024;09:05;3022.13;3022.13;3022.13;3022.13;3022.13;1703160;0
02.03.2024;10:05;3022.13;3161.30;2993.41;3139.21;3077.36;150312192;0
02.03.2024;11:05;3137.01;3278.39;3132.59;3205.49;3205.49;143098704;0
02.03.2024;12:05;3203.28;3291.65;3198.86;3287.22;3245.25;69616480;0
08.03.2024;09:05;3249.67;3249.67;3249.67;3249.67;3249.67;5825160;0
08.03.2024;10:05;3247.47;3357.92;3203.28;3302.69;3280.60;195696192;0
08.03.2024;11:05;3302.69;3375.59;3282.81;3313.73;3329.20;133753200;0
08.03.2024;12:05;3315.94;3322.57;3282.81;3293.85;3302.69;51870888;0
08.03.2024;13:05;3289.44;3320.36;3282.81;3298.27;3301.58;45264032;0
08.03.2024;14:05;3296.07;3320.36;3280.60;3318.16;3300.48;51721700;0
08.03.2024;15:05;3315.94;3351.29;3307.11;3338.04;3329.20;79957824;0
08.03.2024;16:05;3338.04;3391.05;3304.90;3313.73;3347.98;119985696;0
08.03.2024;17:05;3318.16;3324.78;3296.07;3300.48;3310.42;44169160;0
08.03.2024;18:05;3278.39;3278.39;3278.39;3278.39;3278.39;11957330;0
09.03.2024;09:05;3256.30;3256.30;3256.30;3256.30;3256.30;3762385;0
09.03.2024;10:05;3256.30;3326.99;3229.79;3287.22;3278.39;132430400;0
09.03.2024;11:05;3285.02;3364.54;3282.81;3291.65;3323.68;160285504;0
09.03.2024;12:05;3289.44;3289.44;3128.16;3185.61;3208.80;106484800;0
09.03.2024;13:05;3185.61;3209.90;3172.35;3192.24;3191.12;32075980;0
09.03.2024;14:05;3192.24;3201.07;3152.47;3187.81;3176.77;31392460;0
09.03.2024;15:05;3187.81;3192.24;3154.68;3156.89;3173.46;22377010;0
09.03.2024;16:05;3161.30;3174.56;3095.03;3108.28;3134.79;44776360;0
09.03.2024;17:05;3110.50;3181.19;3095.03;3170.14;3138.11;45111792;0
09.03.2024;18:05;3156.89;3156.89;3156.89;3156.89;3156.89;6766315;0
10.03.2024;09:05;3225.37;3225.37;3225.37;3225.37;3225.37;2941900;0
10.03.2024;10:05;3223.16;3267.34;3194.44;3223.16;3230.89;103321600;0
10.03.2024;11:05;3225.37;3229.79;3183.39;3196.65;3206.59;40607480;0
10.03.2024;12:05;3194.44;3207.70;3106.07;3130.38;3156.88;61398840;0
10.03.2024;13:05;3128.16;3139.21;3026.55;3048.64;3082.88;70336256;0
10.03.2024;14:05;3048.64;3059.68;2986.78;2988.99;3023.23;93803024;0
10.03.2024;15:05;2993.41;2993.41;2931.55;2966.90;2962.48;89043456;0
10.03.2024;16:05;2966.90;3042.01;2960.27;2993.41;3001.14;59862300;0
10.03.2024;17:05;2991.20;3017.70;2971.32;3000.04;2994.51;36302340;0
10.03.2024;18:05;3000.04;3000.04;3000.04;3000.04;3000.04;4165665;0
11.03.2024;09:05;3019.04;3019.04;3019.04;3019.04;3019.04;1418770;0
11.03.2024;10:05;3021.28;3075.03;2992.16;3032.48;3033.60;66757480;0
11.03.2024;11:05;3032.48;3061.59;3010.08;3050.39;3035.84;24697860;0
11.03.2024;12:05;3052.63;3099.67;3050.39;3072.79;3075.03;64873620;0
11.03.2024;13:05;3072.79;3088.47;3052.63;3063.83;3070.55;14728440;0
11.03.2024;14:05;3070.55;3070.55;3036.96;3050.39;3053.75;13463170;0
11.03.2024;15:05;3050.39;3077.27;3036.96;3050.39;3057.11;23942790;0
11.03.2024;16:05;3048.15;3050.39;3021.28;3032.48;3035.84;19677870;0
11.03.2024;17:05;3032.48;3045.92;3001.12;3032.48;3023.52;48561080;0
11.03.2024;18:05;3032.48;3032.48;3032.48;3032.48;3032.48;4820240;0
12.03.2024;09:05;2987.68;2987.68;2987.68;2987.68;2987.68;1807570;0
