Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.07.2025;16:45;17.81;18.00;17.78;17.97;17.89;2892190;0
26.07.2025;17:00;17.94;18.22;17.92;18.19;18.07;10149226;0
26.07.2025;17:15;18.13;18.19;17.89;17.95;18.04;7037628;0
26.07.2025;17:30;17.95;17.95;17.75;17.75;17.85;3799282;0
26.07.2025;17:45;17.74;17.81;17.67;17.70;17.74;3574061;0
26.07.2025;18:00;17.72;17.78;17.68;17.75;17.73;1940764;0
29.07.2025;10:00;17.80;18.68;17.80;18.43;18.24;18932235;0
29.07.2025;10:15;18.42;18.74;18.22;18.33;18.48;17767087;0
29.07.2025;10:30;18.33;18.40;18.15;18.27;18.27;6278803;0
29.07.2025;10:45;18.24;18.27;18.12;18.22;18.20;4990076;0
29.07.2025;11:00;18.20;18.20;18.04;18.04;18.12;1763074;0
29.07.2025;11:15;18.04;18.19;18.03;18.18;18.11;2873935;0
29.07.2025;11:30;18.18;18.23;18.14;18.21;18.18;2915748;0
29.07.2025;11:45;18.23;18.24;18.17;18.17;18.20;2288854;0
29.07.2025;12:00;18.19;18.23;18.15;18.21;18.19;515255;0
29.07.2025;12:15;18.23;18.27;18.18;18.25;18.23;793095;0
29.07.2025;12:30;18.24;18.33;18.21;18.31;18.27;2052343;0
29.07.2025;12:45;18.31;18.34;18.24;18.26;18.29;1029547;0
29.07.2025;13:00;18.26;18.32;18.24;18.30;18.28;1559306;0
29.07.2025;13:15;18.29;18.38;18.28;18.31;18.33;1484893;0
29.07.2025;13:30;18.33;18.38;18.30;18.36;18.34;1220877;0
29.07.2025;13:45;18.36;18.36;18.27;18.27;18.32;1097476;0
29.07.2025;14:00;18.27;18.36;18.26;18.34;18.31;1612316;0
29.07.2025;14:15;18.34;18.44;18.34;18.34;18.39;2775211;0
29.07.2025;14:30;18.37;18.44;18.36;18.42;18.40;2969136;0
29.07.2025;14:45;18.42;18.42;18.32;18.32;18.37;806828;0
29.07.2025;15:00;18.32;18.36;18.29;18.31;18.33;535250;0
29.07.2025;15:15;18.31;18.38;18.30;18.30;18.34;357719;0
29.07.2025;15:30;18.30;18.33;18.25;18.30;18.29;746154;0
29.07.2025;15:45;18.27;18.32;18.23;18.23;18.27;590085;0
29.07.2025;16:00;18.25;18.28;18.23;18.24;18.26;408556;0
29.07.2025;16:15;18.26;18.28;18.19;18.20;18.24;1274512;0
29.07.2025;16:30;18.25;18.25;18.16;18.17;18.20;1086544;0
29.07.2025;16:45;18.17;18.20;18.03;18.13;18.12;2525942;0
29.07.2025;17:00;18.11;18.13;18.01;18.01;18.07;2367256;0
29.07.2025;17:15;18.04;18.05;17.96;17.98;18.00;2899414;0
29.07.2025;17:30;17.98;18.00;17.90;17.95;17.95;1796817;0
29.07.2025;17:45;17.95;18.15;17.93;18.04;18.04;2549967;0
29.07.2025;18:00;18.05;18.10;17.98;17.98;18.04;1319909;0
30.07.2025;10:00;18.00;18.06;17.41;17.45;17.73;11460327;0
30.07.2025;10:15;17.49;17.56;17.42;17.46;17.49;6000637;0
30.07.2025;10:30;17.46;17.78;17.43;17.67;17.61;3014243;0
30.07.2025;10:45;17.70;17.75;17.56;17.58;17.65;2134728;0
30.07.2025;11:00;17.58;17.68;17.53;17.53;17.61;1723369;0
30.07.2025;11:15;17.55;17.62;17.43;17.56;17.53;3151288;0
30.07.2025;11:30;17.56;17.67;17.52;17.55;17.60;941786;0
30.07.2025;11:45;17.55;17.59;17.52;17.56;17.56;590336;0
30.07.2025;12:00;17.58;17.65;17.56;17.63;17.60;1030216;0
30.07.2025;12:15;17.63;17.76;17.56;17.73;17.66;1503712;0
30.07.2025;12:30;17.74;17.76;17.69;17.70;17.73;525007;0
30.07.2025;12:45;17.69;17.69;17.64;17.66;17.66;182364;0
30.07.2025;13:00;17.63;17.70;17.57;17.58;17.64;2915142;0
30.07.2025;13:15;17.62;17.65;17.61;17.62;17.63;227653;0
30.07.2025;13:30;17.64;17.69;17.62;17.64;17.66;837678;0
30.07.2025;13:45;17.66;17.67;17.61;17.62;17.64;717536;0
30.07.2025;14:00;17.62;17.72;17.62;17.72;17.67;356039;0
30.07.2025;14:15;17.72;17.80;17.66;17.79;17.73;1243195;0
30.07.2025;14:30;17.79;17.79;17.72;17.79;17.76;658772;0
30.07.2025;14:45;17.77;17.81;17.72;17.77;17.76;1389311;0
30.07.2025;15:00;17.77;17.85;17.71;17.76;17.78;947002;0
30.07.2025;15:15;17.76;17.79;17.71;17.71;17.75;966992;0
30.07.2025;15:30;17.71;17.76;17.71;17.72;17.73;223094;0
30.07.2025;15:45;17.75;17.77;17.70;17.76;17.74;1838965;0
30.07.2025;16:00;17.75;17.86;17.75;17.81;17.81;1125057;0
30.07.2025;16:15;17.83;17.83;17.71;17.77;17.77;825847;0
30.07.2025;16:30;17.77;17.83;17.76;17.82;17.80;683574;0
30.07.2025;16:45;17.79;17.83;17.76;17.76;17.80;547913;0
30.07.2025;17:00;17.76;17.79;17.73;17.74;17.76;890890;0
30.07.2025;17:15;17.75;17.78;17.68;17.76;17.73;2024112;0
30.07.2025;17:30;17.73;17.73;17.68;17.71;17.70;1557302;0
30.07.2025;17:45;17.72;17.75;17.65;17.68;17.70;3376177;0
30.07.2025;18:00;17.68;17.68;17.63;17.63;17.65;1175760;0
31.07.2025;10:00;17.69;17.73;17.46;17.53;17.59;3974549;0
31.07.2025;10:15;17.53;17.75;17.49;17.52;17.62;2841726;0
31.07.2025;10:30;17.52;17.73;17.51;17.72;17.62;1749494;0
31.07.2025;10:45;17.70;17.82;17.66;17.66;17.74;1990250;0
31.07.2025;11:00;17.70;17.70;17.62;17.62;17.66;668420;0
31.07.2025;11:15;17.63;17.68;17.55;17.55;17.61;2515208;0
31.07.2025;11:30;17.57;17.57;17.46;17.51;17.51;1520873;0
31.07.2025;11:45;17.51;17.57;17.48;17.57;17.52;1244608;0
31.07.2025;12:00;17.56;17.59;17.51;17.51;17.55;990514;0
31.07.2025;12:15;17.51;17.55;17.50;17.50;17.52;553061;0
31.07.2025;12:30;17.50;17.54;17.45;17.48;17.50;1873894;0
31.07.2025;12:45;17.47;17.49;17.36;17.48;17.43;2388107;0
31.07.2025;13:00;17.48;17.51;17.46;17.48;17.48;469271;0
31.07.2025;13:15;17.48;17.54;17.45;17.50;17.50;288484;0
31.07.2025;13:30;17.48;17.66;17.47;17.60;17.56;1289061;0
31.07.2025;13:45;17.62;17.78;17.61;17.65;17.70;1473312;0
31.07.2025;14:00;17.62;17.87;17.53;17.74;17.70;2878419;0
31.07.2025;14:15;17.74;18.04;17.63;17.74;17.84;11841186;0
31.07.2025;14:30;17.73;17.86;17.67;17.69;17.77;1794208;0
31.07.2025;14:45;17.68;17.70;17.66;17.68;17.68;289120;0
31.07.2025;15:00;17.67;17.68;17.59;17.62;17.64;1476039;0
31.07.2025;15:15;17.62;17.63;17.50;17.62;17.56;2481254;0
31.07.2025;15:30;17.62;17.75;17.60;17.66;17.68;1199592;0
31.07.2025;15:45;17.66;17.66;17.58;17.62;17.62;1266891;0
31.07.2025;16:00;17.58;17.62;17.52;17.59;17.57;752778;0
31.07.2025;16:15;17.59;17.81;17.56;17.79;17.68;2060999;0
31.07.2025;16:30;17.77;18.04;17.72;17.86;17.88;16069443;0
31.07.2025;16:45;17.85;17.86;17.72;17.79;17.79;1164029;0
31.07.2025;17:00;17.79;17.82;17.74;17.80;17.78;1187614;0
31.07.2025;17:15;17.80;17.80;17.67;17.70;17.73;3049422;0
31.07.2025;17:30;17.72;17.90;17.63;17.63;17.76;4698528;0
31.07.2025;17:45;17.63;17.70;17.56;17.56;17.63;3322810;0
31.07.2025;18:00;17.59;17.65;17.56;17.60;17.60;1565324;0
01.08.2025;10:00;17.62;17.64;17.43;17.59;17.53;3520800;0
01.08.2025;10:15;17.59;17.61;17.53;17.60;17.57;1825809;0
01.08.2025;10:30;17.59;17.64;17.57;17.59;17.60;936288;0
01.08.2025;10:45;17.59;17.66;17.58;17.59;17.62;973511;0
01.08.2025;11:00;17.59;17.67;17.56;17.64;17.61;1340317;0
01.08.2025;11:15;17.63;17.68;17.57;17.60;17.62;1049445;0
01.08.2025;11:30;17.60;17.61;17.46;17.46;17.53;1840861;0
01.08.2025;11:45;17.48;17.51;17.45;17.48;17.48;606620;0
01.08.2025;12:00;17.48;17.62;17.48;17.60;17.55;1386657;0
01.08.2025;12:15;17.57;17.60;17.32;17.33;17.46;2380637;0
01.08.2025;12:30;17.34;17.36;17.29;17.32;17.33;1084793;0
01.08.2025;12:45;17.31;17.34;17.26;17.34;17.30;1957732;0
01.08.2025;13:00;17.34;17.37;17.29;17.34;17.33;1419816;0
01.08.2025;13:15;17.32;17.38;17.30;17.35;17.34;756117;0
01.08.2025;13:30;17.36;17.40;17.36;17.37;17.38;450566;0
01.08.2025;13:45;17.41;17.41;17.35;17.35;17.38;467375;0
01.08.2025;14:00;17.38;17.39;17.36;17.36;17.38;211494;0
01.08.2025;14:15;17.36;17.43;17.36;17.37;17.40;957011;0
01.08.2025;14:30;17.37;17.93;17.32;17.52;17.62;4803805;0
01.08.2025;14:45;17.52;17.54;17.48;17.54;17.51;613123;0
01.08.2025;15:00;17.54;17.54;17.46;17.51;17.50;676608;0
01.08.2025;15:15;17.49;17.50;17.45;17.47;17.48;1134337;0
01.08.2025;15:30;17.47;17.50;17.38;17.45;17.44;1060635;0
01.08.2025;15:45;17.41;17.41;17.34;17.35;17.38;1057842;0
01.08.2025;16:00;17.35;17.42;17.34;17.35;17.38;918087;0
01.08.2025;16:15;17.38;17.38;17.31;17.35;17.34;1556614;0
01.08.2025;16:30;17.32;17.34;17.31;17.31;17.32;350920;0
01.08.2025;16:45;17.31;17.33;17.28;17.33;17.31;917987;0
01.08.2025;17:00;17.33;17.33;17.16;17.17;17.24;2718569;0
01.08.2025;17:15;17.18;17.21;16.95;16.98;17.08;7448942;0
01.08.2025;17:30;16.98;17.04;16.94;17.00;16.99;2127992;0
01.08.2025;17:45;17.00;17.00;16.90;16.93;16.95;1229441;0
01.08.2025;18:00;16.93;16.93;16.85;16.90;16.89;1023699;0
02.08.2025;10:00;16.90;17.09;16.90;17.08;16.99;2142013;0
02.08.2025;10:15;17.07;17.12;16.97;17.07;17.05;1833270;0
02.08.2025;10:30;17.09;17.25;17.05;17.08;17.15;3223235;0
02.08.2025;10:45;17.08;17.09;16.97;17.04;17.03;1807665;0
02.08.2025;11:00;17.04;17.06;16.99;17.02;17.02;749983;0
02.08.2025;11:15;17.02;17.10;17.02;17.08;17.06;1242557;0
02.08.2025;11:30;17.08;17.09;17.03;17.03;17.06;834989;0
02.08.2025;11:45;17.04;17.15;17.03;17.12;17.09;1970399;0
02.08.2025;12:00;17.10;17.12;17.05;17.07;17.09;752967;0
02.08.2025;12:15;17.07;17.10;17.04;17.05;17.07;302453;0
02.08.2025;12:30;17.05;17.09;17.05;17.08;17.07;290239;0
02.08.2025;12:45;17.09;17.17;17.08;17.13;17.12;648158;0
02.08.2025;13:00;17.14;17.17;17.03;17.07;17.10;1384177;0
02.08.2025;13:15;17.09;17.10;17.04;17.06;17.07;363669;0
02.08.2025;13:30;17.06;17.06;17.02;17.05;17.04;208852;0
02.08.2025;13:45;17.05;17.09;17.02;17.06;17.06;283522;0
02.08.2025;14:00;17.06;17.08;17.01;17.02;17.05;772432;0
02.08.2025;14:15;17.03;17.07;17.00;17.05;17.03;844094;0
02.08.2025;14:30;17.05;17.07;17.04;17.06;17.06;367675;0
02.08.2025;14:45;17.06;17.06;16.98;16.98;17.02;2037772;0
02.08.2025;15:00;16.99;17.00;16.96;17.00;16.98;572128;0
02.08.2025;15:15;17.00;17.10;17.00;17.10;17.05;989352;0
02.08.2025;15:30;17.10;17.15;17.07;17.07;17.11;1583524;0
02.08.2025;15:45;17.11;17.14;17.07;17.07;17.10;390332;0
02.08.2025;16:00;17.07;17.16;17.06;17.15;17.11;958879;0
02.08.2025;16:15;17.15;17.24;17.15;17.21;17.19;939742;0
02.08.2025;16:30;17.22;17.29;17.19;17.26;17.24;1542683;0
02.08.2025;16:45;17.24;17.30;17.22;17.22;17.26;995059;0
02.08.2025;17:00;17.22;17.34;17.21;17.24;17.27;945378;0
02.08.2025;17:15;17.26;17.29;17.21;17.21;17.25;266104;0
02.08.2025;17:30;17.24;17.32;17.20;17.32;17.26;903964;0
02.08.2025;17:45;17.30;17.32;17.22;17.28;17.27;1452482;0
02.08.2025;18:00;17.26;17.31;17.22;17.23;17.26;821653;0
05.08.2025;10:00;17.48;17.48;17.28;17.28;17.38;4309629;0
05.08.2025;10:15;17.28;17.28;17.12;17.15;17.20;3166843;0
05.08.2025;10:30;17.13;17.22;17.10;17.15;17.16;3037766;0
05.08.2025;10:45;17.15;17.22;17.09;17.15;17.15;2409936;0
05.08.2025;11:00;17.16;17.26;17.10;17.26;17.18;2026300;0
05.08.2025;11:15;17.26;17.28;17.22;17.27;17.25;606124;0
05.08.2025;11:30;17.28;17.35;17.25;17.33;17.30;1118343;0
05.08.2025;11:45;17.33;17.34;17.25;17.33;17.30;488563;0
05.08.2025;12:00;17.32;17.35;17.27;17.32;17.31;799812;0
05.08.2025;12:15;17.32;17.35;17.23;17.25;17.29;554406;0
05.08.2025;12:30;17.25;17.25;17.18;17.21;17.22;542150;0
05.08.2025;12:45;17.21;17.25;17.17;17.23;17.21;784109;0
05.08.2025;13:00;17.23;17.29;17.21;17.25;17.25;1497686;0
05.08.2025;13:15;17.25;17.28;17.24;17.25;17.26;275220;0
05.08.2025;13:30;17.27;17.28;17.22;17.27;17.25;438301;0
05.08.2025;13:45;17.27;17.30;17.19;17.21;17.24;1131562;0
05.08.2025;14:00;17.20;17.28;17.19;17.26;17.24;718121;0
05.08.2025;14:15;17.26;17.30;17.23;17.26;17.26;499127;0
05.08.2025;14:30;17.23;17.23;17.17;17.19;17.20;681667;0
05.08.2025;14:45;17.21;17.32;17.20;17.30;17.26;915236;0
05.08.2025;15:00;17.29;17.34;17.22;17.31;17.28;635642;0
05.08.2025;15:15;17.33;17.33;17.23;17.23;17.28;1353342;0
05.08.2025;15:30;17.23;17.29;17.21;17.25;17.25;1046173;0
05.08.2025;15:45;17.25;17.28;17.24;17.26;17.26;186185;0
05.08.2025;16:00;17.24;17.28;17.22;17.25;17.25;445554;0
05.08.2025;16:15;17.25;17.28;17.21;17.25;17.24;271362;0
05.08.2025;16:30;17.25;17.25;17.20;17.21;17.23;289024;0
05.08.2025;16:45;17.21;17.28;17.21;17.24;17.24;484903;0
05.08.2025;17:00;17.24;17.31;17.24;17.30;17.27;478452;0
05.08.2025;17:15;17.27;17.31;17.26;17.29;17.28;562578;0
05.08.2025;17:30;17.28;17.32;17.24;17.29;17.28;743195;0
05.08.2025;17:45;17.31;17.33;17.23;17.29;17.28;1257031;0
05.08.2025;18:00;17.29;17.70;17.28;17.70;17.49;7581041;0
06.08.2025;10:00;17.70;17.76;17.50;17.62;17.63;8420868;0
06.08.2025;10:15;17.58;17.75;17.52;17.64;17.64;6172511;0
06.08.2025;10:30;17.64;17.65;17.50;17.53;17.57;1739791;0
06.08.2025;10:45;17.53;17.72;17.53;17.57;17.62;2388237;0
06.08.2025;11:00;17.57;17.63;17.55;17.58;17.59;779772;0
06.08.2025;11:15;17.57;17.63;17.55;17.62;17.59;787584;0
06.08.2025;11:30;17.60;17.62;17.50;17.55;17.56;2061768;0
06.08.2025;11:45;17.55;17.55;17.37;17.37;17.46;2888119;0
06.08.2025;12:00;17.39;17.42;17.33;17.39;17.38;3064481;0
06.08.2025;12:15;17.39;17.44;17.33;17.44;17.39;1851560;0
06.08.2025;12:30;17.43;17.44;17.37;17.42;17.41;778941;0
06.08.2025;12:45;17.43;17.56;17.43;17.47;17.49;3063012;0
06.08.2025;13:00;17.45;17.50;17.45;17.48;17.48;639831;0
06.08.2025;13:15;17.48;17.54;17.48;17.52;17.51;1136068;0
06.08.2025;13:30;17.53;17.54;17.49;17.49;17.52;449187;0
06.08.2025;13:45;17.52;17.52;17.44;17.44;17.48;639602;0
06.08.2025;14:00;17.47;17.48;17.42;17.43;17.45;701400;0
06.08.2025;14:15;17.45;17.65;17.45;17.64;17.55;2018756;0
06.08.2025;14:30;17.62;17.62;17.53;17.53;17.58;283868;0
06.08.2025;14:45;17.53;17.54;17.44;17.52;17.49;787985;0
06.08.2025;15:00;17.51;17.56;17.46;17.56;17.51;262311;0
06.08.2025;15:15;17.56;17.62;17.54;17.59;17.58;1326542;0
06.08.2025;15:30;17.59;17.59;17.50;17.54;17.55;528478;0
06.08.2025;15:45;17.52;17.53;17.51;17.51;17.52;139004;0
06.08.2025;16:00;17.54;17.57;17.44;17.54;17.51;1673044;0
06.08.2025;16:15;17.54;17.55;17.48;17.51;17.51;465038;0
06.08.2025;16:30;17.51;17.54;17.48;17.52;17.51;294152;0
06.08.2025;16:45;17.52;17.69;17.52;17.59;17.61;545054;0
06.08.2025;17:00;17.58;17.98;17.52;17.63;17.75;9243773;0
06.08.2025;17:15;17.63;17.74;17.53;17.55;17.64;5904905;0
06.08.2025;17:30;17.55;17.56;17.48;17.50;17.52;1720625;0
06.08.2025;17:45;17.50;17.56;17.49;17.52;17.52;2717763;0
06.08.2025;18:00;17.52;17.55;17.33;17.33;17.44;2256292;0
07.08.2025;10:00;17.24;18.50;17.11;18.11;17.81;51087764;0
07.08.2025;10:15;18.07;18.52;18.05;18.38;18.28;49093218;0
07.08.2025;10:30;18.35;18.54;18.21;18.43;18.38;16420567;0
07.08.2025;10:45;18.44;18.50;18.15;18.18;18.32;10742015;0
07.08.2025;11:00;18.18;18.35;18.15;18.15;18.25;9404941;0
07.08.2025;11:15;18.17;18.26;17.98;18.05;18.12;11114795;0
