Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;54.16;54.16;54.16;54.16;54.16;674107;0
27.02.2024;10:05;54.20;55.70;54.16;54.95;54.93;79195312;0
27.02.2024;11:05;54.91;55.08;54.87;54.95;54.97;32374870;0
27.02.2024;12:05;54.91;55.17;54.87;55.13;55.02;28486790;0
27.02.2024;13:05;55.13;55.40;55.04;55.31;55.22;11602580;0
27.02.2024;14:05;55.26;55.92;55.26;55.70;55.59;31318060;0
27.02.2024;15:05;55.70;55.88;55.43;55.84;55.66;17999440;0
27.02.2024;16:05;55.84;56.81;55.75;56.40;56.28;49487872;0
27.02.2024;17:05;56.40;56.72;56.28;56.49;56.50;36590000;0
27.02.2024;18:05;56.81;56.81;56.81;56.81;56.81;7923483;0
01.03.2024;09:05;56.81;56.81;56.81;56.81;56.81;1820713;0
01.03.2024;10:05;56.84;57.69;56.81;57.20;57.25;52741048;0
01.03.2024;11:05;57.16;57.37;56.93;57.20;57.15;33831768;0
01.03.2024;12:05;57.16;57.42;57.07;57.29;57.25;11833510;0
01.03.2024;13:05;57.29;58.17;57.20;58.08;57.68;52712192;0
01.03.2024;14:05;58.04;58.78;57.95;58.52;58.37;55158640;0
01.03.2024;15:05;58.52;60.24;58.52;60.07;59.38;76926912;0
01.03.2024;16:05;60.07;60.63;59.54;60.37;60.09;54376960;0
01.03.2024;17:05;60.37;60.46;60.15;60.33;60.31;30514810;0
01.03.2024;18:05;60.37;60.37;60.37;60.37;60.37;6310220;0
02.03.2024;09:05;60.37;60.37;60.37;60.37;60.37;1770040;0
02.03.2024;10:05;60.42;61.21;59.89;60.33;60.55;55501660;0
02.03.2024;11:05;60.33;60.81;59.93;60.37;60.37;42491352;0
02.03.2024;12:05;60.42;60.42;60.07;60.28;60.24;16459900;0
08.03.2024;09:05;60.07;60.07;60.07;60.07;60.07;8447192;0
08.03.2024;10:05;60.02;60.15;58.30;58.66;59.23;152847904;0
08.03.2024;11:05;58.66;58.96;58.39;58.61;58.68;50332780;0
08.03.2024;12:05;58.61;58.83;58.30;58.61;58.57;29384100;0
08.03.2024;13:05;58.66;58.70;58.22;58.25;58.46;32898310;0
08.03.2024;14:05;58.30;58.48;57.95;58.39;58.22;28543440;0
08.03.2024;15:05;58.39;58.48;58.17;58.48;58.32;17196850;0
08.03.2024;16:05;58.43;58.52;58.25;58.34;58.39;17433490;0
08.03.2024;17:05;58.34;58.39;57.90;58.25;58.15;50381060;0
08.03.2024;18:05;57.81;57.81;57.81;57.81;57.81;20202830;0
09.03.2024;09:05;57.55;57.55;57.55;57.55;57.55;2005363;0
09.03.2024;10:05;57.51;58.52;57.33;58.13;57.93;50703620;0
09.03.2024;11:05;58.17;58.39;57.86;58.34;58.13;32199560;0
09.03.2024;12:05;58.34;58.39;58.13;58.22;58.26;17431910;0
09.03.2024;13:05;58.17;58.25;57.86;58.04;58.06;21329340;0
09.03.2024;14:05;58.04;58.30;57.78;58.17;58.04;20458510;0
09.03.2024;15:05;58.17;58.17;57.86;57.95;58.02;16799540;0
09.03.2024;16:05;57.95;57.99;57.73;57.90;57.86;21419610;0
09.03.2024;17:05;57.90;58.22;57.81;57.90;58.02;29414050;0
09.03.2024;18:05;57.90;57.90;57.90;57.90;57.90;6357132;0
10.03.2024;09:05;57.99;57.99;57.99;57.99;57.99;1717380;0
10.03.2024;10:05;58.08;59.19;57.99;58.87;58.59;43210088;0
10.03.2024;11:05;58.87;59.36;58.74;59.19;59.05;60242712;0
10.03.2024;12:05;59.19;59.93;59.14;59.63;59.53;43844032;0
10.03.2024;13:05;59.63;59.67;59.27;59.27;59.47;29123770;0
10.03.2024;14:05;59.22;59.31;58.74;59.05;59.03;40989520;0
10.03.2024;15:05;59.05;59.14;58.52;58.66;58.83;46225152;0
10.03.2024;16:05;58.61;59.01;58.52;58.87;58.76;24926680;0
10.03.2024;17:05;58.87;58.92;58.30;58.70;58.61;49139272;0
10.03.2024;18:05;58.61;58.61;58.61;58.61;58.61;12014560;0
11.03.2024;09:05;58.78;58.78;58.78;58.78;58.78;624979;0
11.03.2024;10:05;58.78;60.15;58.78;59.22;59.47;54350740;0
11.03.2024;11:05;59.22;59.45;59.14;59.31;59.29;13699770;0
11.03.2024;12:05;59.27;59.31;58.96;59.05;59.14;11676850;0
11.03.2024;13:05;59.05;59.05;58.78;58.87;58.92;14083130;0
11.03.2024;14:05;58.92;58.96;58.52;58.83;58.74;39787480;0
11.03.2024;15:05;58.87;58.87;58.39;58.43;58.63;20503210;0
11.03.2024;16:05;58.43;58.52;58.08;58.34;58.30;52730760;0
11.03.2024;17:05;58.30;58.96;58.25;58.74;58.61;22915480;0
11.03.2024;18:05;58.39;58.39;58.39;58.39;58.39;11482450;0
12.03.2024;09:05;58.22;58.22;58.22;58.22;58.22;1523774;0
12.03.2024;10:05;58.22;58.39;57.73;57.81;58.06;32285570;0
12.03.2024;11:05;57.86;58.08;57.78;57.90;57.93;20219450;0
12.03.2024;12:05;57.95;57.95;57.78;57.90;57.86;12077020;0
12.03.2024;13:05;57.86;57.99;57.81;57.86;57.90;13614940;0
12.03.2024;14:05;57.86;57.95;57.69;57.90;57.82;12293800;0
12.03.2024;15:05;57.90;59.14;57.86;58.66;58.50;48895408;0
12.03.2024;16:05;58.66;59.01;57.90;57.95;58.46;22844570;0
12.03.2024;17:05;57.95;58.25;57.81;57.99;58.03;36355568;0
12.03.2024;18:05;57.73;57.73;57.73;57.73;57.73;10595280;0
15.03.2024;09:05;57.99;57.99;57.99;57.99;57.99;1258096;0
15.03.2024;10:05;58.04;59.49;58.04;59.27;58.76;58598560;0
15.03.2024;11:05;59.27;59.40;59.01;59.31;59.20;31527900;0
15.03.2024;12:05;59.27;59.63;59.10;59.63;59.36;21206420;0
15.03.2024;13:05;59.58;59.75;59.27;59.36;59.51;24390310;0
15.03.2024;14:05;59.36;59.45;59.14;59.45;59.29;13005480;0
15.03.2024;15:05;59.45;59.80;59.36;59.63;59.58;24431490;0
15.03.2024;16:05;59.54;59.63;59.10;59.36;59.36;16003800;0
15.03.2024;17:05;59.36;59.89;59.14;59.63;59.51;72187008;0
15.03.2024;18:05;59.75;59.75;59.75;59.75;59.75;9319788;0
17.03.2024;09:05;59.80;59.80;59.80;59.80;59.80;3278512;0
17.03.2024;10:05;59.80;60.28;58.96;59.05;59.62;75763392;0
17.03.2024;11:05;59.05;59.80;59.01;59.71;59.41;26950310;0
17.03.2024;12:05;59.75;59.93;59.31;59.36;59.62;31759700;0
17.03.2024;13:05;59.31;59.75;58.96;59.71;59.36;31301300;0
17.03.2024;14:05;59.71;59.71;59.22;59.40;59.47;32172340;0
17.03.2024;15:05;59.36;59.67;59.27;59.63;59.47;23193230;0
17.03.2024;16:05;59.63;59.67;59.01;59.36;59.34;46248420;0
17.03.2024;17:05;59.36;59.54;59.10;59.10;59.32;63109420;0
17.03.2024;18:05;59.14;59.14;59.14;59.14;59.14;25668440;0
18.03.2024;09:05;59.75;59.75;59.75;59.75;59.75;1164804;0
18.03.2024;10:05;59.54;59.71;58.96;59.31;59.34;63537168;0
18.03.2024;11:05;59.31;59.67;59.31;59.67;59.49;21082040;0
18.03.2024;12:05;59.67;60.24;59.49;60.15;59.87;51953680;0
18.03.2024;13:05;60.15;60.28;59.89;59.98;60.09;21055310;0
18.03.2024;14:05;59.98;60.33;59.63;60.15;59.98;37936640;0
18.03.2024;15:05;60.15;60.37;59.98;60.15;60.17;40983900;0
18.03.2024;16:05;60.15;60.37;59.93;60.11;60.15;31436060;0
18.03.2024;17:05;60.11;60.72;60.02;60.72;60.37;48026568;0
18.03.2024;18:05;60.72;60.72;60.72;60.72;60.72;11911430;0
19.03.2024;09:05;60.81;60.81;60.81;60.81;60.81;1690500;0
19.03.2024;10:05;60.81;62.40;60.77;61.52;61.58;108885800;0
19.03.2024;11:05;61.48;62.22;61.39;62.01;61.80;33235960;0
19.03.2024;12:05;62.01;62.13;61.65;62.09;61.89;20365390;0
19.03.2024;13:05;62.09;62.27;61.60;61.65;61.94;28774380;0
19.03.2024;14:05;61.65;62.01;61.48;61.60;61.74;29304830;0
19.03.2024;15:05;61.56;61.65;61.34;61.43;61.50;17912660;0
19.03.2024;16:05;61.48;61.78;61.30;61.30;61.54;29617840;0
19.03.2024;17:05;61.30;61.83;61.21;61.60;61.52;31578180;0
19.03.2024;18:05;61.43;61.43;61.43;61.43;61.43;5783009;0
22.03.2024;09:05;61.69;61.69;61.69;61.69;61.69;1997100;0
22.03.2024;10:05;61.83;63.15;61.69;63.15;62.42;102969904;0
22.03.2024;11:05;63.15;63.90;62.97;62.97;63.44;61520720;0
22.03.2024;12:05;62.97;63.54;62.89;63.54;63.21;22588550;0
22.03.2024;13:05;63.54;63.63;63.28;63.37;63.45;21092890;0
22.03.2024;14:05;63.37;63.45;63.01;63.28;63.23;27122050;0
22.03.2024;15:05;63.28;63.45;62.97;63.19;63.21;15959460;0
22.03.2024;16:05;63.19;63.45;63.19;63.28;63.32;19837790;0
22.03.2024;17:05;63.28;63.54;63.01;63.54;63.28;59559352;0
22.03.2024;18:05;63.54;63.54;63.54;63.54;63.54;16210240;0
23.03.2024;09:05;63.72;63.72;63.72;63.72;63.72;3796473;0
23.03.2024;10:05;63.68;64.25;62.75;64.07;63.50;97523008;0
23.03.2024;11:05;64.07;64.83;63.98;64.78;64.40;92190040;0
23.03.2024;12:05;64.78;64.95;64.07;64.30;64.51;44700568;0
23.03.2024;13:05;64.25;64.42;63.94;63.98;64.18;19938420;0
23.03.2024;14:05;64.07;64.34;63.59;63.98;63.96;46890432;0
23.03.2024;15:05;63.98;64.30;63.72;64.16;64.01;26969630;0
23.03.2024;16:05;64.16;64.25;63.90;64.12;64.07;22029110;0
23.03.2024;17:05;64.16;64.30;63.86;63.94;64.08;35073928;0
23.03.2024;18:05;63.90;63.90;63.90;63.90;63.90;29793150;0
27.03.2024;09:05;64.74;64.74;64.74;64.74;64.74;1957443;0
27.03.2024;10:05;64.78;65.83;63.94;64.47;64.89;96862632;0
27.03.2024;11:05;64.47;64.60;64.21;64.42;64.40;30592450;0
27.03.2024;12:05;64.42;64.74;64.30;64.69;64.52;21768480;0
27.03.2024;13:05;64.69;64.95;64.07;64.25;64.51;43541232;0
27.03.2024;14:05;64.25;64.47;63.50;63.50;63.99;50132360;0
27.03.2024;15:05;63.50;64.07;63.33;63.72;63.70;38888540;0
27.03.2024;16:05;63.72;63.86;63.01;63.54;63.44;75322088;0
27.03.2024;17:05;63.59;63.86;62.89;63.45;63.37;78093600;0
27.03.2024;18:05;62.84;62.84;62.84;62.84;62.84;46294360;0
28.03.2024;09:05;63.19;63.19;63.19;63.19;63.19;4107693;0
28.03.2024;10:05;63.28;63.77;63.19;63.63;63.48;42209020;0
28.03.2024;11:05;63.63;63.81;62.97;63.01;63.39;29686330;0
28.03.2024;12:05;62.97;63.33;62.36;62.49;62.84;32128090;0
28.03.2024;13:05;62.49;62.80;62.40;62.80;62.60;29869920;0
28.03.2024;14:05;62.80;63.37;62.80;62.93;63.08;21485060;0
28.03.2024;15:05;62.93;63.10;62.75;62.89;62.93;18144950;0
28.03.2024;16:05;62.89;63.06;62.71;62.84;62.89;18652600;0
28.03.2024;17:05;62.84;63.15;62.80;62.93;62.97;42272048;0
28.03.2024;18:05;62.71;62.71;62.71;62.71;62.71;15088780;0
31.03.2024;09:05;62.84;62.84;62.84;62.84;62.84;2242385;0
31.03.2024;10:05;62.89;63.33;62.57;63.15;62.95;46498072;0
31.03.2024;11:05;63.19;64.21;63.15;63.86;63.68;88988224;0
31.03.2024;12:05;63.77;63.90;63.45;63.63;63.68;18339560;0
31.03.2024;13:05;63.63;63.81;63.59;63.72;63.70;9619170;0
31.03.2024;14:05;63.72;63.94;63.72;63.86;63.83;13150720;0
31.03.2024;15:05;63.90;63.98;63.54;63.54;63.76;16585230;0
31.03.2024;16:05;63.59;63.81;63.50;63.72;63.66;16420610;0
31.03.2024;17:05;63.72;63.90;63.59;63.77;63.74;33553590;0
31.03.2024;18:05;63.50;63.50;63.50;63.50;63.50;11543860;0
01.04.2024;09:05;63.59;63.59;63.59;63.59;63.59;1238094;0
01.04.2024;10:05;63.68;63.94;62.57;63.15;63.26;86899760;0
01.04.2024;11:05;63.10;63.19;62.66;62.75;62.93;40535688;0
01.04.2024;12:05;62.80;62.80;62.40;62.45;62.60;28788840;0
01.04.2024;13:05;62.45;62.53;61.96;62.01;62.25;27195690;0
01.04.2024;14:05;61.96;62.62;61.87;62.53;62.25;21937720;0
01.04.2024;15:05;62.53;62.62;62.27;62.40;62.45;19934400;0
01.04.2024;16:05;62.40;63.15;62.27;63.01;62.71;30709090;0
01.04.2024;17:05;63.06;63.37;62.84;63.06;63.10;57784472;0
01.04.2024;18:05;62.97;62.97;62.97;62.97;62.97;16947220;0
02.04.2024;09:05;62.97;62.97;62.97;62.97;62.97;805956;0
02.04.2024;10:05;62.97;63.81;62.80;63.24;63.30;46521808;0
02.04.2024;11:05;63.24;63.59;63.15;63.24;63.37;28816940;0
02.04.2024;12:05;63.24;63.45;63.10;63.19;63.28;18866580;0
02.04.2024;13:05;63.19;63.59;63.19;63.59;63.39;23701010;0
02.04.2024;14:05;63.59;63.98;63.59;63.72;63.79;44107640;0
02.04.2024;15:05;63.72;64.03;63.72;63.90;63.88;27948720;0
02.04.2024;16:05;63.90;64.16;63.86;64.16;64.01;35402560;0
02.04.2024;17:05;64.12;64.30;63.77;63.90;64.03;51538180;0
02.04.2024;18:05;63.86;63.86;63.86;63.86;63.86;21305370;0
03.04.2024;09:05;63.90;63.90;63.90;63.90;63.90;832300;0
03.04.2024;10:05;63.98;64.51;63.68;64.16;64.10;52011640;0
03.04.2024;11:05;64.16;64.39;63.90;64.34;64.14;21089430;0
03.04.2024;12:05;64.30;64.51;64.03;64.39;64.27;25068960;0
03.04.2024;13:05;64.39;64.69;64.34;64.60;64.51;41219820;0
03.04.2024;14:05;64.56;64.69;64.34;64.39;64.51;22194240;0
03.04.2024;15:05;64.42;64.69;64.16;64.21;64.42;23307780;0
03.04.2024;16:05;64.21;64.69;64.16;64.56;64.42;33201630;0
03.04.2024;17:05;64.56;65.09;64.56;64.91;64.83;66139592;0
03.04.2024;18:05;65.09;65.09;65.09;65.09;65.09;6780907;0
04.04.2024;09:05;65.22;65.22;65.22;65.22;65.22;2052020;0
04.04.2024;10:05;65.22;66.45;65.04;66.15;65.75;93600320;0
04.04.2024;11:05;66.15;66.15;65.53;65.71;65.84;32711390;0
04.04.2024;12:05;65.71;65.75;65.13;65.22;65.44;21578210;0
04.04.2024;13:05;65.22;65.75;65.13;65.27;65.44;25923480;0
04.04.2024;14:05;65.31;65.57;65.18;65.48;65.37;17079340;0
04.04.2024;15:05;65.48;65.48;65.18;65.35;65.33;14302430;0
04.04.2024;16:05;65.35;65.75;64.83;64.95;65.29;29538380;0
04.04.2024;17:05;64.95;65.66;64.95;65.66;65.31;40733800;0
