Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;28.15;28.15;28.15;28.15;28.15;1183412;0
27.02.2024;10:05;28.15;28.81;28.09;28.79;28.45;63468220;0
27.02.2024;11:05;28.79;28.92;28.75;28.79;28.83;21981430;0
27.02.2024;12:05;28.79;28.89;28.71;28.79;28.80;16637800;0
27.02.2024;13:05;28.79;29.07;28.63;28.99;28.85;25564940;0
27.02.2024;14:05;29.01;29.15;28.91;29.15;29.03;28562700;0
27.02.2024;15:05;29.15;29.17;28.96;29.13;29.06;23106780;0
27.02.2024;16:05;29.11;29.28;29.11;29.13;29.19;46823648;0
27.02.2024;17:05;29.11;29.62;29.05;29.54;29.34;61711560;0
27.02.2024;18:05;29.60;29.60;29.60;29.60;29.60;3398035;0
01.03.2024;09:05;29.73;29.73;29.73;29.73;29.73;2249759;0
01.03.2024;10:05;29.73;30.42;29.71;30.16;30.07;92151024;0
01.03.2024;11:05;30.20;30.26;29.92;30.12;30.09;41138100;0
01.03.2024;12:05;30.12;30.38;29.98;30.34;30.18;28613080;0
01.03.2024;13:05;30.34;30.34;30.16;30.22;30.25;13233470;0
01.03.2024;14:05;30.22;30.24;30.06;30.07;30.15;16059640;0
01.03.2024;15:05;30.07;30.36;30.02;30.20;30.19;21102000;0
01.03.2024;16:05;30.22;30.36;30.16;30.24;30.26;26162610;0
01.03.2024;17:05;30.26;30.58;30.26;30.50;30.42;47103672;0
01.03.2024;18:05;30.56;30.56;30.56;30.56;30.56;3329227;0
02.03.2024;09:05;30.60;30.60;30.60;30.60;30.60;793878;0
02.03.2024;10:05;30.62;30.78;30.10;30.60;30.44;47068968;0
02.03.2024;11:05;30.58;30.88;30.54;30.86;30.71;40884240;0
02.03.2024;12:05;30.84;30.96;30.82;30.88;30.89;20288750;0
08.03.2024;09:05;30.60;30.60;30.60;30.60;30.60;2650505;0
08.03.2024;10:05;30.60;30.66;29.68;29.88;30.17;119697200;0
08.03.2024;11:05;29.88;30.20;29.84;29.92;30.02;66588220;0
08.03.2024;12:05;29.92;30.04;29.80;29.94;29.92;49747272;0
08.03.2024;13:05;29.94;30.06;29.77;29.80;29.91;28141180;0
08.03.2024;14:05;29.80;29.88;29.71;29.86;29.80;29350880;0
08.03.2024;15:05;29.84;29.88;29.66;29.70;29.77;32394700;0
08.03.2024;16:05;29.70;29.82;29.60;29.77;29.71;43808460;0
08.03.2024;17:05;29.77;29.79;29.64;29.77;29.71;38621100;0
08.03.2024;18:05;29.77;29.77;29.77;29.77;29.77;4008497;0
09.03.2024;09:05;29.77;29.77;29.77;29.77;29.77;3440249;0
09.03.2024;10:05;29.77;29.82;29.26;29.30;29.54;58601432;0
09.03.2024;11:05;29.30;29.37;29.19;29.21;29.28;25719850;0
09.03.2024;12:05;29.21;29.21;28.98;29.11;29.09;20566140;0
09.03.2024;13:05;29.09;29.26;29.03;29.22;29.15;14722280;0
09.03.2024;14:05;29.22;29.54;29.07;29.35;29.31;31296150;0
09.03.2024;15:05;29.35;29.35;29.01;29.03;29.18;16708480;0
09.03.2024;16:05;29.05;29.13;28.96;29.05;29.04;19163830;0
09.03.2024;17:05;29.05;29.26;28.99;29.09;29.13;29150410;0
09.03.2024;18:05;29.05;29.05;29.05;29.05;29.05;1762755;0
10.03.2024;09:05;29.15;29.15;29.15;29.15;29.15;1186728;0
10.03.2024;10:05;29.17;29.64;29.17;29.41;29.40;61644048;0
10.03.2024;11:05;29.41;29.45;29.21;29.26;29.33;31449730;0
10.03.2024;12:05;29.26;29.32;29.21;29.22;29.26;13907210;0
10.03.2024;13:05;29.24;29.30;29.05;29.13;29.17;24886040;0
10.03.2024;14:05;29.11;29.17;28.99;29.03;29.08;14243890;0
10.03.2024;15:05;29.01;29.13;28.96;29.03;29.04;20364430;0
10.03.2024;16:05;29.05;29.19;28.98;28.99;29.08;14344780;0
10.03.2024;17:05;28.99;29.15;28.87;28.99;29.01;34293100;0
