Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;18:05;1555.53;1555.53;1555.53;1555.53;1555.53;2602184;0
27.02.2024;09:05;1550.05;1550.05;1550.05;1550.05;1550.05;600738;0
27.02.2024;10:05;1548.23;1592.99;1539.09;1571.06;1566.04;53330560;0
27.02.2024;11:05;1571.06;1580.19;1557.36;1561.01;1568.78;19112500;0
27.02.2024;12:05;1561.93;1603.04;1561.93;1580.19;1582.48;29731240;0
27.02.2024;13:05;1582.02;1589.34;1571.97;1572.89;1580.65;10542320;0
27.02.2024;14:05;1572.89;1597.56;1566.49;1592.08;1582.02;24206580;0
27.02.2024;15:05;1591.16;1622.22;1579.28;1593.90;1600.75;31409200;0
27.02.2024;16:05;1594.82;1611.26;1582.94;1598.47;1597.10;31535080;0
27.02.2024;17:05;1600.30;1603.04;1586.59;1598.47;1594.82;32675010;0
27.02.2024;18:05;1599.38;1599.38;1599.38;1599.38;1599.38;2162485;0
01.03.2024;09:05;1599.38;1599.38;1599.38;1599.38;1599.38;1262471;0
01.03.2024;10:05;1599.38;1612.17;1559.19;1589.34;1585.68;92299792;0
01.03.2024;11:05;1590.25;1633.18;1583.85;1595.73;1608.52;69813328;0
01.03.2024;12:05;1595.73;1604.86;1592.08;1593.90;1598.47;23082430;0
01.03.2024;13:05;1593.90;1598.47;1580.19;1582.02;1589.33;28661980;0
01.03.2024;14:05;1582.94;1584.77;1565.58;1569.23;1575.17;35958560;0
01.03.2024;15:05;1569.23;1572.89;1561.01;1569.23;1566.95;31286530;0
01.03.2024;16:05;1571.06;1597.56;1567.41;1587.51;1582.48;33888800;0
01.03.2024;17:05;1587.51;1624.04;1584.77;1609.43;1604.40;50149520;0
01.03.2024;18:05;1611.26;1611.26;1611.26;1611.26;1611.26;4805136;0
02.03.2024;09:05;1619.48;1619.48;1619.48;1619.48;1619.48;1476909;0
02.03.2024;10:05;1617.65;1757.40;1611.26;1738.21;1684.33;246337696;0
02.03.2024;11:05;1738.21;1767.45;1728.17;1760.14;1747.81;97222576;0
02.03.2024;12:05;1761.06;1772.02;1712.64;1734.56;1742.33;168137792;0
08.03.2024;09:05;1698.03;1698.03;1698.03;1698.03;1698.03;3944798;0
08.03.2024;10:05;1695.29;1732.73;1660.58;1721.77;1696.66;110395296;0
08.03.2024;11:05;1720.86;1780.24;1715.38;1761.97;1747.81;76501800;0
08.03.2024;12:05;1761.97;1777.50;1746.44;1746.44;1761.97;40416000;0
08.03.2024;13:05;1749.18;1798.50;1742.78;1787.54;1770.64;44537712;0
08.03.2024;14:05;1785.72;1840.52;1781.15;1807.64;1810.83;77448144;0
08.03.2024;15:05;1807.64;1822.25;1794.85;1803.98;1808.55;33928620;0
08.03.2024;16:05;1804.90;1867.01;1801.24;1856.05;1834.13;79572304;0
08.03.2024;17:05;1857.87;1868.83;1805.81;1828.65;1837.32;76366784;0
08.03.2024;18:05;1817.68;1817.68;1817.68;1817.68;1817.68;4491430;0
09.03.2024;09:05;1814.03;1814.03;1814.03;1814.03;1814.03;1904574;0
09.03.2024;10:05;1814.03;1845.09;1733.65;1747.35;1789.37;123827104;0
09.03.2024;11:05;1749.18;1763.80;1703.51;1711.73;1733.65;42251380;0
09.03.2024;12:05;1712.64;1735.47;1698.94;1712.64;1717.21;39279448;0
09.03.2024;13:05;1712.64;1719.03;1694.37;1703.51;1706.70;27510240;0
09.03.2024;14:05;1705.33;1718.12;1696.20;1699.85;1707.16;39048712;0
09.03.2024;15:05;1699.85;1716.29;1674.28;1677.02;1695.29;31468840;0
09.03.2024;16:05;1674.28;1684.33;1635.92;1635.92;1660.12;60785360;0
09.03.2024;17:05;1635.92;1645.96;1635.92;1635.92;1640.94;64455700;0
09.03.2024;18:05;1635.92;1635.92;1635.92;1635.92;1635.92;650133;0
10.03.2024;09:05;1625.87;1625.87;1625.87;1625.87;1625.87;2365620;0
10.03.2024;10:05;1621.30;1671.54;1613.08;1638.66;1642.31;146138400;0
10.03.2024;11:05;1638.66;1649.62;1625.87;1629.52;1637.74;49217660;0
10.03.2024;12:05;1629.52;1645.96;1625.87;1645.05;1635.91;30476320;0
10.03.2024;13:05;1645.05;1662.40;1639.57;1653.27;1650.98;47154660;0
10.03.2024;14:05;1653.27;1653.27;1639.57;1643.22;1646.42;23567860;0
10.03.2024;15:05;1643.22;1690.72;1635.92;1653.27;1663.32;54413300;0
10.03.2024;16:05;1652.36;1670.62;1646.88;1655.10;1658.75;30569760;0
10.03.2024;17:05;1654.18;1660.58;1632.26;1644.14;1646.42;37346048;0
10.03.2024;18:05;1648.70;1648.70;1648.70;1648.70;1648.70;1236425;0
11.03.2024;09:05;1653.27;1653.27;1653.27;1653.27;1653.27;486890;0
11.03.2024;10:05;1656.92;1670.62;1636.83;1647.79;1653.72;64735208;0
11.03.2024;11:05;1649.62;1678.85;1644.14;1645.05;1661.49;44350952;0
11.03.2024;12:05;1647.79;1652.36;1643.22;1646.88;1647.79;17553760;0
11.03.2024;13:05;1646.88;1650.53;1632.26;1640.48;1641.39;18738850;0
11.03.2024;14:05;1640.48;1648.70;1615.82;1621.30;1632.26;23419690;0
11.03.2024;15:05;1619.48;1624.04;1495.25;1559.19;1559.64;101547504;0
11.03.2024;16:05;1559.19;1571.06;1552.79;1564.67;1561.93;43735700;0
11.03.2024;17:05;1563.75;1589.34;1556.45;1587.51;1572.89;48939080;0
11.03.2024;18:05;1592.08;1592.08;1592.08;1592.08;1592.08;1078917;0
12.03.2024;09:05;1587.51;1587.51;1587.51;1587.51;1587.51;1378234;0
12.03.2024;10:05;1586.59;1605.78;1559.19;1582.02;1582.48;70585536;0
12.03.2024;11:05;1584.77;1621.30;1567.41;1614.00;1594.36;43944020;0
12.03.2024;12:05;1614.00;1616.74;1592.08;1604.86;1604.41;25072940;0
12.03.2024;13:05;1604.86;1613.08;1599.38;1599.38;1606.23;20370060;0
12.03.2024;14:05;1600.30;1603.04;1584.77;1595.73;1593.90;15583370;0
12.03.2024;15:05;1593.90;1614.00;1592.99;1604.86;1603.49;33920128;0
12.03.2024;16:05;1607.60;1613.08;1598.47;1601.21;1605.77;21805780;0
12.03.2024;17:05;1601.21;1630.44;1599.38;1614.00;1614.91;37980840;0
12.03.2024;18:05;1615.82;1615.82;1615.82;1615.82;1615.82;3239039;0
15.03.2024;09:05;1644.14;1644.14;1644.14;1644.14;1644.14;840600;0
15.03.2024;10:05;1630.44;1657.84;1596.64;1596.64;1627.24;97997248;0
15.03.2024;11:05;1596.64;1598.47;1582.94;1587.51;1590.70;36253720;0
15.03.2024;12:05;1587.51;1593.90;1583.85;1589.34;1588.88;17557810;0
15.03.2024;13:05;1589.34;1589.34;1571.06;1577.45;1580.20;24551670;0
15.03.2024;14:05;1578.37;1580.19;1562.84;1569.23;1571.52;22702850;0
15.03.2024;15:05;1569.23;1574.71;1565.58;1567.41;1570.15;15993700;0
15.03.2024;16:05;1567.41;1571.97;1563.75;1568.32;1567.86;15836180;0
15.03.2024;17:05;1568.32;1572.89;1552.79;1569.23;1562.84;39759000;0
15.03.2024;18:05;1570.15;1570.15;1570.15;1570.15;1570.15;3491289;0
17.03.2024;09:05;1570.14;1570.14;1570.14;1570.14;1570.14;1856376;0
17.03.2024;10:05;1570.14;1595.74;1544.54;1579.63;1570.14;65119312;0
17.03.2024;11:05;1579.63;1616.60;1575.83;1604.28;1596.22;45606940;0
17.03.2024;12:05;1607.12;1609.97;1574.89;1581.52;1592.43;24458180;0
17.03.2024;13:05;1581.52;1586.26;1564.46;1565.40;1575.36;18437720;0
17.03.2024;14:05;1564.46;1571.09;1558.77;1567.30;1564.93;22125580;0
17.03.2024;15:05;1567.30;1583.42;1564.46;1576.78;1573.94;13697660;0
17.03.2024;16:05;1578.68;1585.31;1572.04;1572.04;1578.68;11896730;0
17.03.2024;17:05;1572.99;1592.90;1568.25;1591.00;1580.57;20920170;0
17.03.2024;18:05;1592.90;1592.90;1592.90;1592.90;1592.90;670320;0
18.03.2024;09:05;1592.90;1592.90;1592.90;1592.90;1592.90;584640;0
18.03.2024;10:05;1592.90;1619.45;1566.35;1614.71;1592.90;44373020;0
18.03.2024;11:05;1615.66;1652.63;1611.86;1618.50;1632.25;58542900;0
18.03.2024;12:05;1618.50;1624.19;1602.38;1607.12;1613.29;14362580;0
18.03.2024;13:05;1608.07;1618.50;1607.12;1609.97;1612.81;7649852;0
18.03.2024;14:05;1609.97;1616.60;1602.38;1606.17;1609.49;13555900;0
18.03.2024;15:05;1606.17;1609.97;1592.90;1597.64;1601.43;10218370;0
18.03.2024;16:05;1597.64;1605.23;1587.21;1591.95;1596.22;10151420;0
18.03.2024;17:05;1591.95;1735.12;1591.00;1658.32;1663.06;217511904;0
18.03.2024;18:05;1664.01;1664.01;1664.01;1664.01;1664.01;2874690;0
19.03.2024;09:05;1661.17;1661.17;1661.17;1661.17;1661.17;1329768;0
19.03.2024;10:05;1661.17;1691.51;1607.12;1617.55;1649.32;83922840;0
19.03.2024;11:05;1617.55;1637.46;1611.86;1627.03;1624.66;37926940;0
19.03.2024;12:05;1627.03;1634.62;1618.50;1623.24;1626.56;31473580;0
19.03.2024;13:05;1623.24;1625.14;1615.66;1618.50;1620.40;18015320;0
19.03.2024;14:05;1618.50;1621.34;1611.86;1616.60;1616.60;19046560;0
19.03.2024;15:05;1616.60;1618.50;1611.86;1616.60;1615.18;22053040;0
19.03.2024;16:05;1616.60;1621.34;1608.07;1611.86;1614.71;23789260;0
19.03.2024;17:05;1611.86;1627.98;1611.86;1619.45;1619.92;50089008;0
19.03.2024;18:05;1624.19;1624.19;1624.19;1624.19;1624.19;1923699;0
22.03.2024;09:05;1624.19;1624.19;1624.19;1624.19;1624.19;1183683;0
22.03.2024;10:05;1624.19;1650.74;1609.02;1634.62;1629.88;73536328;0
22.03.2024;11:05;1634.62;1656.43;1629.88;1633.67;1643.15;45942460;0
22.03.2024;12:05;1633.67;1645.05;1631.77;1637.46;1638.41;15508280;0
22.03.2024;13:05;1638.41;1650.74;1626.09;1626.09;1638.41;22986470;0
22.03.2024;14:05;1627.03;1633.67;1620.40;1630.83;1627.03;26500960;0
22.03.2024;15:05;1629.88;1649.79;1623.24;1645.05;1636.52;34938380;0
22.03.2024;16:05;1645.05;1651.69;1639.36;1643.15;1645.52;21027960;0
22.03.2024;17:05;1643.15;1663.06;1635.57;1646.00;1649.32;34591488;0
22.03.2024;18:05;1659.27;1659.27;1659.27;1659.27;1659.27;2821000;0
23.03.2024;09:05;1659.27;1659.27;1659.27;1659.27;1659.27;2618000;0
23.03.2024;10:05;1659.27;1716.16;1649.79;1694.35;1682.97;91897568;0
23.03.2024;11:05;1695.30;1768.31;1690.56;1722.80;1729.43;136584096;0
23.03.2024;12:05;1722.80;1736.07;1699.09;1703.83;1717.58;50317780;0
23.03.2024;13:05;1704.78;1713.32;1691.51;1704.78;1702.41;18240500;0
23.03.2024;14:05;1704.78;1718.06;1704.78;1712.37;1711.42;15870290;0
23.03.2024;15:05;1711.42;1758.83;1699.09;1741.76;1728.96;41143380;0
23.03.2024;16:05;1740.81;1740.81;1717.11;1723.75;1728.96;22502340;0
23.03.2024;17:05;1723.75;1734.18;1717.11;1734.18;1725.64;33471880;0
23.03.2024;18:05;1738.92;1738.92;1738.92;1738.92;1738.92;2703316;0
27.03.2024;09:05;1716.16;1716.16;1716.16;1716.16;1716.16;1554790;0
27.03.2024;10:05;1725.64;1750.29;1706.68;1714.26;1728.49;66723500;0
27.03.2024;11:05;1712.37;1717.11;1688.66;1700.99;1702.89;45833860;0
27.03.2024;12:05;1700.99;1700.99;1668.75;1679.18;1684.87;40992312;0
27.03.2024;13:05;1680.13;1682.03;1669.70;1669.70;1675.86;22020750;0
27.03.2024;14:05;1670.65;1682.97;1669.70;1676.34;1676.34;16783840;0
27.03.2024;15:05;1676.34;1683.92;1671.60;1682.03;1677.76;15917420;0
27.03.2024;16:05;1682.03;1691.51;1680.13;1685.82;1685.82;16750750;0
27.03.2024;17:05;1686.77;1700.99;1682.97;1697.20;1691.98;23634530;0
27.03.2024;18:05;1700.99;1700.99;1700.99;1700.99;1700.99;2072070;0
28.03.2024;09:05;1712.37;1712.37;1712.37;1712.37;1712.37;2956422;0
28.03.2024;10:05;1711.42;1751.24;1694.35;1746.50;1722.80;92126728;0
28.03.2024;11:05;1746.50;1766.41;1738.92;1741.76;1752.66;74552520;0
28.03.2024;12:05;1742.71;1757.88;1740.81;1745.55;1749.35;31223380;0
28.03.2024;13:05;1744.60;1755.98;1741.76;1747.45;1748.87;27751590;0
28.03.2024;14:05;1746.50;1758.83;1745.55;1745.55;1752.19;23291410;0
28.03.2024;15:05;1745.55;1753.14;1725.64;1726.59;1739.39;26593780;0
28.03.2024;16:05;1727.54;1755.98;1723.75;1748.40;1739.86;25875750;0
28.03.2024;17:05;1748.40;1756.93;1742.71;1749.35;1749.82;27581000;0
28.03.2024;18:05;1750.29;1750.29;1750.29;1750.29;1750.29;1945684;0
31.03.2024;09:05;1750.29;1750.29;1750.29;1750.29;1750.29;876850;0
31.03.2024;10:05;1754.09;1767.36;1728.49;1750.29;1747.92;52906952;0
31.03.2024;11:05;1749.35;1755.98;1706.68;1711.42;1731.33;41953100;0
31.03.2024;12:05;1713.32;1726.59;1706.68;1711.42;1716.63;17546350;0
31.03.2024;13:05;1711.42;1724.69;1709.52;1711.42;1717.11;18227530;0
31.03.2024;14:05;1711.42;1725.64;1710.47;1717.11;1718.06;15612400;0
31.03.2024;15:05;1717.11;1720.90;1711.42;1714.26;1716.16;12333960;0
31.03.2024;16:05;1715.21;1739.86;1706.68;1737.97;1723.27;41359860;0
31.03.2024;17:05;1739.86;1759.78;1732.28;1759.78;1746.03;75823120;0
31.03.2024;18:05;1754.09;1754.09;1754.09;1754.09;1754.09;2397600;0
01.04.2024;09:05;1754.09;1754.09;1754.09;1754.09;1754.09;3017350;0
01.04.2024;10:05;1753.14;1838.47;1735.12;1783.48;1786.80;231261792;0
01.04.2024;11:05;1782.53;1785.38;1763.57;1768.31;1774.47;44165320;0
01.04.2024;12:05;1768.31;1770.21;1734.18;1736.07;1752.19;40270232;0
01.04.2024;13:05;1737.02;1741.76;1706.68;1718.06;1724.22;32040160;0
01.04.2024;14:05;1718.06;1732.28;1716.16;1727.54;1724.22;20430060;0
01.04.2024;15:05;1726.59;1754.09;1715.21;1737.97;1734.65;29396170;0
01.04.2024;16:05;1735.12;1741.76;1722.80;1739.86;1732.28;19755710;0
01.04.2024;17:05;1739.86;1755.03;1727.54;1740.81;1741.29;38583380;0
01.04.2024;18:05;1743.66;1743.66;1743.66;1743.66;1743.66;1162248;0
02.04.2024;09:05;1743.66;1743.66;1743.66;1743.66;1743.66;864330;0
02.04.2024;10:05;1744.60;1770.21;1727.54;1750.29;1748.87;57059940;0
02.04.2024;11:05;1750.29;1770.21;1748.40;1756.93;1759.30;35171840;0
02.04.2024;12:05;1757.88;1760.72;1743.66;1750.29;1752.19;21864600;0
02.04.2024;13:05;1750.29;1769.26;1744.60;1769.26;1756.93;20837740;0
02.04.2024;14:05;1768.31;1779.69;1760.72;1773.05;1770.21;35327740;0
02.04.2024;15:05;1773.05;1780.63;1755.98;1762.62;1768.31;18740880;0
02.04.2024;16:05;1762.62;1769.26;1754.09;1758.83;1761.67;20649170;0
02.04.2024;17:05;1758.83;1774.95;1754.09;1766.41;1764.52;36955872;0
02.04.2024;18:05;1766.41;1766.41;1766.41;1766.41;1766.41;1432647;0
03.04.2024;09:05;1766.41;1766.41;1766.41;1766.41;1766.41;232875;0
03.04.2024;10:05;1766.41;1766.41;1706.68;1708.58;1736.55;84997600;0
03.04.2024;11:05;1706.68;1710.47;1685.82;1690.56;1698.15;50008120;0
03.04.2024;12:05;1690.56;1705.73;1687.72;1699.09;1696.72;21580060;0
03.04.2024;13:05;1699.09;1699.09;1687.72;1695.30;1693.40;15110250;0
03.04.2024;14:05;1694.35;1698.15;1680.13;1682.03;1689.14;19918600;0
03.04.2024;15:05;1682.03;1688.66;1673.49;1687.72;1681.08;15727400;0
03.04.2024;16:05;1687.72;1706.68;1686.77;1699.09;1696.72;13843380;0
03.04.2024;17:05;1699.09;1705.73;1678.23;1694.35;1691.98;29969550;0
03.04.2024;18:05;1672.55;1672.55;1672.55;1672.55;1672.55;2891196;0
04.04.2024;09:05;1668.75;1668.75;1668.75;1668.75;1668.75;2523840;0
04.04.2024;10:05;1668.75;1668.75;1611.86;1640.31;1640.31;56289400;0
04.04.2024;11:05;1640.31;1657.37;1631.77;1638.41;1644.57;15628960;0
04.04.2024;12:05;1639.36;1650.74;1635.57;1636.52;1643.15;12083990;0
04.04.2024;13:05;1636.52;1651.69;1635.57;1638.41;1643.63;18586700;0
04.04.2024;14:05;1639.36;1660.22;1639.36;1652.63;1649.79;12593120;0
04.04.2024;15:05;1653.58;1661.17;1649.79;1654.53;1655.48;14185220;0
04.04.2024;16:05;1654.53;1687.72;1654.53;1677.29;1671.12;31042600;0
04.04.2024;17:05;1677.29;1679.18;1654.53;1659.27;1666.86;26408140;0
04.04.2024;18:05;1651.69;1651.69;1651.69;1651.69;1651.69;853580;0
07.04.2024;09:05;1782.53;1782.53;1782.53;1782.53;1782.53;9082280;0
07.04.2024;10:05;1782.53;1784.43;1706.68;1725.64;1745.55;158937408;0
07.04.2024;11:05;1725.64;1746.50;1716.16;1733.23;1731.33;43307780;0
07.04.2024;12:05;1733.23;1738.92;1722.80;1733.23;1730.86;20976800;0
07.04.2024;13:05;1733.23;1752.19;1722.80;1734.18;1737.49;32989450;0
07.04.2024;14:05;1734.18;1742.71;1725.64;1725.64;1734.18;20976480;0
07.04.2024;15:05;1727.54;1727.54;1713.32;1714.26;1720.43;17335760;0
07.04.2024;16:05;1715.21;1755.98;1706.68;1743.66;1731.33;50259340;0
07.04.2024;17:05;1743.66;1743.66;1712.37;1714.26;1728.01;42111800;0
07.04.2024;18:05;1706.68;1706.68;1706.68;1706.68;1706.68;4104000;0
08.04.2024;09:05;1706.68;1706.68;1706.68;1706.68;1706.68;1081800;0
08.04.2024;10:05;1706.68;1730.38;1676.34;1703.83;1703.36;58624192;0
08.04.2024;11:05;1703.83;1723.75;1693.40;1716.16;1708.58;27634720;0
08.04.2024;12:05;1716.16;1737.02;1713.32;1735.12;1725.17;26663680;0
08.04.2024;13:05;1735.12;1767.36;1732.28;1753.14;1749.82;78805568;0
08.04.2024;14:05;1754.09;1776.84;1739.86;1769.26;1758.35;33332550;0
08.04.2024;15:05;1769.26;1785.38;1760.72;1760.72;1773.05;47846400;0
08.04.2024;16:05;1761.67;1776.84;1756.93;1765.46;1766.89;29184580;0
08.04.2024;17:05;1766.41;1774.95;1758.83;1764.52;1766.89;29310430;0
08.04.2024;18:05;1763.57;1763.57;1763.57;1763.57;1763.57;2393820;0
09.04.2024;09:05;1763.57;1763.57;1763.57;1763.57;1763.57;820260;0
09.04.2024;10:05;1763.57;1872.61;1754.09;1848.90;1813.35;225254896;0
09.04.2024;11:05;1848.90;1854.59;1808.13;1843.21;1831.36;48027192;0
09.04.2024;12:05;1842.27;1895.36;1842.27;1887.78;1868.81;84531512;0
09.04.2024;13:05;1886.83;1896.31;1852.69;1858.38;1874.50;59554660;0
09.04.2024;14:05;1858.38;1876.40;1848.90;1855.54;1862.65;31158740;0
09.04.2024;15:05;1855.54;1874.50;1855.54;1867.87;1865.02;23958650;0
09.04.2024;16:05;1866.92;1873.55;1852.69;1858.38;1863.12;28551560;0
09.04.2024;17:05;1860.28;1872.61;1840.37;1865.02;1856.49;44438920;0
09.04.2024;18:05;1865.02;1865.02;1865.02;1865.02;1865.02;2458750;0
10.04.2024;09:05;1875.45;1875.45;1875.45;1875.45;1875.45;925704;0
10.04.2024;10:05;1875.45;1934.24;1867.87;1881.14;1901.05;170348608;0
10.04.2024;11:05;1881.14;1938.98;1878.29;1908.64;1908.64;99322200;0
10.04.2024;12:05;1908.64;1911.48;1887.78;1891.57;1899.63;41997120;0
10.04.2024;13:05;1891.57;1909.58;1886.83;1888.72;1898.21;21594770;0
10.04.2024;14:05;1888.72;1890.62;1869.76;1882.09;1880.19;33954392;0
10.04.2024;15:05;1882.09;1924.75;1880.19;1920.96;1902.47;38702460;0
10.04.2024;16:05;1920.96;2001.56;1918.12;1973.11;1959.84;240667392;0
10.04.2024;17:05;1971.21;2018.62;1962.68;1995.87;1990.65;120165000;0
10.04.2024;18:05;1998.71;1998.71;1998.71;1998.71;1998.71;5533500;0
11.04.2024;09:05;1998.71;1998.71;1998.71;1998.71;1998.71;2369392;0
11.04.2024;10:05;1998.71;2018.62;1976.90;1984.49;1997.76;115569200;0
11.04.2024;11:05;1987.33;1999.66;1977.85;1986.38;1988.75;32006560;0
11.04.2024;12:05;1987.33;1999.66;1967.42;1989.23;1983.54;54708912;0
11.04.2024;13:05;1989.23;2018.62;1978.80;1994.92;1998.71;50188380;0
11.04.2024;14:05;1995.87;2011.04;1990.18;2001.56;2000.61;43918300;0
11.04.2024;15:05;2000.61;2025.26;1995.87;2005.35;2010.56;51322440;0
11.04.2024;16:05;2003.45;2011.98;1996.81;2008.19;2004.40;20311770;0
11.04.2024;17:05;2007.24;2015.78;1999.66;2001.56;2007.72;43849728;0
11.04.2024;18:05;2001.56;2001.56;2001.56;2001.56;2001.56;2917402;0
14.04.2024;09:05;2001.56;2001.56;2001.56;2001.56;2001.56;2623973;0
14.04.2024;10:05;2001.56;2037.58;1976.90;2014.83;2007.24;98117040;0
14.04.2024;11:05;2012.93;2014.83;1994.92;1994.92;2004.87;24068680;0
14.04.2024;12:05;1995.87;2007.24;1991.13;2004.40;1999.18;26960820;0
14.04.2024;13:05;2004.40;2024.31;1989.23;2024.31;2006.77;55359000;0
14.04.2024;14:05;2021.47;2064.13;2021.47;2032.84;2042.80;92969424;0
14.04.2024;15:05;2032.84;2043.27;2020.52;2035.69;2031.90;27403660;0
14.04.2024;16:05;2035.69;2035.69;1999.66;2001.56;2017.67;30862600;0
14.04.2024;17:05;2001.56;2016.73;1999.66;2015.78;2008.19;22659280;0
14.04.2024;18:05;2011.98;2011.98;2011.98;2011.98;2011.98;1712454;0
15.04.2024;09:05;2014.83;2014.83;2014.83;2014.83;2014.83;420750;0
15.04.2024;10:05;2016.73;2051.81;2001.56;2012.93;2026.68;92323744;0
15.04.2024;11:05;2012.93;2013.88;1924.75;1928.55;1969.32;129221600;0
15.04.2024;12:05;1930.44;1947.51;1920.01;1933.29;1933.76;48610752;0
15.04.2024;13:05;1934.24;1941.82;1920.96;1934.24;1931.39;37260832;0
15.04.2024;14:05;1934.24;1945.61;1929.50;1933.29;1937.55;23593620;0
15.04.2024;15:05;1932.34;1935.18;1895.36;1899.15;1915.27;56466340;0
15.04.2024;16:05;1898.21;1928.55;1898.21;1911.48;1913.38;36505992;0
15.04.2024;17:05;1910.53;1930.44;1896.31;1913.38;1913.38;57228900;0
15.04.2024;18:05;1913.38;1913.38;1913.38;1913.38;1913.38;2155224;0
16.04.2024;09:05;1934.24;1934.24;1934.24;1934.24;1934.24;867000;0
16.04.2024;10:05;1935.18;1948.46;1914.32;1916.22;1931.39;66119368;0
16.04.2024;11:05;1916.22;1921.91;1882.09;1912.43;1902.00;40831120;0
16.04.2024;12:05;1912.43;1926.65;1907.69;1913.38;1917.17;24946560;0
16.04.2024;13:05;1912.43;1924.75;1906.74;1910.53;1915.75;15574440;0
16.04.2024;14:05;1909.58;1913.38;1894.41;1903.90;1903.90;27588480;0
16.04.2024;15:05;1901.05;1908.64;1892.52;1896.31;1900.58;15058160;0
16.04.2024;16:05;1898.21;1926.65;1892.52;1918.12;1909.58;39545020;0
