Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;4.85;4.85;4.40;4.61;4.63;1869726;0
08.05.2005;00:00;4.61;4.82;4.52;4.82;4.67;2461047;0
09.05.2005;00:00;4.82;5.15;4.73;4.82;4.94;7135355;0
10.05.2005;00:00;4.65;4.99;4.45;4.99;4.72;1752229;0
14.05.2005;00:00;4.99;5.03;4.45;4.78;4.74;2837861;0
15.05.2005;00:00;4.69;4.82;4.61;4.69;4.71;1906213;0
16.05.2005;00:00;4.61;4.69;4.14;4.23;4.42;4713796;0
17.05.2005;00:00;4.19;4.48;4.19;4.40;4.34;3180600;0
18.05.2005;00:00;4.40;4.61;4.40;4.52;4.50;2381247;0
21.05.2005;00:00;4.52;4.82;4.36;4.82;4.59;4374090;0
22.05.2005;00:00;4.73;5.15;4.57;5.15;4.86;7774540;0
23.05.2005;00:00;5.20;5.49;5.07;5.49;5.28;6473066;0
25.05.2005;00:00;5.44;5.66;5.20;5.58;5.43;3418951;0
26.05.2005;00:00;5.58;5.78;5.40;5.58;5.59;3945597;0
29.05.2005;00:00;5.36;5.49;5.20;5.23;5.34;812670;0
30.05.2005;00:00;5.20;5.28;5.03;5.11;5.15;937173;0
31.05.2005;00:00;5.15;5.28;4.85;4.94;5.07;1030255;0
01.06.2005;00:00;4.94;5.03;4.69;4.82;4.86;841327;0
02.06.2005;00:00;4.85;5.03;4.57;4.73;4.80;980161;0
05.06.2005;00:00;4.90;4.90;4.57;4.73;4.74;778095;0
06.06.2005;00:00;4.61;4.65;4.36;4.48;4.50;768013;0
07.06.2005;00:00;4.40;4.57;4.36;4.48;4.47;750459;0
08.06.2005;00:00;4.57;4.69;4.48;4.61;4.59;1019654;0
09.06.2005;00:00;4.65;4.78;4.36;4.45;4.57;3118350;0
12.06.2005;00:00;4.52;4.61;4.40;4.57;4.50;1400073;0
13.06.2005;00:00;4.48;4.57;4.40;4.45;4.48;1182733;0
14.06.2005;00:00;4.45;4.48;4.23;4.28;4.36;416799;0
15.06.2005;00:00;4.52;4.61;4.28;4.28;4.44;718581;0
16.06.2005;00:00;4.28;4.28;3.93;4.02;4.11;586062;0
19.06.2005;00:00;4.19;4.31;3.73;4.11;4.02;476898;0
20.06.2005;00:00;4.07;4.11;3.87;3.99;3.99;721892;0
