Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;8.66;8.69;8.63;8.67;8.66;1852675;0
24.08.2025;11:30;8.67;8.71;8.65;8.70;8.68;1492962;0
24.08.2025;11:45;8.70;8.71;8.63;8.68;8.67;2119522;0
24.08.2025;12:00;8.68;8.69;8.63;8.69;8.66;2472535;0
24.08.2025;12:15;8.69;8.74;8.67;8.72;8.70;3010868;0
24.08.2025;12:30;8.72;8.79;8.70;8.76;8.74;4319077;0
24.08.2025;12:45;8.76;8.79;8.75;8.76;8.77;1987969;0
24.08.2025;13:00;8.76;8.78;8.74;8.77;8.76;1665473;0
24.08.2025;13:15;8.77;8.79;8.73;8.75;8.76;1748512;0
24.08.2025;13:30;8.75;8.76;8.72;8.72;8.74;1914319;0
24.08.2025;13:45;8.73;8.74;8.70;8.72;8.72;1217043;0
24.08.2025;14:00;8.74;8.75;8.68;8.72;8.72;1864555;0
24.08.2025;14:15;8.71;8.78;8.71;8.77;8.74;2494531;0
24.08.2025;14:30;8.77;8.82;8.76;8.76;8.79;4580477;0
24.08.2025;14:45;8.77;8.78;8.75;8.77;8.76;1621644;0
24.08.2025;15:00;8.78;8.78;8.73;8.75;8.75;1208676;0
24.08.2025;15:15;8.76;8.76;8.70;8.72;8.73;2379492;0
24.08.2025;15:30;8.72;8.73;8.69;8.72;8.71;846594;0
24.08.2025;15:45;8.71;8.72;8.68;8.69;8.70;1262294;0
24.08.2025;16:00;8.69;8.73;8.69;8.70;8.71;1166284;0
24.08.2025;16:15;8.70;8.70;8.68;8.68;8.69;1577948;0
24.08.2025;16:30;8.68;8.76;8.67;8.74;8.72;1530173;0
24.08.2025;16:45;8.74;8.83;8.70;8.82;8.76;4827835;0
24.08.2025;17:00;8.83;8.86;8.75;8.76;8.80;7861612;0
24.08.2025;17:15;8.76;8.80;8.71;8.73;8.76;5233268;0
24.08.2025;17:30;8.73;8.75;8.69;8.70;8.72;2759640;0
24.08.2025;17:45;8.70;8.72;8.68;8.69;8.70;3301189;0
24.08.2025;18:00;8.69;8.75;8.68;8.71;8.72;5270572;0
27.08.2025;10:00;8.68;8.68;8.28;8.28;8.48;2593141;0
27.08.2025;10:15;8.28;8.45;8.22;8.36;8.34;19195354;0
27.08.2025;10:30;8.35;8.42;8.27;8.28;8.35;6588825;0
27.08.2025;10:45;8.27;8.29;8.15;8.17;8.22;6000139;0
27.08.2025;11:00;8.17;8.24;8.08;8.22;8.16;7176849;0
27.08.2025;11:15;8.21;8.27;8.18;8.24;8.23;4278712;0
27.08.2025;11:30;8.24;8.31;8.23;8.23;8.27;5095844;0
27.08.2025;11:45;8.23;8.28;8.23;8.25;8.25;1770872;0
27.08.2025;12:00;8.25;8.25;8.20;8.22;8.22;2098755;0
27.08.2025;12:15;8.22;8.29;8.22;8.29;8.26;2618901;0
27.08.2025;12:30;8.29;8.31;8.23;8.25;8.27;1727706;0
27.08.2025;12:45;8.26;8.32;8.26;8.32;8.29;1936929;0
