Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;2.38;2.38;2.38;2.38;2.38;58568;0
27.02.2024;10:05;2.38;2.44;2.38;2.43;2.41;5426566;0
27.02.2024;11:05;2.44;2.45;2.43;2.43;2.44;3278449;0
27.02.2024;12:05;2.43;2.45;2.43;2.45;2.44;1655177;0
27.02.2024;13:05;2.45;2.46;2.44;2.45;2.45;1734994;0
27.02.2024;14:05;2.45;2.48;2.45;2.47;2.46;3295742;0
27.02.2024;15:05;2.47;2.48;2.47;2.47;2.47;4090268;0
27.02.2024;16:05;2.47;2.49;2.47;2.48;2.48;3420605;0
27.02.2024;17:05;2.49;2.49;2.47;2.49;2.48;4307028;0
27.02.2024;18:05;2.50;2.50;2.50;2.50;2.50;322551;0
01.03.2024;09:05;2.56;2.56;2.56;2.56;2.56;253925;0
01.03.2024;10:05;2.56;2.58;2.52;2.58;2.55;8960771;0
01.03.2024;11:05;2.58;2.60;2.56;2.57;2.58;4394543;0
01.03.2024;12:05;2.57;2.61;2.56;2.60;2.58;3765649;0
01.03.2024;13:05;2.59;2.61;2.58;2.60;2.60;2875364;0
01.03.2024;14:05;2.60;2.60;2.58;2.60;2.59;1964909;0
01.03.2024;15:05;2.60;2.61;2.58;2.60;2.60;1894661;0
01.03.2024;16:05;2.60;2.63;2.59;2.61;2.61;3605026;0
01.03.2024;17:05;2.61;2.63;2.60;2.61;2.61;2086206;0
01.03.2024;18:05;2.63;2.63;2.63;2.63;2.63;227725;0
02.03.2024;09:05;2.63;2.63;2.63;2.63;2.63;232742;0
02.03.2024;10:05;2.63;2.63;2.58;2.61;2.61;4716928;0
02.03.2024;11:05;2.62;2.65;2.60;2.63;2.62;4721407;0
02.03.2024;12:05;2.62;2.65;2.61;2.63;2.63;4458084;0
08.03.2024;09:05;2.59;2.59;2.59;2.59;2.59;779869;0
08.03.2024;10:05;2.59;2.63;2.58;2.62;2.61;12770270;0
08.03.2024;11:05;2.62;2.64;2.61;2.63;2.63;6466109;0
08.03.2024;12:05;2.63;2.68;2.62;2.67;2.65;5618306;0
08.03.2024;13:05;2.66;2.68;2.65;2.67;2.66;3940065;0
08.03.2024;14:05;2.67;2.72;2.66;2.71;2.69;11305660;0
08.03.2024;15:05;2.71;2.74;2.70;2.73;2.72;5168679;0
08.03.2024;16:05;2.72;2.77;2.71;2.76;2.74;7477971;0
08.03.2024;17:05;2.76;2.76;2.71;2.73;2.73;5682262;0
08.03.2024;18:05;2.70;2.70;2.70;2.70;2.70;512208;0
09.03.2024;09:05;2.70;2.70;2.70;2.70;2.70;146845;0
09.03.2024;10:05;2.70;2.73;2.65;2.65;2.69;10826600;0
09.03.2024;11:05;2.65;2.66;2.61;2.63;2.64;4371330;0
09.03.2024;12:05;2.62;2.63;2.58;2.61;2.60;4613935;0
09.03.2024;13:05;2.61;2.62;2.57;2.59;2.60;6408214;0
09.03.2024;14:05;2.60;2.62;2.57;2.61;2.60;3642667;0
09.03.2024;15:05;2.61;2.62;2.58;2.59;2.60;2416097;0
09.03.2024;16:05;2.59;2.59;2.56;2.58;2.58;2472293;0
09.03.2024;17:05;2.58;2.62;2.57;2.62;2.59;3941685;0
09.03.2024;18:05;2.61;2.61;2.61;2.61;2.61;271856;0
10.03.2024;09:05;2.62;2.62;2.62;2.62;2.62;40449;0
