Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;10:30;43.94;45.40;43.86;45.32;44.63;18710137;0
24.08.2025;10:45;45.36;45.78;44.78;45.16;45.28;7926041;0
24.08.2025;11:00;45.14;45.14;44.44;44.76;44.79;10279899;0
24.08.2025;11:15;44.78;44.90;44.30;44.74;44.60;5317029;0
24.08.2025;11:30;44.72;44.82;44.46;44.82;44.64;3466955;0
24.08.2025;11:45;44.76;44.86;44.50;44.66;44.68;2713935;0
24.08.2025;12:00;44.66;46.10;44.66;46.02;45.38;7243307;0
24.08.2025;12:15;46.02;46.06;45.04;45.12;45.55;6353506;0
24.08.2025;12:30;45.16;45.70;45.12;45.42;45.41;9226388;0
24.08.2025;12:45;45.42;45.48;45.04;45.04;45.26;2308454;0
24.08.2025;13:00;45.04;45.26;44.98;45.26;45.12;4191020;0
24.08.2025;13:15;45.28;45.32;44.90;45.14;45.11;3836599;0
24.08.2025;13:30;45.14;45.36;45.06;45.32;45.21;1502552;0
24.08.2025;13:45;45.34;45.38;45.22;45.30;45.30;700530;0
24.08.2025;14:00;45.30;45.40;45.16;45.16;45.28;927055;0
24.08.2025;14:15;45.14;45.28;45.02;45.16;45.15;4063752;0
24.08.2025;14:30;45.22;45.24;45.08;45.08;45.16;897518;0
24.08.2025;14:45;45.06;45.38;45.00;45.18;45.19;2951080;0
24.08.2025;15:00;45.16;45.38;44.96;45.22;45.17;2703512;0
24.08.2025;15:15;45.22;45.28;44.96;45.10;45.12;2584614;0
24.08.2025;15:30;45.10;45.16;44.72;45.00;44.94;5086936;0
24.08.2025;15:45;45.02;45.18;44.98;45.08;45.08;1862673;0
24.08.2025;16:00;45.06;45.40;45.04;45.40;45.22;1259025;0
24.08.2025;16:15;45.38;45.56;45.26;45.56;45.41;2902336;0
24.08.2025;16:30;45.56;45.86;45.46;45.62;45.66;4581567;0
24.08.2025;16:45;45.64;46.00;45.40;45.74;45.70;4673485;0
24.08.2025;17:00;45.78;46.10;45.64;45.92;45.87;2872843;0
24.08.2025;17:15;45.92;46.10;45.62;45.94;45.86;2733299;0
24.08.2025;17:30;45.84;45.94;45.58;45.72;45.76;2548749;0
24.08.2025;17:45;45.64;45.88;45.26;45.46;45.57;2056137;0
24.08.2025;18:00;45.40;45.64;45.20;45.30;45.42;2597411;0
27.08.2025;10:00;44.98;44.98;43.00;43.00;43.99;1461313;0
27.08.2025;10:15;43.02;45.98;43.02;44.34;44.50;11636173;0
27.08.2025;10:30;44.40;44.44;43.24;43.50;43.84;4597554;0
27.08.2025;10:45;43.46;43.74;43.24;43.36;43.49;1891764;0
27.08.2025;11:00;43.38;43.58;42.80;42.90;43.19;4333971;0
27.08.2025;11:15;42.92;42.92;42.42;42.76;42.67;3599364;0
27.08.2025;11:30;42.82;42.92;42.36;42.40;42.64;2363183;0
27.08.2025;11:45;42.44;42.66;42.24;42.24;42.45;1698142;0
27.08.2025;12:00;42.30;42.36;41.86;42.06;42.11;4855265;0
27.08.2025;12:15;42.06;42.20;41.88;42.06;42.04;1164222;0
27.08.2025;12:30;42.06;42.20;41.78;42.20;41.99;1673324;0
27.08.2025;12:45;42.20;42.58;42.12;42.30;42.35;2049940;0
27.08.2025;13:00;42.30;42.48;42.08;42.08;42.28;1563557;0
27.08.2025;13:15;42.10;42.12;41.90;42.10;42.01;2293721;0
27.08.2025;13:30;42.18;42.56;42.04;42.46;42.30;4814342;0
27.08.2025;13:45;42.46;42.50;41.88;42.24;42.19;3446920;0
27.08.2025;14:00;42.30;42.56;42.20;42.46;42.38;5512847;0
27.08.2025;14:15;42.46;42.66;42.32;42.60;42.49;11672119;0
27.08.2025;14:30;42.60;42.74;42.52;42.56;42.63;4533556;0
27.08.2025;14:45;42.56;42.64;42.52;42.56;42.58;2195928;0
27.08.2025;15:00;42.58;42.70;42.50;42.50;42.60;2480063;0
27.08.2025;15:15;42.56;42.70;42.50;42.60;42.60;2778927;0
27.08.2025;15:30;42.58;42.72;42.40;42.58;42.56;4198920;0
27.08.2025;15:45;42.58;42.88;42.54;42.82;42.71;3035554;0
27.08.2025;16:00;42.82;43.20;42.76;43.12;42.98;3461668;0
27.08.2025;16:15;43.14;43.46;43.10;43.20;43.28;2548081;0
