Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;18:05;39.64;39.64;39.64;39.64;39.64;37063;0
27.02.2024;09:05;39.74;39.74;39.74;39.74;39.74;37674;0
27.02.2024;10:05;39.98;41.00;39.56;39.64;40.28;3776706;0
27.02.2024;11:05;39.64;39.64;38.50;39.58;39.07;1395467;0
27.02.2024;12:05;39.58;39.58;38.88;38.88;39.23;1544544;0
27.02.2024;13:05;38.88;38.96;38.50;38.74;38.73;1469031;0
27.02.2024;14:05;38.74;38.96;38.58;38.96;38.77;2798641;0
27.02.2024;15:05;38.96;40.00;38.96;39.86;39.48;1253970;0
27.02.2024;16:05;39.86;41.60;39.86;41.50;40.73;2754936;0
27.02.2024;17:05;41.50;42.00;40.70;42.00;41.35;2413361;0
27.02.2024;18:05;42.00;42.00;42.00;42.00;42.00;349188;0
01.03.2024;09:05;41.50;41.50;41.50;41.50;41.50;251407;0
01.03.2024;10:05;41.50;43.38;40.76;42.58;42.07;6034966;0
01.03.2024;11:05;42.42;42.90;42.40;42.40;42.65;1322926;0
01.03.2024;12:05;42.42;42.90;42.40;42.90;42.65;1464094;0
01.03.2024;13:05;42.90;43.06;42.82;42.84;42.94;838911;0
01.03.2024;14:05;42.96;43.00;42.38;42.38;42.69;717098;0
01.03.2024;15:05;42.46;42.60;42.30;42.46;42.45;731905;0
01.03.2024;16:05;42.46;42.82;42.36;42.78;42.59;850331;0
01.03.2024;17:05;42.78;44.00;42.74;43.68;43.37;2822046;0
01.03.2024;18:05;43.68;43.68;43.68;43.68;43.68;161834;0
02.03.2024;09:05;43.70;43.70;43.70;43.70;43.70;67997;0
02.03.2024;10:05;43.72;46.00;42.02;44.46;44.01;3133077;0
02.03.2024;11:05;44.46;45.00;44.46;44.94;44.73;1697226;0
02.03.2024;12:05;44.98;47.50;44.98;47.00;46.24;4332914;0
08.03.2024;09:05;44.04;44.04;44.04;44.04;44.04;390195;0
08.03.2024;10:05;44.16;46.14;44.04;45.90;45.09;6296306;0
08.03.2024;11:05;45.90;46.36;45.78;45.78;46.07;1498573;0
08.03.2024;12:05;45.78;45.78;45.02;45.20;45.40;1166520;0
08.03.2024;13:05;45.20;45.40;45.00;45.08;45.20;1339801;0
08.03.2024;14:05;45.08;45.50;45.06;45.24;45.28;464872;0
08.03.2024;15:05;45.24;45.74;45.22;45.42;45.48;1207297;0
08.03.2024;16:05;45.40;45.60;45.26;45.48;45.43;475625;0
08.03.2024;17:05;45.46;45.66;45.30;45.32;45.48;1049920;0
08.03.2024;18:05;45.20;45.20;45.20;45.20;45.20;286432;0
09.03.2024;09:05;45.20;45.20;45.20;45.20;45.20;108209;0
09.03.2024;10:05;45.20;45.20;43.50;43.50;44.35;3819575;0
09.03.2024;11:05;43.52;43.88;43.40;43.40;43.64;1188829;0
09.03.2024;12:05;43.40;43.46;41.84;42.60;42.65;1574913;0
09.03.2024;13:05;42.60;43.20;42.50;42.90;42.85;680668;0
09.03.2024;14:05;42.88;43.98;42.76;43.82;43.37;1232999;0
09.03.2024;15:05;43.82;43.96;43.50;43.66;43.73;1070284;0
09.03.2024;16:05;43.66;44.10;43.00;43.70;43.55;1279259;0
09.03.2024;17:05;43.94;43.94;43.24;43.36;43.59;1510344;0
09.03.2024;18:05;43.20;43.20;43.20;43.20;43.20;190123;0
10.03.2024;09:05;43.28;43.28;43.28;43.28;43.28;88205;0
10.03.2024;10:05;43.36;44.70;43.36;44.40;44.03;2828751;0
10.03.2024;11:05;44.40;44.90;44.02;44.58;44.46;1684107;0
10.03.2024;12:05;44.58;44.94;44.36;44.68;44.65;793859;0
10.03.2024;13:05;44.68;44.94;44.40;44.40;44.67;1123221;0
10.03.2024;14:05;44.40;44.42;44.04;44.40;44.23;1613814;0
10.03.2024;15:05;44.40;44.40;43.48;44.00;43.94;1463225;0
10.03.2024;16:05;43.66;43.98;43.50;43.90;43.74;787185;0
10.03.2024;17:05;43.70;44.50;43.56;44.30;44.03;1661900;0
10.03.2024;18:05;44.36;44.36;44.36;44.36;44.36;74436;0
11.03.2024;09:05;44.36;44.36;44.36;44.36;44.36;34867;0
11.03.2024;10:05;44.30;44.80;42.16;43.50;43.48;2328457;0
11.03.2024;11:05;43.96;43.98;43.06;43.12;43.52;1691765;0
11.03.2024;12:05;43.12;43.70;43.00;43.36;43.35;1492291;0
11.03.2024;13:05;43.36;43.98;43.26;43.50;43.62;829377;0
11.03.2024;14:05;43.64;43.76;43.34;43.34;43.55;188310;0
11.03.2024;15:05;43.34;43.74;43.02;43.40;43.38;658553;0
11.03.2024;16:05;43.20;43.38;43.06;43.10;43.22;695924;0
11.03.2024;17:05;43.10;44.20;43.04;44.00;43.62;1978944;0
11.03.2024;18:05;44.00;44.00;44.00;44.00;44.00;443608;0
12.03.2024;09:05;44.00;44.00;44.00;44.00;44.00;1562176;0
12.03.2024;10:05;44.14;45.50;44.00;44.70;44.75;5808974;0
12.03.2024;11:05;44.70;44.76;44.50;44.52;44.63;805439;0
12.03.2024;12:05;44.58;44.86;44.50;44.54;44.68;1707980;0
12.03.2024;13:05;44.64;44.66;44.54;44.62;44.60;498575;0
12.03.2024;14:05;44.62;44.62;44.36;44.60;44.49;1105911;0
12.03.2024;15:05;44.60;44.84;44.54;44.84;44.69;909793;0
12.03.2024;16:05;44.82;47.16;44.70;47.14;45.93;4681348;0
12.03.2024;17:05;47.14;47.58;46.12;46.32;46.85;5619105;0
12.03.2024;18:05;46.32;46.32;46.32;46.32;46.32;50304;0
15.03.2024;09:05;45.86;45.86;45.86;45.86;45.86;492353;0
15.03.2024;10:05;45.80;47.76;45.04;46.46;46.40;19311040;0
15.03.2024;11:05;46.48;47.42;46.24;46.88;46.83;6108006;0
15.03.2024;12:05;46.86;48.24;46.58;47.14;47.41;9989219;0
15.03.2024;13:05;47.00;47.86;47.00;47.38;47.43;7951202;0
15.03.2024;14:05;47.32;47.84;47.30;47.68;47.57;4327387;0
15.03.2024;15:05;47.68;48.98;47.64;48.78;48.31;8321386;0
15.03.2024;16:05;48.78;49.14;47.68;47.68;48.41;5308939;0
15.03.2024;17:05;47.68;48.28;47.30;47.48;47.79;4851187;0
15.03.2024;18:05;47.30;47.30;47.30;47.30;47.30;332330;0
17.03.2024;09:05;48.70;48.70;48.70;48.70;48.70;367198;0
17.03.2024;10:05;48.80;52.00;48.70;50.90;50.35;52417080;0
17.03.2024;11:05;50.90;51.30;49.96;50.15;50.63;14678080;0
17.03.2024;12:05;50.15;50.70;49.74;49.92;50.22;4139938;0
17.03.2024;13:05;49.80;50.35;49.00;49.64;49.67;6298713;0
17.03.2024;14:05;49.64;50.00;48.76;48.78;49.38;6637898;0
17.03.2024;15:05;48.80;48.92;47.88;48.52;48.40;7620048;0
17.03.2024;16:05;48.52;49.20;48.40;49.06;48.80;2603928;0
17.03.2024;17:05;49.16;50.70;48.92;50.50;49.81;14699210;0
17.03.2024;18:05;50.50;50.50;50.50;50.50;50.50;683316;0
18.03.2024;09:05;50.60;50.60;50.60;50.60;50.60;330975;0
18.03.2024;10:05;50.60;51.10;48.02;48.16;49.56;17329120;0
18.03.2024;11:05;48.14;48.92;48.00;48.50;48.46;5314382;0
18.03.2024;12:05;48.32;48.76;48.32;48.60;48.54;2473906;0
18.03.2024;13:05;48.54;48.70;48.24;48.70;48.47;4285713;0
18.03.2024;14:05;48.70;49.28;48.40;49.10;48.84;2973377;0
18.03.2024;15:05;49.10;49.82;48.46;48.46;49.14;2816024;0
18.03.2024;16:05;48.50;48.58;47.78;48.44;48.18;4051568;0
18.03.2024;17:05;48.44;48.80;48.10;48.20;48.45;3424106;0
18.03.2024;18:05;48.34;48.34;48.34;48.34;48.34;116499;0
19.03.2024;09:05;48.26;48.26;48.26;48.26;48.26;107523;0
19.03.2024;10:05;48.32;48.32;46.74;47.34;47.53;9110348;0
19.03.2024;11:05;47.12;47.40;46.94;47.14;47.17;3649425;0
19.03.2024;12:05;47.14;47.60;47.06;47.26;47.33;1908216;0
19.03.2024;13:05;47.20;47.40;46.94;47.16;47.17;2984312;0
19.03.2024;14:05;47.14;47.28;47.02;47.10;47.15;2930058;0
19.03.2024;15:05;47.10;47.10;46.78;46.98;46.94;2491247;0
19.03.2024;16:05;46.98;47.50;46.58;47.24;47.04;4757494;0
19.03.2024;17:05;47.22;48.34;46.52;46.56;47.43;9752927;0
19.03.2024;18:05;46.56;46.56;46.56;46.56;46.56;351947;0
22.03.2024;09:05;46.10;46.10;46.10;46.10;46.10;165868;0
22.03.2024;10:05;46.10;46.54;44.90;45.42;45.72;5380083;0
22.03.2024;11:05;45.68;45.94;45.26;45.68;45.60;2000191;0
22.03.2024;12:05;45.70;45.70;45.00;45.24;45.35;2062609;0
22.03.2024;13:05;45.22;45.32;45.02;45.20;45.17;1181048;0
22.03.2024;14:05;45.20;45.22;44.78;44.98;45.00;1877770;0
22.03.2024;15:05;44.98;45.10;44.78;44.96;44.94;1180458;0
22.03.2024;16:05;44.80;45.16;44.64;44.82;44.90;3283617;0
22.03.2024;17:05;44.82;45.06;44.40;44.50;44.73;4856148;0
22.03.2024;18:05;44.30;44.30;44.30;44.30;44.30;508254;0
23.03.2024;09:05;44.30;44.30;44.30;44.30;44.30;73848;0
23.03.2024;10:05;44.30;45.20;43.62;44.56;44.41;7727982;0
23.03.2024;11:05;44.80;44.90;43.90;44.16;44.40;3514809;0
23.03.2024;12:05;44.14;44.14;43.86;44.00;44.00;1610264;0
23.03.2024;13:05;44.00;44.26;43.76;43.76;44.01;1270624;0
23.03.2024;14:05;43.78;44.22;43.72;43.88;43.97;4047953;0
