Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;0.80;0.80;0.73;0.77;0.77;321596;0
08.05.2005;00:00;0.77;0.85;0.77;0.84;0.81;873466;0
09.05.2005;00:00;0.84;0.85;0.80;0.82;0.83;603938;0
10.05.2005;00:00;0.80;0.82;0.78;0.82;0.80;410926;0
14.05.2005;00:00;0.81;0.82;0.74;0.76;0.78;152174;0
15.05.2005;00:00;0.74;0.78;0.70;0.77;0.74;217181;0
16.05.2005;00:00;0.73;0.78;0.73;0.76;0.75;337462;0
17.05.2005;00:00;0.76;0.77;0.75;0.76;0.76;171038;0
18.05.2005;00:00;0.77;0.78;0.74;0.76;0.76;756683;0
21.05.2005;00:00;0.76;0.76;0.72;0.75;0.74;224092;0
22.05.2005;00:00;0.75;0.75;0.70;0.73;0.72;218669;0
23.05.2005;00:00;0.73;0.73;0.69;0.71;0.71;642172;0
25.05.2005;00:00;0.71;0.74;0.70;0.70;0.72;279996;0
26.05.2005;00:00;0.71;0.73;0.69;0.70;0.71;2188621;0
29.05.2005;00:00;0.67;0.69;0.67;0.69;0.68;291093;0
30.05.2005;00:00;0.67;0.69;0.67;0.68;0.68;221092;0
31.05.2005;00:00;0.68;0.69;0.66;0.66;0.68;723756;0
01.06.2005;00:00;0.65;0.66;0.63;0.65;0.65;209760;0
02.06.2005;00:00;0.65;0.67;0.63;0.64;0.65;315291;0
05.06.2005;00:00;0.64;0.64;0.60;0.60;0.62;141688;0
06.06.2005;00:00;0.58;0.58;0.50;0.53;0.54;221566;0
07.06.2005;00:00;0.54;0.54;0.48;0.51;0.51;305787;0
08.06.2005;00:00;0.51;0.53;0.49;0.50;0.51;645850;0
09.06.2005;00:00;0.50;0.52;0.50;0.50;0.51;598144;0
12.06.2005;00:00;0.51;0.51;0.50;0.51;0.50;117429;0
13.06.2005;00:00;0.51;0.53;0.49;0.50;0.51;606436;0
14.06.2005;00:00;0.50;0.53;0.46;0.47;0.49;853220;0
15.06.2005;00:00;0.48;0.49;0.46;0.46;0.48;347269;0
16.06.2005;00:00;0.48;0.48;0.43;0.43;0.45;231340;0
19.06.2005;00:00;0.43;0.45;0.39;0.41;0.42;354961;0
20.06.2005;00:00;0.42;0.42;0.39;0.41;0.40;179560;0
21.06.2005;00:00;0.41;0.44;0.40;0.42;0.42;464390;0
22.06.2005;00:00;0.45;0.45;0.41;0.43;0.43;368581;0
23.06.2005;00:00;0.43;0.45;0.43;0.45;0.44;240047;0
28.06.2005;00:00;0.45;0.46;0.45;0.45;0.45;152363;0
29.06.2005;00:00;0.45;0.47;0.45;0.46;0.46;276789;0
30.06.2005;00:00;0.47;0.47;0.44;0.45;0.45;301145;0
01.07.2005;00:00;0.44;0.45;0.43;0.44;0.44;105727;0
02.07.2005;00:00;0.45;0.45;0.43;0.44;0.44;86086;0
05.07.2005;00:00;0.43;0.44;0.41;0.44;0.42;50135;0
06.07.2005;00:00;0.43;0.45;0.43;0.44;0.44;64866;0
07.07.2005;00:00;0.42;0.45;0.40;0.43;0.42;72952;0
08.07.2005;00:00;0.40;0.43;0.39;0.40;0.41;87742;0
09.07.2005;00:00;0.41;0.41;0.38;0.39;0.39;204531;0
12.07.2005;00:00;0.39;0.39;0.36;0.37;0.38;189653;0
13.07.2005;00:00;0.37;0.38;0.36;0.38;0.37;67178;0
14.07.2005;00:00;0.40;0.40;0.36;0.37;0.38;127441;0
15.07.2005;00:00;0.38;0.40;0.38;0.39;0.39;195475;0
16.07.2005;00:00;0.39;0.39;0.38;0.38;0.38;86079;0
19.07.2005;00:00;0.38;0.40;0.38;0.39;0.39;163620;0
20.07.2005;00:00;0.39;0.40;0.39;0.40;0.39;185979;0
21.07.2005;00:00;0.40;0.41;0.38;0.40;0.39;153312;0
22.07.2005;00:00;0.40;0.43;0.40;0.41;0.42;365734;0
23.07.2005;00:00;0.40;0.41;0.40;0.41;0.41;113211;0
26.07.2005;00:00;0.42;0.42;0.41;0.41;0.41;85004;0
28.07.2005;00:00;0.40;0.43;0.40;0.42;0.42;198141;0
29.07.2005;00:00;0.41;0.42;0.41;0.42;0.41;55079;0
30.07.2005;00:00;0.42;0.42;0.42;0.42;0.42;77925;0
31.07.2005;00:00;0.42;0.43;0.42;0.42;0.42;92719;0
03.08.2005;00:00;0.43;0.43;0.42;0.42;0.42;69143;0
04.08.2005;00:00;0.42;0.43;0.42;0.42;0.42;87279;0
05.08.2005;00:00;0.43;0.43;0.40;0.42;0.42;52729;0
06.08.2005;00:00;0.42;0.46;0.42;0.43;0.44;81862;0
07.08.2005;00:00;0.43;0.45;0.43;0.44;0.44;120363;0
10.08.2005;00:00;0.44;0.45;0.43;0.45;0.44;67401;0
11.08.2005;00:00;0.43;0.45;0.43;0.45;0.44;164049;0
12.08.2005;00:00;0.45;0.48;0.44;0.48;0.46;542222;0
13.08.2005;00:00;0.48;0.49;0.46;0.47;0.48;161293;0
14.08.2005;00:00;0.46;0.47;0.46;0.46;0.47;96965;0
17.08.2005;00:00;0.46;0.46;0.45;0.46;0.45;71265;0
18.08.2005;00:00;0.46;0.47;0.44;0.45;0.45;25439;0
19.08.2005;00:00;0.45;0.45;0.43;0.44;0.44;69854;0
20.08.2005;00:00;0.44;0.45;0.43;0.44;0.44;68354;0
21.08.2005;00:00;0.44;0.45;0.44;0.45;0.44;86295;0
24.08.2005;00:00;0.45;0.45;0.44;0.44;0.44;24365;0
25.08.2005;00:00;0.44;0.45;0.44;0.44;0.44;209395;0
27.08.2005;00:00;0.44;0.46;0.43;0.44;0.45;211493;0
29.08.2005;00:00;0.45;0.45;0.44;0.44;0.44;101885;0
01.09.2005;00:00;0.44;0.45;0.44;0.45;0.44;179917;0
02.09.2005;00:00;0.45;0.45;0.45;0.45;0.45;48784;0
03.09.2005;00:00;0.45;0.46;0.44;0.45;0.45;138738;0
04.09.2005;00:00;0.44;0.45;0.44;0.44;0.44;61519;0
05.09.2005;00:00;0.45;0.45;0.44;0.45;0.44;35453;0
08.09.2005;00:00;0.45;0.45;0.45;0.45;0.45;99290;0
09.09.2005;00:00;0.45;0.46;0.45;0.45;0.45;262700;0
10.09.2005;00:00;0.47;0.47;0.46;0.47;0.47;385950;0
11.09.2005;00:00;0.48;0.48;0.46;0.46;0.47;239673;0
12.09.2005;00:00;0.47;0.47;0.42;0.46;0.44;172319;0
15.09.2005;00:00;0.46;0.46;0.43;0.46;0.45;91576;0
16.09.2005;00:00;0.46;0.46;0.45;0.46;0.45;113382;0
17.09.2005;00:00;0.45;0.46;0.45;0.46;0.45;147461;0
18.09.2005;00:00;0.46;0.46;0.45;0.45;0.45;92163;0
19.09.2005;00:00;0.45;0.45;0.42;0.42;0.43;118594;0
22.09.2005;00:00;0.42;0.43;0.41;0.42;0.42;69319;0
23.09.2005;00:00;0.43;0.43;0.41;0.43;0.42;212961;0
24.09.2005;00:00;0.45;0.46;0.43;0.45;0.45;222808;0
25.09.2005;00:00;0.45;0.46;0.45;0.46;0.45;119462;0
26.09.2005;00:00;0.46;0.46;0.45;0.46;0.45;70102;0
01.10.2005;00:00;0.46;0.51;0.46;0.51;0.48;1923764;0
02.10.2005;00:00;0.52;0.56;0.47;0.50;0.52;667350;0
03.10.2005;00:00;0.51;0.59;0.48;0.59;0.53;1740441;0
04.10.2005;00:00;0.60;0.70;0.60;0.62;0.65;3938026;0
05.10.2005;00:00;0.63;0.68;0.59;0.67;0.63;3793834;0
08.10.2005;00:00;0.67;0.76;0.65;0.71;0.70;3676092;0
09.10.2005;00:00;0.72;0.75;0.66;0.67;0.71;1224393;0
10.10.2005;00:00;0.63;0.70;0.63;0.64;0.66;1804387;0
11.10.2005;00:00;0.62;0.70;0.60;0.68;0.65;2471928;0
12.10.2005;00:00;0.69;0.71;0.66;0.68;0.69;2013688;0
15.10.2005;00:00;0.69;0.73;0.67;0.72;0.70;2648349;0
16.10.2005;00:00;0.72;0.73;0.69;0.70;0.71;1570550;0
17.10.2005;00:00;0.70;0.70;0.67;0.68;0.69;1295251;0
18.10.2005;00:00;0.68;0.68;0.65;0.66;0.66;458491;0
19.10.2005;00:00;0.68;0.68;0.63;0.63;0.66;417292;0
25.10.2005;00:00;0.64;0.69;0.64;0.68;0.66;1021279;0
