Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
25.02.2024;10:05;20.80;20.90;20.12;20.16;20.51;6797050;0
25.02.2024;11:05;20.22;20.38;20.14;20.16;20.26;1742216;0
25.02.2024;12:05;20.16;20.24;20.10;20.16;20.17;1988942;0
25.02.2024;13:05;20.16;20.26;20.08;20.12;20.17;1573022;0
25.02.2024;14:05;20.12;20.40;20.06;20.22;20.23;2472062;0
25.02.2024;15:05;20.26;20.36;20.08;20.36;20.22;1197364;0
25.02.2024;16:05;20.34;20.42;20.20;20.22;20.31;972676;0
25.02.2024;17:05;20.22;20.34;20.08;20.20;20.21;2861779;0
25.02.2024;18:05;20.10;20.10;20.10;20.10;20.10;28462;0
26.02.2024;09:05;20.18;20.18;20.18;20.18;20.18;79913;0
26.02.2024;10:05;20.18;20.54;19.97;20.18;20.26;3938300;0
26.02.2024;11:05;20.16;20.30;19.96;20.12;20.13;2059536;0
26.02.2024;12:05;20.10;20.28;20.02;20.04;20.15;1868015;0
26.02.2024;13:05;20.08;20.22;20.04;20.10;20.13;2698561;0
26.02.2024;14:05;20.08;20.10;19.97;20.02;20.03;1825303;0
26.02.2024;15:05;20.06;20.70;20.06;20.48;20.38;3926854;0
26.02.2024;16:05;20.48;20.80;20.10;20.12;20.45;3607048;0
26.02.2024;17:05;20.12;20.18;19.48;20.00;19.83;3642468;0
26.02.2024;18:05;19.51;19.51;19.51;19.51;19.51;159982;0
27.02.2024;09:05;19.54;19.54;19.54;19.54;19.54;93577;0
27.02.2024;10:05;19.68;20.14;19.68;19.99;19.91;3142221;0
27.02.2024;11:05;19.99;20.14;19.93;20.00;20.03;1474100;0
27.02.2024;12:05;20.00;20.14;19.96;20.08;20.05;1142776;0
27.02.2024;13:05;20.08;20.12;19.92;19.98;20.02;411037;0
27.02.2024;14:05;19.96;20.20;19.94;20.04;20.07;1082254;0
27.02.2024;15:05;20.08;20.12;19.98;20.08;20.05;1774767;0
27.02.2024;16:05;20.08;20.12;20.00;20.10;20.06;1934734;0
27.02.2024;17:05;20.10;20.30;20.08;20.28;20.19;3846247;0
27.02.2024;18:05;20.38;20.38;20.38;20.38;20.38;258602;0
01.03.2024;09:05;20.40;20.40;20.40;20.40;20.40;43840;0
01.03.2024;10:05;20.46;21.14;20.36;21.06;20.75;4978286;0
01.03.2024;11:05;21.06;21.18;20.90;21.00;21.04;3483604;0
01.03.2024;12:05;21.00;21.04;20.86;21.02;20.95;2298200;0
01.03.2024;13:05;21.02;21.26;20.96;21.22;21.11;1864362;0
01.03.2024;14:05;21.22;21.50;21.06;21.08;21.28;2461183;0
01.03.2024;15:05;21.08;21.30;21.04;21.20;21.17;1519146;0
01.03.2024;16:05;21.20;21.50;21.18;21.40;21.34;1929934;0
01.03.2024;17:05;21.40;21.40;21.08;21.22;21.24;3338309;0
01.03.2024;18:05;21.24;21.24;21.24;21.24;21.24;83282;0
02.03.2024;09:05;21.10;21.10;21.10;21.10;21.10;43445;0
02.03.2024;10:05;21.22;21.58;20.98;21.46;21.28;5848473;0
02.03.2024;11:05;21.42;22.80;21.40;22.10;22.10;9737169;0
02.03.2024;12:05;22.10;22.18;21.76;21.82;21.97;4012217;0
08.03.2024;09:05;21.62;21.62;21.62;21.62;21.62;274639;0
08.03.2024;10:05;21.60;21.82;21.20;21.74;21.51;8584960;0
08.03.2024;11:05;21.70;22.50;21.70;22.14;22.10;6816069;0
08.03.2024;12:05;22.20;23.42;22.10;23.20;22.76;14656620;0
08.03.2024;13:05;23.16;23.20;22.72;22.72;22.96;6273555;0
08.03.2024;14:05;22.72;22.88;22.50;22.80;22.69;3674795;0
