Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:00;30.14;30.66;30.12;30.26;30.39;2878762;0
24.08.2025;11:15;30.24;30.64;30.14;30.22;30.39;1962747;0
24.08.2025;11:30;30.22;30.34;30.18;30.18;30.26;2069528;0
24.08.2025;11:45;30.16;30.38;30.12;30.26;30.25;1293976;0
24.08.2025;12:00;30.26;30.34;30.12;30.14;30.23;946929;0
24.08.2025;12:15;30.14;30.18;30.08;30.10;30.13;911615;0
24.08.2025;12:30;30.12;30.14;30.04;30.08;30.09;699696;0
24.08.2025;12:45;30.06;30.08;30.00;30.02;30.04;904750;0
24.08.2025;13:00;30.04;30.04;29.90;29.96;29.97;728202;0
24.08.2025;13:15;29.98;30.00;29.84;29.88;29.92;296713;0
24.08.2025;13:30;29.90;30.00;29.86;29.92;29.93;354474;0
24.08.2025;13:45;29.94;30.02;29.90;30.02;29.96;573011;0
24.08.2025;14:00;30.04;30.06;29.86;29.94;29.96;1087179;0
24.08.2025;14:15;29.94;29.96;29.80;29.86;29.88;625160;0
24.08.2025;14:30;29.86;29.90;29.80;29.82;29.85;557834;0
24.08.2025;14:45;29.82;29.90;29.82;29.88;29.86;235379;0
24.08.2025;15:00;29.86;29.96;29.80;29.96;29.88;631003;0
24.08.2025;15:15;29.96;30.00;29.90;29.90;29.95;890057;0
24.08.2025;15:30;29.90;29.98;29.84;29.88;29.91;810144;0
24.08.2025;15:45;29.90;29.94;29.84;29.86;29.89;452339;0
24.08.2025;16:00;29.86;29.98;29.84;29.92;29.91;597708;0
24.08.2025;16:15;29.92;29.94;29.84;29.92;29.89;511520;0
24.08.2025;16:30;29.88;29.94;29.86;29.86;29.90;133755;0
24.08.2025;16:45;29.84;30.28;29.70;30.20;29.99;1885366;0
24.08.2025;17:00;30.20;30.48;30.08;30.08;30.28;1804565;0
24.08.2025;17:15;30.14;30.34;30.10;30.12;30.22;1252813;0
24.08.2025;17:30;30.18;30.20;29.96;30.04;30.08;1157074;0
24.08.2025;17:45;30.02;30.02;29.70;29.74;29.86;984198;0
24.08.2025;18:00;29.74;29.88;29.74;29.74;29.81;1369449;0
27.08.2025;10:00;29.60;29.60;28.80;29.08;29.20;3327365;0
27.08.2025;10:15;29.10;29.12;28.92;29.12;29.02;2053069;0
