Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;59.05;59.20;58.95;59.15;59.08;7309637;0
24.08.2025;11:30;59.20;59.40;59.20;59.25;59.30;4993016;0
24.08.2025;11:45;59.25;59.50;59.25;59.30;59.38;2429754;0
24.08.2025;12:00;59.30;59.50;59.20;59.35;59.35;3936184;0
24.08.2025;12:15;59.35;59.50;59.30;59.40;59.40;2578910;0
24.08.2025;12:30;59.30;59.40;59.10;59.15;59.25;5909237;0
24.08.2025;12:45;59.20;59.80;59.10;59.70;59.45;7198891;0
24.08.2025;13:00;59.70;59.75;59.35;59.40;59.55;4245211;0
24.08.2025;13:15;59.40;59.50;59.25;59.25;59.38;1735798;0
24.08.2025;13:30;59.25;59.30;59.10;59.10;59.20;4649197;0
24.08.2025;13:45;59.15;59.30;59.05;59.20;59.17;1525002;0
24.08.2025;14:00;59.20;59.30;58.80;58.95;59.05;11208236;0
24.08.2025;14:15;58.90;59.25;58.90;59.25;59.08;2046891;0
24.08.2025;14:30;59.25;59.30;59.10;59.15;59.20;2297525;0
24.08.2025;14:45;59.15;59.20;58.65;58.65;58.93;9752282;0
24.08.2025;15:00;58.70;59.15;58.70;59.15;58.93;3916184;0
24.08.2025;15:15;59.15;59.15;58.45;58.50;58.80;10949663;0
24.08.2025;15:30;58.75;58.95;58.65;58.90;58.80;3174792;0
24.08.2025;15:45;58.90;59.05;58.80;58.95;58.92;6157142;0
24.08.2025;16:00;59.00;59.25;58.75;58.80;59.00;8297950;0
24.08.2025;16:15;58.75;59.20;58.65;59.20;58.93;3746975;0
24.08.2025;16:30;59.20;59.40;59.10;59.25;59.25;7138250;0
24.08.2025;16:45;59.30;60.40;59.30;59.95;59.85;28624576;0
24.08.2025;17:00;60.05;60.10;59.60;59.80;59.85;14690628;0
24.08.2025;17:15;59.70;59.80;59.25;59.45;59.52;12775689;0
24.08.2025;17:30;59.40;59.50;59.00;59.25;59.25;7416037;0
24.08.2025;17:45;59.10;59.30;58.90;58.95;59.10;10635230;0
24.08.2025;18:00;58.95;59.25;58.90;58.90;59.08;11222471;0
27.08.2025;10:00;57.50;58.10;57.20;58.00;57.65;31419300;0
27.08.2025;10:15;58.10;58.15;57.75;57.85;57.95;19613025;0
27.08.2025;10:30;57.85;58.00;57.75;57.80;57.88;10661734;0
27.08.2025;10:45;57.80;57.90;57.20;57.40;57.55;15768088;0
27.08.2025;11:00;57.35;57.55;57.05;57.40;57.30;7962313;0
27.08.2025;11:15;57.40;57.40;56.90;56.95;57.15;13407210;0
27.08.2025;11:30;57.00;57.10;56.85;57.05;56.97;5273623;0
27.08.2025;11:45;57.05;57.10;56.85;57.00;56.97;3514700;0
27.08.2025;12:00;56.95;57.05;56.85;57.00;56.95;2376606;0
27.08.2025;12:15;56.95;57.00;56.55;56.80;56.77;9742159;0
27.08.2025;12:30;56.80;56.80;56.50;56.70;56.65;5944773;0
27.08.2025;12:45;56.75;57.00;56.65;57.00;56.83;3039007;0
27.08.2025;13:00;57.00;57.20;56.90;56.95;57.05;5501092;0
27.08.2025;13:15;56.90;57.05;56.80;56.90;56.92;3189921;0
27.08.2025;13:30;56.85;57.10;56.80;57.05;56.95;2362406;0
27.08.2025;13:45;57.05;57.20;56.80;57.10;57.00;3206965;0
27.08.2025;14:00;57.10;57.45;57.00;57.35;57.23;8119878;0
27.08.2025;14:15;57.40;57.60;57.15;57.15;57.38;8527313;0
27.08.2025;14:30;57.15;57.35;56.85;56.95;57.10;8302104;0
27.08.2025;14:45;56.95;57.00;56.75;56.80;56.88;5199592;0
27.08.2025;15:00;56.80;57.05;56.80;57.05;56.92;2142510;0
27.08.2025;15:15;56.95;57.15;56.90;57.05;57.03;2449388;0
27.08.2025;15:30;57.00;57.05;56.95;57.00;57.00;1511639;0
27.08.2025;15:45;57.00;57.00;56.65;56.80;56.83;8534610;0
27.08.2025;16:00;56.90;57.05;56.75;56.80;56.90;2148530;0
27.08.2025;16:15;56.90;57.05;56.70;56.95;56.88;3355542;0
27.08.2025;16:30;57.00;57.00;56.65;56.80;56.83;4487014;0
27.08.2025;16:45;56.90;57.00;56.75;56.85;56.88;3179474;0
27.08.2025;17:00;56.85;57.40;56.85;57.30;57.12;9206292;0
27.08.2025;17:15;57.30;57.45;57.15;57.15;57.30;6831232;0
27.08.2025;17:30;57.15;57.30;57.05;57.05;57.17;3607619;0
27.08.2025;17:45;57.15;57.15;57.00;57.00;57.08;7305447;0
27.08.2025;18:00;57.00;57.10;56.95;56.95;57.02;11239892;0
28.08.2025;10:00;57.05;57.45;57.00;57.10;57.23;18366866;0
28.08.2025;10:15;57.10;57.30;56.65;57.15;56.98;16606625;0
28.08.2025;10:30;57.15;57.15;56.70;57.05;56.93;10384738;0
28.08.2025;10:45;57.05;57.35;56.95;57.25;57.15;9587082;0
28.08.2025;11:00;57.25;58.20;57.15;57.95;57.68;30101325;0
