Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;38.92;38.98;38.72;38.80;38.85;2257729;0
24.08.2025;11:30;38.80;38.94;38.54;38.56;38.74;4922166;0
24.08.2025;11:45;38.56;38.62;38.32;38.52;38.47;6275315;0
24.08.2025;12:00;38.46;38.50;38.20;38.26;38.35;4706273;0
24.08.2025;12:15;38.28;38.34;38.26;38.28;38.30;1467679;0
24.08.2025;12:30;38.30;38.36;38.12;38.24;38.24;2407457;0
24.08.2025;12:45;38.22;38.28;38.10;38.16;38.19;1409677;0
24.08.2025;13:00;38.20;38.32;38.16;38.26;38.24;1552695;0
24.08.2025;13:15;38.30;38.30;38.16;38.16;38.23;1160395;0
24.08.2025;13:30;38.18;38.18;38.08;38.10;38.13;2902466;0
24.08.2025;13:45;38.12;38.16;38.00;38.08;38.08;1424874;0
24.08.2025;14:00;38.12;38.12;37.86;37.90;37.99;3540032;0
24.08.2025;14:15;37.88;38.08;37.86;38.00;37.97;1274114;0
24.08.2025;14:30;38.00;38.16;37.98;38.04;38.07;2445205;0
24.08.2025;14:45;38.04;38.08;37.96;38.00;38.02;1686855;0
24.08.2025;15:00;38.00;38.02;37.92;37.92;37.97;1243094;0
24.08.2025;15:15;38.00;38.06;37.92;37.94;37.99;726272;0
24.08.2025;15:30;37.94;38.06;37.92;38.06;37.99;1238085;0
24.08.2025;15:45;38.06;38.06;37.92;37.96;37.99;1197788;0
24.08.2025;16:00;37.98;38.08;37.94;38.02;38.01;1093843;0
24.08.2025;16:15;38.00;38.08;37.98;38.08;38.03;891030;0
24.08.2025;16:30;38.06;38.18;38.04;38.12;38.11;1420571;0
24.08.2025;16:45;38.16;38.60;38.14;38.54;38.37;7578490;0
24.08.2025;17:00;38.54;38.80;38.46;38.54;38.63;8408824;0
24.08.2025;17:15;38.52;38.60;38.32;38.36;38.46;1981014;0
24.08.2025;17:30;38.38;38.46;38.16;38.30;38.31;3578852;0
24.08.2025;17:45;38.24;38.36;37.90;38.02;38.13;4765913;0
24.08.2025;18:00;38.00;38.02;37.86;38.02;37.94;2226061;0
27.08.2025;10:00;36.62;37.20;36.52;37.18;36.86;11753279;0
27.08.2025;10:15;37.18;37.40;37.12;37.32;37.26;5797396;0
27.08.2025;10:30;37.32;37.40;36.98;37.04;37.19;3900777;0
27.08.2025;10:45;37.02;37.12;36.92;36.98;37.02;2361012;0
27.08.2025;11:00;37.08;37.12;36.80;37.10;36.96;1625321;0
27.08.2025;11:15;37.06;37.08;36.92;36.92;37.00;1040954;0
27.08.2025;11:30;36.92;37.02;36.90;36.94;36.96;988324;0
27.08.2025;11:45;36.94;37.02;36.42;36.86;36.72;3350969;0
27.08.2025;12:00;36.84;36.90;36.74;36.84;36.82;1340791;0
27.08.2025;12:15;36.84;36.96;36.78;36.86;36.87;1792637;0
27.08.2025;12:30;36.86;36.92;36.78;36.92;36.85;1058448;0
27.08.2025;12:45;36.92;37.06;36.92;37.00;36.99;642999;0
27.08.2025;13:00;37.00;37.24;36.98;37.10;37.11;3274151;0
27.08.2025;13:15;37.02;37.02;36.86;36.90;36.94;1872635;0
27.08.2025;13:30;36.90;37.08;36.84;36.98;36.96;2977102;0
27.08.2025;13:45;36.98;36.98;36.76;36.92;36.87;4437893;0
27.08.2025;14:00;36.92;37.06;36.90;36.94;36.98;917241;0
27.08.2025;14:15;36.94;37.08;36.80;36.82;36.94;1328246;0
27.08.2025;14:30;36.80;36.92;36.72;36.74;36.82;1123628;0
27.08.2025;14:45;36.74;36.80;36.58;36.64;36.69;1613829;0
27.08.2025;15:00;36.64;36.94;36.64;36.94;36.79;2667465;0
27.08.2025;15:15;36.94;37.02;36.84;36.92;36.93;2112679;0
27.08.2025;15:30;36.86;36.86;36.60;36.62;36.73;1807154;0
27.08.2025;15:45;36.62;36.74;36.50;36.70;36.62;3339506;0
27.08.2025;16:00;36.74;36.88;36.70;36.88;36.79;1434205;0
27.08.2025;16:15;36.88;36.92;36.76;36.86;36.84;1622094;0
27.08.2025;16:30;36.86;36.86;36.70;36.84;36.78;1008448;0
27.08.2025;16:45;36.82;36.90;36.74;36.86;36.82;630992;0
27.08.2025;17:00;36.92;36.96;36.80;36.94;36.88;498644;0
27.08.2025;17:15;36.92;37.14;36.88;36.92;37.01;1966941;0
27.08.2025;17:30;36.96;36.98;36.84;36.90;36.91;977580;0
27.08.2025;17:45;36.94;36.94;36.74;36.74;36.84;3051556;0
27.08.2025;18:00;36.78;36.84;36.70;36.70;36.77;1000862;0
28.08.2025;10:00;36.70;37.68;36.70;37.08;37.19;6888702;0
28.08.2025;10:15;37.08;37.08;36.66;36.90;36.87;1881449;0
28.08.2025;10:30;36.90;36.92;36.74;36.80;36.83;2106172;0
28.08.2025;10:45;36.78;36.82;36.60;36.62;36.71;2542881;0
28.08.2025;11:00;36.62;36.66;36.50;36.56;36.58;1820892;0
28.08.2025;11:15;36.58;36.58;36.40;36.44;36.49;1593098;0
28.08.2025;11:30;36.46;36.58;36.42;36.46;36.50;880244;0
28.08.2025;11:45;36.48;36.52;36.44;36.46;36.48;1205934;0
28.08.2025;12:00;36.48;36.64;36.46;36.60;36.55;1124775;0
28.08.2025;12:15;36.58;36.66;36.54;36.64;36.60;540494;0
28.08.2025;12:30;36.64;36.66;36.54;36.60;36.60;830903;0
28.08.2025;12:45;36.62;36.64;36.48;36.50;36.56;2471852;0
28.08.2025;13:00;36.50;36.82;36.48;36.72;36.65;1963167;0
28.08.2025;13:15;36.74;36.78;36.58;36.74;36.68;3171312;0
28.08.2025;13:30;36.76;36.78;36.64;36.68;36.71;1129695;0
28.08.2025;13:45;36.68;36.72;36.56;36.58;36.64;1984004;0
28.08.2025;14:00;36.58;36.74;36.58;36.70;36.66;3208006;0
28.08.2025;14:15;36.72;36.92;36.62;36.82;36.77;3657474;0
28.08.2025;14:30;36.82;36.84;36.56;36.58;36.70;1614874;0
28.08.2025;14:45;36.58;36.64;36.56;36.60;36.60;1086941;0
28.08.2025;15:00;36.60;36.66;36.56;36.66;36.61;1180079;0
28.08.2025;15:15;36.66;36.76;36.62;36.72;36.69;1411177;0
28.08.2025;15:30;36.74;36.86;36.70;36.82;36.78;2232326;0
28.08.2025;15:45;36.82;36.84;36.70;36.74;36.77;3372135;0
28.08.2025;16:00;36.74;36.82;36.54;36.54;36.68;2627430;0
28.08.2025;16:15;36.56;36.58;36.36;36.52;36.47;4738486;0
28.08.2025;16:30;36.54;36.62;36.42;36.44;36.52;2695350;0
28.08.2025;16:45;36.42;36.48;35.98;36.34;36.23;5304720;0
28.08.2025;17:00;36.34;36.50;36.20;36.40;36.35;1722047;0
28.08.2025;17:15;36.38;36.42;36.30;36.36;36.36;1210348;0
28.08.2025;17:30;36.34;36.44;36.30;36.38;36.37;2448000;0
28.08.2025;17:45;36.38;36.38;36.00;36.18;36.19;3431903;0
28.08.2025;18:00;36.18;36.26;36.10;36.14;36.18;2003018;0
29.08.2025;10:00;36.36;36.70;36.36;36.64;36.53;4435321;0
29.08.2025;10:15;36.66;36.78;36.54;36.78;36.66;3775421;0
29.08.2025;10:30;36.78;36.98;36.66;36.70;36.82;5751937;0
29.08.2025;10:45;36.68;36.76;36.50;36.62;36.63;5260046;0
29.08.2025;11:00;36.62;36.84;36.60;36.60;36.72;5656282;0
29.08.2025;11:15;36.62;36.72;36.56;36.64;36.64;1679993;0
29.08.2025;11:30;36.62;36.68;36.54;36.56;36.61;1516252;0
29.08.2025;11:45;36.60;36.64;36.46;36.50;36.55;1751771;0
29.08.2025;12:00;36.50;36.54;36.44;36.50;36.49;546475;0
29.08.2025;12:15;36.50;36.54;36.42;36.48;36.48;1685842;0
29.08.2025;12:30;36.50;36.54;36.46;36.48;36.50;843227;0
29.08.2025;12:45;36.48;36.52;36.46;36.52;36.49;235297;0
29.08.2025;13:00;36.52;36.52;36.26;36.32;36.39;1457489;0
29.08.2025;13:15;36.30;36.38;36.24;36.28;36.31;1262360;0
29.08.2025;13:30;36.28;36.46;36.28;36.42;36.37;1232514;0
29.08.2025;13:45;36.40;36.58;36.38;36.46;36.48;1215483;0
29.08.2025;14:00;36.46;36.46;36.30;36.40;36.38;1954241;0
29.08.2025;14:15;36.34;36.40;36.26;36.26;36.33;1113263;0
29.08.2025;14:30;36.26;36.34;36.26;36.26;36.30;939475;0
29.08.2025;14:45;36.26;36.38;36.14;36.30;36.26;1774530;0
29.08.2025;15:00;36.28;36.30;36.22;36.30;36.26;463871;0
29.08.2025;15:15;36.30;36.30;36.22;36.30;36.26;555833;0
29.08.2025;15:30;36.26;36.40;36.24;36.36;36.32;566397;0
29.08.2025;15:45;36.32;36.38;36.32;36.34;36.35;221445;0
29.08.2025;16:00;36.28;36.40;36.28;36.38;36.34;698447;0
29.08.2025;16:15;36.36;36.40;36.32;36.40;36.36;453411;0
29.08.2025;16:30;36.40;36.56;36.40;36.54;36.48;1761608;0
29.08.2025;16:45;36.54;36.54;36.40;36.42;36.47;714970;0
29.08.2025;17:00;36.42;36.46;36.34;36.34;36.40;640858;0
29.08.2025;17:15;36.38;36.40;36.20;36.28;36.30;494940;0
29.08.2025;17:30;36.28;36.34;36.20;36.22;36.27;1743414;0
29.08.2025;17:45;36.24;36.28;36.20;36.24;36.24;2129592;0
29.08.2025;18:00;36.26;36.80;36.24;36.80;36.52;1472381;0
30.08.2025;10:00;36.86;37.54;36.52;37.54;37.03;8428037;0
30.08.2025;10:15;37.54;37.70;37.20;37.26;37.45;9744101;0
30.08.2025;10:30;37.26;37.58;37.14;37.50;37.36;3155462;0
