Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;8077.50;8087.50;8060.00;8080.00;8073.75;2655522;0
24.08.2025;11:30;8080.00;8100.00;8070.00;8070.00;8085.00;2118402;0
24.08.2025;11:45;8070.00;8095.00;8067.50;8085.00;8081.25;1381077;0
24.08.2025;12:00;8085.00;8090.00;8050.00;8062.50;8070.00;2299577;0
24.08.2025;12:15;8062.50;8075.00;8060.00;8067.50;8067.50;944020;0
24.08.2025;12:30;8067.50;8070.00;8055.00;8060.00;8062.50;2329605;0
24.08.2025;12:45;8067.50;8075.00;8060.00;8072.50;8067.50;1467960;0
24.08.2025;13:00;8065.00;8070.00;8055.00;8065.00;8062.50;3345207;0
24.08.2025;13:15;8065.00;8072.50;8050.00;8057.50;8061.25;1619762;0
24.08.2025;13:30;8057.50;8067.50;8057.50;8062.50;8062.50;451637;0
24.08.2025;13:45;8065.00;8067.50;8050.00;8067.50;8058.75;1845115;0
24.08.2025;14:00;8065.00;8065.00;8000.00;8012.50;8032.50;5790782;0
24.08.2025;14:15;8015.00;8035.00;8012.50;8035.00;8023.75;1692825;0
24.08.2025;14:30;8035.00;8047.50;8030.00;8035.00;8038.75;1406512;0
24.08.2025;14:45;8035.00;8035.00;8015.00;8025.00;8025.00;1684632;0
24.08.2025;15:00;8017.50;8027.50;8012.50;8027.50;8020.00;817880;0
24.08.2025;15:15;8027.50;8030.00;8012.50;8017.50;8021.25;1483885;0
24.08.2025;15:30;8020.00;8032.50;8010.00;8010.00;8021.25;2141857;0
24.08.2025;15:45;8025.00;8030.00;8017.50;8020.00;8023.75;954622;0
24.08.2025;16:00;8020.00;8067.50;8020.00;8037.50;8043.75;2734375;0
24.08.2025;16:15;8037.50;8060.00;8032.50;8047.50;8046.25;5306735;0
24.08.2025;16:30;8050.00;8065.00;8042.50;8065.00;8053.75;3792197;0
24.08.2025;16:45;8065.00;8160.00;8045.00;8145.00;8102.50;16544615;0
24.08.2025;17:00;8147.50;8180.00;8137.50;8145.00;8158.75;12330655;0
24.08.2025;17:15;8155.00;8190.00;8135.00;8155.00;8162.50;6596567;0
24.08.2025;17:30;8157.50;8170.00;8102.50;8117.50;8136.25;4991822;0
24.08.2025;17:45;8112.50;8125.00;8062.50;8072.50;8093.75;5227052;0
24.08.2025;18:00;8072.50;8095.00;8070.00;8070.00;8082.50;4320482;0
27.08.2025;10:00;7802.50;7912.50;7802.50;7892.50;7857.50;11236165;0
27.08.2025;10:15;7900.00;7920.00;7887.50;7905.00;7903.75;7521440;0
27.08.2025;10:30;7902.50;7917.50;7855.00;7862.50;7886.25;6645020;0
27.08.2025;10:45;7867.50;7887.50;7842.50;7877.50;7865.00;5127127;0
27.08.2025;11:00;7870.00;7885.00;7827.50;7860.00;7856.25;7967885;0
27.08.2025;11:15;7857.50;7905.00;7855.00;7887.50;7880.00;6670515;0
27.08.2025;11:30;7887.50;7907.50;7885.00;7905.00;7896.25;5377305;0
27.08.2025;11:45;7905.00;7905.00;7880.00;7882.50;7892.50;3457065;0
27.08.2025;12:00;7882.50;7885.00;7867.50;7875.00;7876.25;1205025;0
27.08.2025;12:15;7875.00;7875.00;7850.00;7860.00;7862.50;5173067;0
27.08.2025;12:30;7855.00;7860.00;7830.00;7855.00;7845.00;2126085;0
27.08.2025;12:45;7855.00;7925.00;7852.50;7905.00;7888.75;8383425;0
27.08.2025;13:00;7902.50;7917.50;7890.00;7892.50;7903.75;2277092;0
27.08.2025;13:15;7892.50;7905.00;7875.00;7880.00;7890.00;2137940;0
27.08.2025;13:30;7875.00;7902.50;7867.50;7882.50;7885.00;1828335;0
27.08.2025;13:45;7882.50;7890.00;7865.00;7890.00;7877.50;2008495;0
27.08.2025;14:00;7890.00;7920.00;7885.00;7902.50;7902.50;1660097;0
27.08.2025;14:15;7900.00;7912.50;7865.00;7867.50;7888.75;2786942;0
27.08.2025;14:30;7882.50;7900.00;7850.00;7860.00;7875.00;7477490;0
27.08.2025;14:45;7865.00;7865.00;7832.50;7837.50;7848.75;6608292;0
27.08.2025;15:00;7835.00;7850.00;7810.00;7835.00;7830.00;8908280;0
27.08.2025;15:15;7827.50;7857.50;7815.00;7820.00;7836.25;7244902;0
27.08.2025;15:30;7827.50;7827.50;7785.00;7795.00;7806.25;8891945;0
27.08.2025;15:45;7787.50;7797.50;7745.00;7780.00;7771.25;8746107;0
27.08.2025;16:00;7780.00;7805.00;7770.00;7780.00;7787.50;3364210;0
27.08.2025;16:15;7785.00;7802.50;7772.50;7795.00;7787.50;4592195;0
27.08.2025;16:30;7795.00;7800.00;7775.00;7785.00;7787.50;2258830;0
27.08.2025;16:45;7785.00;7835.00;7785.00;7825.00;7810.00;5836157;0
27.08.2025;17:00;7825.00;7842.50;7800.00;7807.50;7821.25;5549980;0
27.08.2025;17:15;7807.50;7860.00;7797.50;7845.00;7828.75;3823745;0
27.08.2025;17:30;7855.00;7875.00;7815.00;7837.50;7845.00;8260547;0
27.08.2025;17:45;7837.50;7857.50;7800.00;7812.50;7828.75;6497145;0
27.08.2025;18:00;7812.50;7830.00;7802.50;7802.50;7816.25;3780750;0
28.08.2025;10:00;7850.00;7895.00;7802.50;7877.50;7848.75;13370325;0
28.08.2025;10:15;7875.00;7930.00;7860.00;7922.50;7895.00;18034365;0
28.08.2025;10:30;7922.50;7955.00;7910.00;7925.00;7932.50;7305865;0
28.08.2025;10:45;7922.50;7932.50;7900.00;7920.00;7916.25;2676617;0
28.08.2025;11:00;7930.00;7980.00;7917.50;7972.50;7948.75;5821095;0
28.08.2025;11:15;7972.50;8012.50;7965.00;7977.50;7988.75;9902555;0
28.08.2025;11:30;7985.00;8005.00;7970.00;7980.00;7987.50;4849905;0
28.08.2025;11:45;7982.50;7997.50;7962.50;7977.50;7980.00;4754390;0
28.08.2025;12:00;7980.00;7990.00;7957.50;7967.50;7973.75;2073807;0
28.08.2025;12:15;7960.00;7992.50;7960.00;7982.50;7976.25;2521857;0
28.08.2025;12:30;7982.50;8000.00;7965.00;7985.00;7982.50;2338297;0
28.08.2025;12:45;7985.00;7985.00;7957.50;7957.50;7971.25;1570352;0
28.08.2025;13:00;7960.00;7975.00;7952.50;7967.50;7963.75;1409000;0
28.08.2025;13:15;7970.00;7975.00;7942.50;7965.00;7958.75;1257670;0
28.08.2025;13:30;7970.00;7975.00;7962.50;7967.50;7968.75;1721667;0
28.08.2025;13:45;7967.50;7975.00;7945.00;7945.00;7960.00;2179875;0
28.08.2025;14:00;7960.00;7972.50;7950.00;7972.50;7961.25;1361730;0
28.08.2025;14:15;7972.50;7977.50;7957.50;7977.50;7967.50;1282462;0
28.08.2025;14:30;7977.50;7977.50;7960.00;7965.00;7968.75;1482065;0
28.08.2025;14:45;7970.00;8037.50;7970.00;7990.00;8003.75;9045760;0
28.08.2025;15:00;7985.00;7997.50;7977.50;7977.50;7987.50;2268307;0
28.08.2025;15:15;7977.50;7987.50;7972.50;7977.50;7980.00;981257;0
28.08.2025;15:30;7977.50;7990.00;7960.00;7960.00;7975.00;2479155;0
28.08.2025;15:45;7960.00;7992.50;7957.50;7972.50;7975.00;5685470;0
28.08.2025;16:00;7962.50;7975.00;7947.50;7947.50;7961.25;2267205;0
28.08.2025;16:15;7952.50;7960.00;7910.00;7940.00;7935.00;4695255;0
28.08.2025;16:30;7935.00;7945.00;7920.00;7925.00;7932.50;4449355;0
28.08.2025;16:45;7922.50;7945.00;7875.00;7925.00;7910.00;4311835;0
28.08.2025;17:00;7920.00;7935.00;7902.50;7917.50;7918.75;1234422;0
28.08.2025;17:15;7910.00;7942.50;7900.00;7915.00;7921.25;2931255;0
28.08.2025;17:30;7927.50;7930.00;7892.50;7900.00;7911.25;2395130;0
28.08.2025;17:45;7900.00;7905.00;7872.50;7872.50;7888.75;6908325;0
28.08.2025;18:00;7872.50;7905.00;7870.00;7905.00;7887.50;3447727;0
29.08.2025;10:00;8002.50;8220.00;8000.00;8187.50;8110.00;40143585;0
29.08.2025;10:15;8185.00;8217.50;8107.50;8110.00;8162.50;22363287;0
29.08.2025;10:30;8110.00;8137.50;8100.00;8137.50;8118.75;10602202;0
29.08.2025;10:45;8147.50;8195.00;8140.00;8170.00;8167.50;11414672;0
29.08.2025;11:00;8162.50;8225.00;8130.00;8132.50;8177.50;15487472;0
29.08.2025;11:15;8145.00;8147.50;8100.00;8117.50;8123.75;5648480;0
29.08.2025;11:30;8115.00;8115.00;8057.50;8082.50;8086.25;7694620;0
29.08.2025;11:45;8077.50;8082.50;8057.50;8070.00;8070.00;2849765;0
29.08.2025;12:00;8067.50;8072.50;8047.50;8047.50;8060.00;2562855;0
29.08.2025;12:15;8055.00;8065.00;8045.00;8062.50;8055.00;3979722;0
29.08.2025;12:30;8062.50;8097.50;8060.00;8095.00;8078.75;4071825;0
29.08.2025;12:45;8090.00;8095.00;8075.00;8082.50;8085.00;2594802;0
29.08.2025;13:00;8085.00;8090.00;8072.50;8085.00;8081.25;3111327;0
29.08.2025;13:15;8085.00;8087.50;8050.00;8070.00;8068.75;2717965;0
29.08.2025;13:30;8075.00;8090.00;8067.50;8077.50;8078.75;1227795;0
29.08.2025;13:45;8067.50;8070.00;8050.00;8060.00;8060.00;1958027;0
29.08.2025;14:00;8060.00;8075.00;8052.50;8067.50;8063.75;1395412;0
29.08.2025;14:15;8067.50;8067.50;8040.00;8052.50;8053.75;1192005;0
29.08.2025;14:30;8052.50;8052.50;8020.00;8025.00;8036.25;2602110;0
29.08.2025;14:45;8020.00;8042.50;8010.00;8020.00;8026.25;2808555;0
29.08.2025;15:00;8020.00;8037.50;8015.00;8037.50;8026.25;1942097;0
29.08.2025;15:15;8040.00;8042.50;8025.00;8030.00;8033.75;1662582;0
29.08.2025;15:30;8030.00;8050.00;8025.00;8040.00;8037.50;2001112;0
29.08.2025;15:45;8040.00;8045.00;8002.50;8002.50;8023.75;3222560;0
29.08.2025;16:00;8007.50;8030.00;7995.00;8030.00;8012.50;5627302;0
29.08.2025;16:15;8030.00;8032.50;8000.00;8005.00;8016.25;3126892;0
29.08.2025;16:30;8012.50;8035.00;8010.00;8025.00;8022.50;3441457;0
29.08.2025;16:45;8025.00;8070.00;8020.00;8050.00;8045.00;5322372;0
29.08.2025;17:00;8045.00;8055.00;8032.50;8045.00;8043.75;2904605;0
29.08.2025;17:15;8045.00;8060.00;8032.50;8045.00;8046.25;3106797;0
29.08.2025;17:30;8035.00;8047.50;8025.00;8032.50;8036.25;2314047;0
29.08.2025;17:45;8037.50;8207.50;8030.00;8197.50;8118.75;21659840;0
29.08.2025;18:00;8197.50;8350.00;8170.00;8300.00;8260.00;32186740;0
30.08.2025;10:00;8320.00;8380.00;8262.50;8285.00;8321.25;15402625;0
30.08.2025;10:15;8297.50;8330.00;8250.00;8317.50;8290.00;14930682;0
30.08.2025;10:30;8317.50;8317.50;8267.50;8277.50;8292.50;5994292;0
30.08.2025;10:45;8277.50;8285.00;8237.50;8250.00;8261.25;6244562;0
30.08.2025;11:00;8260.00;8260.00;8232.50;8242.50;8246.25;4461907;0
30.08.2025;11:15;8240.00;8240.00;8200.00;8222.50;8220.00;5105395;0
30.08.2025;11:30;8225.00;8240.00;8190.00;8210.00;8215.00;5170555;0
30.08.2025;11:45;8210.00;8230.00;8200.00;8230.00;8215.00;3557440;0
30.08.2025;12:00;8230.00;8240.00;8212.50;8240.00;8226.25;1669407;0
30.08.2025;12:15;8240.00;8255.00;8220.00;8230.00;8237.50;1500417;0
30.08.2025;12:30;8230.00;8235.00;8210.00;8215.00;8222.50;1257855;0
30.08.2025;12:45;8220.00;8225.00;8200.00;8220.00;8212.50;1889855;0
30.08.2025;13:00;8210.00;8240.00;8207.50;8235.00;8223.75;3274660;0
30.08.2025;13:15;8237.50;8267.50;8237.50;8260.00;8252.50;5512570;0
30.08.2025;13:30;8255.00;8272.50;8230.00;8235.00;8251.25;3962932;0
30.08.2025;13:45;8237.50;8252.50;8227.50;8240.00;8240.00;1870630;0
30.08.2025;14:00;8240.00;8280.00;8240.00;8257.50;8260.00;7038830;0
30.08.2025;14:15;8255.00;8270.00;8225.00;8232.50;8247.50;3729482;0
30.08.2025;14:30;8232.50;8245.00;8180.00;8185.00;8212.50;5834902;0
30.08.2025;14:45;8185.00;8192.50;8160.00;8187.50;8176.25;6070882;0
30.08.2025;15:00;8187.50;8190.00;8170.00;8187.50;8180.00;3043667;0
30.08.2025;15:15;8190.00;8190.00;8135.00;8135.00;8162.50;3671100;0
30.08.2025;15:30;8132.50;8150.00;8090.00;8115.00;8120.00;10204370;0
30.08.2025;15:45;8120.00;8120.00;8097.50;8107.50;8108.75;4945180;0
30.08.2025;16:00;8120.00;8125.00;8095.00;8100.00;8110.00;3379785;0
30.08.2025;16:15;8095.00;8132.50;8095.00;8117.50;8113.75;3341385;0
30.08.2025;16:30;8117.50;8140.00;8107.50;8110.00;8123.75;2396297;0
30.08.2025;16:45;8115.00;8127.50;8085.00;8090.00;8106.25;4901392;0
30.08.2025;17:00;8090.00;8090.00;8042.50;8050.00;8066.25;5687930;0
30.08.2025;17:15;8050.00;8055.00;7977.50;7980.00;8016.25;9875832;0
30.08.2025;17:30;7985.00;7987.50;7922.50;7962.50;7955.00;10437267;0
30.08.2025;17:45;7962.50;7995.00;7950.00;7985.00;7972.50;7615942;0
30.08.2025;18:00;7985.00;7990.00;7967.50;7980.00;7978.75;4197480;0
31.08.2025;10:00;7975.00;7975.00;7880.00;7880.00;7927.50;10135422;0
31.08.2025;10:15;7877.50;7885.00;7782.50;7840.00;7833.75;14359862;0
31.08.2025;10:30;7845.00;7887.50;7835.00;7840.00;7861.25;5702925;0
31.08.2025;10:45;7837.50;7842.50;7807.50;7830.00;7825.00;6940002;0
31.08.2025;11:00;7832.50;7857.50;7820.00;7842.50;7838.75;7045477;0
31.08.2025;11:15;7840.00;7847.50;7825.00;7832.50;7836.25;1348032;0
