Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;8.88;8.92;8.88;8.91;8.90;979153;0
24.08.2025;11:30;8.91;8.93;8.90;8.92;8.91;774673;0
24.08.2025;11:45;8.92;8.93;8.89;8.89;8.91;791578;0
24.08.2025;12:00;8.89;8.90;8.87;8.87;8.88;299233;0
24.08.2025;12:15;8.87;8.89;8.86;8.87;8.88;1115224;0
24.08.2025;12:30;8.87;8.90;8.86;8.89;8.88;1460137;0
24.08.2025;12:45;8.88;8.88;8.86;8.87;8.87;383451;0
24.08.2025;13:00;8.87;8.89;8.86;8.87;8.88;648708;0
24.08.2025;13:15;8.87;8.89;8.87;8.87;8.88;245005;0
24.08.2025;13:30;8.88;8.90;8.87;8.90;8.88;775470;0
24.08.2025;13:45;8.89;8.91;8.87;8.89;8.89;355564;0
24.08.2025;14:00;8.89;8.89;8.84;8.85;8.87;1567729;0
24.08.2025;14:15;8.85;8.88;8.85;8.87;8.87;170943;0
24.08.2025;14:30;8.86;8.88;8.86;8.87;8.87;576705;0
24.08.2025;14:45;8.86;8.86;8.84;8.85;8.85;700030;0
24.08.2025;15:00;8.85;8.87;8.83;8.87;8.85;1164634;0
24.08.2025;15:15;8.87;8.89;8.85;8.87;8.87;635934;0
24.08.2025;15:30;8.87;8.90;8.86;8.88;8.88;1624097;0
24.08.2025;15:45;8.87;8.88;8.86;8.86;8.87;765673;0
24.08.2025;16:00;8.88;8.88;8.84;8.87;8.86;689686;0
24.08.2025;16:15;8.86;8.86;8.83;8.84;8.84;389720;0
24.08.2025;16:30;8.84;8.85;8.83;8.84;8.84;516293;0
24.08.2025;16:45;8.83;8.91;8.82;8.90;8.86;1388700;0
24.08.2025;17:00;8.91;8.92;8.88;8.88;8.90;796232;0
24.08.2025;17:15;8.88;8.90;8.86;8.86;8.88;541851;0
24.08.2025;17:30;8.88;9.09;8.84;9.07;8.97;7437251;0
24.08.2025;17:45;9.09;9.19;8.86;8.95;9.02;14995149;0
24.08.2025;18:00;8.95;8.95;8.90;8.90;8.92;1404339;0
27.08.2025;10:00;8.46;8.66;8.46;8.62;8.56;7273541;0
27.08.2025;10:15;8.62;8.65;8.57;8.63;8.61;2748309;0
27.08.2025;10:30;8.62;8.65;8.56;8.58;8.61;1797916;0
27.08.2025;10:45;8.58;8.61;8.53;8.56;8.57;1404264;0
27.08.2025;11:00;8.55;8.65;8.52;8.62;8.59;1774392;0
27.08.2025;11:15;8.61;8.62;8.59;8.59;8.61;1726839;0
27.08.2025;11:30;8.60;8.62;8.57;8.60;8.59;982107;0
27.08.2025;11:45;8.60;8.61;8.55;8.60;8.58;1222137;0
27.08.2025;12:00;8.61;8.61;8.57;8.59;8.59;1074554;0
27.08.2025;12:15;8.59;8.59;8.56;8.59;8.58;685234;0
27.08.2025;12:30;8.58;8.58;8.55;8.57;8.57;582840;0
27.08.2025;12:45;8.58;8.64;8.58;8.64;8.61;550515;0
27.08.2025;13:00;8.62;8.64;8.59;8.61;8.62;1736493;0
27.08.2025;13:15;8.59;8.61;8.59;8.59;8.60;723121;0
27.08.2025;13:30;8.58;8.64;8.56;8.64;8.60;1079252;0
27.08.2025;13:45;8.62;8.65;8.60;8.62;8.62;939576;0
27.08.2025;14:00;8.62;8.65;8.61;8.65;8.63;481655;0
27.08.2025;14:15;8.65;8.66;8.59;8.63;8.62;1059043;0
27.08.2025;14:30;8.63;8.66;8.60;8.61;8.63;914564;0
27.08.2025;14:45;8.61;8.62;8.59;8.61;8.61;817437;0
27.08.2025;15:00;8.59;8.61;8.58;8.60;8.59;675784;0
27.08.2025;15:15;8.59;8.61;8.58;8.60;8.59;122331;0
27.08.2025;15:30;8.60;8.60;8.55;8.56;8.58;494393;0
27.08.2025;15:45;8.55;8.55;8.48;8.55;8.51;2993089;0
27.08.2025;16:00;8.55;8.59;8.55;8.55;8.57;449951;0
27.08.2025;16:15;8.56;8.60;8.56;8.58;8.58;793273;0
27.08.2025;16:30;8.59;8.61;8.58;8.59;8.59;769820;0
27.08.2025;16:45;8.59;8.63;8.59;8.63;8.61;366354;0
27.08.2025;17:00;8.63;8.64;8.58;8.61;8.61;1313444;0
27.08.2025;17:15;8.61;8.65;8.61;8.64;8.63;821915;0
27.08.2025;17:30;8.64;8.65;8.60;8.61;8.62;496470;0
27.08.2025;17:45;8.60;8.61;8.52;8.54;8.57;2951195;0
27.08.2025;18:00;8.55;8.55;8.48;8.48;8.51;1441740;0
28.08.2025;10:00;8.49;8.68;8.49;8.62;8.59;2657702;0
28.08.2025;10:15;8.62;8.62;8.54;8.58;8.58;2314022;0
28.08.2025;10:30;8.58;8.60;8.54;8.57;8.57;1541881;0
28.08.2025;10:45;8.56;8.56;8.52;8.53;8.54;1181197;0
28.08.2025;11:00;8.53;8.56;8.53;8.54;8.55;874332;0
28.08.2025;11:15;8.54;8.55;8.48;8.49;8.51;1908221;0
28.08.2025;11:30;8.49;8.60;8.49;8.57;8.55;1738943;0
28.08.2025;11:45;8.57;8.57;8.54;8.56;8.55;450710;0
28.08.2025;12:00;8.56;8.56;8.53;8.53;8.55;438676;0
28.08.2025;12:15;8.54;8.54;8.51;8.54;8.53;1126747;0
28.08.2025;12:30;8.52;8.54;8.51;8.52;8.53;525062;0
28.08.2025;12:45;8.53;8.54;8.53;8.53;8.53;150280;0
28.08.2025;13:00;8.53;8.55;8.53;8.55;8.54;240000;0
28.08.2025;13:15;8.55;8.55;8.54;8.55;8.55;55506;0
28.08.2025;13:30;8.55;8.56;8.53;8.55;8.55;553851;0
28.08.2025;13:45;8.54;8.58;8.53;8.56;8.55;1105933;0
28.08.2025;14:00;8.56;8.59;8.55;8.57;8.57;1107861;0
28.08.2025;14:15;8.57;8.59;8.56;8.57;8.58;697812;0
28.08.2025;14:30;8.58;8.58;8.54;8.56;8.56;2057538;0
28.08.2025;14:45;8.57;8.58;8.55;8.55;8.57;236744;0
28.08.2025;15:00;8.55;8.57;8.55;8.57;8.56;363740;0
28.08.2025;15:15;8.57;8.57;8.55;8.56;8.56;1101242;0
28.08.2025;15:30;8.56;8.61;8.56;8.59;8.59;1991866;0
28.08.2025;15:45;8.58;8.58;8.54;8.54;8.56;1116867;0
28.08.2025;16:00;8.54;8.55;8.51;8.52;8.53;1072879;0
28.08.2025;16:15;8.52;8.54;8.46;8.50;8.50;2197183;0
28.08.2025;16:30;8.51;8.53;8.50;8.52;8.51;418829;0
28.08.2025;16:45;8.50;8.51;8.42;8.47;8.47;2369363;0
28.08.2025;17:00;8.48;8.53;8.46;8.52;8.49;971812;0
28.08.2025;17:15;8.52;8.54;8.51;8.52;8.53;636760;0
28.08.2025;17:30;8.53;8.54;8.51;8.51;8.53;727629;0
28.08.2025;17:45;8.51;8.52;8.50;8.51;8.51;512755;0
28.08.2025;18:00;8.51;8.52;8.51;8.52;8.52;315174;0
29.08.2025;10:00;8.57;8.60;8.53;8.55;8.57;2211664;0
29.08.2025;10:15;8.55;8.56;8.44;8.50;8.50;2443438;0
29.08.2025;10:30;8.50;8.53;8.46;8.49;8.49;1843173;0
