Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;9.10;9.10;9.10;9.10;9.10;9215364;0
27.02.2024;10:05;9.11;9.48;9.09;9.45;9.28;585737280;0
27.02.2024;11:05;9.46;9.60;9.43;9.48;9.52;329704512;0
27.02.2024;12:05;9.48;9.51;9.42;9.49;9.47;88904096;0
27.02.2024;13:05;9.49;9.58;9.48;9.55;9.53;168606400;0
27.02.2024;14:05;9.55;9.59;9.49;9.53;9.54;134731696;0
27.02.2024;15:05;9.52;9.56;9.45;9.51;9.51;120079800;0
27.02.2024;16:05;9.51;9.61;9.50;9.58;9.55;223479600;0
27.02.2024;17:05;9.57;9.64;9.55;9.61;9.60;240487504;0
27.02.2024;18:05;9.62;9.62;9.62;9.62;9.62;31349340;0
01.03.2024;09:05;9.66;9.66;9.66;9.66;9.66;9477270;0
01.03.2024;10:05;9.67;10.08;9.67;10.01;9.88;645409600;0
01.03.2024;11:05;10.02;10.05;9.94;10.00;9.99;261997904;0
01.03.2024;12:05;10.00;10.08;9.96;10.02;10.02;160710704;0
01.03.2024;13:05;10.03;10.06;10.00;10.03;10.03;56869560;0
01.03.2024;14:05;10.03;10.08;10.00;10.05;10.04;111850304;0
01.03.2024;15:05;10.06;10.17;10.03;10.16;10.10;218141696;0
01.03.2024;16:05;10.16;10.27;10.14;10.16;10.21;254329504;0
01.03.2024;17:05;10.16;10.26;10.14;10.26;10.20;202562800;0
01.03.2024;18:05;10.29;10.29;10.29;10.29;10.29;30170910;0
02.03.2024;09:05;10.31;10.31;10.31;10.31;10.31;11354390;0
02.03.2024;10:05;10.31;10.43;10.18;10.34;10.31;386448384;0
02.03.2024;11:05;10.35;10.57;10.29;10.53;10.43;362309088;0
02.03.2024;12:05;10.53;10.54;10.46;10.47;10.50;175455600;0
08.03.2024;09:05;10.47;10.47;10.47;10.47;10.47;32566690;0
08.03.2024;10:05;10.47;10.73;10.38;10.42;10.55;687695872;0
08.03.2024;11:05;10.41;10.63;10.40;10.56;10.51;245816896;0
08.03.2024;12:05;10.56;10.63;10.53;10.61;10.58;158772096;0
08.03.2024;13:05;10.61;10.68;10.59;10.64;10.64;155486592;0
08.03.2024;14:05;10.63;10.68;10.60;10.65;10.64;91019720;0
08.03.2024;15:05;10.64;10.68;10.52;10.59;10.60;188862096;0
08.03.2024;16:05;10.58;10.67;10.58;10.61;10.62;135305200;0
08.03.2024;17:05;10.61;10.62;10.49;10.58;10.55;193141792;0
08.03.2024;18:05;10.53;10.53;10.53;10.53;10.53;71103880;0
09.03.2024;09:05;10.53;10.53;10.53;10.53;10.53;21940740;0
09.03.2024;10:05;10.53;10.53;10.28;10.29;10.40;391129600;0
09.03.2024;11:05;10.28;10.41;10.28;10.31;10.34;180071296;0
09.03.2024;12:05;10.31;10.31;10.19;10.28;10.25;109909904;0
09.03.2024;13:05;10.28;10.35;10.25;10.32;10.30;89524016;0
09.03.2024;14:05;10.33;10.55;10.32;10.53;10.43;265528800;0
09.03.2024;15:05;10.53;10.53;10.38;10.41;10.45;126605600;0
09.03.2024;16:05;10.41;10.46;10.37;10.40;10.41;111301296;0
09.03.2024;17:05;10.39;10.53;10.31;10.48;10.42;274171296;0
09.03.2024;18:05;10.42;10.42;10.42;10.42;10.42;54824280;0
10.03.2024;09:05;10.38;10.38;10.38;10.38;10.38;27105390;0
10.03.2024;10:05;10.37;10.37;10.14;10.21;10.26;623956800;0
10.03.2024;11:05;10.22;10.25;10.08;10.09;10.16;297783808;0
10.03.2024;12:05;10.09;10.12;10.00;10.01;10.06;280761504;0
10.03.2024;13:05;10.00;10.03;9.93;10.01;9.98;280198304;0
10.03.2024;14:05;10.01;10.02;9.95;9.96;9.99;121953600;0
10.03.2024;15:05;9.95;9.97;9.90;9.93;9.93;125452000;0
10.03.2024;16:05;9.93;9.96;9.87;9.88;9.91;121702400;0
10.03.2024;17:05;9.87;10.01;9.86;9.93;9.93;286907296;0
10.03.2024;18:05;9.89;9.89;9.89;9.89;9.89;61409660;0
11.03.2024;09:05;8.91;8.91;8.91;8.91;8.91;28140750;0
11.03.2024;10:05;8.91;8.91;8.91;8.91;8.91;64914700;0
11.03.2024;11:05;8.91;8.91;8.91;8.91;8.91;13611280;0
11.03.2024;12:05;8.91;8.91;8.91;8.91;8.91;6906149;0
11.03.2024;13:05;8.91;8.91;8.91;8.91;8.91;9020028;0
11.03.2024;14:05;8.91;8.91;8.91;8.91;8.91;8504810;0
11.03.2024;15:05;8.91;8.91;8.91;8.91;8.91;29800710;0
11.03.2024;16:05;8.91;8.91;8.91;8.91;8.91;2928805;0
11.03.2024;17:05;8.91;8.91;8.91;8.91;8.91;6382766;0
