Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;33.87;33.95;33.81;33.85;33.88;1260617;0
24.08.2025;11:30;33.87;33.95;33.83;33.85;33.89;646707;0
24.08.2025;11:45;33.85;33.87;33.69;33.77;33.78;2803401;0
24.08.2025;12:00;33.77;33.99;33.69;33.77;33.84;2438230;0
24.08.2025;12:15;33.77;33.83;33.73;33.75;33.78;516529;0
24.08.2025;12:30;33.73;33.73;33.59;33.67;33.66;2085896;0
24.08.2025;12:45;33.63;33.71;33.61;33.65;33.66;1266841;0
24.08.2025;13:00;33.69;33.81;33.61;33.81;33.71;1482145;0
24.08.2025;13:15;33.77;33.85;33.63;33.73;33.74;1150531;0
24.08.2025;13:30;33.69;33.71;33.57;33.59;33.64;783038;0
24.08.2025;13:45;33.63;33.65;33.55;33.63;33.60;513240;0
24.08.2025;14:00;33.63;33.67;33.39;33.55;33.53;1946190;0
24.08.2025;14:15;33.55;33.65;33.49;33.61;33.57;519555;0
24.08.2025;14:30;33.61;33.65;33.53;33.59;33.59;576867;0
24.08.2025;14:45;33.55;33.59;33.49;33.51;33.54;508844;0
24.08.2025;15:00;33.51;33.51;33.41;33.47;33.46;755824;0
24.08.2025;15:15;33.51;33.51;33.37;33.49;33.44;585603;0
24.08.2025;15:30;33.49;33.51;33.41;33.49;33.46;207268;0
24.08.2025;15:45;33.49;33.51;33.45;33.45;33.48;1001540;0
24.08.2025;16:00;33.47;33.59;33.45;33.53;33.52;1459463;0
24.08.2025;16:15;33.53;33.53;33.43;33.47;33.48;695738;0
24.08.2025;16:30;33.51;33.59;33.45;33.45;33.52;281190;0
24.08.2025;16:45;33.45;33.81;33.39;33.67;33.60;3422506;0
24.08.2025;17:00;33.67;34.03;33.61;33.69;33.82;2510620;0
24.08.2025;17:15;33.65;33.75;33.57;33.67;33.66;856470;0
24.08.2025;17:30;33.63;33.65;33.39;33.47;33.52;1824749;0
24.08.2025;17:45;33.43;33.49;33.19;33.29;33.34;4151241;0
24.08.2025;18:00;33.29;33.39;33.29;33.31;33.34;973110;0
27.08.2025;10:00;32.99;32.99;32.27;32.73;32.63;3785234;0
27.08.2025;10:15;32.73;32.83;32.59;32.79;32.71;2817726;0
27.08.2025;10:30;32.75;32.79;32.61;32.63;32.70;1373515;0
27.08.2025;10:45;32.63;32.69;32.35;32.51;32.52;1648880;0
27.08.2025;11:00;32.53;32.63;32.35;32.59;32.49;811192;0
27.08.2025;11:15;32.57;32.63;32.51;32.51;32.57;669601;0
27.08.2025;11:30;32.55;32.63;32.51;32.55;32.57;297002;0
27.08.2025;11:45;32.55;32.55;32.45;32.49;32.50;351664;0
27.08.2025;12:00;32.49;32.51;32.43;32.49;32.47;641242;0
27.08.2025;12:15;32.49;32.53;32.45;32.49;32.49;443362;0
27.08.2025;12:30;32.47;32.49;32.35;32.49;32.42;1340915;0
27.08.2025;12:45;32.49;32.57;32.47;32.57;32.52;425142;0
27.08.2025;13:00;32.57;32.65;32.53;32.55;32.59;398087;0
27.08.2025;13:15;32.59;32.63;32.43;32.43;32.53;1088975;0
27.08.2025;13:30;32.43;32.59;32.43;32.49;32.51;213943;0
27.08.2025;13:45;32.51;32.55;32.39;32.49;32.47;837931;0
27.08.2025;14:00;32.49;32.59;32.45;32.55;32.52;171315;0
27.08.2025;14:15;32.55;32.61;32.45;32.49;32.53;818283;0
27.08.2025;14:30;32.49;32.65;32.45;32.49;32.55;832819;0
27.08.2025;14:45;32.49;32.55;32.37;32.41;32.46;292214;0
27.08.2025;15:00;32.49;32.55;32.43;32.51;32.49;648047;0
27.08.2025;15:15;32.49;32.63;32.47;32.49;32.55;502355;0
27.08.2025;15:30;32.49;32.53;32.37;32.37;32.45;500186;0
27.08.2025;15:45;32.37;32.39;32.19;32.35;32.29;816955;0
27.08.2025;16:00;32.31;32.47;32.25;32.33;32.36;773820;0
27.08.2025;16:15;32.29;32.35;32.13;32.27;32.24;3699164;0
27.08.2025;16:30;32.23;32.33;32.17;32.25;32.25;246548;0
27.08.2025;16:45;32.23;32.41;32.23;32.41;32.32;643833;0
27.08.2025;17:00;32.41;32.43;32.27;32.31;32.35;1195749;0
27.08.2025;17:15;32.31;32.49;32.25;32.39;32.37;1362410;0
27.08.2025;17:30;32.39;32.41;32.27;32.39;32.34;1049987;0
27.08.2025;17:45;32.39;32.39;32.23;32.31;32.31;1906654;0
27.08.2025;18:00;32.31;32.31;32.25;32.25;32.28;490163;0
28.08.2025;10:00;32.29;32.77;32.29;32.49;32.53;4496640;0
28.08.2025;10:15;32.45;32.57;32.25;32.45;32.41;1881729;0
28.08.2025;10:30;32.41;32.51;32.31;32.49;32.41;1452423;0
28.08.2025;10:45;32.51;32.53;32.37;32.39;32.45;1110841;0
28.08.2025;11:00;32.39;32.43;32.35;32.39;32.39;291985;0
28.08.2025;11:15;32.39;32.41;32.27;32.29;32.34;1450538;0
28.08.2025;11:30;32.27;32.39;32.27;32.29;32.33;395809;0
28.08.2025;11:45;32.31;32.35;32.29;32.33;32.32;177228;0
28.08.2025;12:00;32.33;32.37;32.25;32.33;32.31;585047;0
28.08.2025;12:15;32.33;32.33;32.25;32.31;32.29;336952;0
28.08.2025;12:30;32.29;32.35;32.25;32.35;32.30;389355;0
28.08.2025;12:45;32.33;32.35;32.23;32.25;32.29;390184;0
28.08.2025;13:00;32.25;32.35;32.25;32.33;32.30;507878;0
28.08.2025;13:15;32.35;32.39;32.31;32.39;32.35;148729;0
28.08.2025;13:30;32.39;32.43;32.33;32.33;32.38;297612;0
28.08.2025;13:45;32.35;32.39;32.31;32.35;32.35;409769;0
28.08.2025;14:00;32.33;32.39;32.29;32.39;32.34;967668;0
28.08.2025;14:15;32.39;32.39;32.23;32.27;32.31;1526755;0
28.08.2025;14:30;32.27;32.33;32.21;32.31;32.27;883765;0
28.08.2025;14:45;32.31;32.33;32.27;32.29;32.30;128425;0
28.08.2025;15:00;32.31;32.35;32.25;32.35;32.30;607658;0
28.08.2025;15:15;32.35;32.35;32.27;32.35;32.31;531542;0
28.08.2025;15:30;32.33;32.39;32.27;32.27;32.33;884670;0
28.08.2025;15:45;32.27;32.33;32.19;32.23;32.26;667545;0
28.08.2025;16:00;32.23;32.27;32.15;32.23;32.21;1503263;0
28.08.2025;16:15;32.25;32.25;32.05;32.07;32.15;1022815;0
28.08.2025;16:30;32.11;32.13;31.97;31.99;32.05;2854658;0
28.08.2025;16:45;31.99;32.07;31.85;32.03;31.96;1599024;0
28.08.2025;17:00;32.03;32.13;31.95;32.07;32.04;483647;0
28.08.2025;17:15;32.07;32.11;31.99;32.03;32.05;621950;0
28.08.2025;17:30;32.09;32.13;31.99;32.03;32.06;742934;0
28.08.2025;17:45;32.03;32.03;31.79;31.87;31.91;1982715;0
28.08.2025;18:00;31.79;31.87;31.79;31.81;31.83;507029;0
29.08.2025;10:00;32.25;32.31;32.03;32.05;32.17;2672248;0
29.08.2025;10:15;32.05;32.19;31.97;32.05;32.08;1734099;0
29.08.2025;10:30;32.07;32.13;32.03;32.11;32.08;993201;0
29.08.2025;10:45;32.09;32.13;32.07;32.07;32.10;736098;0
29.08.2025;11:00;32.07;32.11;32.01;32.01;32.06;458452;0
29.08.2025;11:15;32.03;32.15;32.01;32.05;32.08;1343815;0
29.08.2025;11:30;32.05;32.05;31.87;31.97;31.96;905781;0
29.08.2025;11:45;31.99;31.99;31.87;31.89;31.93;856129;0
29.08.2025;12:00;31.93;31.93;31.79;31.85;31.86;851522;0
29.08.2025;12:15;31.83;31.99;31.81;31.95;31.90;814697;0
29.08.2025;12:30;31.99;32.03;31.95;32.03;31.99;286776;0
29.08.2025;12:45;32.01;32.03;31.95;32.01;31.99;365581;0
29.08.2025;13:00;32.01;32.07;31.97;32.05;32.02;640504;0
29.08.2025;13:15;32.03;32.07;32.01;32.01;32.04;227672;0
29.08.2025;13:30;32.01;32.03;31.97;32.01;32.00;221600;0
29.08.2025;13:45;32.01;32.03;31.95;31.95;31.99;315218;0
29.08.2025;14:00;31.95;32.01;31.93;31.95;31.97;457132;0
29.08.2025;14:15;31.97;31.99;31.89;31.95;31.94;289123;0
29.08.2025;14:30;31.97;31.99;31.81;31.83;31.90;789320;0
29.08.2025;14:45;31.83;31.93;31.71;31.89;31.82;726045;0
29.08.2025;15:00;31.89;31.91;31.73;31.75;31.82;513752;0
29.08.2025;15:15;31.77;31.93;31.75;31.89;31.84;880131;0
29.08.2025;15:30;31.93;31.95;31.81;31.89;31.88;845760;0
29.08.2025;15:45;31.95;31.99;31.87;31.87;31.93;647910;0
29.08.2025;16:00;31.87;31.95;31.81;31.91;31.88;1608523;0
29.08.2025;16:15;31.89;31.97;31.85;31.95;31.91;739395;0
29.08.2025;16:30;31.95;32.05;31.91;32.03;31.98;476162;0
29.08.2025;16:45;32.01;32.07;31.97;32.01;32.02;818729;0
29.08.2025;17:00;32.01;32.07;31.99;32.05;32.03;498662;0
29.08.2025;17:15;32.05;32.11;32.05;32.09;32.08;593805;0
29.08.2025;17:30;32.09;32.09;31.97;32.05;32.03;1301191;0
29.08.2025;17:45;32.09;32.11;31.95;31.97;32.03;926292;0
29.08.2025;18:00;31.99;32.01;31.95;31.95;31.98;551272;0
30.08.2025;10:00;31.95;32.25;31.95;32.19;32.10;1699909;0
30.08.2025;10:15;32.15;32.27;32.13;32.25;32.20;703890;0
30.08.2025;10:30;32.25;32.27;32.17;32.17;32.22;243930;0
30.08.2025;10:45;32.17;32.31;32.15;32.25;32.23;1197976;0
30.08.2025;11:00;32.29;32.39;32.25;32.25;32.32;817901;0
30.08.2025;11:15;32.25;32.29;32.23;32.29;32.26;178281;0
30.08.2025;11:30;32.25;32.29;32.19;32.19;32.24;286753;0
30.08.2025;11:45;32.23;32.29;32.21;32.23;32.25;803793;0
30.08.2025;12:00;32.23;32.27;32.17;32.23;32.22;1262997;0
30.08.2025;12:15;32.23;32.27;32.17;32.21;32.22;746460;0
30.08.2025;12:30;32.23;32.23;32.11;32.19;32.17;534924;0
30.08.2025;12:45;32.17;32.19;32.15;32.17;32.17;175047;0
30.08.2025;13:00;32.21;32.43;32.19;32.41;32.31;2267775;0
30.08.2025;13:15;32.41;32.43;32.33;32.35;32.38;1244890;0
30.08.2025;13:30;32.35;32.41;32.33;32.37;32.37;1146364;0
30.08.2025;13:45;32.37;32.41;32.33;32.35;32.37;539930;0
30.08.2025;14:00;32.33;32.55;32.31;32.55;32.43;3613226;0
30.08.2025;14:15;32.55;32.55;32.37;32.37;32.46;1735392;0
30.08.2025;14:30;32.41;32.41;32.19;32.21;32.30;1433716;0
30.08.2025;14:45;32.21;32.23;32.11;32.17;32.17;1631430;0
30.08.2025;15:00;32.17;32.21;32.11;32.19;32.16;602884;0
30.08.2025;15:15;32.21;32.21;32.01;32.03;32.11;808859;0
30.08.2025;15:30;32.01;32.13;31.99;32.11;32.06;983380;0
30.08.2025;15:45;32.11;32.11;32.01;32.03;32.06;222809;0
30.08.2025;16:00;32.07;32.07;31.97;31.97;32.02;405364;0
30.08.2025;16:15;31.95;32.09;31.93;32.09;32.01;676869;0
30.08.2025;16:30;32.05;32.15;32.03;32.03;32.09;760925;0
30.08.2025;16:45;32.03;32.07;31.89;31.95;31.98;1311860;0
30.08.2025;17:00;31.91;31.93;31.77;31.81;31.85;930104;0
30.08.2025;17:15;31.79;31.81;31.51;31.55;31.66;1818408;0
30.08.2025;17:30;31.55;31.59;31.41;31.47;31.50;1134908;0
30.08.2025;17:45;31.47;31.59;31.39;31.39;31.49;1089616;0
30.08.2025;18:00;31.37;31.45;31.35;31.39;31.40;664592;0
31.08.2025;10:00;31.37;31.41;31.19;31.25;31.30;1689448;0
31.08.2025;10:15;31.25;31.29;30.65;31.19;30.97;4178779;0
31.08.2025;10:30;31.17;31.39;31.11;31.25;31.25;960893;0
31.08.2025;10:45;31.27;31.39;31.15;31.35;31.27;480045;0
31.08.2025;11:00;31.35;31.53;31.35;31.45;31.44;1646954;0
31.08.2025;11:15;31.45;31.51;31.27;31.29;31.39;1048526;0
31.08.2025;11:30;31.29;31.35;31.27;31.29;31.31;145953;0
31.08.2025;11:45;31.29;31.37;31.29;31.35;31.33;873124;0
31.08.2025;12:00;31.31;31.37;31.21;31.21;31.29;428031;0
31.08.2025;12:15;31.25;31.31;31.21;31.29;31.26;137562;0
31.08.2025;12:30;31.27;31.29;31.25;31.27;31.27;57258;0
31.08.2025;12:45;31.27;31.29;31.05;31.15;31.17;1802537;0
31.08.2025;13:00;31.15;31.19;31.05;31.11;31.12;378073;0
31.08.2025;13:15;31.11;31.15;31.05;31.09;31.10;57129;0
31.08.2025;13:30;31.13;31.29;31.13;31.23;31.21;919909;0
31.08.2025;13:45;31.25;31.41;31.23;31.41;31.32;209284;0
31.08.2025;14:00;31.41;31.49;31.39;31.39;31.44;1902010;0
31.08.2025;14:15;31.39;31.47;31.33;31.41;31.40;305173;0
31.08.2025;14:30;31.41;31.41;31.29;31.35;31.35;126484;0
31.08.2025;14:45;31.35;31.39;31.29;31.37;31.34;643190;0
31.08.2025;15:00;31.37;31.39;31.25;31.31;31.32;346800;0
31.08.2025;15:15;31.31;31.31;31.19;31.27;31.25;1589065;0
31.08.2025;15:30;31.31;31.35;31.25;31.31;31.30;465457;0
31.08.2025;15:45;31.31;31.55;31.29;31.47;31.42;1050286;0
31.08.2025;16:00;31.47;31.49;31.35;31.39;31.42;247674;0
31.08.2025;16:15;31.37;31.37;31.31;31.31;31.34;459926;0
31.08.2025;16:30;31.33;31.63;31.33;31.43;31.48;1872704;0
31.08.2025;16:45;31.41;31.47;31.31;31.41;31.39;625356;0
31.08.2025;17:00;31.39;31.51;31.39;31.49;31.45;547480;0
31.08.2025;17:15;31.43;31.75;31.43;31.71;31.59;1175511;0
31.08.2025;17:30;31.65;31.81;31.59;31.75;31.70;1082346;0
31.08.2025;17:45;31.77;31.79;31.57;31.63;31.68;1671806;0
31.08.2025;18:00;31.63;31.73;31.51;31.71;31.62;721916;0
03.09.2025;10:00;31.71;31.85;31.63;31.73;31.74;1507264;0
03.09.2025;10:15;31.75;31.75;31.57;31.69;31.66;1674919;0
03.09.2025;10:30;31.71;31.75;31.25;31.31;31.50;1366423;0
03.09.2025;10:45;31.29;31.35;31.25;31.31;31.30;752369;0
03.09.2025;11:00;31.31;31.33;31.03;31.29;31.18;967748;0
03.09.2025;11:15;31.29;32.55;31.27;32.51;31.91;8989005;0
03.09.2025;11:30;32.51;32.73;32.45;32.63;32.59;4760954;0
03.09.2025;11:45;32.57;32.71;32.45;32.57;32.58;2324988;0
03.09.2025;12:00;32.57;32.73;32.49;32.73;32.61;1662557;0
03.09.2025;12:15;32.73;32.83;32.69;32.77;32.76;1705162;0
03.09.2025;12:30;32.79;32.79;32.67;32.71;32.73;1225037;0
03.09.2025;12:45;32.73;32.79;32.63;32.65;32.71;3663668;0
03.09.2025;13:00;32.65;32.73;32.63;32.71;32.68;914780;0
03.09.2025;13:15;32.71;32.77;32.67;32.75;32.72;887274;0
03.09.2025;13:30;32.77;33.01;32.75;32.95;32.88;1659876;0
03.09.2025;13:45;33.01;33.03;32.85;32.95;32.94;911458;0
03.09.2025;14:00;32.95;33.03;32.91;33.03;32.97;458766;0
03.09.2025;14:15;32.97;33.15;32.97;33.09;33.06;773807;0
03.09.2025;14:30;33.09;33.15;33.05;33.13;33.10;839040;0
03.09.2025;14:45;33.13;33.17;33.09;33.11;33.13;1460558;0
03.09.2025;15:00;33.13;33.25;33.11;33.25;33.18;798513;0
03.09.2025;15:15;33.23;33.29;33.13;33.13;33.21;1302457;0
03.09.2025;15:30;33.15;33.23;33.13;33.23;33.18;1429029;0
03.09.2025;15:45;33.23;33.29;33.19;33.27;33.24;1096520;0
03.09.2025;16:00;33.29;33.35;33.23;33.35;33.29;1297126;0
03.09.2025;16:15;33.33;33.35;33.25;33.27;33.30;411402;0
03.09.2025;16:30;33.29;33.35;33.25;33.25;33.30;613439;0
03.09.2025;16:45;33.25;33.35;33.21;33.25;33.28;946759;0
03.09.2025;17:00;33.27;33.37;33.23;33.37;33.30;490714;0
03.09.2025;17:15;33.37;33.47;33.33;33.47;33.40;941094;0
03.09.2025;17:30;33.45;33.51;33.33;33.33;33.42;2072545;0
03.09.2025;17:45;33.33;33.39;33.25;33.35;33.32;1642525;0
03.09.2025;18:00;33.35;33.37;33.31;33.33;33.34;1166895;0
04.09.2025;10:00;34.25;35.14;34.15;34.78;34.64;23011868;0
04.09.2025;10:15;34.82;35.02;34.64;34.70;34.83;7721799;0
04.09.2025;10:30;34.70;34.98;34.60;34.90;34.79;4148189;0
04.09.2025;10:45;34.92;35.52;34.92;34.94;35.22;12309997;0
04.09.2025;11:00;34.94;35.00;34.64;34.74;34.82;3514972;0
04.09.2025;11:15;34.72;34.72;34.43;34.51;34.58;4460415;0
04.09.2025;11:30;34.51;34.55;34.23;34.35;34.39;2565538;0
04.09.2025;11:45;34.35;34.37;34.15;34.35;34.26;1115887;0
04.09.2025;12:00;34.35;34.49;34.19;34.19;34.34;1679818;0
04.09.2025;12:15;34.17;34.23;34.03;34.11;34.13;3791058;0
04.09.2025;12:30;34.09;34.15;33.89;34.11;34.02;3389002;0
04.09.2025;12:45;34.11;34.31;34.07;34.29;34.19;2889956;0
04.09.2025;13:00;34.31;34.37;34.21;34.35;34.29;1682562;0
