Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:00;6.88;6.90;6.80;6.87;6.85;4436504;0
24.08.2025;11:15;6.87;6.88;6.86;6.87;6.87;922403;0
24.08.2025;11:30;6.88;6.93;6.87;6.88;6.90;1030727;0
24.08.2025;11:45;6.87;6.87;6.81;6.83;6.84;2352382;0
24.08.2025;12:00;6.82;6.85;6.80;6.81;6.83;661129;0
24.08.2025;12:15;6.81;6.84;6.80;6.82;6.82;1016682;0
24.08.2025;12:30;6.82;6.83;6.80;6.81;6.82;672258;0
24.08.2025;12:45;6.82;6.84;6.81;6.84;6.83;569954;0
24.08.2025;13:00;6.83;6.83;6.80;6.81;6.82;358675;0
24.08.2025;13:15;6.81;6.82;6.79;6.81;6.81;554221;0
24.08.2025;13:30;6.80;6.81;6.79;6.80;6.80;519650;0
24.08.2025;13:45;6.79;6.80;6.77;6.80;6.79;562699;0
24.08.2025;14:00;6.80;6.81;6.76;6.79;6.79;1132150;0
24.08.2025;14:15;6.78;6.79;6.76;6.79;6.78;262702;0
24.08.2025;14:30;6.79;6.80;6.77;6.78;6.79;618882;0
24.08.2025;14:45;6.79;6.81;6.77;6.81;6.79;895291;0
24.08.2025;15:00;6.80;6.81;6.79;6.81;6.80;486811;0
24.08.2025;15:15;6.81;6.83;6.79;6.79;6.81;1178402;0
24.08.2025;15:30;6.80;6.81;6.77;6.80;6.79;385080;0
24.08.2025;15:45;6.80;6.80;6.76;6.77;6.78;399459;0
24.08.2025;16:00;6.77;6.80;6.76;6.79;6.78;448793;0
24.08.2025;16:15;6.79;6.80;6.74;6.75;6.77;1105119;0
24.08.2025;16:30;6.75;6.77;6.63;6.70;6.70;8409553;0
24.08.2025;16:45;6.70;6.75;6.60;6.75;6.67;3872326;0
24.08.2025;17:00;6.74;6.76;6.71;6.72;6.74;1066131;0
24.08.2025;17:15;6.72;6.75;6.66;6.69;6.70;610615;0
24.08.2025;17:30;6.69;6.70;6.63;6.65;6.66;1825295;0
24.08.2025;17:45;6.66;6.69;6.64;6.66;6.66;3763477;0
24.08.2025;18:00;6.66;6.67;6.60;6.64;6.63;2114151;0
27.08.2025;10:00;6.46;6.49;6.25;6.45;6.37;3915780;0
27.08.2025;10:15;6.45;6.46;6.36;6.43;6.41;3505731;0
