Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
05.03.2005;00:00;0.15;0.16;0.15;0.16;0.16;210750;0
06.03.2005;00:00;0.16;0.16;0.16;0.16;0.16;353778;0
09.03.2005;00:00;0.16;0.16;0.15;0.15;0.16;175018;0
10.03.2005;00:00;0.16;0.16;0.15;0.16;0.16;128356;0
11.03.2005;00:00;0.15;0.16;0.15;0.16;0.16;188520;0
12.03.2005;00:00;0.16;0.16;0.15;0.16;0.16;224414;0
13.03.2005;00:00;0.16;0.16;0.15;0.15;0.16;527579;0
16.03.2005;00:00;0.15;0.15;0.15;0.15;0.15;162756;0
17.03.2005;00:00;0.15;0.15;0.15;0.15;0.15;152012;0
18.03.2005;00:00;0.15;0.15;0.14;0.15;0.15;125939;0
19.03.2005;00:00;0.15;0.16;0.15;0.15;0.16;172376;0
20.03.2005;00:00;0.15;0.16;0.15;0.15;0.16;174821;0
24.03.2005;00:00;0.15;0.16;0.15;0.15;0.16;103884;0
25.03.2005;00:00;0.15;0.16;0.15;0.16;0.16;410194;0
26.03.2005;00:00;0.16;0.16;0.15;0.16;0.16;257429;0
27.03.2005;00:00;0.16;0.16;0.15;0.16;0.16;188262;0
28.03.2005;00:00;0.16;0.16;0.15;0.16;0.16;79036;0
31.03.2005;00:00;0.15;0.16;0.15;0.15;0.16;81979;0
01.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;105179;0
02.04.2005;00:00;0.15;0.16;0.15;0.16;0.16;247077;0
03.04.2005;00:00;0.16;0.16;0.15;0.15;0.16;187429;0
04.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;129953;0
07.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;127740;0
08.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;85205;0
09.04.2005;00:00;0.15;0.16;0.15;0.15;0.16;508048;0
10.04.2005;00:00;0.15;0.16;0.15;0.15;0.16;160673;0
11.04.2005;00:00;0.16;0.16;0.15;0.15;0.16;77722;0
14.04.2005;00:00;0.15;0.16;0.15;0.15;0.16;94449;0
15.04.2005;00:00;0.15;0.16;0.15;0.15;0.16;80817;0
16.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;68315;0
17.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;81229;0
18.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;64530;0
23.04.2005;00:00;0.15;0.17;0.13;0.16;0.15;1491639;0
24.04.2005;00:00;0.16;0.16;0.15;0.15;0.16;176832;0
25.04.2005;00:00;0.15;0.16;0.15;0.15;0.16;87392;0
26.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;88040;0
27.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;97992;0
30.04.2005;00:00;0.15;0.15;0.15;0.15;0.15;113281;0
01.05.2005;00:00;0.15;0.16;0.15;0.15;0.16;186874;0
02.05.2005;00:00;0.15;0.15;0.15;0.15;0.15;116157;0
