Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.10.2021;00:00;59.80;60.35;56.85;58.60;58.60;31453510;0
25.10.2021;00:00;58.60;58.70;54.20;54.50;56.45;25728180;0
28.10.2021;00:00;54.60;54.85;49.06;49.06;51.95;75947552;0
29.10.2021;00:00;49.90;52.95;47.44;48.50;50.19;60880072;0
30.10.2021;00:00;48.54;50.90;46.70;47.42;48.80;34953928;0
31.10.2021;00:00;47.70;47.98;45.52;46.36;46.75;35303552;0
01.11.2021;00:00;46.40;50.95;46.24;50.95;48.60;94413872;0
04.11.2021;00:00;52.10;53.65;48.50;48.50;51.08;61385352;0
05.11.2021;00:00;49.50;51.50;47.06;48.50;49.28;34163500;0
06.11.2021;00:00;48.08;49.74;47.94;48.58;48.84;35280120;0
07.11.2021;00:00;48.20;48.68;47.50;47.68;48.09;17265980;0
08.11.2021;00:00;48.00;48.00;46.50;46.96;47.25;13530330;0
11.11.2021;00:00;47.00;48.00;46.00;46.40;47.00;14203380;0
13.11.2021;00:00;47.00;47.12;45.80;46.16;46.46;10848690;0
14.11.2021;00:00;46.38;50.75;45.86;49.24;48.31;53744300;0
15.11.2021;00:00;49.24;49.26;47.24;47.48;48.25;17856730;0
16.11.2021;00:00;47.56;49.14;46.32;48.50;47.73;16512140;0
19.11.2021;00:00;48.62;51.90;48.20;50.45;50.05;42387928;0
20.11.2021;00:00;51.10;52.50;50.30;50.90;51.40;33177660;0
21.11.2021;00:00;51.10;51.50;49.80;51.25;50.65;21202330;0
22.11.2021;00:00;51.25;51.95;50.30;51.25;51.12;18012850;0
23.11.2021;00:00;51.50;52.60;50.80;52.25;51.70;32835450;0
26.11.2021;00:00;52.10;52.10;48.66;48.66;50.38;23255900;0
27.11.2021;00:00;48.86;53.50;48.70;51.25;51.10;85048096;0
28.11.2021;00:00;52.70;52.75;50.85;50.90;51.80;23642620;0
29.11.2021;00:00;51.10;51.35;49.32;49.50;50.33;13599130;0
30.11.2021;00:00;51.30;51.40;49.30;49.50;50.35;12650490;0
03.12.2021;00:00;49.80;49.84;47.40;47.92;48.62;21980820;0
04.12.2021;00:00;47.10;47.92;44.80;47.06;46.36;17789610;0
05.12.2021;00:00;47.06;48.60;46.30;46.30;47.45;11186700;0
06.12.2021;00:00;42.28;43.50;41.68;41.68;42.59;18947930;0
07.12.2021;00:00;41.72;43.50;41.00;42.82;42.25;27347500;0
10.12.2021;00:00;40.22;42.08;39.74;39.74;40.91;18620880;0
15.12.2021;00:00;39.98;40.78;38.16;38.98;39.47;17303500;0
16.12.2021;00:00;38.90;40.68;37.86;38.90;39.27;18325650;0
17.12.2021;00:00;38.98;40.26;38.82;39.34;39.54;9915268;0
18.12.2021;00:00;39.26;40.22;38.72;39.42;39.47;10067890;0
21.12.2021;00:00;39.52;41.56;38.82;39.84;40.19;20543270;0
22.12.2021;00:00;39.98;39.98;38.80;39.00;39.39;12841280;0
23.12.2021;00:00;39.30;39.84;37.52;39.38;38.68;22869850;0
24.12.2021;00:00;39.60;41.34;39.38;40.46;40.36;24559160;0
25.12.2021;00:00;40.44;43.92;40.06;42.48;41.99;33469230;0
28.12.2021;00:00;41.00;42.22;40.50;40.88;41.36;20769500;0
29.12.2021;00:00;40.88;41.30;39.86;39.86;40.58;12941780;0
30.12.2021;00:00;40.00;41.62;39.52;40.46;40.57;16174280;0
31.12.2021;00:00;41.42;43.40;41.42;42.16;42.41;28490410;0
01.01.2022;00:00;42.28;43.00;41.64;42.20;42.32;14976610;0
04.01.2022;00:00;42.20;42.98;41.64;41.64;42.31;13265550;0
05.01.2022;00:00;41.78;42.74;41.38;42.30;42.06;18178820;0
06.01.2022;00:00;42.30;43.50;42.00;42.10;42.75;19154970;0
07.01.2022;00:00;42.28;42.50;41.24;41.48;41.87;9992696;0
08.01.2022;00:00;41.48;42.02;41.38;41.60;41.70;9703523;0
11.01.2022;00:00;41.64;42.48;41.58;41.60;42.03;12709920;0
12.01.2022;00:00;41.60;42.40;40.82;41.00;41.61;15758760;0
13.01.2022;00:00;41.04;41.30;40.70;40.86;41.00;10375680;0
14.01.2022;00:00;40.98;41.18;39.88;40.06;40.53;10307400;0
16.01.2022;00:00;40.24;41.40;40.12;41.10;40.76;11813220;0
19.01.2022;00:00;41.70;41.80;40.50;40.60;41.15;11724450;0
20.01.2022;00:00;40.98;41.12;39.50;40.18;40.31;10205030;0
21.01.2022;00:00;40.18;40.38;39.78;39.84;40.08;13874410;0
22.01.2022;00:00;40.00;40.42;39.52;40.00;39.97;18495920;0
