Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
15.02.2024;17:05;3.56;3.59;3.42;3.45;3.50;37232152;0
15.02.2024;18:05;3.43;3.43;3.43;3.43;3.43;2580551;0
16.02.2024;09:05;3.39;3.39;3.39;3.39;3.39;923232;0
16.02.2024;10:05;3.39;3.40;3.23;3.28;3.32;47965680;0
16.02.2024;11:05;3.28;3.28;3.14;3.21;3.21;36750480;0
16.02.2024;12:05;3.21;3.23;3.15;3.23;3.19;15041560;0
16.02.2024;13:05;3.23;3.26;3.15;3.22;3.21;9825959;0
16.02.2024;14:05;3.22;3.22;3.12;3.16;3.17;9483468;0
16.02.2024;15:05;3.16;3.22;3.12;3.16;3.17;14205840;0
16.02.2024;16:05;3.16;3.18;3.12;3.16;3.15;8314961;0
16.02.2024;17:05;3.16;3.31;3.09;3.09;3.20;37661160;0
16.02.2024;18:05;3.09;3.09;3.09;3.09;3.09;653230;0
17.02.2024;09:05;3.03;3.03;3.03;3.03;3.03;1089407;0
17.02.2024;10:05;3.03;3.30;2.94;3.30;3.12;90258368;0
17.02.2024;11:05;3.30;3.34;3.18;3.19;3.26;27528360;0
17.02.2024;12:05;3.19;3.22;3.16;3.17;3.19;8075823;0
17.02.2024;13:05;3.17;3.21;3.17;3.21;3.19;4935229;0
17.02.2024;14:05;3.21;3.23;3.18;3.19;3.21;3631552;0
17.02.2024;15:05;3.19;3.23;3.18;3.23;3.21;4871761;0
17.02.2024;16:05;3.23;3.30;3.23;3.26;3.26;10278140;0
17.02.2024;17:05;3.26;3.32;3.14;3.22;3.23;20091890;0
17.02.2024;18:05;3.22;3.22;3.22;3.22;3.22;1772675;0
18.02.2024;09:05;3.15;3.15;3.15;3.15;3.15;1987154;0
18.02.2024;10:05;3.15;3.38;3.07;3.25;3.23;59433848;0
18.02.2024;11:05;3.25;3.31;3.20;3.22;3.25;16304130;0
18.02.2024;12:05;3.22;3.22;3.18;3.19;3.20;7443195;0
18.02.2024;13:05;3.19;3.21;3.18;3.19;3.20;4263393;0
18.02.2024;14:05;3.19;3.30;3.18;3.20;3.24;13171770;0
18.02.2024;15:05;3.20;3.23;3.18;3.20;3.21;5020398;0
18.02.2024;16:05;3.20;3.46;3.20;3.42;3.33;46130608;0
18.02.2024;17:05;3.42;3.46;3.27;3.28;3.37;26638950;0
18.02.2024;18:05;3.28;3.28;3.28;3.28;3.28;1273252;0
19.02.2024;09:05;3.28;3.28;3.28;3.28;3.28;1677735;0
19.02.2024;10:05;3.28;3.43;3.13;3.20;3.28;49854660;0
19.02.2024;11:05;3.20;3.28;3.17;3.23;3.23;11568210;0
19.02.2024;12:05;3.23;3.25;3.18;3.19;3.22;7767167;0
19.02.2024;13:05;3.19;3.27;3.18;3.21;3.23;6300070;0
19.02.2024;14:05;3.21;3.22;3.18;3.19;3.20;6422721;0
19.02.2024;15:05;3.19;3.37;3.19;3.30;3.28;13278740;0
19.02.2024;16:05;3.30;3.34;3.26;3.32;3.30;7688332;0
19.02.2024;17:05;3.32;3.34;3.23;3.29;3.28;16003380;0
19.02.2024;18:05;3.28;3.28;3.28;3.28;3.28;944957;0
23.02.2024;09:05;3.28;3.28;3.28;3.28;3.28;1376919;0
23.02.2024;10:05;3.28;3.28;3.12;3.12;3.20;33152560;0
23.02.2024;11:05;3.12;3.17;3.08;3.08;3.12;17133740;0
23.02.2024;12:05;3.09;3.11;3.08;3.08;3.09;10451160;0
23.02.2024;13:05;3.08;3.13;3.08;3.12;3.11;5462271;0
23.02.2024;14:05;3.12;3.15;3.11;3.14;3.13;3620672;0
23.02.2024;15:05;3.14;3.14;3.12;3.14;3.13;3295477;0
23.02.2024;16:05;3.14;3.26;3.14;3.26;3.20;13169870;0
23.02.2024;17:05;3.26;3.61;3.26;3.61;3.43;80139824;0
23.02.2024;18:05;3.61;3.61;3.61;3.61;3.61;1764051;0
24.02.2024;09:05;3.61;3.61;3.61;3.61;3.61;6400153;0
24.02.2024;10:05;3.61;3.75;3.46;3.58;3.61;102397400;0
24.02.2024;11:05;3.58;3.62;3.50;3.60;3.56;18428820;0
24.02.2024;12:05;3.60;3.92;3.60;3.87;3.76;49139312;0
24.02.2024;13:05;3.87;3.95;3.86;3.92;3.90;28563990;0
24.02.2024;14:05;3.92;3.97;3.92;3.93;3.95;34028340;0
24.02.2024;15:05;3.93;3.93;3.86;3.93;3.89;11787200;0
