Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;4.14;4.14;4.14;4.14;4.14;5008689;0
27.02.2024;10:05;4.14;4.20;4.00;4.19;4.10;74475696;0
27.02.2024;11:05;4.20;4.34;4.19;4.24;4.27;14384190;0
27.02.2024;12:05;4.24;4.24;4.17;4.20;4.21;19552000;0
27.02.2024;13:05;4.20;4.21;4.17;4.18;4.19;9279942;0
27.02.2024;14:05;4.18;4.19;4.17;4.18;4.18;6762395;0
27.02.2024;15:05;4.18;4.19;4.15;4.16;4.17;19946200;0
27.02.2024;16:05;4.16;4.22;4.14;4.15;4.18;39309368;0
27.02.2024;17:05;4.15;4.20;4.11;4.16;4.16;35087500;0
27.02.2024;18:05;4.19;4.19;4.19;4.19;4.19;6998720;0
01.03.2024;09:05;3.88;3.88;3.88;3.88;3.88;7227296;0
01.03.2024;10:05;3.95;4.08;3.89;4.02;3.99;104044600;0
01.03.2024;11:05;4.02;4.03;3.98;4.00;4.00;27861210;0
01.03.2024;12:05;3.99;4.02;3.97;3.98;3.99;19470190;0
01.03.2024;13:05;3.98;4.00;3.96;3.98;3.98;20324390;0
01.03.2024;14:05;3.98;4.01;3.98;3.98;3.99;26116380;0
01.03.2024;15:05;3.98;4.01;3.97;4.01;3.99;14165590;0
01.03.2024;16:05;4.00;4.02;3.99;4.02;4.01;15622210;0
01.03.2024;17:05;4.02;4.03;4.00;4.00;4.01;19291460;0
01.03.2024;18:05;4.05;4.05;4.05;4.05;4.05;6819182;0
02.03.2024;09:05;4.08;4.08;4.08;4.08;4.08;818005;0
02.03.2024;10:05;4.08;4.11;4.02;4.05;4.07;42601840;0
02.03.2024;11:05;4.05;4.09;4.05;4.08;4.07;11759470;0
02.03.2024;12:05;4.08;4.09;4.06;4.08;4.08;8615634;0
08.03.2024;09:05;4.04;4.04;4.04;4.04;4.04;1289032;0
08.03.2024;10:05;4.04;4.04;3.92;3.93;3.98;37788880;0
08.03.2024;11:05;3.93;3.95;3.90;3.90;3.93;36179640;0
08.03.2024;12:05;3.90;3.95;3.90;3.93;3.92;28780150;0
08.03.2024;13:05;3.93;3.97;3.90;3.93;3.93;25980740;0
08.03.2024;14:05;3.93;3.93;3.89;3.91;3.91;12719300;0
08.03.2024;15:05;3.91;3.91;3.88;3.89;3.90;14617550;0
08.03.2024;16:05;3.89;3.91;3.89;3.91;3.90;9256636;0
08.03.2024;17:05;3.91;3.91;3.84;3.84;3.87;22126210;0
08.03.2024;18:05;3.81;3.81;3.81;3.81;3.81;8625760;0
09.03.2024;09:05;3.81;3.81;3.81;3.81;3.81;2347724;0
09.03.2024;10:05;3.81;3.82;3.66;3.67;3.74;40296140;0
09.03.2024;11:05;3.67;3.69;3.63;3.65;3.66;22275850;0
09.03.2024;12:05;3.65;3.68;3.63;3.63;3.65;10438030;0
09.03.2024;13:05;3.64;3.65;3.63;3.65;3.64;11032500;0
09.03.2024;14:05;3.65;3.68;3.63;3.66;3.66;10355650;0
09.03.2024;15:05;3.66;3.66;3.62;3.64;3.64;20518120;0
09.03.2024;16:05;3.64;3.64;3.57;3.59;3.60;12526820;0
09.03.2024;17:05;3.59;3.77;3.58;3.77;3.68;45175740;0
09.03.2024;18:05;3.77;3.77;3.77;3.77;3.77;2311253;0
10.03.2024;09:05;3.77;3.77;3.77;3.77;3.77;735732;0
10.03.2024;10:05;3.77;3.79;3.72;3.75;3.75;30938980;0
10.03.2024;11:05;3.75;3.79;3.73;3.74;3.76;16030600;0
10.03.2024;12:05;3.74;3.75;3.73;3.75;3.74;4728548;0
10.03.2024;13:05;3.74;3.75;3.72;3.73;3.73;7927773;0
10.03.2024;14:05;3.73;3.73;3.69;3.70;3.71;5294399;0
10.03.2024;15:05;3.70;3.71;3.65;3.65;3.68;6712494;0
10.03.2024;16:05;3.65;3.73;3.64;3.69;3.68;22766920;0
10.03.2024;17:05;3.69;3.74;3.67;3.70;3.70;22858510;0
10.03.2024;18:05;3.72;3.72;3.72;3.72;3.72;5865774;0
11.03.2024;09:05;3.74;3.74;3.74;3.74;3.74;291384;0
11.03.2024;10:05;3.74;3.86;3.74;3.81;3.80;68789240;0
11.03.2024;11:05;3.82;3.86;3.78;3.80;3.82;12292780;0
11.03.2024;12:05;3.79;3.84;3.79;3.82;3.81;10903490;0
11.03.2024;13:05;3.82;3.84;3.81;3.82;3.83;4356393;0
11.03.2024;14:05;3.82;3.86;3.81;3.84;3.84;6503686;0
11.03.2024;15:05;3.84;3.86;3.81;3.85;3.84;6679886;0
11.03.2024;16:05;3.85;3.86;3.81;3.82;3.84;21686730;0
11.03.2024;17:05;3.81;3.85;3.81;3.82;3.83;7432042;0
11.03.2024;18:05;3.81;3.81;3.81;3.81;3.81;792628;0
12.03.2024;09:05;3.81;3.81;3.81;3.81;3.81;386295;0
12.03.2024;10:05;3.81;3.81;3.75;3.76;3.78;9001756;0
12.03.2024;11:05;3.76;3.76;3.73;3.75;3.74;4478171;0
12.03.2024;12:05;3.75;3.82;3.75;3.81;3.78;6181492;0
12.03.2024;13:05;3.81;3.86;3.80;3.83;3.83;6436187;0
12.03.2024;14:05;3.83;3.85;3.82;3.85;3.84;2488343;0
12.03.2024;15:05;3.85;3.88;3.84;3.87;3.86;7381600;0
12.03.2024;16:05;3.87;3.89;3.84;3.87;3.87;9788183;0
12.03.2024;17:05;3.87;3.90;3.87;3.88;3.88;5764975;0
12.03.2024;18:05;3.85;3.85;3.85;3.85;3.85;1458261;0
15.03.2024;09:05;3.88;3.88;3.88;3.88;3.88;857447;0
15.03.2024;10:05;3.88;3.97;3.87;3.89;3.92;24374710;0
15.03.2024;11:05;3.89;3.90;3.86;3.87;3.88;13846680;0
15.03.2024;12:05;3.87;3.92;3.86;3.89;3.89;6726159;0
15.03.2024;13:05;3.89;3.91;3.88;3.90;3.89;7149293;0
15.03.2024;14:05;3.90;3.90;3.86;3.89;3.88;4306539;0
15.03.2024;15:05;3.88;3.89;3.84;3.88;3.87;12694990;0
15.03.2024;16:05;3.88;3.89;3.81;3.82;3.85;9970012;0
15.03.2024;17:05;3.82;3.84;3.81;3.81;3.82;10248010;0
15.03.2024;18:05;3.90;3.90;3.90;3.90;3.90;6075134;0
17.03.2024;09:05;3.90;3.90;3.90;3.90;3.90;716866;0
17.03.2024;10:05;3.90;3.90;3.85;3.88;3.88;17583390;0
17.03.2024;11:05;3.88;3.90;3.84;3.85;3.87;19906150;0
17.03.2024;12:05;3.85;3.85;3.83;3.83;3.84;3462028;0
17.03.2024;13:05;3.83;3.83;3.80;3.80;3.81;5961477;0
17.03.2024;14:05;3.80;3.88;3.78;3.78;3.83;14118880;0
17.03.2024;15:05;3.78;3.81;3.75;3.81;3.78;9340214;0
17.03.2024;16:05;3.81;3.81;3.76;3.77;3.79;3609125;0
17.03.2024;17:05;3.77;3.82;3.77;3.81;3.80;12963620;0
17.03.2024;18:05;3.77;3.77;3.77;3.77;3.77;1839674;0
18.03.2024;09:05;3.79;3.79;3.79;3.79;3.79;229159;0
18.03.2024;10:05;3.79;3.84;3.79;3.80;3.82;9221916;0
18.03.2024;11:05;3.80;3.82;3.80;3.80;3.81;5490303;0
18.03.2024;12:05;3.80;3.82;3.80;3.81;3.81;3389774;0
18.03.2024;13:05;3.81;3.82;3.80;3.82;3.81;2629221;0
18.03.2024;14:05;3.81;3.84;3.80;3.80;3.82;7072600;0
18.03.2024;15:05;3.80;3.81;3.77;3.78;3.79;5936531;0
18.03.2024;16:05;3.78;3.81;3.77;3.78;3.79;8096053;0
18.03.2024;17:05;3.78;3.79;3.77;3.78;3.78;2608104;0
18.03.2024;18:05;3.78;3.78;3.78;3.78;3.78;568905;0
19.03.2024;09:05;3.80;3.80;3.80;3.80;3.80;49723;0
19.03.2024;10:05;3.80;3.81;3.78;3.79;3.79;6919070;0
19.03.2024;11:05;3.79;3.80;3.78;3.79;3.79;5879215;0
19.03.2024;12:05;3.79;3.82;3.79;3.82;3.81;2502416;0
19.03.2024;13:05;3.82;3.86;3.80;3.82;3.83;8283226;0
19.03.2024;14:05;3.81;3.83;3.80;3.80;3.81;3552292;0
19.03.2024;15:05;3.80;3.81;3.80;3.81;3.81;3883963;0
19.03.2024;16:05;3.81;3.81;3.80;3.80;3.81;3112011;0
19.03.2024;17:05;3.80;3.83;3.80;3.80;3.81;20026560;0
19.03.2024;18:05;3.80;3.80;3.80;3.80;3.80;1596672;0
22.03.2024;09:05;3.80;3.80;3.80;3.80;3.80;321552;0
22.03.2024;10:05;3.80;3.82;3.77;3.79;3.80;12747630;0
22.03.2024;11:05;3.79;3.79;3.77;3.77;3.78;11705880;0
22.03.2024;12:05;3.77;3.78;3.74;3.76;3.76;5687498;0
22.03.2024;13:05;3.76;3.77;3.75;3.76;3.76;3456731;0
22.03.2024;14:05;3.76;3.77;3.74;3.75;3.76;6605890;0
22.03.2024;15:05;3.75;3.78;3.70;3.72;3.74;21963070;0
22.03.2024;16:05;3.72;3.79;3.70;3.73;3.74;8381844;0
22.03.2024;17:05;3.73;3.75;3.71;3.72;3.73;8150170;0
22.03.2024;18:05;3.70;3.70;3.70;3.70;3.70;2231141;0
23.03.2024;09:05;3.71;3.71;3.71;3.71;3.71;143933;0
23.03.2024;10:05;3.70;3.70;3.60;3.68;3.65;15366500;0
23.03.2024;11:05;3.68;3.68;3.66;3.67;3.67;4820122;0
23.03.2024;12:05;3.67;3.68;3.65;3.68;3.67;4476468;0
23.03.2024;13:05;3.68;3.69;3.67;3.68;3.68;13253650;0
23.03.2024;14:05;3.68;3.69;3.65;3.67;3.67;6762919;0
23.03.2024;15:05;3.68;3.68;3.60;3.62;3.64;14036430;0
23.03.2024;16:05;3.61;3.65;3.61;3.63;3.63;4948253;0
23.03.2024;17:05;3.63;3.66;3.60;3.61;3.63;7277046;0
23.03.2024;18:05;3.61;3.61;3.61;3.61;3.61;1441513;0
27.03.2024;09:05;3.61;3.61;3.61;3.61;3.61;228713;0
27.03.2024;10:05;3.61;3.67;3.61;3.66;3.64;17472320;0
27.03.2024;11:05;3.66;3.68;3.65;3.67;3.66;4713502;0
27.03.2024;12:05;3.67;3.67;3.62;3.65;3.65;3935544;0
27.03.2024;13:05;3.65;3.67;3.64;3.65;3.65;2694719;0
