Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;18:05;10.81;10.81;10.81;10.81;10.81;3432986;0
27.02.2024;09:05;10.33;10.33;10.33;10.33;10.33;5285128;0
27.02.2024;10:05;10.37;11.40;10.30;10.93;10.85;90118848;0
27.02.2024;11:05;10.92;10.96;10.49;10.53;10.72;32468280;0
27.02.2024;12:05;10.53;10.73;10.41;10.45;10.57;30000920;0
27.02.2024;13:05;10.45;10.49;10.21;10.30;10.35;31750810;0
27.02.2024;14:05;10.29;10.35;10.24;10.30;10.30;15538930;0
27.02.2024;15:05;10.29;10.56;10.28;10.53;10.42;26233740;0
27.02.2024;16:05;10.53;10.85;10.43;10.65;10.64;22275780;0
27.02.2024;17:05;10.66;10.97;10.61;10.93;10.79;27133220;0
27.02.2024;18:05;10.93;10.93;10.93;10.93;10.93;717008;0
01.03.2024;09:05;11.27;11.27;11.27;11.27;11.27;288889;0
01.03.2024;10:05;11.29;11.33;11.02;11.31;11.18;24061140;0
01.03.2024;11:05;11.30;11.35;11.16;11.31;11.26;13982480;0
01.03.2024;12:05;11.33;11.41;11.30;11.41;11.36;17204270;0
01.03.2024;13:05;11.41;11.96;11.40;11.92;11.68;28950010;0
01.03.2024;14:05;11.91;12.03;11.78;12.03;11.90;24100780;0
01.03.2024;15:05;12.03;12.03;12.03;12.03;12.03;3266430;0
01.03.2024;16:05;12.03;12.03;12.03;12.03;12.03;1538127;0
01.03.2024;17:05;12.03;12.03;12.03;12.03;12.03;748299;0
01.03.2024;18:05;12.03;12.03;12.03;12.03;12.03;133316;0
02.03.2024;09:05;12.27;12.27;12.27;12.27;12.27;2156547;0
02.03.2024;10:05;12.27;13.23;12.17;13.23;12.70;122739104;0
02.03.2024;11:05;13.23;13.23;13.23;13.23;13.23;11200670;0
02.03.2024;12:05;13.23;13.23;13.23;13.23;13.23;3956333;0
08.03.2024;09:05;13.23;13.23;13.23;13.23;13.23;7476464;0
08.03.2024;10:05;13.22;13.22;12.19;12.41;12.70;120526400;0
08.03.2024;11:05;12.41;12.62;12.27;12.32;12.45;74456968;0
08.03.2024;12:05;12.32;12.51;12.31;12.40;12.41;53154728;0
08.03.2024;13:05;12.39;12.73;12.38;12.60;12.55;36207320;0
08.03.2024;14:05;12.56;12.66;12.51;12.63;12.59;19850270;0
08.03.2024;15:05;12.63;12.64;12.42;12.48;12.53;19475380;0
08.03.2024;16:05;12.48;12.66;12.44;12.48;12.55;19814260;0
08.03.2024;17:05;12.49;12.58;12.39;12.43;12.49;25154160;0
08.03.2024;18:05;12.39;12.39;12.39;12.39;12.39;1629339;0
09.03.2024;09:05;12.39;12.39;12.39;12.39;12.39;696084;0
09.03.2024;10:05;12.40;13.40;12.23;13.22;12.81;118652304;0
09.03.2024;11:05;13.21;13.31;12.91;12.92;13.11;37732592;0
09.03.2024;12:05;12.92;13.09;12.84;12.85;12.97;21737180;0
09.03.2024;13:05;12.87;13.27;12.85;13.05;13.06;22736660;0
09.03.2024;14:05;13.06;13.19;12.97;13.02;13.08;16883210;0
09.03.2024;15:05;13.02;13.17;12.93;12.99;13.05;15836990;0
09.03.2024;16:05;12.99;13.09;12.85;12.91;12.97;13030650;0
09.03.2024;17:05;12.91;13.05;12.83;12.85;12.94;26585320;0
09.03.2024;18:05;12.87;12.87;12.87;12.87;12.87;1100863;0
10.03.2024;09:05;12.83;12.83;12.83;12.83;12.83;659120;0
10.03.2024;10:05;12.83;12.96;12.57;12.67;12.76;43252220;0
10.03.2024;11:05;12.69;12.91;12.60;12.84;12.76;31306840;0
10.03.2024;12:05;12.83;12.85;12.73;12.74;12.79;9785690;0
10.03.2024;13:05;12.74;12.74;12.56;12.59;12.65;15383130;0
10.03.2024;14:05;12.58;12.62;12.55;12.57;12.59;6692633;0
10.03.2024;15:05;12.57;12.63;12.50;12.53;12.57;8864103;0
10.03.2024;16:05;12.51;12.61;12.50;12.51;12.55;8814757;0
10.03.2024;17:05;12.53;12.58;12.45;12.50;12.51;13095700;0
10.03.2024;18:05;12.47;12.47;12.47;12.47;12.47;1724851;0
11.03.2024;09:05;12.49;12.49;12.49;12.49;12.49;222032;0
11.03.2024;10:05;12.54;12.67;12.27;12.27;12.47;31202420;0
11.03.2024;11:05;12.27;12.29;12.11;12.15;12.20;14963560;0
11.03.2024;12:05;12.13;12.19;12.11;12.13;12.15;9470416;0
11.03.2024;13:05;12.13;12.24;12.11;12.18;12.17;5046240;0
11.03.2024;14:05;12.17;12.31;12.10;12.18;12.21;9869402;0
11.03.2024;15:05;12.17;12.66;12.15;12.55;12.40;24292900;0
11.03.2024;16:05;12.55;12.69;12.32;12.40;12.50;17665340;0
11.03.2024;17:05;12.39;12.60;12.31;12.32;12.46;9280657;0
11.03.2024;18:05;12.30;12.30;12.30;12.30;12.30;1671386;0
12.03.2024;09:05;12.29;12.29;12.29;12.29;12.29;392772;0
12.03.2024;10:05;12.27;12.43;11.84;12.30;12.14;14970990;0
12.03.2024;11:05;12.29;12.35;12.19;12.31;12.27;8074225;0
12.03.2024;12:05;12.32;12.49;12.32;12.35;12.40;12050590;0
12.03.2024;13:05;12.35;12.37;12.31;12.31;12.34;3357619;0
12.03.2024;14:05;12.31;12.50;12.29;12.47;12.39;8091810;0
12.03.2024;15:05;12.47;12.55;12.43;12.50;12.49;7609505;0
12.03.2024;16:05;12.48;12.50;12.33;12.33;12.41;7283778;0
12.03.2024;17:05;12.33;12.47;12.33;12.36;12.40;13538740;0
12.03.2024;18:05;12.35;12.35;12.35;12.35;12.35;1275621;0
15.03.2024;09:05;12.47;12.47;12.47;12.47;12.47;410610;0
15.03.2024;10:05;12.39;12.93;12.39;12.80;12.66;40485592;0
