Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;0.22;0.22;0.20;0.20;0.21;493354;0
08.05.2005;00:00;0.20;0.22;0.20;0.22;0.21;9448381;0
09.05.2005;00:00;0.22;0.23;0.22;0.23;0.23;1490455;0
10.05.2005;00:00;0.22;0.23;0.21;0.23;0.22;592114;0
14.05.2005;00:00;0.23;0.24;0.22;0.24;0.23;1443883;0
15.05.2005;00:00;0.23;0.24;0.22;0.23;0.23;680244;0
16.05.2005;00:00;0.23;0.23;0.22;0.23;0.23;1329179;0
17.05.2005;00:00;0.23;0.24;0.22;0.23;0.23;1078389;0
18.05.2005;00:00;0.24;0.24;0.23;0.23;0.23;1177938;0
21.05.2005;00:00;0.23;0.23;0.22;0.23;0.23;626122;0
22.05.2005;00:00;0.23;0.23;0.22;0.23;0.23;333176;0
23.05.2005;00:00;0.23;0.23;0.22;0.22;0.23;337926;0
25.05.2005;00:00;0.22;0.22;0.22;0.22;0.22;1269797;0
26.05.2005;00:00;0.22;0.22;0.22;0.22;0.22;527943;0
29.05.2005;00:00;0.22;0.22;0.21;0.22;0.21;130255;0
30.05.2005;00:00;0.22;0.22;0.22;0.22;0.22;134817;0
31.05.2005;00:00;0.22;0.23;0.22;0.23;0.23;798666;0
01.06.2005;00:00;0.23;0.23;0.22;0.23;0.23;440055;0
02.06.2005;00:00;0.23;0.23;0.23;0.23;0.23;554030;0
05.06.2005;00:00;0.23;0.23;0.22;0.23;0.23;210645;0
06.06.2005;00:00;0.22;0.23;0.20;0.23;0.22;599773;0
07.06.2005;00:00;0.23;0.24;0.22;0.22;0.23;1269578;0
08.06.2005;00:00;0.22;0.22;0.22;0.22;0.22;312555;0
09.06.2005;00:00;0.23;0.23;0.22;0.22;0.23;563147;0
12.06.2005;00:00;0.22;0.22;0.21;0.22;0.21;215434;0
13.06.2005;00:00;0.22;0.22;0.21;0.22;0.21;181503;0
14.06.2005;00:00;0.22;0.22;0.21;0.22;0.21;238512;0
15.06.2005;00:00;0.22;0.22;0.21;0.21;0.21;337708;0
16.06.2005;00:00;0.21;0.21;0.20;0.21;0.20;348345;0
19.06.2005;00:00;0.21;0.22;0.21;0.22;0.21;790615;0
20.06.2005;00:00;0.22;0.23;0.21;0.22;0.22;230800;0
21.06.2005;00:00;0.22;0.22;0.22;0.22;0.22;194054;0
22.06.2005;00:00;0.22;0.22;0.22;0.22;0.22;458200;0
23.06.2005;00:00;0.23;0.23;0.22;0.22;0.23;597048;0
28.06.2005;00:00;0.22;0.22;0.22;0.22;0.22;241091;0
29.06.2005;00:00;0.22;0.23;0.20;0.21;0.22;2176027;0
30.06.2005;00:00;0.21;0.21;0.20;0.20;0.20;291862;0
01.07.2005;00:00;0.20;0.20;0.20;0.20;0.20;163693;0
02.07.2005;00:00;0.20;0.21;0.20;0.20;0.20;326625;0
05.07.2005;00:00;0.20;0.21;0.20;0.21;0.20;203879;0
06.07.2005;00:00;0.21;0.21;0.20;0.21;0.20;85724;0
07.07.2005;00:00;0.20;0.21;0.20;0.20;0.20;174385;0
08.07.2005;00:00;0.20;0.20;0.19;0.19;0.20;231416;0
09.07.2005;00:00;0.20;0.20;0.18;0.19;0.19;629576;0
12.07.2005;00:00;0.18;0.19;0.17;0.18;0.18;192728;0
13.07.2005;00:00;0.18;0.18;0.18;0.18;0.18;110379;0
14.07.2005;00:00;0.18;0.18;0.18;0.18;0.18;133323;0
15.07.2005;00:00;0.18;0.19;0.18;0.19;0.19;200910;0
16.07.2005;00:00;0.18;0.19;0.18;0.18;0.19;163933;0
19.07.2005;00:00;0.18;0.19;0.18;0.19;0.19;394894;0
20.07.2005;00:00;0.19;0.19;0.18;0.18;0.19;183343;0
21.07.2005;00:00;0.19;0.19;0.18;0.18;0.19;474353;0
22.07.2005;00:00;0.19;0.19;0.18;0.18;0.19;251512;0
23.07.2005;00:00;0.18;0.19;0.18;0.18;0.19;136276;0
26.07.2005;00:00;0.19;0.18;0.18;0.18;0.18;227905;0
28.07.2005;00:00;0.18;0.18;0.18;0.18;0.18;81676;0
29.07.2005;00:00;0.18;0.18;0.18;0.18;0.18;92714;0
30.07.2005;00:00;0.18;0.18;0.18;0.18;0.18;71963;0
31.07.2005;00:00;0.18;0.18;0.17;0.17;0.18;480023;0
03.08.2005;00:00;0.18;0.18;0.17;0.17;0.18;85447;0
04.08.2005;00:00;0.17;0.17;0.17;0.17;0.17;65437;0
05.08.2005;00:00;0.17;0.17;0.17;0.17;0.17;116202;0
06.08.2005;00:00;0.17;0.17;0.17;0.17;0.17;117412;0
07.08.2005;00:00;0.17;0.17;0.17;0.17;0.17;166491;0
10.08.2005;00:00;0.17;0.18;0.17;0.18;0.18;469782;0
11.08.2005;00:00;0.18;0.18;0.17;0.18;0.18;163278;0
12.08.2005;00:00;0.18;0.18;0.17;0.18;0.18;160721;0
13.08.2005;00:00;0.18;0.18;0.17;0.18;0.18;188339;0
14.08.2005;00:00;0.18;0.18;0.17;0.18;0.18;159547;0
17.08.2005;00:00;0.18;0.18;0.17;0.17;0.18;94788;0
18.08.2005;00:00;0.17;0.18;0.17;0.17;0.18;144940;0
19.08.2005;00:00;0.17;0.17;0.17;0.17;0.17;78596;0
20.08.2005;00:00;0.17;0.17;0.17;0.17;0.17;80326;0
21.08.2005;00:00;0.17;0.17;0.17;0.17;0.17;77981;0
24.08.2005;00:00;0.17;0.18;0.17;0.17;0.18;281936;0
25.08.2005;00:00;0.17;0.17;0.17;0.17;0.17;120896;0
27.08.2005;00:00;0.17;0.17;0.17;0.17;0.17;83831;0
29.08.2005;00:00;0.17;0.18;0.17;0.18;0.18;386255;0
01.09.2005;00:00;0.18;0.18;0.17;0.18;0.18;80567;0
02.09.2005;00:00;0.18;0.18;0.17;0.18;0.18;74476;0
03.09.2005;00:00;0.17;0.18;0.17;0.18;0.18;66007;0
04.09.2005;00:00;0.18;0.18;0.17;0.17;0.18;40198;0
05.09.2005;00:00;0.17;0.18;0.17;0.18;0.18;65999;0
08.09.2005;00:00;0.18;0.18;0.17;0.17;0.18;58879;0
09.09.2005;00:00;0.17;0.18;0.17;0.18;0.18;155947;0
10.09.2005;00:00;0.18;0.20;0.18;0.19;0.19;3057645;0
11.09.2005;00:00;0.20;0.20;0.18;0.18;0.19;2018074;0
12.09.2005;00:00;0.18;0.18;0.18;0.18;0.18;425461;0
15.09.2005;00:00;0.18;0.19;0.18;0.18;0.19;640709;0
16.09.2005;00:00;0.18;0.19;0.18;0.19;0.19;2723025;0
17.09.2005;00:00;0.19;0.19;0.18;0.18;0.19;1595884;0
18.09.2005;00:00;0.19;0.19;0.18;0.18;0.19;1000144;0
19.09.2005;00:00;0.18;0.18;0.18;0.18;0.18;364378;0
22.09.2005;00:00;0.18;0.18;0.17;0.17;0.18;593180;0
23.09.2005;00:00;0.18;0.18;0.17;0.18;0.18;664100;0
24.09.2005;00:00;0.18;0.18;0.17;0.18;0.18;310170;0
25.09.2005;00:00;0.18;0.18;0.17;0.18;0.18;220557;0
26.09.2005;00:00;0.18;0.19;0.17;0.18;0.18;1108241;0
01.10.2005;00:00;0.18;0.19;0.18;0.19;0.19;946172;0
02.10.2005;00:00;0.19;0.19;0.18;0.19;0.19;1221916;0
03.10.2005;00:00;0.19;0.19;0.18;0.18;0.19;434208;0
04.10.2005;00:00;0.18;0.19;0.18;0.18;0.19;328149;0
05.10.2005;00:00;0.19;0.19;0.18;0.18;0.19;204049;0
08.10.2005;00:00;0.18;0.18;0.18;0.18;0.18;132324;0
09.10.2005;00:00;0.18;0.18;0.18;0.18;0.18;342207;0
10.10.2005;00:00;0.18;0.18;0.18;0.18;0.18;834162;0
11.10.2005;00:00;0.18;0.19;0.18;0.18;0.19;1335458;0
12.10.2005;00:00;0.18;0.18;0.18;0.18;0.18;370473;0
15.10.2005;00:00;0.18;0.18;0.18;0.18;0.18;197513;0
16.10.2005;00:00;0.18;0.18;0.18;0.18;0.18;532162;0
17.10.2005;00:00;0.18;0.18;0.18;0.18;0.18;262536;0
18.10.2005;00:00;0.18;0.18;0.18;0.18;0.18;279757;0
19.10.2005;00:00;0.18;0.19;0.18;0.18;0.19;439881;0
25.10.2005;00:00;0.18;0.19;0.18;0.18;0.19;214734;0
26.10.2005;00:00;0.18;0.18;0.18;0.18;0.18;117745;0
