Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:00;11.87;11.89;11.67;11.71;11.78;2332297;0
24.08.2025;11:15;11.71;11.83;11.65;11.82;11.74;2186895;0
24.08.2025;11:30;11.83;11.90;11.82;11.90;11.86;498966;0
24.08.2025;11:45;11.91;11.95;11.84;11.86;11.89;443503;0
24.08.2025;12:00;11.84;11.87;11.62;11.79;11.74;5415725;0
24.08.2025;12:15;11.78;11.78;11.69;11.77;11.73;626995;0
24.08.2025;12:30;11.76;11.76;11.72;11.73;11.74;284224;0
24.08.2025;12:45;11.73;11.76;11.72;11.74;11.74;292221;0
24.08.2025;13:00;11.74;11.77;11.71;11.74;11.74;461484;0
24.08.2025;13:15;11.75;11.76;11.73;11.76;11.74;67251;0
24.08.2025;13:30;11.74;11.76;11.70;11.73;11.73;344151;0
24.08.2025;13:45;11.76;11.79;11.76;11.77;11.77;97300;0
24.08.2025;14:00;11.76;11.76;11.71;11.75;11.73;360940;0
24.08.2025;14:15;11.77;11.79;11.74;11.76;11.76;152405;0
24.08.2025;14:30;11.75;11.77;11.71;11.76;11.74;578632;0
24.08.2025;14:45;11.77;11.77;11.71;11.71;11.74;132682;0
24.08.2025;15:00;11.71;11.81;11.71;11.78;11.76;432553;0
24.08.2025;15:15;11.78;11.97;11.78;11.89;11.87;3019563;0
24.08.2025;15:30;11.90;11.93;11.87;11.87;11.90;447048;0
24.08.2025;15:45;11.87;11.87;11.85;11.86;11.86;165933;0
24.08.2025;16:00;11.85;11.85;11.81;11.84;11.83;233034;0
24.08.2025;16:15;11.82;11.88;11.82;11.87;11.85;110177;0
24.08.2025;16:30;11.87;11.87;11.83;11.83;11.85;68808;0
24.08.2025;16:45;11.84;11.97;11.83;11.91;11.90;1129546;0
24.08.2025;17:00;11.91;11.99;11.91;11.96;11.95;762765;0
24.08.2025;17:15;11.97;11.99;11.95;11.97;11.97;214313;0
24.08.2025;17:30;11.99;12.03;11.93;11.98;11.98;704886;0
24.08.2025;17:45;11.98;11.99;11.90;11.90;11.94;756064;0
24.08.2025;18:00;11.94;11.94;11.84;11.84;11.89;264442;0
27.08.2025;10:00;11.04;11.81;11.04;11.70;11.42;8340527;0
27.08.2025;10:15;11.74;11.96;11.69;11.96;11.82;1786904;0
27.08.2025;10:30;11.97;12.04;11.87;11.94;11.95;2362277;0
27.08.2025;10:45;11.98;11.99;11.83;11.85;11.91;926119;0
27.08.2025;11:00;11.86;11.93;11.79;11.89;11.86;1533699;0
27.08.2025;11:15;11.89;11.92;11.89;11.91;11.90;339122;0
27.08.2025;11:30;11.91;11.92;11.88;11.91;11.90;312518;0
27.08.2025;11:45;11.90;11.95;11.90;11.92;11.92;968061;0
27.08.2025;12:00;11.92;11.94;11.90;11.90;11.92;305047;0
27.08.2025;12:15;11.92;11.92;11.88;11.89;11.90;265424;0
27.08.2025;12:30;11.91;11.95;11.89;11.95;11.92;162287;0
27.08.2025;12:45;11.91;11.98;11.91;11.97;11.94;59787;0
27.08.2025;13:00;11.97;11.98;11.92;11.96;11.95;909045;0
27.08.2025;13:15;11.95;11.98;11.91;11.91;11.94;587852;0
27.08.2025;13:30;11.92;11.98;11.90;11.94;11.94;923238;0
27.08.2025;13:45;11.93;11.97;11.90;11.93;11.93;1008526;0
27.08.2025;14:00;11.93;11.93;11.90;11.90;11.91;382391;0
