Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.04.2005;00:00;20.60;20.74;20.47;20.74;20.60;2142875;0
30.04.2005;00:00;20.87;21.41;20.60;21.41;21.00;2076247;0
01.05.2005;00:00;21.41;21.54;20.87;21.00;21.20;298060;0
02.05.2005;00:00;20.87;21.00;20.20;20.33;20.60;156141;0
03.05.2005;00:00;20.47;21.27;20.47;20.87;20.87;1605064;0
04.05.2005;00:00;20.74;20.74;20.47;20.74;20.60;245174;0
07.05.2005;00:00;20.60;20.60;19.80;20.07;20.20;1697518;0
08.05.2005;00:00;20.07;20.47;18.06;20.20;19.26;904367;0
09.05.2005;00:00;20.33;20.47;20.07;20.20;20.27;908167;0
10.05.2005;00:00;20.07;20.07;18.73;19.93;19.40;3077255;0
14.05.2005;00:00;19.93;20.20;19.13;19.66;19.66;4594952;0
15.05.2005;00:00;19.53;19.80;19.40;19.66;19.60;7284410;0
16.05.2005;00:00;19.53;19.93;19.53;19.66;19.73;2613512;0
17.05.2005;00:00;19.66;19.80;19.13;19.80;19.46;4344944;0
18.05.2005;00:00;20.07;20.07;19.66;19.93;19.87;1679540;0
21.05.2005;00:00;19.93;20.20;19.93;20.07;20.07;527247;0
22.05.2005;00:00;20.20;20.20;19.80;20.07;20.00;601508;0
23.05.2005;00:00;20.34;20.90;19.52;20.62;20.21;2703511;0
25.05.2005;00:00;20.48;20.90;20.48;20.76;20.69;143776;0
26.05.2005;00:00;20.76;20.90;20.34;20.62;20.62;3341286;0
29.05.2005;00:00;20.48;20.62;19.80;20.62;20.21;286050;0
30.05.2005;00:00;20.48;20.76;20.34;20.76;20.55;1516463;0
31.05.2005;00:00;20.48;21.17;20.48;21.17;20.82;2110227;0
01.06.2005;00:00;21.17;21.86;20.76;21.03;21.31;441117;0
02.06.2005;00:00;21.17;22.00;20.62;21.03;21.31;4386725;0
05.06.2005;00:00;21.17;21.17;20.48;20.76;20.82;141388;0
06.06.2005;00:00;19.52;20.62;19.52;20.21;20.07;332326;0
07.06.2005;00:00;20.21;22.13;20.21;21.44;21.17;18292070;0
08.06.2005;00:00;22.00;22.00;21.03;21.31;21.52;250669;0
09.06.2005;00:00;21.59;21.86;21.03;21.03;21.44;520540;0
12.06.2005;00:00;21.03;21.59;20.34;21.59;20.97;624997;0
13.06.2005;00:00;21.59;21.59;20.62;21.17;21.10;324237;0
14.06.2005;00:00;21.17;21.59;21.03;21.31;21.31;608200;0
15.06.2005;00:00;21.44;21.59;21.17;21.44;21.38;318741;0
16.06.2005;00:00;21.44;21.86;21.17;21.44;21.51;1367781;0
19.06.2005;00:00;21.59;22.13;20.90;21.59;21.52;3753731;0
20.06.2005;00:00;21.59;22.00;21.44;22.00;21.72;1388842;0
21.06.2005;00:00;22.00;22.00;21.59;21.72;21.79;204191;0
22.06.2005;00:00;21.72;21.72;21.44;21.72;21.58;423268;0
23.06.2005;00:00;22.00;24.47;21.86;24.33;23.16;2718961;0
28.06.2005;00:00;24.47;24.75;23.78;24.75;24.26;417499;0
29.06.2005;00:00;25.57;25.57;24.33;24.75;24.95;350103;0
30.06.2005;00:00;25.02;25.02;22.41;22.96;23.72;1003160;0
01.07.2005;00:00;22.82;22.96;21.31;22.00;22.13;380878;0
02.07.2005;00:00;22.00;22.41;21.59;22.00;22.00;230911;0
05.07.2005;00:00;22.00;22.00;21.44;21.72;21.72;205136;0
06.07.2005;00:00;21.72;21.72;21.03;21.03;21.38;104254;0
07.07.2005;00:00;21.03;21.31;19.80;19.80;20.55;345113;0
08.07.2005;00:00;19.80;20.21;18.29;18.83;19.25;346213;0
09.07.2005;00:00;18.70;19.24;18.29;18.97;18.76;162924;0
12.07.2005;00:00;19.24;19.24;17.32;18.70;18.28;37859;0
13.07.2005;00:00;17.87;19.11;17.87;18.97;18.49;29068;0
14.07.2005;00:00;19.24;19.38;18.97;18.97;19.17;127138;0
15.07.2005;00:00;21.03;21.03;19.24;20.21;20.14;324809;0
16.07.2005;00:00;20.21;20.21;20.07;20.21;20.14;194598;0
19.07.2005;00:00;20.90;20.90;20.07;20.21;20.48;30668;0
20.07.2005;00:00;20.21;20.62;19.80;20.21;20.21;84931;0
22.07.2005;00:00;20.48;20.62;19.38;20.07;20.00;366407;0
23.07.2005;00:00;19.80;20.34;17.87;20.34;19.11;200991;0
26.07.2005;00:00;20.07;20.34;20.07;20.07;20.20;359843;0
28.07.2005;00:00;20.21;20.21;20.07;20.07;20.14;313202;0
29.07.2005;00:00;19.93;20.07;19.52;19.80;19.79;91111;0
30.07.2005;00:00;19.80;19.80;18.83;18.83;19.31;110867;0
31.07.2005;00:00;18.97;19.11;18.70;18.83;18.90;113308;0
03.08.2005;00:00;20.76;20.76;19.11;19.80;19.93;212934;0
04.08.2005;00:00;19.24;19.38;19.11;19.38;19.24;111544;0
05.08.2005;00:00;19.38;19.52;18.70;19.11;19.11;79176;0
06.08.2005;00:00;18.97;19.52;18.97;18.97;19.24;47790;0
07.08.2005;00:00;19.52;19.52;18.97;18.97;19.24;59401;0
10.08.2005;00:00;19.24;19.24;18.70;18.83;18.97;90468;0
11.08.2005;00:00;18.70;19.11;18.70;18.97;18.90;22405;0
12.08.2005;00:00;19.24;19.24;18.83;18.83;19.04;18056;0
13.08.2005;00:00;19.11;19.11;18.55;18.70;18.83;236767;0
14.08.2005;00:00;18.70;18.83;18.55;18.70;18.69;123050;0
17.08.2005;00:00;18.70;18.83;18.55;18.55;18.69;107846;0
18.08.2005;00:00;18.83;18.83;18.42;18.42;18.63;25693;0
19.08.2005;00:00;18.01;18.55;18.01;18.14;18.28;36406;0
20.08.2005;00:00;17.87;19.24;17.87;18.01;18.56;71250;0
