Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;23.58;23.64;23.56;23.58;23.60;2877111;0
24.08.2025;11:30;23.60;23.66;23.58;23.60;23.62;1429920;0
24.08.2025;11:45;23.60;23.66;23.48;23.52;23.57;4075985;0
24.08.2025;12:00;23.52;23.56;23.46;23.52;23.51;2270519;0
24.08.2025;12:15;23.54;23.54;23.46;23.52;23.50;1717153;0
24.08.2025;12:30;23.50;23.52;23.46;23.50;23.49;1145784;0
24.08.2025;12:45;23.50;23.52;23.48;23.50;23.50;582902;0
24.08.2025;13:00;23.50;23.50;23.44;23.50;23.47;1770178;0
24.08.2025;13:15;23.50;23.52;23.44;23.46;23.48;1553596;0
24.08.2025;13:30;23.48;23.52;23.44;23.48;23.48;1188882;0
24.08.2025;13:45;23.44;23.52;23.44;23.48;23.48;1032998;0
24.08.2025;14:00;23.48;23.48;23.34;23.40;23.41;3655654;0
24.08.2025;14:15;23.38;23.46;23.36;23.44;23.41;1380140;0
24.08.2025;14:30;23.42;23.46;23.38;23.44;23.42;757973;0
24.08.2025;14:45;23.44;23.48;23.34;23.36;23.41;2689108;0
24.08.2025;15:00;23.36;23.40;23.36;23.40;23.38;1632832;0
24.08.2025;15:15;23.40;23.40;23.36;23.40;23.38;1206075;0
24.08.2025;15:30;23.40;23.48;23.38;23.42;23.43;2115804;0
24.08.2025;15:45;23.42;23.42;23.36;23.40;23.39;761351;0
24.08.2025;16:00;23.40;23.44;23.38;23.42;23.41;1230383;0
24.08.2025;16:15;23.42;23.48;23.40;23.48;23.44;1533924;0
24.08.2025;16:30;23.48;23.50;23.46;23.48;23.48;876970;0
24.08.2025;16:45;23.46;23.77;23.40;23.67;23.59;10166066;0
24.08.2025;17:00;23.71;23.79;23.66;23.69;23.72;6326209;0
24.08.2025;17:15;23.69;23.73;23.62;23.71;23.67;2199284;0
24.08.2025;17:30;23.67;23.67;23.50;23.58;23.59;5745053;0
24.08.2025;17:45;23.56;23.58;23.38;23.46;23.48;4869459;0
24.08.2025;18:00;23.44;23.48;23.40;23.40;23.44;1812677;0
27.08.2025;10:00;23.03;23.05;22.70;22.94;22.88;17415785;0
27.08.2025;10:15;22.96;23.01;22.84;23.01;22.93;4591692;0
27.08.2025;10:30;23.01;23.05;22.92;22.96;22.98;1776785;0
27.08.2025;10:45;22.96;23.01;22.84;22.99;22.93;4718666;0
27.08.2025;11:00;22.98;23.07;22.90;23.01;22.98;1067425;0
27.08.2025;11:15;23.03;23.07;22.98;22.99;23.02;1043597;0
27.08.2025;11:30;22.99;23.07;22.98;23.07;23.02;359287;0
27.08.2025;11:45;23.03;23.09;22.99;23.03;23.04;1032963;0
27.08.2025;12:00;23.05;23.05;22.98;22.99;23.01;1900068;0
27.08.2025;12:15;22.99;23.09;22.90;22.94;22.99;8812160;0
27.08.2025;12:30;22.92;22.99;22.86;22.98;22.93;4131575;0
27.08.2025;12:45;22.96;23.05;22.92;22.94;22.98;1346131;0
27.08.2025;13:00;22.90;22.99;22.80;22.86;22.90;2642877;0
27.08.2025;13:15;22.84;22.86;22.74;22.80;22.80;2078169;0
27.08.2025;13:30;22.80;22.84;22.76;22.80;22.80;2893782;0
27.08.2025;13:45;22.78;22.80;22.70;22.76;22.75;3291758;0
27.08.2025;14:00;22.78;22.82;22.74;22.78;22.78;1844138;0
27.08.2025;14:15;22.80;22.82;22.64;22.68;22.73;2104198;0
27.08.2025;14:30;22.68;22.78;22.61;22.66;22.69;1733882;0
27.08.2025;14:45;22.66;22.70;22.33;22.53;22.52;7998119;0
27.08.2025;15:00;22.55;22.68;22.53;22.68;22.61;1249061;0
