Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;2.84;2.88;2.60;2.63;2.74;11331840;0
08.05.2005;00:00;2.67;2.81;2.62;2.67;2.71;7363142;0
09.05.2005;00:00;2.69;2.75;2.51;2.59;2.63;8573366;0
10.05.2005;00:00;2.50;2.55;2.27;2.29;2.41;7555996;0
14.05.2005;00:00;2.30;2.34;2.13;2.14;2.24;3813009;0
15.05.2005;00:00;2.15;2.23;1.91;2.07;2.07;5339299;0
16.05.2005;00:00;2.04;2.04;1.84;1.91;1.94;2228937;0
17.05.2005;00:00;1.92;2.14;1.88;2.14;2.01;4525910;0
18.05.2005;00:00;2.17;2.22;2.05;2.09;2.13;5732366;0
21.05.2005;00:00;2.13;2.15;1.86;1.86;2.01;10734140;0
22.05.2005;00:00;1.87;1.91;1.68;1.79;1.79;4712039;0
23.05.2005;00:00;1.72;1.81;1.67;1.77;1.74;3139577;0
25.05.2005;00:00;1.79;1.88;1.73;1.79;1.81;4432518;0
26.05.2005;00:00;1.81;1.88;1.79;1.79;1.83;2945815;0
29.05.2005;00:00;1.77;1.78;1.71;1.73;1.75;1573178;0
30.05.2005;00:00;1.72;1.84;1.68;1.74;1.76;2952386;0
31.05.2005;00:00;1.74;1.78;1.69;1.71;1.74;1185585;0
01.06.2005;00:00;1.68;1.73;1.57;1.59;1.65;1416149;0
02.06.2005;00:00;1.63;1.67;1.51;1.53;1.59;1432696;0
05.06.2005;00:00;1.52;1.57;1.47;1.48;1.52;1447897;0
06.06.2005;00:00;1.43;1.43;1.22;1.27;1.32;1310518;0
07.06.2005;00:00;1.27;1.32;1.23;1.27;1.28;1165670;0
08.06.2005;00:00;1.28;1.48;1.28;1.48;1.38;3857668;0
09.06.2005;00:00;1.51;1.72;1.49;1.71;1.61;7334470;0
12.06.2005;00:00;1.73;1.95;1.67;1.95;1.81;11027650;0
13.06.2005;00:00;2.08;2.20;1.95;2.09;2.08;17975620;0
14.06.2005;00:00;2.11;2.12;1.79;1.91;1.95;14515110;0
15.06.2005;00:00;1.98;2.12;1.83;2.08;1.97;13820530;0
16.06.2005;00:00;2.09;2.24;1.93;1.94;2.08;14544810;0
19.06.2005;00:00;2.03;2.29;1.79;1.79;2.04;6739588;0
20.06.2005;00:00;1.61;1.75;1.51;1.75;1.63;14133680;0
21.06.2005;00:00;1.77;1.77;1.62;1.71;1.69;4773256;0
22.06.2005;00:00;1.72;1.78;1.67;1.68;1.72;3073623;0
23.06.2005;00:00;1.74;1.79;1.68;1.71;1.73;5016662;0
28.06.2005;00:00;1.71;1.75;1.66;1.67;1.70;1475042;0
29.06.2005;00:00;1.72;1.75;1.67;1.72;1.71;3393966;0
30.06.2005;00:00;1.73;1.73;1.58;1.58;1.66;1892424;0
01.07.2005;00:00;1.52;1.59;1.48;1.57;1.54;3676977;0
02.07.2005;00:00;1.59;1.62;1.52;1.52;1.57;1999749;0
05.07.2005;00:00;1.51;1.59;1.47;1.53;1.53;1699994;0
06.07.2005;00:00;1.52;1.61;1.52;1.52;1.56;1841513;0
07.07.2005;00:00;1.54;1.56;1.49;1.49;1.52;1002428;0
08.07.2005;00:00;1.49;1.49;1.37;1.41;1.43;1342875;0
09.07.2005;00:00;1.39;1.62;1.31;1.47;1.46;5453581;0
