Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;16:05;13.02;13.04;12.93;12.99;12.99;596093;0
26.02.2024;17:05;12.99;13.06;12.96;12.99;13.01;364992;0
26.02.2024;18:05;12.99;12.99;12.99;12.99;12.99;30449;0
27.02.2024;09:05;13.04;13.04;13.04;13.04;13.04;3573;0
27.02.2024;10:05;13.04;13.21;13.04;13.17;13.12;888484;0
27.02.2024;11:05;13.17;13.23;13.13;13.21;13.18;977489;0
27.02.2024;12:05;13.20;13.23;12.95;13.21;13.09;969486;0
27.02.2024;13:05;13.22;13.25;13.19;13.21;13.22;790264;0
27.02.2024;14:05;13.22;13.26;13.19;13.19;13.22;954690;0
27.02.2024;15:05;13.21;13.24;13.18;13.20;13.21;774619;0
27.02.2024;16:05;13.20;13.26;13.17;13.25;13.22;795248;0
27.02.2024;17:05;13.25;13.39;13.25;13.33;13.32;2487126;0
27.02.2024;18:05;13.35;13.35;13.35;13.35;13.35;267;0
01.03.2024;09:05;13.35;13.35;13.35;13.35;13.35;14578;0
01.03.2024;10:05;13.36;13.62;13.34;13.56;13.48;2966137;0
01.03.2024;11:05;13.54;13.60;13.46;13.53;13.53;3272303;0
01.03.2024;12:05;13.51;13.57;13.48;13.56;13.52;823472;0
01.03.2024;13:05;13.55;13.56;13.51;13.54;13.54;699427;0
01.03.2024;14:05;13.54;13.62;13.54;13.56;13.58;609306;0
01.03.2024;15:05;13.57;13.63;13.53;13.62;13.58;627302;0
01.03.2024;16:05;13.61;13.70;13.60;13.65;13.65;1125098;0
01.03.2024;17:05;13.65;13.69;13.63;13.66;13.66;961961;0
01.03.2024;18:05;13.69;13.69;13.69;13.69;13.69;6968;0
02.03.2024;09:05;13.69;13.69;13.69;13.69;13.69;29940;0
02.03.2024;10:05;13.69;13.69;13.47;13.63;13.58;2656848;0
02.03.2024;11:05;13.63;13.80;13.61;13.80;13.70;1533166;0
02.03.2024;12:05;13.80;13.85;13.78;13.82;13.82;648518;0
08.03.2024;09:05;13.68;13.68;13.68;13.68;13.68;91164;0
08.03.2024;10:05;13.65;13.68;13.00;13.62;13.34;3751979;0
08.03.2024;11:05;13.62;13.78;13.60;13.60;13.69;3584442;0
08.03.2024;12:05;13.60;13.67;13.53;13.63;13.60;1514392;0
08.03.2024;13:05;13.62;13.72;13.57;13.60;13.64;1674129;0
08.03.2024;14:05;13.61;13.74;13.59;13.70;13.66;1355502;0
08.03.2024;15:05;13.70;13.72;13.63;13.67;13.68;270228;0
08.03.2024;16:05;13.66;13.73;13.62;13.67;13.67;527485;0
08.03.2024;17:05;13.68;13.75;13.62;13.70;13.68;1408956;0
08.03.2024;18:05;13.70;13.70;13.70;13.70;13.70;4261;0
09.03.2024;09:05;13.70;13.70;13.70;13.70;13.70;28770;0
09.03.2024;10:05;13.69;13.70;13.35;13.39;13.53;3010955;0
09.03.2024;11:05;13.39;13.43;13.31;13.32;13.37;2553631;0
09.03.2024;12:05;13.32;13.35;13.23;13.30;13.29;1889424;0
09.03.2024;13:05;13.30;13.36;13.25;13.30;13.30;1292251;0
09.03.2024;14:05;13.30;13.34;13.27;13.31;13.31;1119021;0
09.03.2024;15:05;13.31;13.35;13.28;13.29;13.32;1036330;0
09.03.2024;16:05;13.28;13.30;13.23;13.25;13.26;782515;0
09.03.2024;17:05;13.25;13.32;13.19;13.29;13.25;626569;0
09.03.2024;18:05;13.25;13.25;13.25;13.25;13.25;79500;0
10.03.2024;09:05;13.24;13.24;13.24;13.24;13.24;26546;0
10.03.2024;10:05;13.24;13.45;13.05;13.38;13.25;1674067;0
10.03.2024;11:05;13.39;13.44;13.30;13.37;13.37;1065262;0
10.03.2024;12:05;13.35;13.51;13.35;13.44;13.43;1311521;0
10.03.2024;13:05;13.44;13.45;13.34;13.38;13.39;844444;0
10.03.2024;14:05;13.35;13.39;13.30;13.33;13.35;355933;0
10.03.2024;15:05;13.32;13.38;13.23;13.27;13.30;627922;0
10.03.2024;16:05;13.25;13.70;13.22;13.68;13.46;3698375;0
10.03.2024;17:05;13.68;13.86;13.31;13.35;13.59;7422840;0
10.03.2024;18:05;13.31;13.31;13.31;13.31;13.31;245144;0
11.03.2024;09:05;13.31;13.31;13.31;13.31;13.31;39983;0
11.03.2024;10:05;13.35;13.48;13.31;13.37;13.39;1759873;0
11.03.2024;11:05;13.37;13.39;13.20;13.25;13.30;3014785;0
11.03.2024;12:05;13.26;13.64;13.26;13.64;13.45;2927484;0
11.03.2024;13:05;13.61;13.69;13.53;13.63;13.61;2402476;0
11.03.2024;14:05;13.61;13.64;13.52;13.59;13.58;787833;0
11.03.2024;15:05;13.58;13.63;13.54;13.61;13.59;897514;0
11.03.2024;16:05;13.60;13.73;13.49;13.57;13.61;2021706;0
11.03.2024;17:05;13.57;13.65;13.54;13.58;13.59;972922;0
11.03.2024;18:05;13.57;13.57;13.57;13.57;13.57;4641;0
12.03.2024;09:05;13.57;13.57;13.57;13.57;13.57;22621;0
12.03.2024;10:05;13.54;13.57;13.35;13.55;13.46;1626499;0
12.03.2024;11:05;13.54;13.60;13.43;13.58;13.52;1241300;0
12.03.2024;12:05;13.58;13.65;13.55;13.61;13.60;1257684;0
12.03.2024;13:05;13.61;13.68;13.56;13.62;13.62;529627;0
12.03.2024;14:05;13.60;13.61;13.54;13.61;13.57;646092;0
12.03.2024;15:05;13.61;13.66;13.58;13.62;13.62;624672;0
12.03.2024;16:05;13.64;13.95;13.60;13.63;13.78;4365796;0
12.03.2024;17:05;13.63;13.79;13.60;13.70;13.70;2963964;0
12.03.2024;18:05;13.72;13.72;13.72;13.72;13.72;3252;0
15.03.2024;09:05;13.74;13.74;13.74;13.74;13.74;27617;0
15.03.2024;10:05;13.74;14.08;13.74;14.04;13.91;3346603;0
15.03.2024;11:05;14.03;14.07;13.86;13.89;13.96;1804150;0
15.03.2024;12:05;13.92;14.39;13.85;14.07;14.12;9276526;0
15.03.2024;13:05;14.07;14.07;13.82;13.88;13.94;2181548;0
15.03.2024;14:05;13.87;13.98;13.78;13.92;13.88;2157499;0
15.03.2024;15:05;13.92;14.00;13.88;13.98;13.94;686216;0
15.03.2024;16:05;13.98;14.01;13.90;13.95;13.95;1186887;0
15.03.2024;17:05;13.94;14.00;13.85;13.94;13.93;1059796;0
15.03.2024;18:05;13.94;13.94;13.94;13.94;13.94;46601;0
17.03.2024;09:05;13.94;13.94;13.94;13.94;13.94;110544;0
17.03.2024;10:05;13.93;14.05;13.84;13.95;13.95;2513950;0
17.03.2024;11:05;13.96;13.96;13.82;13.90;13.89;1448409;0
17.03.2024;12:05;13.89;13.90;13.82;13.88;13.86;1069188;0
17.03.2024;13:05;13.89;13.89;13.65;13.66;13.77;2339786;0
17.03.2024;14:05;13.66;13.67;13.54;13.57;13.61;1772641;0
17.03.2024;15:05;13.57;13.61;13.53;13.58;13.57;967484;0
17.03.2024;16:05;13.58;13.58;13.51;13.55;13.55;1369310;0
17.03.2024;17:05;13.53;13.60;13.50;13.54;13.55;1512007;0
17.03.2024;18:05;13.54;13.54;13.54;13.54;13.54;48527;0
18.03.2024;09:05;13.54;13.54;13.54;13.54;13.54;54823;0
18.03.2024;10:05;13.54;13.63;13.51;13.51;13.57;1763486;0
18.03.2024;11:05;13.53;13.60;13.51;13.57;13.56;519409;0
18.03.2024;12:05;13.57;13.63;13.57;13.61;13.60;696881;0
18.03.2024;13:05;13.60;13.63;13.53;13.57;13.58;602678;0
18.03.2024;14:05;13.57;13.74;13.52;13.66;13.63;3254879;0
18.03.2024;15:05;13.65;13.69;13.59;13.66;13.64;1831948;0
18.03.2024;16:05;13.65;13.71;13.59;13.64;13.65;605234;0
18.03.2024;17:05;13.66;13.72;13.60;13.65;13.66;830388;0
18.03.2024;18:05;13.68;13.68;13.68;13.68;13.68;7606;0
19.03.2024;09:05;13.72;13.72;13.72;13.72;13.72;10016;0
19.03.2024;10:05;13.73;13.78;13.66;13.68;13.72;835770;0
19.03.2024;11:05;13.71;13.77;13.68;13.74;13.73;762539;0
19.03.2024;12:05;13.72;13.94;13.70;13.87;13.82;6656943;0
19.03.2024;13:05;13.89;14.20;13.86;14.02;14.03;5228716;0
19.03.2024;14:05;14.00;14.05;13.94;13.98;13.99;1952322;0
19.03.2024;15:05;13.98;14.04;13.94;13.99;13.99;1578952;0
19.03.2024;16:05;13.99;14.12;13.93;13.99;14.03;1602370;0
19.03.2024;17:05;13.98;14.10;13.90;14.10;14.00;2411625;0
19.03.2024;18:05;14.10;14.10;14.10;14.10;14.10;93878;0
22.03.2024;09:05;14.10;14.10;14.10;14.10;14.10;45628;0
22.03.2024;10:05;14.10;14.21;13.90;14.08;14.05;3773978;0
22.03.2024;11:05;14.08;14.11;14.02;14.07;14.07;708040;0
22.03.2024;12:05;14.09;14.23;14.00;14.02;14.11;2739918;0
22.03.2024;13:05;14.03;14.03;13.92;13.96;13.97;1468796;0
22.03.2024;14:05;13.95;13.96;13.88;13.92;13.92;2085213;0
22.03.2024;15:05;13.89;13.89;13.78;13.82;13.84;778634;0
22.03.2024;16:05;13.84;13.89;13.63;13.82;13.76;1043477;0
22.03.2024;17:05;13.82;13.99;13.75;13.84;13.87;1211050;0
22.03.2024;18:05;13.83;13.83;13.83;13.83;13.83;31809;0
23.03.2024;09:05;13.83;13.83;13.83;13.83;13.83;31394;0
23.03.2024;10:05;13.82;13.83;13.71;13.80;13.77;1242949;0
23.03.2024;11:05;13.81;13.89;13.77;13.87;13.83;621363;0
23.03.2024;12:05;13.87;13.89;13.76;13.77;13.83;741372;0
23.03.2024;13:05;13.77;13.86;13.76;13.85;13.81;883162;0
23.03.2024;14:05;13.82;13.83;13.75;13.79;13.79;437197;0
23.03.2024;15:05;13.79;13.83;13.74;13.74;13.78;394275;0
23.03.2024;16:05;13.76;13.82;13.71;13.81;13.76;562584;0
23.03.2024;17:05;13.80;13.82;13.70;13.73;13.76;760464;0
23.03.2024;18:05;13.66;13.66;13.66;13.66;13.66;232220;0
27.03.2024;09:05;13.66;13.66;13.66;13.66;13.66;15395;0
27.03.2024;10:05;13.73;13.84;13.72;13.81;13.78;1973482;0
27.03.2024;11:05;13.82;13.89;13.81;13.89;13.85;1230662;0
27.03.2024;12:05;13.89;14.26;13.86;14.10;14.06;6648213;0
27.03.2024;13:05;14.13;14.32;14.11;14.18;14.21;3490727;0
27.03.2024;14:05;14.18;14.38;14.13;14.30;14.26;3262006;0
27.03.2024;15:05;14.29;14.55;14.28;14.46;14.41;4672196;0
27.03.2024;16:05;14.46;14.58;14.28;14.55;14.43;2189381;0
27.03.2024;17:05;14.55;14.77;14.40;14.44;14.59;11598620;0
27.03.2024;18:05;14.74;14.74;14.74;14.74;14.74;286605;0
28.03.2024;09:05;14.74;14.74;14.74;14.74;14.74;95515;0
28.03.2024;10:05;14.72;14.73;14.44;14.67;14.58;4388673;0
28.03.2024;11:05;14.62;14.65;14.45;14.46;14.55;860346;0
28.03.2024;12:05;14.46;14.54;14.46;14.52;14.50;322929;0
28.03.2024;13:05;14.52;14.52;14.38;14.39;14.45;879694;0
28.03.2024;14:05;14.40;14.55;14.39;14.41;14.47;829352;0
28.03.2024;15:05;14.41;14.45;14.38;14.44;14.41;1271591;0
28.03.2024;16:05;14.44;14.52;14.40;14.46;14.46;449446;0
28.03.2024;17:05;14.45;14.58;14.39;14.50;14.49;2962581;0
28.03.2024;18:05;14.55;14.55;14.55;14.55;14.55;154070;0
31.03.2024;09:05;14.55;14.55;14.55;14.55;14.55;68691;0
31.03.2024;10:05;14.54;14.56;14.41;14.44;14.49;2082779;0
31.03.2024;11:05;14.44;14.52;14.44;14.50;14.48;777707;0
31.03.2024;12:05;14.50;14.50;14.34;14.35;14.42;479775;0
31.03.2024;13:05;14.35;14.39;14.25;14.27;14.32;1758461;0
31.03.2024;14:05;14.27;14.34;14.26;14.27;14.30;2473229;0
31.03.2024;15:05;14.27;14.28;14.15;14.20;14.21;1917492;0
31.03.2024;16:05;14.20;14.28;14.15;14.24;14.21;4754410;0
31.03.2024;17:05;14.23;14.27;14.19;14.23;14.23;1093878;0
31.03.2024;18:05;14.19;14.19;14.19;14.19;14.19;117465;0
01.04.2024;09:05;14.21;14.21;14.21;14.21;14.21;26402;0
01.04.2024;10:05;14.21;14.29;14.10;14.28;14.20;2185304;0
01.04.2024;11:05;14.23;14.23;14.06;14.09;14.14;923316;0
01.04.2024;12:05;14.09;14.11;13.90;13.94;14.00;2222813;0
01.04.2024;13:05;13.93;13.99;13.88;13.91;13.93;1176415;0
01.04.2024;14:05;13.91;13.97;13.87;13.94;13.92;217216;0
01.04.2024;15:05;13.95;13.96;13.89;13.91;13.93;397958;0
01.04.2024;16:05;13.90;13.94;13.85;13.92;13.89;1189367;0
01.04.2024;17:05;13.92;13.97;13.91;13.92;13.94;1553265;0
01.04.2024;18:05;13.93;13.93;13.93;13.93;13.93;36552;0
02.04.2024;09:05;13.97;13.97;13.97;13.97;13.97;36364;0
02.04.2024;10:05;13.99;14.45;13.97;14.36;14.21;8907388;0
