Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
13.02.2022;00:00;0.66;0.66;0.66;0.66;0.66;90318944;0
21.02.2022;00:00;0.73;0.73;0.73;0.73;0.73;6755739;0
22.02.2022;00:00;0.80;0.80;0.80;0.80;0.80;17946400;0
25.02.2022;00:00;0.88;0.88;0.88;0.88;0.88;22546140;0
26.02.2022;00:00;0.96;0.96;0.96;0.96;0.96;17413600;0
27.02.2022;00:00;1.06;1.06;1.06;1.06;1.06;24102830;0
28.02.2022;00:00;1.17;1.17;1.17;1.17;1.17;9619680;0
01.03.2022;00:00;1.28;1.28;1.28;1.28;1.28;5487326;0
04.03.2022;00:00;1.41;1.41;1.34;1.41;1.38;17713850;0
05.03.2022;00:00;1.55;1.55;1.48;1.55;1.51;67645136;0
06.03.2022;00:00;1.60;1.71;1.58;1.71;1.65;7015355;0
08.03.2022;00:00;1.80;1.88;1.72;1.88;1.80;20053850;0
11.03.2022;00:00;1.93;2.06;1.72;1.79;1.89;23468870;0
12.03.2022;00:00;1.72;1.97;1.64;1.92;1.81;22017830;0
13.03.2022;00:00;1.90;2.00;1.81;1.85;1.90;11473380;0
14.03.2022;00:00;1.85;2.00;1.70;1.91;1.85;14754210;0
15.03.2022;00:00;1.88;1.97;1.84;1.92;1.91;15841780;0
18.03.2022;00:00;1.91;1.96;1.86;1.86;1.91;14549500;0
19.03.2022;00:00;1.86;1.88;1.83;1.84;1.86;9344668;0
21.03.2022;00:00;1.84;1.92;1.84;1.84;1.88;4587010;0
22.03.2022;00:00;1.84;1.84;1.80;1.80;1.82;4026606;0
23.03.2022;00:00;1.80;1.92;1.79;1.85;1.85;9882948;0
26.03.2022;00:00;1.85;1.91;1.82;1.90;1.87;5463111;0
27.03.2022;00:00;1.90;1.92;1.86;1.88;1.89;3130981;0
28.03.2022;00:00;1.87;1.90;1.82;1.82;1.86;4199805;0
29.03.2022;00:00;1.82;1.85;1.81;1.82;1.83;1316693;0
30.03.2022;00:00;1.82;1.87;1.73;1.79;1.80;2438734;0
02.04.2022;00:00;1.79;1.83;1.76;1.76;1.80;3305097;0
03.04.2022;00:00;1.77;1.84;1.76;1.76;1.80;1909821;0
04.04.2022;00:00;1.76;1.80;1.74;1.76;1.77;2019563;0
05.04.2022;00:00;1.76;1.82;1.76;1.77;1.79;1319118;0
06.04.2022;00:00;1.77;1.95;1.76;1.95;1.86;5058753;0
09.04.2022;00:00;2.14;2.14;2.07;2.07;2.11;11331400;0
10.04.2022;00:00;2.06;2.26;2.03;2.25;2.14;9977520;0
11.04.2022;00:00;2.22;2.41;2.20;2.40;2.31;12593590;0
12.04.2022;00:00;2.38;2.54;2.31;2.31;2.42;11360950;0
