Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
04.05.2005;00:00;1.82;1.82;1.69;1.71;1.76;99268;0
07.05.2005;00:00;1.71;1.71;1.53;1.56;1.62;96013;0
08.05.2005;00:00;1.59;1.61;1.56;1.60;1.58;76204;0
09.05.2005;00:00;1.61;1.73;1.55;1.56;1.64;102391;0
10.05.2005;00:00;1.55;1.57;1.49;1.52;1.53;57738;0
14.05.2005;00:00;1.54;1.54;1.38;1.39;1.46;40194;0
15.05.2005;00:00;1.39;1.41;1.29;1.38;1.35;89955;0
16.05.2005;00:00;1.36;1.36;1.25;1.35;1.31;33689;0
17.05.2005;00:00;1.38;1.41;1.36;1.41;1.38;42065;0
18.05.2005;00:00;1.44;1.50;1.43;1.45;1.46;101468;0
21.05.2005;00:00;1.54;1.55;1.47;1.53;1.51;91427;0
22.05.2005;00:00;1.43;1.51;1.43;1.47;1.47;15692;0
23.05.2005;00:00;1.45;1.51;1.40;1.51;1.45;49813;0
25.05.2005;00:00;1.51;1.51;1.45;1.48;1.48;59596;0
26.05.2005;00:00;1.51;1.53;1.49;1.50;1.51;64915;0
29.05.2005;00:00;1.49;1.49;1.40;1.43;1.44;51251;0
30.05.2005;00:00;1.45;1.47;1.39;1.44;1.43;54858;0
31.05.2005;00:00;1.45;1.45;1.41;1.41;1.43;33257;0
01.06.2005;00:00;1.42;1.42;1.36;1.38;1.39;29448;0
02.06.2005;00:00;1.41;1.45;1.38;1.38;1.42;83716;0
05.06.2005;00:00;1.42;1.42;1.37;1.37;1.39;19914;0
06.06.2005;00:00;1.32;1.32;1.16;1.19;1.24;143564;0
07.06.2005;00:00;1.26;1.26;1.17;1.22;1.21;47769;0
08.06.2005;00:00;1.32;1.40;1.26;1.31;1.33;110664;0
09.06.2005;00:00;1.42;1.42;1.31;1.31;1.36;39297;0
12.06.2005;00:00;1.31;1.32;1.29;1.32;1.31;14828;0
13.06.2005;00:00;1.32;1.32;1.29;1.31;1.31;31589;0
14.06.2005;00:00;1.29;1.32;1.23;1.25;1.28;30617;0
15.06.2005;00:00;1.26;1.31;1.26;1.29;1.28;24176;0
16.06.2005;00:00;1.29;1.29;1.21;1.22;1.25;20284;0
19.06.2005;00:00;1.19;1.19;1.09;1.10;1.14;59614;0
20.06.2005;00:00;1.13;1.24;1.08;1.11;1.16;37423;0
21.06.2005;00:00;1.14;1.29;1.04;1.24;1.16;323852;0
22.06.2005;00:00;1.26;1.31;1.13;1.27;1.22;139106;0
23.06.2005;00:00;1.30;1.32;1.26;1.31;1.29;116228;0
28.06.2005;00:00;1.31;1.36;1.31;1.31;1.33;140150;0
29.06.2005;00:00;1.33;1.37;1.33;1.35;1.35;62796;0
30.06.2005;00:00;1.35;1.35;1.26;1.28;1.31;42931;0
01.07.2005;00:00;1.17;1.35;1.17;1.33;1.26;96006;0
02.07.2005;00:00;1.30;1.38;1.29;1.31;1.33;213008;0
05.07.2005;00:00;1.29;1.35;1.26;1.26;1.31;62252;0
06.07.2005;00:00;1.28;1.28;1.24;1.24;1.26;78690;0
07.07.2005;00:00;1.26;1.29;1.24;1.26;1.26;91480;0
08.07.2005;00:00;1.25;1.25;1.19;1.23;1.22;30517;0
09.07.2005;00:00;1.22;1.23;1.20;1.22;1.22;10768;0
12.07.2005;00:00;1.19;1.19;1.13;1.14;1.16;30436;0
13.07.2005;00:00;1.14;1.20;1.13;1.18;1.17;87196;0
14.07.2005;00:00;1.20;1.20;1.18;1.18;1.19;33500;0
15.07.2005;00:00;1.20;1.27;1.20;1.26;1.24;67953;0
16.07.2005;00:00;1.20;1.25;1.20;1.24;1.23;22089;0
19.07.2005;00:00;1.24;1.25;1.22;1.24;1.24;27786;0
20.07.2005;00:00;1.24;1.35;1.24;1.29;1.30;372341;0
21.07.2005;00:00;1.29;1.31;1.27;1.29;1.29;56933;0
22.07.2005;00:00;1.29;1.31;1.29;1.29;1.30;39200;0
23.07.2005;00:00;1.31;1.40;1.31;1.37;1.35;504466;0
26.07.2005;00:00;1.36;1.38;1.32;1.34;1.35;109601;0
28.07.2005;00:00;1.32;1.35;1.32;1.33;1.34;82536;0
29.07.2005;00:00;1.33;1.36;1.33;1.36;1.35;55337;0
30.07.2005;00:00;1.22;1.37;1.22;1.34;1.30;106846;0
31.07.2005;00:00;1.22;1.38;1.22;1.36;1.30;47340;0
03.08.2005;00:00;1.35;1.37;1.35;1.35;1.36;57002;0
04.08.2005;00:00;1.35;1.37;1.35;1.35;1.36;128307;0
05.08.2005;00:00;1.36;1.45;1.34;1.38;1.40;79097;0
06.08.2005;00:00;1.38;1.40;1.36;1.38;1.38;47825;0
07.08.2005;00:00;1.38;1.42;1.37;1.37;1.39;31723;0
10.08.2005;00:00;1.36;1.36;1.26;1.33;1.31;111785;0
11.08.2005;00:00;1.33;1.33;1.31;1.32;1.32;18286;0
12.08.2005;00:00;1.33;1.38;1.33;1.34;1.36;35221;0
13.08.2005;00:00;1.36;1.41;1.35;1.37;1.38;212467;0
14.08.2005;00:00;1.36;1.43;1.36;1.39;1.39;433891;0
17.08.2005;00:00;1.39;1.39;1.36;1.37;1.38;76586;0
18.08.2005;00:00;1.34;1.37;1.34;1.35;1.36;56085;0
19.08.2005;00:00;1.35;1.36;1.33;1.33;1.35;61317;0
20.08.2005;00:00;1.33;1.33;1.31;1.32;1.32;80923;0
21.08.2005;00:00;1.32;1.34;1.31;1.31;1.32;18124;0
24.08.2005;00:00;1.31;1.32;1.30;1.31;1.31;19631;0
25.08.2005;00:00;1.31;1.33;1.31;1.31;1.32;57943;0
27.08.2005;00:00;1.31;1.35;1.31;1.31;1.33;69801;0
29.08.2005;00:00;1.33;1.38;1.31;1.33;1.34;148326;0
01.09.2005;00:00;1.33;1.38;1.33;1.36;1.36;208655;0
02.09.2005;00:00;1.36;1.39;1.35;1.36;1.37;273955;0
03.09.2005;00:00;1.36;1.39;1.35;1.36;1.37;223642;0
04.09.2005;00:00;1.37;1.37;1.34;1.34;1.36;129180;0
05.09.2005;00:00;1.36;1.36;1.33;1.33;1.35;64778;0
08.09.2005;00:00;1.35;1.35;1.33;1.33;1.34;76285;0
09.09.2005;00:00;1.34;1.36;1.34;1.35;1.35;138599;0
10.09.2005;00:00;1.35;1.37;1.35;1.35;1.36;47107;0
11.09.2005;00:00;1.36;1.36;1.33;1.34;1.35;187502;0
12.09.2005;00:00;1.34;1.34;1.33;1.33;1.34;19352;0
15.09.2005;00:00;1.35;1.36;1.33;1.34;1.35;109027;0
16.09.2005;00:00;1.36;1.36;1.35;1.35;1.36;75822;0
17.09.2005;00:00;1.33;1.35;1.33;1.34;1.34;57387;0
18.09.2005;00:00;1.34;1.35;1.33;1.34;1.34;87805;0
19.09.2005;00:00;1.33;1.33;1.27;1.28;1.30;69289;0
22.09.2005;00:00;1.29;1.29;1.26;1.26;1.27;53814;0
23.09.2005;00:00;1.27;1.27;1.26;1.27;1.26;40462;0
24.09.2005;00:00;1.29;1.29;1.27;1.27;1.28;45274;0
25.09.2005;00:00;1.29;1.29;1.27;1.29;1.28;55970;0
26.09.2005;00:00;1.29;1.29;1.26;1.26;1.27;44118;0
