Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;10:30;652.50;657.00;645.50;652.00;651.25;4545284;0
24.08.2025;10:45;652.00;656.50;649.00;655.50;652.75;1772543;0
24.08.2025;11:00;655.50;672.00;655.50;667.50;663.75;5928856;0
24.08.2025;11:15;667.50;671.00;658.00;665.00;664.50;4185517;0
24.08.2025;11:30;665.00;666.00;658.50;659.00;662.25;2106906;0
24.08.2025;11:45;659.00;662.00;658.00;659.00;660.00;1099718;0
24.08.2025;12:00;660.50;662.00;660.00;661.50;661.00;1288031;0
24.08.2025;12:15;661.50;665.00;657.00;657.00;661.00;2418442;0
24.08.2025;12:30;657.00;664.00;657.00;663.00;660.50;576004;0
24.08.2025;12:45;661.00;663.50;660.00;661.00;661.75;533131;0
24.08.2025;13:00;661.00;662.50;657.50;658.50;660.00;667666;0
24.08.2025;13:15;659.00;659.00;652.00;655.00;655.50;1368415;0
24.08.2025;13:30;656.00;656.00;650.50;653.50;653.25;458377;0
24.08.2025;13:45;655.00;661.00;653.00;660.50;657.00;730829;0
24.08.2025;14:00;660.50;661.00;656.00;660.50;658.50;510835;0
24.08.2025;14:15;661.00;663.50;660.50;663.50;662.00;1149832;0
24.08.2025;14:30;663.00;663.00;656.50;658.50;659.75;309899;0
24.08.2025;14:45;656.50;657.00;650.50;651.00;653.75;1057035;0
24.08.2025;15:00;651.00;655.00;650.00;651.00;652.50;2681149;0
24.08.2025;15:15;651.50;655.50;651.50;655.00;653.50;476251;0
24.08.2025;15:30;655.50;660.50;655.00;657.50;657.75;2625885;0
24.08.2025;15:45;657.50;662.50;656.00;661.00;659.25;819839;0
24.08.2025;16:00;661.50;666.00;661.00;661.50;663.50;1260177;0
24.08.2025;16:15;661.50;662.00;660.00;662.00;661.00;507099;0
24.08.2025;16:30;661.00;662.50;660.50;661.50;661.50;196439;0
24.08.2025;16:45;662.00;673.00;661.50;672.50;667.25;3302869;0
24.08.2025;17:00;672.50;675.00;668.00;670.50;671.50;9401681;0
24.08.2025;17:15;671.00;676.00;671.00;674.00;673.50;5912557;0
24.08.2025;17:30;673.00;673.50;666.50;666.50;670.00;3165622;0
24.08.2025;17:45;668.00;672.00;666.00;670.50;669.00;2658545;0
24.08.2025;18:00;670.50;680.00;668.50;677.00;674.25;3378919;0
27.08.2025;10:00;668.00;683.50;667.00;678.50;675.25;8852956;0
27.08.2025;10:15;679.00;682.00;674.00;678.50;678.00;4457866;0
27.08.2025;10:30;678.50;680.00;674.00;675.00;677.00;2062026;0
27.08.2025;10:45;675.00;681.00;672.50;679.00;676.75;899251;0
27.08.2025;11:00;679.00;697.50;679.00;694.00;688.25;6495796;0
27.08.2025;11:15;695.50;700.00;687.50;690.00;693.75;3571882;0
27.08.2025;11:30;690.00;701.00;684.50;701.00;692.75;2555045;0
27.08.2025;11:45;700.00;703.00;691.50;695.00;697.25;7149369;0
27.08.2025;12:00;695.00;701.00;692.50;697.50;696.75;4027697;0
27.08.2025;12:15;698.50;699.50;696.00;697.00;697.75;1791172;0
27.08.2025;12:30;697.00;699.50;692.50;696.50;696.00;1697475;0
27.08.2025;12:45;698.50;702.00;697.00;697.00;699.50;2076999;0
27.08.2025;13:00;697.00;700.00;697.00;698.50;698.50;1579203;0
27.08.2025;13:15;698.50;698.50;694.00;695.50;696.25;744214;0
27.08.2025;13:30;695.50;700.50;695.50;699.50;698.00;1329833;0
27.08.2025;13:45;698.50;701.00;696.50;700.00;698.75;837764;0
27.08.2025;14:00;700.50;702.50;690.00;695.00;696.25;2486663;0
27.08.2025;14:15;695.00;695.50;690.00;691.50;692.75;922340;0
27.08.2025;14:30;691.50;696.50;690.50;694.00;693.50;2728377;0
27.08.2025;14:45;693.00;696.00;692.50;692.50;694.25;1170797;0
27.08.2025;15:00;694.50;696.00;693.50;695.00;694.75;1537540;0
27.08.2025;15:15;693.50;695.50;692.50;693.50;694.00;433456;0
27.08.2025;15:30;694.00;694.50;692.00;693.00;693.25;231673;0
27.08.2025;15:45;693.00;694.00;690.50;692.50;692.25;703053;0
27.08.2025;16:00;693.50;695.00;693.00;695.00;694.00;464281;0
27.08.2025;16:15;694.50;695.00;692.50;693.50;693.75;296681;0
27.08.2025;16:30;693.50;694.50;691.50;692.50;693.00;832040;0
27.08.2025;16:45;693.50;694.00;692.00;693.50;693.00;1034853;0
27.08.2025;17:00;693.50;694.00;691.50;692.50;692.75;451578;0
27.08.2025;17:15;693.50;693.50;687.00;688.00;690.25;2084537;0
27.08.2025;17:30;688.00;688.00;660.00;673.00;674.00;25289930;0
27.08.2025;17:45;673.00;695.00;670.50;692.00;682.75;14533978;0
27.08.2025;18:00;693.00;696.00;690.00;695.50;693.00;4788162;0
28.08.2025;10:00;697.00;732.00;697.00;729.00;714.50;16826842;0
28.08.2025;10:15;731.50;739.00;715.50;717.00;727.25;9467894;0
28.08.2025;10:30;717.00;728.00;714.00;723.00;721.00;4746608;0
28.08.2025;10:45;722.00;729.50;721.50;726.50;725.50;2688467;0
