Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;24.31;24.31;24.31;24.31;24.31;902926;0
27.02.2024;10:05;24.32;25.34;24.31;24.89;24.83;93721520;0
27.02.2024;11:05;24.88;25.29;24.88;25.28;25.09;41837140;0
27.02.2024;12:05;25.26;25.58;25.23;25.31;25.40;45284288;0
27.02.2024;13:05;25.31;25.33;25.13;25.20;25.23;18873080;0
27.02.2024;14:05;25.20;25.29;25.18;25.20;25.24;11251800;0
27.02.2024;15:05;25.20;25.20;24.94;25.04;25.07;33874728;0
27.02.2024;16:05;25.06;25.66;25.04;25.50;25.35;50689072;0
27.02.2024;17:05;25.51;25.73;25.41;25.48;25.57;50338400;0
27.02.2024;18:05;25.48;25.48;25.48;25.48;25.48;2989077;0
01.03.2024;09:05;25.74;25.74;25.74;25.74;25.74;1166028;0
01.03.2024;10:05;25.74;26.30;25.61;26.12;25.96;66917560;0
01.03.2024;11:05;26.12;26.30;26.08;26.18;26.19;24252860;0
01.03.2024;12:05;26.17;26.31;26.08;26.31;26.20;18549600;0
01.03.2024;13:05;26.31;26.36;26.20;26.23;26.28;15521150;0
01.03.2024;14:05;26.23;26.25;26.06;26.10;26.16;18187470;0
01.03.2024;15:05;26.10;26.40;26.09;26.28;26.24;24366190;0
01.03.2024;16:05;26.30;26.33;26.22;26.30;26.27;17710620;0
01.03.2024;17:05;26.30;26.57;26.25;26.45;26.41;37263032;0
01.03.2024;18:05;26.45;26.45;26.45;26.45;26.45;5515241;0
02.03.2024;09:05;26.47;26.47;26.47;26.47;26.47;849006;0
02.03.2024;10:05;26.45;26.49;25.85;26.28;26.17;53865680;0
02.03.2024;11:05;26.28;26.63;26.08;26.62;26.36;33941640;0
02.03.2024;12:05;26.62;26.65;26.33;26.33;26.49;30252710;0
08.03.2024;09:05;26.25;26.25;26.25;26.25;26.25;3237663;0
08.03.2024;10:05;26.25;26.95;25.98;26.18;26.47;94340288;0
08.03.2024;11:05;26.17;26.82;26.10;26.70;26.46;59451040;0
08.03.2024;12:05;26.70;26.97;26.67;26.80;26.82;52834752;0
08.03.2024;13:05;26.80;27.07;26.74;26.84;26.91;35209980;0
08.03.2024;14:05;26.84;26.85;26.33;26.55;26.59;39320728;0
08.03.2024;15:05;26.55;26.63;26.40;26.40;26.51;15343430;0
08.03.2024;16:05;26.40;26.65;26.33;26.57;26.49;16706550;0
08.03.2024;17:05;26.55;26.68;26.33;26.53;26.51;32051630;0
08.03.2024;18:05;26.45;26.45;26.45;26.45;26.45;4354267;0
09.03.2024;09:05;26.45;26.45;26.45;26.45;26.45;1450734;0
09.03.2024;10:05;26.40;26.53;25.66;25.76;26.10;46005960;0
09.03.2024;11:05;25.76;25.85;25.63;25.73;25.74;20573800;0
09.03.2024;12:05;25.73;25.74;25.55;25.61;25.65;15025400;0
