Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;13.48;13.48;13.48;13.48;13.48;144007;0
27.02.2024;10:05;13.48;13.73;13.48;13.62;13.60;5089504;0
27.02.2024;11:05;13.65;13.71;13.52;13.52;13.62;5268255;0
27.02.2024;12:05;13.52;13.59;13.48;13.53;13.53;2761155;0
27.02.2024;13:05;13.53;13.57;13.48;13.52;13.52;1491524;0
27.02.2024;14:05;13.52;13.53;13.33;13.40;13.43;8482390;0
27.02.2024;15:05;13.40;13.57;13.38;13.55;13.47;9232561;0
27.02.2024;16:05;13.55;13.74;13.52;13.70;13.63;7506220;0
27.02.2024;17:05;13.72;13.82;13.62;13.78;13.72;6428098;0
27.02.2024;18:05;13.81;13.81;13.81;13.81;13.81;815190;0
01.03.2024;09:05;13.87;13.87;13.87;13.87;13.87;368318;0
01.03.2024;10:05;13.87;14.35;13.86;14.20;14.11;12791820;0
01.03.2024;11:05;14.20;14.21;13.90;14.10;14.05;4538563;0
01.03.2024;12:05;14.09;14.13;14.03;14.12;14.08;2303101;0
01.03.2024;13:05;14.12;14.15;14.07;14.13;14.11;1995001;0
01.03.2024;14:05;14.13;14.20;14.08;14.19;14.14;2827676;0
01.03.2024;15:05;14.16;14.16;14.07;14.16;14.11;4304466;0
01.03.2024;16:05;14.15;14.21;14.11;14.19;14.16;4855908;0
01.03.2024;17:05;14.19;14.40;14.16;14.35;14.28;8920371;0
01.03.2024;18:05;14.38;14.38;14.38;14.38;14.38;271595;0
02.03.2024;09:05;14.38;14.38;14.38;14.38;14.38;248673;0
02.03.2024;10:05;14.39;14.40;14.12;14.24;14.26;3532305;0
02.03.2024;11:05;14.22;14.31;14.18;14.27;14.25;2840545;0
02.03.2024;12:05;14.27;14.30;14.24;14.24;14.27;1790348;0
08.03.2024;09:05;14.07;14.07;14.07;14.07;14.07;412814;0
08.03.2024;10:05;14.07;14.24;13.38;14.11;13.81;7514113;0
08.03.2024;11:05;14.15;14.50;14.13;14.36;14.32;10023320;0
08.03.2024;12:05;14.40;14.52;14.28;14.40;14.40;2553619;0
08.03.2024;13:05;14.37;14.41;14.32;14.33;14.36;973186;0
08.03.2024;14:05;14.33;14.41;14.29;14.41;14.35;935428;0
08.03.2024;15:05;14.36;14.70;14.32;14.53;14.51;6972881;0
08.03.2024;16:05;14.53;14.59;14.41;14.50;14.50;2145473;0
08.03.2024;17:05;14.50;14.80;14.38;14.75;14.59;15163220;0
08.03.2024;18:05;14.71;14.71;14.71;14.71;14.71;318472;0
09.03.2024;09:05;14.86;14.86;14.86;14.86;14.86;736357;0
09.03.2024;10:05;14.86;15.12;14.51;14.60;14.82;19396600;0
09.03.2024;11:05;14.60;14.75;14.30;14.66;14.53;5382655;0
09.03.2024;12:05;14.69;14.69;14.45;14.54;14.57;1966890;0
09.03.2024;13:05;14.54;14.62;14.50;14.62;14.56;1385015;0
09.03.2024;14:05;14.62;14.75;14.55;14.68;14.65;2789924;0
09.03.2024;15:05;14.68;14.75;14.50;14.58;14.62;1755481;0
09.03.2024;16:05;14.58;14.58;14.40;14.45;14.49;2061190;0
09.03.2024;17:05;14.45;14.57;14.30;14.37;14.43;4035737;0
09.03.2024;18:05;14.42;14.42;14.42;14.42;14.42;491592;0
10.03.2024;09:05;14.42;14.42;14.42;14.42;14.42;81848;0
10.03.2024;10:05;14.43;14.79;14.35;14.71;14.57;9223825;0
10.03.2024;11:05;14.68;14.87;14.64;14.70;14.76;4252771;0
10.03.2024;12:05;14.70;14.70;14.60;14.66;14.65;1405965;0
10.03.2024;13:05;14.66;14.66;14.54;14.54;14.60;1228635;0
10.03.2024;14:05;14.53;14.54;14.33;14.33;14.43;2654229;0
10.03.2024;15:05;14.32;14.36;14.00;14.06;14.18;5320997;0
10.03.2024;16:05;14.03;14.20;13.95;14.17;14.07;4764526;0
10.03.2024;17:05;14.16;14.17;13.80;13.99;13.99;8472668;0
10.03.2024;18:05;14.00;14.00;14.00;14.00;14.00;521024;0
11.03.2024;09:05;14.01;14.01;14.01;14.01;14.01;85447;0
11.03.2024;10:05;14.02;14.25;13.96;14.21;14.11;7031076;0
11.03.2024;11:05;14.20;14.35;14.14;14.26;14.25;4710104;0
11.03.2024;12:05;14.26;14.29;14.15;14.21;14.22;1344669;0
11.03.2024;13:05;14.21;14.35;14.21;14.30;14.28;3186184;0
11.03.2024;14:05;14.31;14.35;14.20;14.25;14.28;1906358;0
11.03.2024;15:05;14.27;14.48;14.25;14.43;14.36;4163834;0
11.03.2024;16:05;14.42;14.51;14.24;14.46;14.38;5488635;0
11.03.2024;17:05;14.46;14.50;14.28;14.40;14.39;9050767;0
11.03.2024;18:05;14.43;14.43;14.43;14.43;14.43;204098;0
12.03.2024;09:05;14.36;14.36;14.36;14.36;14.36;72992;0
12.03.2024;10:05;14.33;14.43;14.19;14.31;14.31;3013298;0
12.03.2024;11:05;14.26;14.67;14.23;14.57;14.45;2679803;0
12.03.2024;12:05;14.62;14.66;14.50;14.62;14.58;1270965;0
12.03.2024;13:05;14.66;15.32;14.62;15.09;14.97;20828910;0
12.03.2024;14:05;15.09;15.15;14.95;15.11;15.05;10608780;0
12.03.2024;15:05;15.11;15.40;15.08;15.34;15.24;9722892;0
12.03.2024;16:05;15.34;15.54;15.32;15.37;15.43;15240910;0
12.03.2024;17:05;15.37;15.70;15.21;15.35;15.45;15347570;0
12.03.2024;18:05;15.49;15.49;15.49;15.49;15.49;856721;0
15.03.2024;09:05;15.50;15.50;15.50;15.50;15.50;607879;0
15.03.2024;10:05;15.52;15.72;15.15;15.32;15.43;16234570;0
15.03.2024;11:05;15.33;15.60;15.27;15.47;15.44;6139417;0
15.03.2024;12:05;15.47;15.58;15.41;15.48;15.49;3914607;0
15.03.2024;13:05;15.45;15.45;15.33;15.37;15.39;4237975;0
15.03.2024;14:05;15.36;15.55;15.32;15.40;15.43;6727186;0
15.03.2024;15:05;15.38;15.55;15.34;15.40;15.45;5386998;0
15.03.2024;16:05;15.38;15.45;15.25;15.40;15.35;4623136;0
15.03.2024;17:05;15.37;15.40;14.94;15.04;15.17;17929070;0
15.03.2024;18:05;15.20;15.20;15.20;15.20;15.20;1645461;0
17.03.2024;09:05;15.21;15.21;15.21;15.21;15.21;217016;0
17.03.2024;10:05;15.21;15.41;15.18;15.38;15.30;8736618;0
17.03.2024;11:05;15.39;15.45;15.19;15.19;15.32;7117512;0
17.03.2024;12:05;15.20;15.25;15.17;15.22;15.21;4663007;0
17.03.2024;13:05;15.23;15.43;15.20;15.38;15.32;4275891;0
17.03.2024;14:05;15.39;15.50;15.23;15.32;15.36;3621033;0
17.03.2024;15:05;15.31;15.63;15.31;15.44;15.47;7511850;0
17.03.2024;16:05;15.45;15.54;15.34;15.36;15.44;5018676;0
17.03.2024;17:05;15.37;15.54;15.37;15.50;15.45;7780172;0
17.03.2024;18:05;15.49;15.49;15.49;15.49;15.49;599974;0
18.03.2024;09:05;15.55;15.55;15.55;15.55;15.55;146279;0
18.03.2024;10:05;15.55;15.82;15.32;15.33;15.57;7481397;0
18.03.2024;11:05;15.35;15.43;15.33;15.37;15.38;2135240;0
18.03.2024;12:05;15.37;15.38;15.27;15.31;15.33;2343801;0
18.03.2024;13:05;15.31;15.33;15.11;15.21;15.22;3865414;0
18.03.2024;14:05;15.21;15.39;15.20;15.31;15.30;9328402;0
18.03.2024;15:05;15.30;15.44;15.20;15.24;15.32;12632370;0
18.03.2024;16:05;15.25;15.26;15.13;15.15;15.20;4685189;0
18.03.2024;17:05;15.16;15.26;15.14;15.20;15.20;2960620;0
18.03.2024;18:05;15.48;15.48;15.48;15.48;15.48;1845696;0
19.03.2024;09:05;15.39;15.39;15.39;15.39;15.39;201270;0
19.03.2024;10:05;15.39;15.51;15.15;15.40;15.33;73610080;0
19.03.2024;11:05;15.37;15.46;15.35;15.43;15.41;5472380;0
19.03.2024;12:05;15.44;15.48;15.38;15.42;15.43;6049680;0
19.03.2024;13:05;15.41;15.58;15.40;15.56;15.49;7280861;0
19.03.2024;14:05;15.55;15.72;15.55;15.66;15.64;11914640;0
19.03.2024;15:05;15.66;15.78;15.52;15.70;15.65;14570090;0
19.03.2024;16:05;15.70;15.72;15.53;15.55;15.62;10835860;0
19.03.2024;17:05;15.54;15.55;15.47;15.50;15.51;7311424;0
19.03.2024;18:05;15.49;15.49;15.49;15.49;15.49;2137527;0
22.03.2024;09:05;15.52;15.52;15.52;15.52;15.52;362547;0
22.03.2024;10:05;15.54;15.55;15.11;15.17;15.33;24799840;0
22.03.2024;11:05;15.18;15.45;15.11;15.42;15.28;18319660;0
22.03.2024;12:05;15.42;15.66;15.41;15.57;15.53;11857470;0
22.03.2024;13:05;15.59;15.65;15.49;15.51;15.57;7942437;0
22.03.2024;14:05;15.52;15.56;15.47;15.55;15.52;3520510;0
22.03.2024;15:05;15.55;15.64;15.41;15.49;15.53;11265400;0
22.03.2024;16:05;15.49;15.59;15.38;15.51;15.49;8228663;0
22.03.2024;17:05;15.50;15.76;15.50;15.67;15.63;12288640;0
22.03.2024;18:05;15.67;15.67;15.67;15.67;15.67;555376;0
23.03.2024;09:05;15.70;15.70;15.70;15.70;15.70;443227;0
23.03.2024;10:05;15.70;15.82;15.60;15.66;15.71;8856336;0
23.03.2024;11:05;15.65;15.70;15.34;15.35;15.52;7573242;0
23.03.2024;12:05;15.35;15.51;15.35;15.39;15.43;4761416;0
23.03.2024;13:05;15.40;15.40;15.22;15.34;15.31;5476828;0
23.03.2024;14:05;15.33;15.39;15.22;15.28;15.31;5034660;0
23.03.2024;15:05;15.30;15.37;15.12;15.15;15.24;8331142;0
23.03.2024;16:05;15.14;15.15;14.97;15.08;15.06;8299500;0
23.03.2024;17:05;15.11;15.14;15.03;15.05;15.09;8934724;0
23.03.2024;18:05;15.04;15.04;15.04;15.04;15.04;1250772;0
27.03.2024;09:05;15.04;15.04;15.04;15.04;15.04;433032;0
27.03.2024;10:05;15.04;15.43;15.00;15.38;15.22;13665330;0
27.03.2024;11:05;15.36;15.40;15.15;15.17;15.27;4280453;0
27.03.2024;12:05;15.17;15.33;15.16;15.32;15.24;3891677;0
27.03.2024;13:05;15.32;15.32;15.21;15.24;15.26;3657751;0
27.03.2024;14:05;15.24;15.40;15.16;15.36;15.28;7738401;0
27.03.2024;15:05;15.35;15.40;15.26;15.39;15.33;11153890;0
27.03.2024;16:05;15.39;15.61;15.36;15.48;15.48;14262110;0
27.03.2024;17:05;15.45;15.66;15.40;15.59;15.53;15426280;0
27.03.2024;18:05;15.60;15.60;15.60;15.60;15.60;288522;0
28.03.2024;09:05;15.60;15.60;15.60;15.60;15.60;336024;0
28.03.2024;10:05;15.60;15.81;15.45;15.65;15.63;15310540;0
28.03.2024;11:05;15.65;16.14;15.57;15.90;15.85;21524070;0
28.03.2024;12:05;15.88;15.92;15.83;15.91;15.88;4034072;0
28.03.2024;13:05;15.91;16.00;15.86;15.95;15.93;13977080;0
28.03.2024;14:05;15.94;16.00;15.90;15.95;15.95;3817592;0
28.03.2024;15:05;15.94;16.01;15.82;16.00;15.91;7561110;0
28.03.2024;16:05;15.98;16.02;15.94;15.99;15.98;3614217;0
28.03.2024;17:05;16.00;16.20;15.96;16.19;16.08;31049670;0
28.03.2024;18:05;16.16;16.16;16.16;16.16;16.16;262745;0
31.03.2024;09:05;16.01;16.01;16.01;16.01;16.01;511904;0
31.03.2024;10:05;16.05;16.18;15.94;16.04;16.06;9138785;0
31.03.2024;11:05;16.08;16.12;15.97;16.05;16.05;10239600;0
31.03.2024;12:05;16.05;16.09;15.95;16.02;16.02;4087959;0
31.03.2024;13:05;16.02;16.05;15.95;16.00;16.00;3426461;0
31.03.2024;14:05;16.00;16.07;15.90;16.02;15.98;14404270;0
31.03.2024;15:05;16.02;16.03;15.85;15.92;15.94;6441533;0
31.03.2024;16:05;15.93;15.98;15.82;15.86;15.90;6026906;0
31.03.2024;17:05;15.85;16.02;15.69;16.00;15.86;13882920;0
31.03.2024;18:05;16.02;16.02;16.02;16.02;16.02;2237273;0
01.04.2024;09:05;16.50;16.50;16.50;16.50;16.50;11519520;0
