Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
19.12.2017;00:00;0.45;0.52;0.44;0.52;0.48;29189310;0
20.12.2017;00:00;0.54;0.57;0.48;0.49;0.53;66356392;0
21.12.2017;00:00;0.50;0.51;0.48;0.49;0.49;10845840;0
24.12.2017;00:00;0.49;0.51;0.48;0.50;0.50;12664140;0
25.12.2017;00:00;0.51;0.52;0.49;0.50;0.50;5746079;0
26.12.2017;00:00;0.50;0.50;0.49;0.49;0.49;4153936;0
27.12.2017;00:00;0.50;0.52;0.49;0.51;0.51;14740290;0
28.12.2017;00:00;0.51;0.52;0.51;0.52;0.51;7966512;0
31.12.2017;00:00;0.53;0.54;0.52;0.54;0.53;10394290;0
01.01.2018;00:00;0.54;0.55;0.53;0.54;0.54;9270219;0
02.01.2018;00:00;0.54;0.54;0.53;0.53;0.54;6254080;0
03.01.2018;00:00;0.53;0.53;0.50;0.51;0.52;3789799;0
05.01.2018;00:00;0.51;0.51;0.49;0.51;0.50;2934816;0
08.01.2018;00:00;0.51;0.54;0.51;0.54;0.53;13257780;0
09.01.2018;00:00;0.54;0.56;0.53;0.53;0.54;21253260;0
10.01.2018;00:00;0.53;0.53;0.51;0.51;0.52;4242680;0
11.01.2018;00:00;0.52;0.53;0.51;0.52;0.52;3843406;0
12.01.2018;00:00;0.52;0.53;0.52;0.52;0.52;1712494;0
15.01.2018;00:00;0.52;0.53;0.51;0.52;0.52;1341596;0
16.01.2018;00:00;0.52;0.53;0.51;0.52;0.52;2655210;0
17.01.2018;00:00;0.52;0.52;0.49;0.49;0.51;2354440;0
18.01.2018;00:00;0.49;0.50;0.48;0.50;0.49;779473;0
22.01.2018;00:00;0.50;0.50;0.47;0.47;0.48;1819496;0
23.01.2018;00:00;0.47;0.47;0.44;0.46;0.46;2417367;0
24.01.2018;00:00;0.46;0.46;0.45;0.46;0.45;685731;0
25.01.2018;00:00;0.46;0.47;0.44;0.44;0.46;2360233;0
26.01.2018;00:00;0.44;0.46;0.44;0.45;0.45;2450941;0
29.01.2018;00:00;0.46;0.46;0.44;0.44;0.45;1628597;0
30.01.2018;00:00;0.45;0.46;0.44;0.46;0.45;2926555;0
31.01.2018;00:00;0.46;0.49;0.46;0.49;0.48;3682663;0
01.02.2018;00:00;0.49;0.51;0.48;0.51;0.50;4203782;0
02.02.2018;00:00;0.51;0.52;0.51;0.51;0.51;2220519;0
07.02.2018;00:00;0.52;0.52;0.49;0.49;0.50;1584102;0
08.02.2018;00:00;0.49;0.50;0.48;0.50;0.49;1606004;0
09.02.2018;00:00;0.50;0.52;0.50;0.51;0.51;2273352;0
10.02.2018;00:00;0.51;0.54;0.51;0.54;0.53;12258460;0
11.02.2018;00:00;0.54;0.58;0.53;0.55;0.56;22853200;0
14.02.2018;00:00;0.56;0.57;0.54;0.55;0.56;6058798;0
15.02.2018;00:00;0.53;0.54;0.53;0.54;0.54;3548793;0
16.02.2018;00:00;0.54;0.54;0.49;0.50;0.52;3457759;0
17.02.2018;00:00;0.50;0.51;0.47;0.49;0.49;3599291;0
18.02.2018;00:00;0.50;0.52;0.49;0.52;0.50;2716002;0
21.02.2018;00:00;0.52;0.54;0.51;0.52;0.53;2671718;0
22.02.2018;00:00;0.53;0.55;0.53;0.55;0.54;4553757;0
23.02.2018;00:00;0.55;0.55;0.54;0.54;0.55;2232940;0
24.02.2018;00:00;0.54;0.55;0.54;0.54;0.54;2562512;0
25.02.2018;00:00;0.54;0.57;0.54;0.56;0.55;8408801;0
28.02.2018;00:00;0.57;0.58;0.56;0.57;0.57;5813027;0
