Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;10:45;14.38;14.38;14.22;14.25;14.30;1259989;0
24.08.2025;11:00;14.25;14.25;14.12;14.12;14.18;610756;0
24.08.2025;11:15;14.12;14.16;14.01;14.01;14.09;2232641;0
24.08.2025;11:30;14.04;14.07;14.01;14.03;14.04;527564;0
24.08.2025;11:45;14.03;14.06;13.99;14.02;14.03;923576;0
24.08.2025;12:00;14.02;14.05;14.00;14.01;14.03;383930;0
24.08.2025;12:15;14.01;14.04;13.97;14.01;14.01;325150;0
24.08.2025;12:30;14.02;14.03;14.00;14.01;14.01;291973;0
24.08.2025;12:45;14.02;14.05;14.00;14.03;14.03;153930;0
24.08.2025;13:00;14.03;14.03;14.00;14.00;14.01;107446;0
24.08.2025;13:15;14.00;14.02;13.98;13.98;14.00;172613;0
24.08.2025;13:30;13.99;14.04;13.97;14.00;14.01;246985;0
24.08.2025;13:45;13.97;14.01;13.97;14.01;13.99;264985;0
24.08.2025;14:00;14.01;14.01;13.90;13.92;13.95;458171;0
24.08.2025;14:15;13.92;13.99;13.92;13.97;13.95;75183;0
24.08.2025;14:30;13.96;14.01;13.96;13.99;13.99;225369;0
24.08.2025;14:45;13.99;13.99;13.89;13.91;13.94;945165;0
24.08.2025;15:00;13.92;13.97;13.88;13.93;13.93;1094092;0
24.08.2025;15:15;13.93;13.93;13.76;13.81;13.85;2519267;0
24.08.2025;15:30;13.78;13.81;13.77;13.79;13.79;181657;0
24.08.2025;15:45;13.80;13.80;13.60;13.75;13.70;1833041;0
24.08.2025;16:00;13.76;13.80;13.75;13.75;13.78;238178;0
24.08.2025;16:15;13.76;13.78;13.68;13.73;13.73;646456;0
24.08.2025;16:30;13.73;13.84;13.73;13.81;13.78;519537;0
24.08.2025;16:45;13.82;14.15;13.82;14.11;13.98;2328738;0
24.08.2025;17:00;14.14;14.14;13.99;14.01;14.07;1368525;0
24.08.2025;17:15;14.01;14.03;13.93;13.97;13.98;375484;0
24.08.2025;17:30;13.97;13.97;13.85;13.91;13.91;491935;0
24.08.2025;17:45;13.90;13.94;13.81;13.85;13.88;716480;0
24.08.2025;18:00;13.82;13.91;13.80;13.80;13.86;1210671;0
27.08.2025;10:00;13.60;13.80;13.50;13.73;13.65;1419183;0
27.08.2025;10:15;13.74;13.82;13.70;13.79;13.76;461409;0
27.08.2025;10:30;13.78;13.82;13.74;13.77;13.78;132162;0
27.08.2025;10:45;13.76;13.81;13.70;13.70;13.76;404452;0
27.08.2025;11:00;13.70;13.81;13.64;13.81;13.73;424049;0
27.08.2025;11:15;13.81;13.81;13.74;13.78;13.78;256578;0
27.08.2025;11:30;13.76;13.78;13.72;13.78;13.75;136077;0
27.08.2025;11:45;13.73;13.76;13.72;13.72;13.74;186979;0
27.08.2025;12:00;13.73;13.73;13.67;13.68;13.70;180073;0
27.08.2025;12:15;13.70;13.76;13.68;13.71;13.72;314829;0
27.08.2025;12:30;13.71;13.71;13.64;13.71;13.68;604125;0
27.08.2025;12:45;13.71;13.77;13.68;13.74;13.73;95876;0
27.08.2025;13:00;13.75;13.77;13.70;13.70;13.74;52724;0
27.08.2025;13:15;13.70;13.72;13.60;13.63;13.66;418880;0
27.08.2025;13:30;13.63;13.68;13.62;13.68;13.65;203124;0
27.08.2025;13:45;13.67;13.67;13.50;13.62;13.59;1132945;0
27.08.2025;14:00;13.62;13.65;13.58;13.63;13.61;355396;0
27.08.2025;14:15;13.64;13.64;13.51;13.55;13.58;423241;0
27.08.2025;14:30;13.53;13.63;13.53;13.59;13.58;247400;0
27.08.2025;14:45;13.54;13.59;13.48;13.53;13.53;893024;0
27.08.2025;15:00;13.53;13.78;13.53;13.69;13.65;1088040;0
27.08.2025;15:15;13.70;13.72;13.66;13.69;13.69;176147;0
27.08.2025;15:30;13.69;13.69;13.61;13.65;13.65;66372;0
27.08.2025;15:45;13.65;13.66;13.56;13.61;13.61;180831;0
27.08.2025;16:00;13.61;13.67;13.61;13.61;13.64;164360;0
27.08.2025;16:15;13.64;13.67;13.60;13.67;13.64;91342;0
27.08.2025;16:30;13.67;13.82;13.62;13.82;13.72;726654;0
27.08.2025;16:45;13.82;13.85;13.71;13.76;13.78;755868;0
27.08.2025;17:00;13.76;13.85;13.75;13.81;13.80;626333;0
27.08.2025;17:15;13.81;13.89;13.78;13.85;13.84;586732;0
27.08.2025;17:30;13.85;13.92;13.74;13.82;13.83;1414124;0
27.08.2025;17:45;13.80;13.84;13.73;13.75;13.78;537157;0
27.08.2025;18:00;13.75;13.75;13.63;13.63;13.69;382381;0
28.08.2025;10:00;13.65;13.90;13.65;13.89;13.77;491113;0
28.08.2025;10:15;13.87;13.93;13.81;13.91;13.87;850163;0
28.08.2025;10:30;13.93;14.15;13.91;14.12;14.03;2784960;0
28.08.2025;10:45;14.10;14.24;14.05;14.24;14.14;2461600;0
28.08.2025;11:00;14.19;14.55;14.18;14.55;14.37;3858810;0
28.08.2025;11:15;14.55;14.96;14.40;14.87;14.68;10729429;0
28.08.2025;11:30;14.89;14.96;14.74;14.90;14.85;12359415;0
28.08.2025;11:45;14.90;14.99;14.85;14.99;14.92;7523385;0
28.08.2025;12:00;14.99;14.99;14.99;14.99;14.99;1844579;0
28.08.2025;12:15;14.99;14.99;14.44;14.84;14.71;23602576;0
28.08.2025;12:30;14.86;14.94;14.84;14.91;14.89;3523707;0
28.08.2025;12:45;14.90;14.98;14.86;14.87;14.92;5718546;0
28.08.2025;13:00;14.91;14.95;14.85;14.92;14.90;1526231;0
28.08.2025;13:15;14.92;14.92;14.85;14.91;14.89;1312537;0
28.08.2025;13:30;14.91;14.92;14.85;14.89;14.89;1188360;0
28.08.2025;13:45;14.89;14.90;14.79;14.82;14.84;1524631;0
28.08.2025;14:00;14.83;14.85;14.71;14.83;14.78;1067280;0
28.08.2025;14:15;14.84;14.84;14.75;14.84;14.80;2058134;0
28.08.2025;14:30;14.85;14.86;14.75;14.78;14.80;1506419;0
28.08.2025;14:45;14.75;14.90;14.75;14.90;14.82;1268553;0
28.08.2025;15:00;14.89;14.99;14.85;14.87;14.92;2968045;0
28.08.2025;15:15;14.88;14.95;14.84;14.84;14.89;635660;0
28.08.2025;15:30;14.87;14.88;14.83;14.84;14.86;1036511;0
28.08.2025;15:45;14.88;14.88;14.75;14.78;14.82;1765429;0
28.08.2025;16:00;14.78;14.82;14.70;14.70;14.76;1367821;0
28.08.2025;16:15;14.72;14.73;14.37;14.48;14.55;9078093;0
28.08.2025;16:30;14.45;14.73;14.31;14.39;14.52;4136353;0
28.08.2025;16:45;14.39;14.44;14.15;14.33;14.29;5397201;0
28.08.2025;17:00;14.32;14.42;14.26;14.29;14.34;1617668;0
28.08.2025;17:15;14.29;14.38;14.26;14.27;14.32;1880527;0
28.08.2025;17:30;14.27;14.32;14.19;14.26;14.25;1775199;0
28.08.2025;17:45;14.25;14.38;14.02;14.21;14.20;2100773;0
28.08.2025;18:00;14.16;14.36;14.14;14.36;14.25;1566664;0
29.08.2025;10:00;14.36;14.48;14.17;14.39;14.32;3461037;0
29.08.2025;10:15;14.38;14.51;14.34;14.42;14.43;3093438;0
