Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;9560.00;9560.00;9560.00;9560.00;9560.00;1290600;0
27.02.2024;10:05;9565.00;9845.00;9565.00;9700.00;9705.00;38462128;0
27.02.2024;11:05;9700.00;9875.00;9700.00;9867.50;9787.50;23910600;0
27.02.2024;12:05;9872.50;9907.50;9815.00;9900.00;9861.25;25446430;0
27.02.2024;13:05;9890.00;9990.00;9855.00;9982.50;9922.50;22447960;0
27.02.2024;14:05;9982.50;10290.00;9972.50;10212.50;10131.25;87657056;0
27.02.2024;15:05;10202.50;10250.00;10100.00;10227.50;10175.00;41524920;0
27.02.2024;16:05;10232.50;10380.00;10215.00;10307.50;10297.50;40867880;0
27.02.2024;17:05;10315.00;10330.00;10217.50;10245.00;10273.75;28982640;0
27.02.2024;18:05;10292.50;10292.50;10292.50;10292.50;10292.50;3972905;0
01.03.2024;09:05;10292.50;10292.50;10292.50;10292.50;10292.50;3561205;0
01.03.2024;10:05;10292.50;10327.50;10072.50;10250.00;10200.00;120943400;0
01.03.2024;11:05;10250.00;10332.50;10217.50;10237.50;10275.00;51874560;0
01.03.2024;12:05;10227.50;10367.50;10220.00;10342.50;10293.75;34238920;0
01.03.2024;13:05;10350.00;10425.00;10305.00;10360.00;10365.00;38326460;0
01.03.2024;14:05;10360.00;10477.50;10340.00;10400.00;10408.75;61820968;0
01.03.2024;15:05;10400.00;10425.00;10362.50;10422.50;10393.75;18101110;0
01.03.2024;16:05;10422.50;10527.50;10412.50;10460.00;10470.00;48508680;0
01.03.2024;17:05;10465.00;10520.00;10380.00;10420.00;10450.00;45051480;0
01.03.2024;18:05;10420.00;10420.00;10420.00;10420.00;10420.00;3553220;0
02.03.2024;09:05;10430.00;10430.00;10430.00;10430.00;10430.00;834400;0
02.03.2024;10:05;10437.50;10950.00;10355.00;10867.50;10652.50;168555296;0
02.03.2024;11:05;10867.50;11240.00;10850.00;11142.50;11045.00;128071904;0
02.03.2024;12:05;11137.50;11235.00;11105.00;11110.00;11170.00;43611100;0
08.03.2024;09:05;10897.50;10897.50;10897.50;10897.50;10897.50;3541688;0
08.03.2024;10:05;10885.00;11647.50;10745.00;11647.50;11196.25;197387504;0
