Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;10.47;10.51;10.46;10.50;10.49;868138;0
24.08.2025;11:30;10.51;10.56;10.49;10.49;10.53;2075322;0
24.08.2025;11:45;10.50;10.53;10.48;10.49;10.50;921726;0
24.08.2025;12:00;10.49;10.50;10.46;10.47;10.48;530949;0
24.08.2025;12:15;10.47;10.49;10.47;10.48;10.48;545573;0
24.08.2025;12:30;10.47;10.51;10.47;10.49;10.49;511276;0
24.08.2025;12:45;10.49;10.58;10.49;10.57;10.53;1801501;0
24.08.2025;13:00;10.55;10.55;10.53;10.53;10.54;202906;0
24.08.2025;13:15;10.53;10.53;10.49;10.51;10.51;810325;0
24.08.2025;13:30;10.49;10.51;10.49;10.49;10.50;576273;0
24.08.2025;13:45;10.48;10.49;10.46;10.48;10.47;1094492;0
24.08.2025;14:00;10.48;10.48;10.41;10.44;10.44;868068;0
24.08.2025;14:15;10.45;10.48;10.44;10.47;10.46;1820262;0
24.08.2025;14:30;10.47;10.49;10.45;10.46;10.47;1663997;0
24.08.2025;14:45;10.47;10.47;10.44;10.45;10.45;1861659;0
24.08.2025;15:00;10.45;10.49;10.44;10.48;10.46;383638;0
24.08.2025;15:15;10.49;10.51;10.49;10.50;10.50;657325;0
24.08.2025;15:30;10.50;10.50;10.46;10.48;10.48;321888;0
24.08.2025;15:45;10.48;10.49;10.44;10.49;10.46;1649109;0
24.08.2025;16:00;10.49;10.51;10.48;10.50;10.49;770801;0
24.08.2025;16:15;10.49;10.53;10.49;10.52;10.51;703196;0
24.08.2025;16:30;10.51;10.53;10.49;10.50;10.51;693031;0
24.08.2025;16:45;10.49;10.62;10.48;10.57;10.55;4186919;0
24.08.2025;17:00;10.57;10.62;10.55;10.60;10.59;3045700;0
24.08.2025;17:15;10.59;10.63;10.40;10.50;10.51;7584095;0
24.08.2025;17:30;10.49;10.52;10.43;10.48;10.48;3745955;0
24.08.2025;17:45;10.48;10.52;10.43;10.47;10.48;2124445;0
24.08.2025;18:00;10.46;10.50;10.44;10.50;10.47;2008837;0
27.08.2025;10:00;10.29;10.33;10.18;10.33;10.26;5777009;0
27.08.2025;10:15;10.33;10.34;10.26;10.33;10.30;3149453;0
27.08.2025;10:30;10.33;10.49;10.32;10.48;10.40;2835032;0
27.08.2025;10:45;10.48;10.70;10.45;10.56;10.57;8253527;0
27.08.2025;11:00;10.56;10.72;10.50;10.71;10.61;9752332;0
27.08.2025;11:15;10.70;10.89;10.70;10.84;10.80;14234215;0
27.08.2025;11:30;10.85;10.90;10.75;10.82;10.82;8518115;0
27.08.2025;11:45;10.84;10.84;10.67;10.80;10.76;7716415;0
27.08.2025;12:00;10.80;10.80;10.70;10.72;10.75;2836080;0
27.08.2025;12:15;10.73;10.94;10.73;10.87;10.83;13930250;0
27.08.2025;12:30;10.87;10.88;10.77;10.88;10.83;5980399;0
27.08.2025;12:45;10.89;10.90;10.82;10.82;10.86;3464436;0
27.08.2025;13:00;10.82;10.82;10.70;10.70;10.76;3127595;0
27.08.2025;13:15;10.73;10.81;10.71;10.75;10.76;6468401;0
27.08.2025;13:30;10.75;10.80;10.71;10.79;10.76;3096457;0
27.08.2025;13:45;10.80;10.80;10.76;10.77;10.78;2151518;0
27.08.2025;14:00;10.77;10.79;10.74;10.76;10.76;1718210;0
27.08.2025;14:15;10.76;10.83;10.75;10.79;10.79;2820065;0
27.08.2025;14:30;10.79;10.80;10.60;10.66;10.70;7996776;0
27.08.2025;14:45;10.66;10.72;10.65;10.70;10.68;2204222;0
27.08.2025;15:00;10.70;10.72;10.65;10.70;10.68;2366740;0
27.08.2025;15:15;10.68;10.71;10.65;10.69;10.68;1780417;0
27.08.2025;15:30;10.69;10.70;10.66;10.69;10.68;1862652;0
27.08.2025;15:45;10.69;10.69;10.63;10.67;10.66;1349405;0
27.08.2025;16:00;10.66;10.71;10.66;10.70;10.68;2217891;0
27.08.2025;16:15;10.70;10.76;10.70;10.76;10.73;2036188;0
27.08.2025;16:30;10.75;10.77;10.70;10.72;10.74;1915825;0
27.08.2025;16:45;10.72;10.75;10.71;10.75;10.73;1386025;0
27.08.2025;17:00;10.74;10.76;10.72;10.73;10.74;888628;0
27.08.2025;17:15;10.75;10.85;10.75;10.78;10.80;6088258;0
27.08.2025;17:30;10.78;10.83;10.77;10.78;10.80;4107688;0
27.08.2025;17:45;10.78;10.79;10.74;10.76;10.76;3925850;0
27.08.2025;18:00;10.76;10.83;10.76;10.83;10.80;3497639;0
28.08.2025;10:00;10.84;10.93;10.83;10.92;10.88;7654217;0
28.08.2025;10:15;10.91;11.04;10.91;10.95;10.97;11593576;0
28.08.2025;10:30;10.95;11.02;10.88;10.99;10.95;5310745;0
28.08.2025;10:45;10.99;11.01;10.90;10.93;10.95;4106101;0
28.08.2025;11:00;10.93;10.98;10.92;10.94;10.95;3598208;0
28.08.2025;11:15;10.93;11.06;10.90;11.04;10.98;6056489;0
28.08.2025;11:30;11.04;11.19;10.99;11.15;11.09;15164713;0
28.08.2025;11:45;11.15;11.16;11.01;11.06;11.09;10673019;0
28.08.2025;12:00;11.07;11.07;10.97;10.99;11.02;4713758;0
28.08.2025;12:15;10.99;11.04;10.98;11.04;11.01;2036713;0
28.08.2025;12:30;11.04;11.05;11.02;11.03;11.04;1166129;0
28.08.2025;12:45;11.03;11.06;11.01;11.06;11.04;1046128;0
28.08.2025;13:00;11.06;11.08;11.02;11.06;11.05;2018297;0
28.08.2025;13:15;11.04;11.05;11.00;11.02;11.03;1684566;0
28.08.2025;13:30;11.03;11.10;11.03;11.08;11.07;2003485;0
28.08.2025;13:45;11.08;11.09;10.99;11.07;11.04;2024566;0
28.08.2025;14:00;11.07;11.08;11.01;11.06;11.05;2232719;0
28.08.2025;14:15;11.06;11.06;11.04;11.06;11.05;777142;0
28.08.2025;14:30;11.06;11.06;11.04;11.04;11.05;1031518;0
28.08.2025;14:45;11.05;11.05;11.02;11.03;11.04;405275;0
28.08.2025;15:00;11.03;11.03;10.97;10.99;11.00;2578237;0
28.08.2025;15:15;10.97;11.01;10.97;11.01;10.99;637725;0
28.08.2025;15:30;11.01;11.06;11.00;11.04;11.03;1996067;0
28.08.2025;15:45;11.04;11.04;10.99;11.00;11.01;1304447;0
28.08.2025;16:00;11.00;11.01;10.98;10.99;10.99;933756;0
28.08.2025;16:15;10.99;11.02;10.96;11.01;10.99;2151567;0
28.08.2025;16:30;11.00;11.06;10.98;11.04;11.02;1622466;0
28.08.2025;16:45;11.04;11.04;10.98;11.01;11.01;6702560;0
28.08.2025;17:00;11.02;11.05;10.95;10.98;11.00;4915478;0
28.08.2025;17:15;10.98;11.01;10.97;11.01;10.99;1131045;0
28.08.2025;17:30;11.01;11.16;11.01;11.16;11.09;13418574;0
28.08.2025;17:45;11.17;11.19;11.05;11.07;11.12;13046865;0
28.08.2025;18:00;11.07;11.12;11.05;11.12;11.09;2221710;0
29.08.2025;10:00;11.10;11.17;11.10;11.11;11.14;4245646;0
29.08.2025;10:15;11.11;11.12;11.08;11.09;11.10;3971111;0
29.08.2025;10:30;11.09;11.13;11.07;11.09;11.10;2351804;0
29.08.2025;10:45;11.09;11.14;11.08;11.14;11.11;4985120;0
29.08.2025;11:00;11.12;11.15;11.09;11.09;11.12;4450836;0
29.08.2025;11:15;11.10;11.12;11.06;11.10;11.09;4108297;0
29.08.2025;11:30;11.11;11.12;11.09;11.09;11.11;1906589;0
29.08.2025;11:45;11.09;11.09;11.07;11.09;11.08;469194;0
29.08.2025;12:00;11.09;11.09;11.01;11.06;11.05;5190026;0
29.08.2025;12:15;11.06;11.06;11.00;11.01;11.03;1991368;0
29.08.2025;12:30;11.01;11.02;10.99;11.00;11.01;636409;0
29.08.2025;12:45;11.01;11.04;11.00;11.03;11.02;656683;0
29.08.2025;13:00;11.04;11.07;11.03;11.07;11.05;995850;0
29.08.2025;13:15;11.08;11.15;11.08;11.12;11.11;3773786;0
29.08.2025;13:30;11.12;11.15;11.07;11.13;11.11;1825129;0
29.08.2025;13:45;11.13;11.24;11.13;11.20;11.18;4352846;0
29.08.2025;14:00;11.20;11.32;11.15;11.27;11.23;11200559;0
29.08.2025;14:15;11.26;11.26;11.18;11.19;11.22;4051877;0
29.08.2025;14:30;11.19;11.19;11.17;11.18;11.18;1192806;0
29.08.2025;14:45;11.18;11.19;11.16;11.18;11.17;1318263;0
29.08.2025;15:00;11.17;11.19;11.15;11.16;11.17;529294;0
29.08.2025;15:15;11.15;11.20;11.14;11.16;11.17;2117266;0
29.08.2025;15:30;11.16;11.18;11.14;11.18;11.16;1057997;0
29.08.2025;15:45;11.18;11.19;11.16;11.16;11.17;624807;0
29.08.2025;16:00;11.16;11.23;11.16;11.18;11.19;2839915;0
29.08.2025;16:15;11.17;11.17;11.11;11.14;11.14;3429229;0
29.08.2025;16:30;11.15;11.15;11.10;11.11;11.12;2504566;0
29.08.2025;16:45;11.11;11.18;11.10;11.15;11.14;4700996;0
29.08.2025;17:00;11.15;11.20;11.14;11.18;11.17;3040334;0
29.08.2025;17:15;11.17;11.19;11.15;11.15;11.17;2641050;0
29.08.2025;17:30;11.15;11.18;11.14;11.15;11.16;2234280;0
29.08.2025;17:45;11.15;11.15;11.11;11.12;11.13;5127234;0
29.08.2025;18:00;11.12;11.12;11.10;11.12;11.11;2665290;0
30.08.2025;10:00;11.11;11.11;11.04;11.05;11.07;2788699;0
30.08.2025;10:15;11.05;11.17;11.01;11.14;11.09;7114438;0
30.08.2025;10:30;11.14;11.19;11.12;11.18;11.15;2732201;0
30.08.2025;10:45;11.18;11.28;11.18;11.25;11.23;3835514;0
30.08.2025;11:00;11.24;11.34;11.23;11.28;11.28;10066013;0
30.08.2025;11:15;11.28;11.28;11.24;11.26;11.26;2240619;0
30.08.2025;11:30;11.26;11.26;11.21;11.22;11.24;1381511;0
30.08.2025;11:45;11.22;11.24;11.21;11.23;11.22;965679;0
30.08.2025;12:00;11.23;11.23;11.18;11.19;11.20;2043279;0
30.08.2025;12:15;11.19;11.21;11.19;11.20;11.20;805265;0
30.08.2025;12:30;11.21;11.30;11.21;11.28;11.26;1797580;0
30.08.2025;12:45;11.28;11.30;11.26;11.30;11.28;1166889;0
30.08.2025;13:00;11.30;11.30;11.26;11.27;11.28;1279563;0
30.08.2025;13:15;11.26;11.33;11.23;11.32;11.28;3956090;0
30.08.2025;13:30;11.32;11.33;11.29;11.32;11.31;1710443;0
30.08.2025;13:45;11.31;11.34;11.28;11.30;11.31;3126069;0
30.08.2025;14:00;11.30;11.32;11.27;11.32;11.30;2936495;0
30.08.2025;14:15;11.32;11.83;11.31;11.82;11.57;38215626;0
30.08.2025;14:30;11.83;11.96;11.75;11.75;11.86;27006864;0
30.08.2025;14:45;11.76;11.85;11.68;11.79;11.77;10084509;0
