Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;17:05;9.51;9.52;9.33;9.39;9.43;9612225;0
26.02.2024;18:05;9.27;9.27;9.27;9.27;9.27;505780;0
27.02.2024;09:05;9.32;9.32;9.32;9.32;9.32;64218;0
27.02.2024;10:05;9.32;9.65;9.30;9.46;9.47;13519460;0
27.02.2024;11:05;9.46;9.51;9.40;9.42;9.45;4118308;0
27.02.2024;12:05;9.43;9.45;9.36;9.41;9.41;3854511;0
27.02.2024;13:05;9.41;9.45;9.37;9.40;9.41;2536666;0
27.02.2024;14:05;9.38;9.49;9.34;9.39;9.41;3709096;0
27.02.2024;15:05;9.39;9.41;9.32;9.38;9.37;3221474;0
27.02.2024;16:05;9.37;9.51;9.34;9.43;9.43;2884334;0
27.02.2024;17:05;9.43;9.47;9.39;9.43;9.43;3866460;0
27.02.2024;18:05;9.45;9.45;9.45;9.45;9.45;573517;0
01.03.2024;09:05;9.51;9.51;9.51;9.51;9.51;46020;0
01.03.2024;10:05;9.51;9.75;9.49;9.71;9.62;10543050;0
01.03.2024;11:05;9.74;9.88;9.67;9.87;9.78;10616420;0
01.03.2024;12:05;9.87;9.87;9.72;9.73;9.80;4426447;0
01.03.2024;13:05;9.76;9.83;9.73;9.78;9.78;1927450;0
01.03.2024;14:05;9.78;9.78;9.71;9.74;9.75;2007459;0
01.03.2024;15:05;9.74;9.98;9.72;9.82;9.85;8244846;0
01.03.2024;16:05;9.82;9.93;9.78;9.84;9.85;5682522;0
01.03.2024;17:05;9.84;9.90;9.79;9.80;9.84;3560953;0
01.03.2024;18:05;9.80;9.80;9.80;9.80;9.80;177282;0
02.03.2024;09:05;9.95;9.95;9.95;9.95;9.95;269523;0
02.03.2024;10:05;9.93;9.95;9.63;9.79;9.79;10011960;0
02.03.2024;11:05;9.79;10.14;9.76;10.04;9.95;14960470;0
02.03.2024;12:05;10.04;10.39;10.01;10.29;10.20;10151200;0
08.03.2024;09:05;10.24;10.24;10.24;10.24;10.24;1004220;0
08.03.2024;10:05;10.23;10.49;9.78;10.29;10.13;29435340;0
08.03.2024;11:05;10.25;10.86;10.23;10.49;10.55;42599440;0
08.03.2024;12:05;10.49;10.63;10.39;10.57;10.51;12172300;0
08.03.2024;13:05;10.62;10.62;10.49;10.49;10.55;5797008;0
08.03.2024;14:05;10.49;10.55;10.43;10.54;10.49;5788271;0
08.03.2024;15:05;10.48;10.51;10.41;10.42;10.46;3778700;0
08.03.2024;16:05;10.45;10.54;10.42;10.46;10.48;2982880;0
08.03.2024;17:05;10.46;10.59;10.31;10.57;10.45;6740761;0
08.03.2024;18:05;10.59;10.59;10.59;10.59;10.59;1765946;0
09.03.2024;09:05;10.84;10.84;10.84;10.84;10.84;796544;0
09.03.2024;10:05;10.84;10.85;10.32;10.38;10.59;26613880;0
09.03.2024;11:05;10.40;10.73;10.40;10.51;10.56;14330580;0
09.03.2024;12:05;10.51;10.65;10.38;10.40;10.52;7467553;0
09.03.2024;13:05;10.40;10.44;10.36;10.44;10.40;3232446;0
09.03.2024;14:05;10.44;10.92;10.40;10.80;10.66;16667340;0
09.03.2024;15:05;10.80;11.22;10.78;10.85;11.00;34771968;0
09.03.2024;16:05;10.85;10.98;10.70;10.94;10.84;11239060;0
09.03.2024;17:05;10.92;10.97;10.49;10.76;10.73;14748200;0
09.03.2024;18:05;10.76;10.76;10.76;10.76;10.76;560952;0
