Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;10.35;10.35;10.35;10.35;10.35;128330;0
27.02.2024;10:05;10.40;10.68;10.36;10.67;10.52;9356974;0
27.02.2024;11:05;10.63;10.70;10.56;10.62;10.63;3365299;0
27.02.2024;12:05;10.65;10.92;10.61;10.88;10.77;8892130;0
27.02.2024;13:05;10.88;10.92;10.79;10.92;10.85;6804754;0
27.02.2024;14:05;10.92;10.95;10.83;10.91;10.89;5401728;0
27.02.2024;15:05;10.94;11.15;10.91;11.15;11.03;12392330;0
27.02.2024;16:05;11.15;11.22;11.10;11.21;11.16;6097218;0
27.02.2024;17:05;11.20;11.31;11.13;11.18;11.22;7665888;0
27.02.2024;18:05;11.24;11.24;11.24;11.24;11.24;501719;0
01.03.2024;09:05;11.42;11.42;11.42;11.42;11.42;493040;0
01.03.2024;10:05;11.42;11.47;11.09;11.45;11.28;17523720;0
01.03.2024;11:05;11.46;11.81;11.42;11.72;11.61;16757930;0
01.03.2024;12:05;11.69;11.98;11.69;11.98;11.83;18065160;0
01.03.2024;13:05;11.98;12.22;11.98;12.21;12.10;53342300;0
01.03.2024;14:05;12.19;12.29;12.18;12.24;12.23;19152780;0
01.03.2024;15:05;12.22;12.29;12.20;12.29;12.24;8431090;0
01.03.2024;16:05;12.28;12.31;12.20;12.23;12.25;7411452;0
01.03.2024;17:05;12.23;12.31;12.19;12.28;12.25;13527420;0
01.03.2024;18:05;12.28;12.28;12.28;12.28;12.28;1355673;0
02.03.2024;09:05;12.33;12.33;12.33;12.33;12.33;424963;0
02.03.2024;10:05;12.33;12.42;11.73;12.29;12.08;40096000;0
02.03.2024;11:05;12.26;12.42;12.22;12.34;12.32;5922473;0
02.03.2024;12:05;12.34;12.40;12.22;12.27;12.31;4496024;0
08.03.2024;09:05;12.06;12.06;12.06;12.06;12.06;391669;0
08.03.2024;10:05;12.05;12.22;11.69;12.14;11.96;8732614;0
08.03.2024;11:05;12.18;12.21;11.95;12.00;12.08;3022310;0
08.03.2024;12:05;11.99;12.18;11.85;12.14;12.01;7664269;0
08.03.2024;13:05;12.09;12.19;11.87;12.07;12.03;24657760;0
08.03.2024;14:05;12.07;12.15;11.87;12.04;12.01;9617218;0
08.03.2024;15:05;12.09;12.18;12.04;12.13;12.11;20378370;0
08.03.2024;16:05;12.13;12.38;12.10;12.29;12.24;3899930;0
08.03.2024;17:05;12.32;12.32;12.15;12.23;12.23;3152260;0
08.03.2024;18:05;12.23;12.23;12.23;12.23;12.23;94125;0
09.03.2024;09:05;12.17;12.17;12.17;12.17;12.17;85424;0
09.03.2024;10:05;12.16;12.38;12.02;12.09;12.20;4300760;0
09.03.2024;11:05;12.08;12.08;11.95;12.00;12.01;2730908;0
09.03.2024;12:05;11.99;12.10;11.95;12.07;12.02;1958672;0
09.03.2024;13:05;12.00;12.05;11.94;12.03;12.00;805072;0
09.03.2024;14:05;12.03;12.32;12.00;12.32;12.16;4089319;0
09.03.2024;15:05;12.30;12.59;12.23;12.30;12.41;12746530;0
