Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;0.63;0.63;0.57;0.58;0.60;416479;0
08.05.2005;00:00;0.58;0.60;0.57;0.59;0.59;335988;0
09.05.2005;00:00;0.59;0.61;0.57;0.58;0.59;466279;0
10.05.2005;00:00;0.57;0.57;0.53;0.55;0.55;245311;0
14.05.2005;00:00;0.55;0.55;0.49;0.50;0.52;339307;0
15.05.2005;00:00;0.49;0.54;0.48;0.51;0.51;375358;0
16.05.2005;00:00;0.51;0.53;0.49;0.50;0.51;409779;0
17.05.2005;00:00;0.50;0.51;0.49;0.51;0.50;305781;0
18.05.2005;00:00;0.52;0.60;0.51;0.55;0.56;511838;0
21.05.2005;00:00;0.56;0.57;0.54;0.56;0.56;148947;0
22.05.2005;00:00;0.50;0.57;0.50;0.56;0.54;277991;0
23.05.2005;00:00;0.55;0.61;0.53;0.60;0.57;524557;0
25.05.2005;00:00;0.60;0.61;0.59;0.60;0.60;180321;0
26.05.2005;00:00;0.61;0.66;0.60;0.65;0.63;789665;0
29.05.2005;00:00;0.65;0.65;0.61;0.63;0.63;222759;0
30.05.2005;00:00;0.62;0.63;0.60;0.60;0.62;186261;0
31.05.2005;00:00;0.60;0.62;0.60;0.60;0.61;99561;0
01.06.2005;00:00;0.61;0.61;0.59;0.60;0.60;182118;0
02.06.2005;00:00;0.60;0.62;0.57;0.60;0.60;368363;0
05.06.2005;00:00;0.57;0.58;0.57;0.57;0.58;48510;0
06.06.2005;00:00;0.57;0.57;0.49;0.51;0.53;60411;0
07.06.2005;00:00;0.51;0.55;0.50;0.51;0.52;47130;0
08.06.2005;00:00;0.52;0.54;0.51;0.51;0.53;164898;0
09.06.2005;00:00;0.52;0.53;0.50;0.50;0.51;269324;0
12.06.2005;00:00;0.57;0.57;0.50;0.51;0.54;90707;0
13.06.2005;00:00;0.51;0.51;0.50;0.50;0.50;100207;0
14.06.2005;00:00;0.50;0.50;0.48;0.48;0.49;90574;0
15.06.2005;00:00;0.50;0.53;0.48;0.49;0.50;224927;0
16.06.2005;00:00;0.49;0.49;0.46;0.46;0.47;195101;0
19.06.2005;00:00;0.46;0.46;0.42;0.44;0.44;133006;0
20.06.2005;00:00;0.45;0.45;0.42;0.44;0.43;157547;0
21.06.2005;00:00;0.45;0.45;0.43;0.44;0.44;83201;0
22.06.2005;00:00;0.44;0.48;0.44;0.46;0.46;153667;0
23.06.2005;00:00;0.48;0.48;0.46;0.47;0.47;73306;0
28.06.2005;00:00;0.47;0.49;0.46;0.48;0.47;157703;0
29.06.2005;00:00;0.48;0.50;0.48;0.49;0.49;196464;0
30.06.2005;00:00;0.49;0.50;0.48;0.48;0.49;313671;0
01.07.2005;00:00;0.48;0.49;0.46;0.48;0.47;117675;0
02.07.2005;00:00;0.49;0.49;0.48;0.48;0.48;48670;0
05.07.2005;00:00;0.44;0.48;0.44;0.48;0.46;38399;0
06.07.2005;00:00;0.49;0.49;0.47;0.47;0.48;29275;0
07.07.2005;00:00;0.47;0.48;0.45;0.47;0.46;118017;0
08.07.2005;00:00;0.45;0.48;0.44;0.45;0.46;48791;0
09.07.2005;00:00;0.44;0.45;0.43;0.45;0.44;80079;0
12.07.2005;00:00;0.44;0.44;0.42;0.42;0.43;77286;0
13.07.2005;00:00;0.47;0.47;0.42;0.43;0.44;110575;0
14.07.2005;00:00;0.44;0.44;0.43;0.43;0.43;105359;0
15.07.2005;00:00;0.44;0.45;0.43;0.44;0.44;169405;0
16.07.2005;00:00;0.44;0.44;0.43;0.44;0.43;62642;0
19.07.2005;00:00;0.45;0.46;0.43;0.44;0.44;29369;0
20.07.2005;00:00;0.45;0.45;0.44;0.44;0.44;51619;0
21.07.2005;00:00;0.44;0.46;0.44;0.45;0.45;212112;0
22.07.2005;00:00;0.46;0.46;0.45;0.46;0.45;83819;0
23.07.2005;00:00;0.46;0.46;0.44;0.45;0.45;45043;0
26.07.2005;00:00;0.46;0.46;0.45;0.45;0.45;30204;0
28.07.2005;00:00;0.46;0.46;0.44;0.45;0.45;46261;0
29.07.2005;00:00;0.45;0.45;0.44;0.44;0.44;55744;0
30.07.2005;00:00;0.44;0.45;0.43;0.43;0.44;59440;0
