Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;5.68;5.68;5.68;5.68;5.68;250681;0
27.02.2024;10:05;5.66;5.70;5.60;5.63;5.65;17036310;0
27.02.2024;11:05;5.63;5.68;5.63;5.66;5.65;5918738;0
27.02.2024;12:05;5.66;5.67;5.59;5.62;5.63;16385230;0
27.02.2024;13:05;5.62;5.65;5.60;5.65;5.62;5185661;0
27.02.2024;14:05;5.65;5.69;5.64;5.67;5.66;7672576;0
27.02.2024;15:05;5.68;5.70;5.65;5.67;5.68;7460583;0
27.02.2024;16:05;5.67;5.79;5.67;5.76;5.73;12324340;0
27.02.2024;17:05;5.75;5.80;5.60;5.65;5.70;16877580;0
27.02.2024;18:05;5.65;5.65;5.65;5.65;5.65;1156088;0
01.03.2024;09:05;5.66;5.66;5.66;5.66;5.66;339954;0
01.03.2024;10:05;5.66;5.85;5.66;5.79;5.75;26844460;0
01.03.2024;11:05;5.79;5.83;5.77;5.82;5.80;16507790;0
01.03.2024;12:05;5.81;5.84;5.79;5.84;5.81;7438064;0
01.03.2024;13:05;5.84;5.95;5.80;5.90;5.88;15524870;0
01.03.2024;14:05;5.90;5.92;5.86;5.88;5.89;6981379;0
01.03.2024;15:05;5.88;5.96;5.85;5.95;5.90;5294729;0
01.03.2024;16:05;5.95;6.02;5.92;5.99;5.97;14345210;0
01.03.2024;17:05;5.99;6.01;5.95;5.97;5.98;13379980;0
01.03.2024;18:05;5.98;5.98;5.98;5.98;5.98;1453199;0
02.03.2024;09:05;6.00;6.00;6.00;6.00;6.00;271799;0
02.03.2024;10:05;6.00;6.02;5.89;6.00;5.95;26315040;0
02.03.2024;11:05;6.00;6.08;5.97;6.06;6.03;19739500;0
02.03.2024;12:05;6.06;6.10;6.05;6.08;6.07;11274750;0
08.03.2024;09:05;6.06;6.06;6.06;6.06;6.06;575821;0
08.03.2024;10:05;6.06;6.47;5.92;6.45;6.20;89157160;0
08.03.2024;11:05;6.45;6.68;6.40;6.68;6.54;82895088;0
08.03.2024;12:05;6.68;6.68;6.68;6.68;6.68;8164296;0
08.03.2024;13:05;6.68;6.68;6.68;6.68;6.68;24167940;0
08.03.2024;14:05;6.68;6.68;6.68;6.68;6.68;3477926;0
08.03.2024;15:05;6.68;6.68;6.68;6.68;6.68;4349182;0
08.03.2024;16:05;6.68;6.68;6.68;6.68;6.68;1234665;0
08.03.2024;17:05;6.68;6.68;6.68;6.68;6.68;5450913;0
08.03.2024;18:05;6.68;6.68;6.68;6.68;6.68;1254087;0
09.03.2024;09:05;6.82;6.82;6.82;6.82;6.82;6170849;0
09.03.2024;10:05;6.82;7.31;6.76;6.94;7.04;212849296;0
09.03.2024;11:05;6.95;7.25;6.92;7.18;7.09;77458368;0
09.03.2024;12:05;7.19;7.22;7.01;7.16;7.12;47756260;0
09.03.2024;13:05;7.15;7.20;6.98;7.07;7.09;26362550;0
09.03.2024;14:05;7.07;7.22;7.02;7.20;7.12;28002730;0
09.03.2024;15:05;7.20;7.32;7.16;7.24;7.24;50837520;0
09.03.2024;16:05;7.24;7.35;7.20;7.35;7.28;116618496;0
09.03.2024;17:05;7.35;7.35;7.35;7.35;7.35;9271020;0
09.03.2024;18:05;7.35;7.35;7.35;7.35;7.35;1066030;0
10.03.2024;09:05;7.60;7.60;7.60;7.60;7.60;11122180;0
10.03.2024;10:05;7.60;8.08;7.36;8.08;7.72;306291712;0
10.03.2024;11:05;8.08;8.08;7.84;7.99;7.96;200923904;0
10.03.2024;12:05;7.99;8.05;7.88;7.96;7.96;72658800;0
10.03.2024;13:05;7.96;7.96;7.80;7.92;7.88;45792940;0
10.03.2024;14:05;7.92;8.00;7.86;7.94;7.93;32090790;0
10.03.2024;15:05;7.92;7.98;7.89;7.96;7.94;28355150;0
10.03.2024;16:05;7.97;7.98;7.41;7.70;7.69;112291296;0
10.03.2024;17:05;7.67;7.76;7.55;7.66;7.65;72407664;0
10.03.2024;18:05;7.56;7.56;7.56;7.56;7.56;6200891;0
11.03.2024;09:05;7.58;7.58;7.58;7.58;7.58;1738783;0
11.03.2024;10:05;7.60;7.66;7.25;7.32;7.46;152750096;0
11.03.2024;11:05;7.32;7.47;7.27;7.35;7.37;42915300;0
11.03.2024;12:05;7.36;7.40;7.29;7.31;7.34;17260320;0
11.03.2024;13:05;7.31;7.66;7.29;7.42;7.48;49806600;0
11.03.2024;14:05;7.42;7.64;7.39;7.62;7.51;43871080;0
11.03.2024;15:05;7.61;7.82;7.30;7.31;7.56;61649528;0
11.03.2024;16:05;7.31;7.34;7.08;7.13;7.21;53552888;0
11.03.2024;17:05;7.12;7.37;6.90;7.22;7.14;62887528;0
11.03.2024;18:05;7.12;7.12;7.12;7.12;7.12;4576967;0
12.03.2024;09:05;7.09;7.09;7.09;7.09;7.09;348995;0
12.03.2024;10:05;7.08;7.60;7.00;7.47;7.30;132233104;0
12.03.2024;11:05;7.47;7.48;7.36;7.39;7.42;30363810;0
12.03.2024;12:05;7.38;7.60;7.38;7.58;7.49;52156500;0
12.03.2024;13:05;7.58;7.73;7.52;7.73;7.63;53309432;0
12.03.2024;14:05;7.73;7.83;7.67;7.83;7.75;71342816;0
12.03.2024;15:05;7.83;7.83;7.83;7.83;7.83;4557988;0
12.03.2024;16:05;7.83;7.83;7.83;7.83;7.83;3974916;0
12.03.2024;17:05;7.83;7.83;7.83;7.83;7.83;5485280;0
12.03.2024;18:05;7.83;7.83;7.83;7.83;7.83;954055;0
15.03.2024;09:05;8.02;8.02;8.02;8.02;8.02;12427860;0
15.03.2024;10:05;8.02;8.61;8.00;8.61;8.30;199476096;0
15.03.2024;11:05;8.61;8.61;8.61;8.61;8.61;9762525;0
15.03.2024;12:05;8.61;8.61;8.61;8.61;8.61;4359436;0
15.03.2024;13:05;8.61;8.61;8.61;8.61;8.61;3722744;0
15.03.2024;14:05;8.61;8.61;8.61;8.61;8.61;3579205;0
15.03.2024;15:05;8.61;8.61;8.61;8.61;8.61;1591684;0
15.03.2024;16:05;8.61;8.61;8.61;8.61;8.61;1036834;0
15.03.2024;17:05;8.61;8.61;8.61;8.61;8.61;6999787;0
15.03.2024;18:05;8.61;8.61;8.61;8.61;8.61;86058;0
17.03.2024;09:05;9.06;9.06;9.06;9.06;9.06;27424190;0
17.03.2024;10:05;9.06;9.46;8.71;9.18;9.09;388842816;0
17.03.2024;11:05;9.19;9.27;8.78;8.98;9.03;114789696;0
17.03.2024;12:05;8.97;9.07;8.87;8.94;8.97;45029980;0
17.03.2024;13:05;8.94;8.94;8.70;8.75;8.82;59455020;0
17.03.2024;14:05;8.76;8.92;8.73;8.82;8.82;35337520;0
17.03.2024;15:05;8.82;8.90;8.73;8.90;8.82;32629130;0
17.03.2024;16:05;8.88;9.09;8.74;8.91;8.92;59378500;0
17.03.2024;17:05;8.92;8.92;8.21;8.21;8.56;48535008;0
17.03.2024;18:05;8.40;8.40;8.40;8.40;8.40;19628820;0
18.03.2024;09:05;8.72;8.72;8.72;8.72;8.72;973980;0
18.03.2024;10:05;8.73;9.24;8.63;9.24;8.94;134542400;0
18.03.2024;11:05;9.24;9.24;9.24;9.24;9.24;12953880;0
18.03.2024;12:05;9.24;9.24;9.24;9.24;9.24;6168878;0
18.03.2024;13:05;9.24;9.24;9.24;9.24;9.24;6760100;0
18.03.2024;14:05;9.24;9.24;9.24;9.24;9.24;2065140;0
18.03.2024;15:05;9.24;9.24;9.24;9.24;9.24;1597527;0
18.03.2024;16:05;9.24;9.24;9.24;9.24;9.24;16776300;0
18.03.2024;17:05;9.24;9.24;9.24;9.24;9.24;3081170;0
18.03.2024;18:05;9.24;9.24;9.24;9.24;9.24;246824;0
19.03.2024;09:05;9.82;9.82;9.82;9.82;9.82;12233580;0
19.03.2024;10:05;9.82;10.16;9.51;9.57;9.84;423272000;0
19.03.2024;11:05;9.56;9.60;9.10;9.51;9.35;109971504;0
19.03.2024;12:05;9.51;9.60;9.22;9.30;9.41;71062816;0
19.03.2024;13:05;9.30;9.60;9.17;9.41;9.38;46049328;0
19.03.2024;14:05;9.42;10.16;9.41;9.94;9.78;315615104;0
19.03.2024;15:05;9.95;9.96;9.70;9.77;9.83;67177480;0
19.03.2024;16:05;9.78;10.00;9.75;9.81;9.88;69720440;0
19.03.2024;17:05;9.81;10.16;9.60;10.16;9.88;153493904;0
19.03.2024;18:05;10.16;10.16;10.16;10.16;10.16;1856740;0
22.03.2024;09:05;10.16;10.16;10.16;10.16;10.16;15947160;0
22.03.2024;10:05;10.16;10.55;9.55;10.03;10.05;390980512;0
22.03.2024;11:05;10.02;10.40;9.97;10.36;10.18;86524720;0
22.03.2024;12:05;10.36;10.90;10.19;10.84;10.55;142007504;0
22.03.2024;13:05;10.82;10.88;10.53;10.74;10.70;116674496;0
22.03.2024;14:05;10.74;10.75;10.32;10.43;10.54;91685920;0
22.03.2024;15:05;10.43;10.75;10.32;10.54;10.54;66269140;0
22.03.2024;16:05;10.55;10.68;10.24;10.47;10.46;47415360;0
22.03.2024;17:05;10.47;10.56;9.76;9.88;10.16;103954496;0
22.03.2024;18:05;9.86;9.86;9.86;9.86;9.86;4849686;0
23.03.2024;09:05;9.87;9.87;9.87;9.87;9.87;1355253;0
23.03.2024;10:05;9.88;10.16;9.57;10.10;9.86;170534896;0
23.03.2024;11:05;10.10;10.11;9.78;9.86;9.95;45764380;0
23.03.2024;12:05;9.86;10.06;9.80;9.98;9.93;48553700;0
23.03.2024;13:05;9.97;10.37;9.94;10.07;10.16;105828000;0
23.03.2024;14:05;10.07;10.14;9.94;10.02;10.04;32240000;0
23.03.2024;15:05;10.02;10.04;9.84;9.85;9.94;24514080;0
23.03.2024;16:05;9.84;10.08;9.79;10.06;9.94;38173232;0
23.03.2024;17:05;10.04;10.07;9.74;9.85;9.91;39548780;0
23.03.2024;18:05;9.85;9.85;9.85;9.85;9.85;3556187;0
27.03.2024;09:05;9.80;9.80;9.80;9.80;9.80;1283016;0
27.03.2024;10:05;9.80;9.99;9.58;9.61;9.78;96139984;0
