Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;10:30;1809.00;1840.00;1809.00;1823.00;1824.50;5081973;0
24.08.2025;10:45;1823.00;1825.00;1811.00;1813.00;1818.00;2191174;0
24.08.2025;11:00;1816.00;1822.00;1816.00;1818.00;1819.00;985651;0
24.08.2025;11:15;1817.00;1828.00;1811.00;1825.00;1819.50;3042491;0
24.08.2025;11:30;1823.00;1839.00;1821.00;1824.00;1830.00;3053596;0
24.08.2025;11:45;1822.00;1832.00;1816.00;1824.00;1824.00;2763162;0
24.08.2025;12:00;1818.00;1823.00;1811.00;1811.00;1817.00;1154459;0
24.08.2025;12:15;1811.00;1815.00;1806.00;1807.00;1810.50;1727007;0
24.08.2025;12:30;1807.00;1807.00;1790.00;1790.00;1798.50;1411993;0
24.08.2025;12:45;1791.00;1800.00;1789.00;1794.00;1794.50;2001548;0
24.08.2025;13:00;1796.00;1802.00;1790.00;1801.00;1796.00;785953;0
24.08.2025;13:15;1802.00;1805.00;1801.00;1803.00;1803.00;885058;0
24.08.2025;13:30;1803.00;1805.00;1800.00;1800.00;1802.50;759998;0
24.08.2025;13:45;1801.00;1810.00;1800.00;1810.00;1805.00;475684;0
24.08.2025;14:00;1802.00;1805.00;1790.00;1799.00;1797.50;2224606;0
24.08.2025;14:15;1799.00;1802.00;1797.00;1798.00;1799.50;789992;0
24.08.2025;14:30;1798.00;1805.00;1798.00;1800.00;1801.50;648387;0
24.08.2025;14:45;1802.00;1810.00;1800.00;1800.00;1805.00;736858;0
24.08.2025;15:00;1801.00;1803.00;1794.00;1798.00;1798.50;702514;0
24.08.2025;15:15;1798.00;1801.00;1795.00;1799.00;1798.00;436912;0
24.08.2025;15:30;1800.00;1822.00;1799.00;1821.00;1810.50;2628012;0
24.08.2025;15:45;1817.00;1819.00;1813.00;1818.00;1816.00;730151;0
24.08.2025;16:00;1816.00;1841.00;1816.00;1829.00;1828.50;5933044;0
24.08.2025;16:15;1829.00;1836.00;1814.00;1816.00;1825.00;1676901;0
24.08.2025;16:30;1817.00;1822.00;1809.00;1814.00;1815.50;1683107;0
24.08.2025;16:45;1817.00;1856.00;1814.00;1856.00;1835.00;4873580;0
24.08.2025;17:00;1853.00;1883.00;1842.00;1856.00;1862.50;11146001;0
24.08.2025;17:15;1855.00;1872.00;1851.00;1860.00;1861.50;2593327;0
24.08.2025;17:30;1858.00;1860.00;1835.00;1840.00;1847.50;3254491;0
24.08.2025;17:45;1840.00;1846.00;1831.00;1835.00;1838.50;2294823;0
24.08.2025;18:00;1836.00;1844.00;1833.00;1844.00;1838.50;995268;0
27.08.2025;10:00;1757.00;1810.00;1752.00;1802.00;1781.00;7612006;0
27.08.2025;10:15;1802.00;1825.00;1795.00;1822.00;1810.00;11298008;0
27.08.2025;10:30;1818.00;1840.00;1817.00;1830.00;1828.50;2380868;0
27.08.2025;10:45;1830.00;1938.00;1828.00;1922.00;1883.00;18763882;0
27.08.2025;11:00;1922.00;1930.00;1861.00;1884.00;1895.50;6577399;0
27.08.2025;11:15;1880.00;1902.00;1870.00;1902.00;1886.00;3032718;0
27.08.2025;11:30;1901.00;1920.00;1884.00;1889.00;1902.00;9407025;0
27.08.2025;11:45;1899.00;1905.00;1882.00;1889.00;1893.50;2870620;0
27.08.2025;12:00;1889.00;1892.00;1874.00;1876.00;1883.00;3247653;0
27.08.2025;12:15;1876.00;1900.00;1876.00;1900.00;1888.00;1801317;0
27.08.2025;12:30;1899.00;1900.00;1835.00;1894.00;1867.50;2687669;0
27.08.2025;12:45;1894.00;1899.00;1885.00;1887.00;1892.00;1431054;0
27.08.2025;13:00;1890.00;1935.00;1886.00;1922.00;1910.50;17664390;0
27.08.2025;13:15;1919.00;1919.00;1895.00;1898.00;1907.00;4511074;0
27.08.2025;13:30;1898.00;1906.00;1890.00;1895.00;1898.00;2817935;0
27.08.2025;13:45;1895.00;1923.00;1891.00;1911.00;1907.00;4975916;0
27.08.2025;14:00;1911.00;1924.00;1902.00;1922.00;1913.00;4104527;0
27.08.2025;14:15;1921.00;1925.00;1904.00;1914.00;1914.50;2828648;0
27.08.2025;14:30;1914.00;1940.00;1913.00;1917.00;1926.50;11503544;0
27.08.2025;14:45;1917.00;1917.00;1900.00;1905.00;1908.50;2609319;0
27.08.2025;15:00;1906.00;1915.00;1900.00;1905.00;1907.50;2305902;0
27.08.2025;15:15;1910.00;1932.00;1904.00;1928.00;1918.00;8279301;0
27.08.2025;15:30;1929.00;1929.00;1915.00;1917.00;1922.00;3862825;0
27.08.2025;15:45;1916.00;1917.00;1905.00;1909.00;1911.00;1738855;0
27.08.2025;16:00;1907.00;1921.00;1907.00;1919.00;1914.00;1342119;0
27.08.2025;16:15;1918.00;1919.00;1905.00;1910.00;1912.00;2631321;0
27.08.2025;16:30;1909.00;1909.00;1898.00;1902.00;1903.50;2663713;0
27.08.2025;16:45;1902.00;1914.00;1902.00;1907.00;1908.00;2733902;0
27.08.2025;17:00;1906.00;1958.00;1906.00;1955.00;1932.00;19905711;0
27.08.2025;17:15;1955.00;2028.00;1955.00;2028.00;1991.50;28770735;0
27.08.2025;17:30;2028.00;2028.00;2028.00;2028.00;2028.00;4039776;0
27.08.2025;17:45;2028.00;2028.00;2028.00;2028.00;2028.00;3469908;0
27.08.2025;18:00;2028.00;2028.00;2028.00;2028.00;2028.00;701688;0
28.08.2025;10:00;2200.00;2200.00;2090.00;2090.00;2145.00;12717407;0
28.08.2025;10:15;2090.00;2090.00;2000.00;2029.00;2045.00;48512752;0
28.08.2025;10:30;2025.00;2124.00;2025.00;2079.00;2074.50;47525213;0
28.08.2025;10:45;2083.00;2141.00;2075.00;2134.00;2108.00;27362927;0
28.08.2025;11:00;2139.00;2184.00;2118.00;2177.00;2151.00;30142310;0
28.08.2025;11:15;2177.00;2195.00;2157.00;2161.00;2176.00;26104806;0
28.08.2025;11:30;2160.00;2161.00;2129.00;2145.00;2145.00;11293941;0
28.08.2025;11:45;2145.00;2146.00;2120.00;2140.00;2133.00;9229833;0
28.08.2025;12:00;2139.00;2158.00;2120.00;2128.00;2139.00;10568101;0
28.08.2025;12:15;2132.00;2142.00;2120.00;2140.00;2131.00;7380885;0
28.08.2025;12:30;2137.00;2137.00;2118.00;2123.00;2127.50;5799832;0
28.08.2025;12:45;2123.00;2130.00;2025.00;2087.00;2077.50;10112537;0
28.08.2025;13:00;2087.00;2104.00;2050.00;2091.00;2077.00;6469119;0
28.08.2025;13:15;2094.00;2113.00;2084.00;2106.00;2098.50;5315354;0
28.08.2025;13:30;2106.00;2120.00;2100.00;2115.00;2110.00;5301215;0
28.08.2025;13:45;2111.00;2155.00;2111.00;2146.00;2133.00;10323925;0
28.08.2025;14:00;2146.00;2155.00;2134.00;2137.00;2144.50;4903185;0
28.08.2025;14:15;2139.00;2155.00;2135.00;2141.00;2145.00;3540614;0
28.08.2025;14:30;2145.00;2153.00;2138.00;2150.00;2145.50;3398518;0
28.08.2025;14:45;2148.00;2190.00;2147.00;2161.00;2168.50;20186252;0
28.08.2025;15:00;2158.00;2169.00;2144.00;2160.00;2156.50;6271952;0
