Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;73.30;73.30;73.30;73.30;73.30;160747;0
27.02.2024;10:05;73.70;75.85;73.40;75.30;74.62;8156046;0
27.02.2024;11:05;75.20;75.65;74.85;75.00;75.25;2927410;0
27.02.2024;12:05;75.00;75.30;74.75;74.90;75.03;3292269;0
27.02.2024;13:05;74.95;75.00;74.40;74.65;74.70;2764184;0
27.02.2024;14:05;74.70;76.15;74.60;75.65;75.38;5362354;0
27.02.2024;15:05;75.65;75.85;74.95;75.50;75.40;4197188;0
27.02.2024;16:05;75.50;76.35;75.30;76.35;75.83;4170738;0
27.02.2024;17:05;76.35;76.75;75.95;76.30;76.35;6496204;0
27.02.2024;18:05;76.20;76.20;76.20;76.20;76.20;420853;0
01.03.2024;09:05;76.20;76.20;76.20;76.20;76.20;179527;0
01.03.2024;10:05;76.45;81.15;76.45;80.70;78.80;20102350;0
01.03.2024;11:05;80.70;82.80;80.25;80.60;81.53;14227490;0
01.03.2024;12:05;80.60;80.85;78.80;79.05;79.83;8443884;0
01.03.2024;13:05;79.05;79.55;78.90;79.45;79.23;4258049;0
01.03.2024;14:05;79.45;79.95;79.35;79.70;79.65;3347411;0
01.03.2024;15:05;79.60;80.85;79.35;80.40;80.10;2791808;0
01.03.2024;16:05;80.10;81.55;80.10;81.05;80.83;6296946;0
01.03.2024;17:05;80.95;81.80;80.95;81.35;81.38;6555915;0
01.03.2024;18:05;81.50;81.50;81.50;81.50;81.50;336025;0
02.03.2024;09:05;81.55;81.55;81.55;81.55;81.55;123467;0
02.03.2024;10:05;81.90;82.50;80.60;80.85;81.55;10684440;0
02.03.2024;11:05;80.85;82.20;80.75;81.40;81.47;8590393;0
02.03.2024;12:05;81.40;82.20;81.40;81.85;81.80;3764817;0
08.03.2024;09:05;81.15;81.15;81.15;81.15;81.15;633051;0
08.03.2024;10:05;81.15;85.00;80.10;83.95;82.55;31942910;0
08.03.2024;11:05;83.95;85.50;83.45;83.60;84.47;21231320;0
08.03.2024;12:05;83.55;84.45;83.45;83.95;83.95;7975402;0
08.03.2024;13:05;83.90;84.10;81.50;81.90;82.80;11787270;0
08.03.2024;14:05;81.90;82.50;81.90;82.45;82.20;3325530;0
08.03.2024;15:05;82.40;82.80;81.90;82.10;82.35;3654389;0
08.03.2024;16:05;82.10;82.75;82.00;82.40;82.38;2589758;0
08.03.2024;17:05;82.40;83.80;81.95;83.70;82.88;18281710;0
08.03.2024;18:05;84.00;84.00;84.00;84.00;84.00;956676;0
09.03.2024;09:05;83.50;83.50;83.50;83.50;83.50;198313;0
09.03.2024;10:05;83.30;83.95;81.55;81.80;82.75;12121780;0
09.03.2024;11:05;81.80;82.35;81.00;81.05;81.67;8021751;0
09.03.2024;12:05;81.05;81.05;80.45;80.75;80.75;5418471;0
09.03.2024;13:05;80.75;81.55;80.40;81.20;80.98;3541835;0
09.03.2024;14:05;81.25;81.65;80.65;81.65;81.15;3777542;0
09.03.2024;15:05;81.35;81.50;79.40;79.65;80.45;9183684;0
09.03.2024;16:05;79.65;81.80;78.25;79.40;80.03;23347370;0
09.03.2024;17:05;79.40;80.40;78.80;80.00;79.60;12064370;0
09.03.2024;18:05;80.00;80.00;80.00;80.00;80.00;1129280;0
10.03.2024;09:05;80.65;80.65;80.65;80.65;80.65;240902;0
10.03.2024;10:05;80.60;82.40;80.60;82.10;81.50;21846160;0
10.03.2024;11:05;82.20;84.40;82.05;82.55;83.23;23437360;0
10.03.2024;12:05;82.60;82.70;81.50;81.95;82.10;8756409;0
10.03.2024;13:05;81.70;82.00;81.00;81.30;81.50;5708828;0
10.03.2024;14:05;81.05;81.30;80.20;80.30;80.75;4904683;0
