Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.06.2021;00:00;1.09;1.09;1.09;1.09;1.09;633286;0
08.06.2021;00:00;1.20;1.20;1.20;1.20;1.20;3382375;0
11.06.2021;00:00;1.31;1.31;1.31;1.31;1.31;9358287;0
12.06.2021;00:00;1.45;1.45;1.41;1.45;1.43;54448600;0
13.06.2021;00:00;1.51;1.54;1.30;1.30;1.42;450978592;0
14.06.2021;00:00;1.30;1.43;1.27;1.43;1.35;160656304;0
15.06.2021;00:00;1.46;1.57;1.44;1.57;1.51;87085640;0
18.06.2021;00:00;1.73;1.73;1.68;1.73;1.71;40002640;0
19.06.2021;00:00;1.90;1.90;1.85;1.90;1.88;19893240;0
20.06.2021;00:00;2.00;2.10;1.71;1.95;1.90;658086784;0
21.06.2021;00:00;1.99;2.04;1.83;1.84;1.94;301963104;0
22.06.2021;00:00;1.86;1.95;1.69;1.69;1.82;184792192;0
25.06.2021;00:00;1.69;1.75;1.55;1.56;1.65;127385504;0
26.06.2021;00:00;1.60;1.72;1.53;1.72;1.63;219106096;0
27.06.2021;00:00;1.77;1.87;1.64;1.66;1.76;227027104;0
28.06.2021;00:00;1.69;1.73;1.62;1.64;1.67;113627400;0
29.06.2021;00:00;1.63;1.65;1.54;1.57;1.59;56222920;0
02.07.2021;00:00;1.62;1.73;1.58;1.73;1.65;18992160;0
03.07.2021;00:00;1.90;1.90;1.90;1.90;1.90;5136871;0
04.07.2021;00:00;2.09;2.09;1.71;1.71;1.90;352685088;0
05.07.2021;00:00;1.73;1.80;1.64;1.69;1.72;162988000;0
08.07.2021;00:00;1.69;1.73;1.67;1.69;1.70;47470380;0
11.07.2021;00:00;1.69;1.83;1.67;1.73;1.75;212033696;0
12.07.2021;00:00;1.74;1.75;1.70;1.71;1.73;60439488;0
13.07.2021;00:00;1.74;1.80;1.71;1.73;1.75;93830016;0
14.07.2021;00:00;1.74;1.75;1.67;1.70;1.71;45617540;0
15.07.2021;00:00;1.72;1.73;1.65;1.65;1.69;35035780;0
18.07.2021;00:00;1.66;1.70;1.63;1.64;1.67;32347690;0
19.07.2021;00:00;1.62;1.65;1.59;1.59;1.62;33403140;0
20.07.2021;00:00;1.61;1.62;1.56;1.57;1.59;26707370;0
21.07.2021;00:00;1.55;1.67;1.55;1.56;1.61;95710896;0
22.07.2021;00:00;1.58;1.60;1.51;1.51;1.55;38188952;0
25.07.2021;00:00;1.51;1.51;1.44;1.45;1.48;26799780;0
26.07.2021;00:00;1.45;1.52;1.43;1.45;1.48;28602330;0
27.07.2021;00:00;1.45;1.47;1.43;1.43;1.45;26838620;0
28.07.2021;00:00;1.43;1.44;1.35;1.38;1.40;37565220;0
29.07.2021;00:00;1.38;1.38;1.34;1.35;1.36;29764480;0
01.08.2021;00:00;1.35;1.49;1.32;1.38;1.40;130813800;0
02.08.2021;00:00;1.38;1.44;1.37;1.37;1.40;62094760;0
03.08.2021;00:00;1.39;1.39;1.36;1.38;1.38;17340020;0
04.08.2021;00:00;1.37;1.37;1.35;1.35;1.36;8093888;0
09.08.2021;00:00;1.35;1.44;1.34;1.38;1.39;77612336;0
10.08.2021;00:00;1.38;1.39;1.35;1.35;1.37;17106440;0
11.08.2021;00:00;1.35;1.37;1.30;1.32;1.34;18116080;0
12.08.2021;00:00;1.33;1.35;1.33;1.33;1.34;11622490;0
13.08.2021;00:00;1.34;1.37;1.32;1.33;1.35;18079820;0
16.08.2021;00:00;1.33;1.34;1.31;1.32;1.33;12616630;0
17.08.2021;00:00;1.32;1.35;1.30;1.31;1.32;17793250;0
18.08.2021;00:00;1.30;1.39;1.30;1.33;1.35;77883912;0
19.08.2021;00:00;1.34;1.35;1.32;1.32;1.33;16642040;0
20.08.2021;00:00;1.32;1.33;1.31;1.31;1.32;13146660;0
23.08.2021;00:00;1.33;1.36;1.31;1.34;1.33;24365330;0
24.08.2021;00:00;1.34;1.34;1.30;1.30;1.32;15324560;0
25.08.2021;00:00;1.31;1.37;1.29;1.32;1.33;26618790;0
26.08.2021;00:00;1.30;1.44;1.30;1.33;1.37;82789440;0
27.08.2021;00:00;1.34;1.35;1.32;1.33;1.34;14950060;0
30.08.2021;00:00;1.35;1.42;1.33;1.35;1.38;60889288;0
31.08.2021;00:00;1.35;1.40;1.33;1.36;1.37;34742060;0
01.09.2021;00:00;1.36;1.40;1.36;1.37;1.38;24209830;0
02.09.2021;00:00;1.38;1.50;1.37;1.50;1.43;84756512;0
03.09.2021;00:00;1.50;1.63;1.45;1.57;1.54;117261600;0
